DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
JUL,2,5,0.022,39.411,6.031,0.41,24,22,0.016
JUL,2,6,0.021,35.978,6.053,0.40,24,23,0.023
JUL,2,7,0.022,32.366,6.082,0.40,24,22,0.021
JUL,2,8,0.020,29.093,6.067,0.41,23,24,0.019
JUL,2,9,0.028,27.106,5.725,0.43,25,24,0.018
JUL,2,10,0.046,28.155,3.597,0.46,23,24,0.012
JUL,2,11,0.056,30.521,3.115,0.47,24,23,0.010
JUL,2,12,0.065,35.091,3.325,0.48,49,22,0.009
JUL,2,13,0.074,41.573,3.991,0.49,153,22,0.010
JUL,2,14,0.079,48.817,6.016,0.51,100,25,0.011
JUL,2,15,0.081,56.157,6.888,0.50,62,28,0.010
JUL,2,16,0.082,63.944,7.491,0.50,41,26,0.010
JUL,2,17,0.084,70.844,7.785,0.49,35,26,0.010
JUL,2,18,0.068,73.593,8.011,0.52,50,21,0.009
JUL,2,19,0.060,74.098,8.101,0.50,45,18,0.005
JUL,2,20,0.054,72.777,8.384,0.50,41,17,0.011
JUL,2,21,0.053,70.191,8.454,0.52,35,19,0.012
JUL,2,22,0.047,66.159,8.497,0.51,35,17,0.010
JUL,2,23,0.041,61.145,8.530,0.51,31,19,0.011
JUL,3,0,0.057,57.996,8.544,0.49,20,20,0.006
JUL,3,1,0.054,54.242,8.540,0.47,14,17,0.008
JUL,3,2,0.047,51.594,8.539,0.42,16,15,0.010
JUL,3,3,0.048,50.141,8.542,0.43,17,15,0.007
JUL,3,4,0.045,49.037,8.537,0.41,17,16,0.007
JUL,3,5,0.037,46.997,8.475,0.38,18,18,0.009
JUL,3,6,0.036,45.598,8.375,0.36,21,22,0.011
JUL,3,7,0.028,43.959,8.303,0.35,24,23,0.014
JUL,3,8,0.025,39.931,8.250,0.36,25,27,0.015
JUL,3,9,0.035,37.547,44766.417,0.39,14,17,0.009
JUL,3,10,0.036,36.142,9.833,0.39,10,13,0.007
JUL,3,11,0.034,34.442,10.802,0.39,16,15,0.006
JUL,3,12,0.040,33.809,12.580,0.40,30,19,0.007
JUL,3,13,0.048,35.118,13.033,0.42,65,28,0.007
JUL,3,14,0.049,36.700,11.408,0.44,114,27,0.006
JUL,3,15,0.052,39.672,10.958,0.43,62,28,0.005
JUL,3,16,0.050,42.847,10.372,0.43,37,29,0.004
JUL,3,17,0.053,45.140,9.917,0.40,19,24,0.005
JUL,3,18,0.056,47.736,9.581,0.40,20,23,0.007
JUL,3,19,0.053,50.043,9.500,0.40,22,20,0.009
JUL,3,20,0.042,50.296,9.233,0.42,30,16,0.012
JUL,3,21,0.037,48.940,9.179,0.45,74,15,0.015
JUL,3,22,0.040,47.888,9.154,0.45,50,15,0.013
JUL,3,23,0.050,47.696,9.117,0.44,32,18,0.008
JUL,4,0,0.029,45.031,9.532,0.44,23,15,0.007
