DATOS HORARIOS 2020_DIF,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,PBAR
JUL,1,0,53.32,6.38,0.3,5.08,43.93,12.67,4.33,100.14,16.97,623.55
JUL,1,1,50.52,5.96,0.33,5.14,14.77,13.8,2.66,211.7,16.75,623.65
JUL,1,2,47.89,6.13,0.33,4.31,11.14,17.58,2.67,219.07,16.52,623.46
JUL,1,3,43.11,5.42,0.33,5.93,9.42,11.53,1.72,256.82,16.53,623.51
JUL,1,4,39.99,5.54,0.33,7.68,8.07,10.93,1.25,266.66,16.41,623.52
JUL,1,5,40.27,6.01,0.34,7.86,5,16.4,1.36,226.03,16.28,623.65
JUL,1,6,34.94,5.82,0.38,10.35,5.15,7.99,1.84,195.34,16.25,623.59
JUL,1,7,29.52,5.57,0.51,13.28,14.87,9.97,1.08,202.76,16.38,623.86
JUL,1,8,34.71,5.42,0.47,10.7,6.46,11.86,1.33,280.08,16.74,624.19
JUL,1,9,35.33,5.91,0.53,11.89,11.62,12.42,1.22,253.36,17.82,624.48
JUL,1,10,50.11,8.14,1.14,14.61,19.44,19.61,1.41,147.38,19.86,624.59
JUL,1,11,71.8,21.92,1.56,14.15,54.3,43.22,1.27,198.77,22.3,624.49
JUL,1,12,88.42,21.97,1.01,11.26,51.61,48.61,1.54,249.32,23.43,624.3
JUL,1,13,101.31,19.1,1,10.51,44.29,39.41,1.57,165.04,24.73,623.87
JUL,1,14,112.27,31.92,0.99,10.09,41.56,47.09,2.23,193.68,25.79,623.32
JUL,1,15,103.77,19.72,0.63,8.52,19.02,50.79,2.1,251.93,27.13,622.7
JUL,1,16,87.88,12.01,0.35,6.58,8.1,52.09,2.47,268.15,28.01,621.91
JUL,1,17,77.69,7.51,0.21,5.39,7.58,20.18,2.34,264.56,28.9,621.07
JUL,1,18,77.29,6.99,0.21,5.6,27.66,23.16,2.32,223.22,29.14,621.02
JUL,1,19,73.3,8.2,0.31,8.48,21.76,15.07,2.01,215.3,28.16,621.27
JUL,1,20,53.84,6.73,0.28,9.7,43.77,14.52,3.78,198.5,25.04,621.69
JUL,1,21,49.85,13.69,1.04,10.69,47.28,10.14,3.33,129.99,22.59,622.62
JUL,1,22,36.8,20.1,0.5,12.46,61.82,6.6,2.65,92.26,20.28,623.63
JUL,1,23,37.93,10.55,0.26,8.23,33.78,17.17,2.04,166.91,19.04,624.02
JUL,2,0,35.16,7.39,0.23,7.59,23.71,8.62,2.69,137.71,18.73,624.34
JUL,2,1,36.68,6.67,0.23,8.41,21.76,12.17,1.91,206.52,17.61,624.35
JUL,2,2,35.38,6.18,0.23,8.47,20.35,16.14,1.28,197.51,17.71,624.21
JUL,2,3,41.83,6.18,0.23,5.16,15.99,11.87,1.03,234.81,17.5,623.83
JUL,2,4,37.33,5.82,0.23,5.71,12.87,8.5,1.34,246.67,17.64,623.61
JUL,2,5,31.63,5.75,0.27,7.6,11.71,6.73,1.23,195.96,17.58,623.53
JUL,2,6,25.89,6.93,0.33,11.2,11.66,10.44,0.83,210.14,17.55,623.66
JUL,2,7,11.94,6.28,0.5,21.29,18.73,11.64,0.98,230.51,17.8,623.86
JUL,2,8,27.72,7.03,0.43,10.78,20.96,12.56,1.22,260.06,18.55,624.37
JUL,2,9,31.84,7.3,0.42,8.39,11.4,17.78,1.31,242.02,19.86,624.63
JUL,2,10,35.97,8.33,0.46,8.61,7.37,16.31,1.72,152.53,22.53,624.72
JUL,2,11,45.08,8.21,0.44,8.46,37.21,23.33,2.23,105.75,23.66,624.69
JUL,2,12,51.61,7.8,0.46,8.2,38.6,24,1.98,128.53,25.39,624.43
JUL,2,13,56.13,11.35,0.54,8.57,24.66,24.87,2.31,135.46,26.29,623.97
JUL,2,14,61.01,15.69,0.55,9.65,20.49,40.18,2.14,152.03,27.08,623.38
JUL,2,15,74.15,25.85,0.58,6.42,19,23.79,1.98,181.83,28.33,622.63
JUL,2,16,71.89,27.18,0.58,8.03,38.85,27.41,1.91,138.55,29.03,622.06
JUL,2,17,71.58,26.35,0.54,8.14,28.97,25.44,1.75,161.73,29.68,621.64
JUL,2,18,67.66,14.44,0.27,5.42,24.16,19.36,2.14,231.15,30.08,621.28
JUL,2,19,62.83,8.68,0.16,4.7,20.85,13.5,2.05,297.59,28.83,621.38
JUL,2,20,54.98,8.71,0.29,12.4,42.74,12.13,2.51,256.43,26.34,621.51
JUL,2,21,42.26,9.07,0.34,10.55,55.37,19.32,4.25,114.24,23.93,622.44
JUL,2,22,43,8.46,0.28,8.07,53.81,16.43,2.18,179.72,20.56,623.12
JUL,2,23,39.27,8.62,0.28,8.37,40.2,7.64,1.48,143.03,20.42,623.62
JUL,3,0,34.46,9.16,0.25,8.94,41.72,19.93,3.19,91.7,20.9,624.04
JUL,3,1,26.28,8.21,0.23,9.66,41.04,19.74,2.96,92.35,19.95,624.08
JUL,3,2,27.74,8.67,0.22,7.37,46.08,17.14,3.52,78.68,18.98,623.94
JUL,3,3,16,9.33,0.23,9.57,37.23,20,3.03,71.77,18,623.7
JUL,3,4,19.44,9.42,0.23,8.03,45.06,21.56,2.3,66.11,17.87,623.71
JUL,3,5,25.18,9.03,0.27,8.6,42.02,20.41,2.55,89.9,17.42,623.79
JUL,3,6,23.27,8.97,0.39,11.84,44.93,20.89,1.75,91.22,16.57,623.95
JUL,3,7,19.38,8.92,0.54,16.16,54.1,24.99,1.53,100.89,16.9,624.5
JUL,3,8,19.34,8.99,0.6,13.25,62.67,25.1,2.57,82.73,18.47,624.8
JUL,3,9,29.28,9.19,0.47,8.7,54.98,26.53,4.41,81.21,20.19,625.19
JUL,3,10,36.2,9.07,0.46,8.03,53.11,19.99,5.1,81.08,21.45,625.27
JUL,3,11,44.25,9.03,0.53,8.86,45.97,25.21,3.57,84.64,22.78,625.07
JUL,3,12,52.74,9.47,0.48,9.9,43.01,21.27,3.48,100.85,24.12,624.79
JUL,3,13,64.46,9.55,0.41,8.36,40.7,31.77,2.65,115.6,25.38,624.34
JUL,3,14,71.31,9.99,0.35,7.64,34.44,44.53,2.18,141.08,26.63,623.74
JUL,3,15,69,8.54,0.32,7.99,19.48,26.19,2.73,106.15,27.97,623.11
JUL,3,16,68.21,8.06,0.25,7.48,19.44,8.96,2.69,132.67,29.04,622.36
JUL,3,17,66.76,8.29,0.25,9.19,29.79,9.16,3.48,107.26,29.5,621.75
JUL,3,18,66.15,10.42,0.35,7.76,13.65,8.7,2.11,95.31,29.85,621.28
JUL,3,19,44.69,11.5,0.4,8.86,48.25,8.52,4.18,71.53,27.1,621.56
JUL,3,20,33.09,31.79,0.71,13.85,53.68,9.48,2.32,104.16,26.04,621.89
JUL,3,21,27.93,52.59,2.44,11.32,52.79,10.16,4,48.09,25.33,622.31
JUL,3,22,24.28,54.13,2.05,10.77,60.9,6.93,4.08,63.3,23.64,623
JUL,3,23,22.78,12.07,0.25,8.59,57.32,18.06,2.73,122.39,22.04,624.13
JUL,4,0,24.14,9.56,0.23,6.44,49.51,8.14,3.09,82.31,21.12,624.6
JUL,4,1,21.05,9.01,0.2,7.74,38.04,11.54,2.89,67.26,20.39,624.74
JUL,4,2,20.27,9.04,0.2,8.08,30.32,10.24,2.9,74.28,19.68,624.65
JUL,4,3,15.29,9.19,0.23,10.94,29.11,16.58,1.62,88.69,18.52,624.58
JUL,4,4,14.29,13.08,0.27,11.81,25.02,18.3,1.66,104.25,18.23,624.69
JUL,4,5,13.64,10.56,0.25,11.69,31.87,16.63,2.17,77.15,17.29,624.63
JUL,4,6,9.51,9.5,0.35,13.18,26.77,23.28,1.71,78.6,16.7,624.78
JUL,4,7,6.31,8.85,0.47,15.01,32.92,18.86,1.53,92.17,16.56,624.95
JUL,4,8,10.5,9.51,0.63,13.44,47.74,22.45,2.1,102.87,18.13,625.04
JUL,4,9,22.17,9.43,0.64,10.71,53.25,27.18,2.95,89.33,20.28,625.21
JUL,4,10,31.88,9.59,0.48,8.05,39.22,22.49,3.91,84.78,21.42,625.11
JUL,4,11,41.88,9.43,0.53,9.04,28.99,16.48,2.93,105.25,23.15,624.99
JUL,4,12,49.3,9.73,0.43,7.66,73.69,16.67,2.59,101.24,24.61,624.72
JUL,4,13,51.29,8.96,0.43,7.34,53.61,16.32,2.73,127.55,25.93,624.3
JUL,4,14,54.49,6.73,0.45,9.34,42.87,21.47,3.09,128.06,27.35,623.62
JUL,4,15,58.66,7.1,0.45,8.17,20.21,21.45,3.34,112,28.18,622.89
JUL,4,16,63.61,6.39,0.36,7.85,18.08,16.82,3,128.76,28.9,622.07
JUL,4,17,67.1,6.43,0.33,7.36,13.65,6.92,2.75,146.72,29.63,621.5
JUL,4,18,69.27,6.45,0.27,6.86,13.75,18.12,2.2,153.42,29.66,621.26
JUL,4,19,59.46,8.67,0.24,7.44,23.67,12.29,2.05,212.02,28.77,621.24
JUL,4,20,49.95,8.45,0.34,10.39,42.75,9.92,2.37,250.1,25.98,621.7
JUL,4,21,38.12,9.48,0.51,11.91,46.56,6.1,1.78,182.26,25.62,622.34
JUL,4,22,26.97,11.8,0.38,9.54,49.56,NA,2.99,78.95,25.06,623.22
JUL,4,23,27.28,12.88,0.34,9.51,44.69,NA,2.92,100.44,22.71,624.21
JUL,5,0,27.12,12.13,0.38,8.96,23.8,7.07,2.38,112.32,21.14,624.33
JUL,5,1,31.48,10.25,0.3,9.01,20.22,9.78,2.33,105.06,19.91,624.21
JUL,5,2,31.63,9.74,0.29,8.14,16.57,8.56,1.88,150.01,19.6,624.02
JUL,5,3,29.34,9.56,0.29,9.01,9.73,7.12,1.31,183.37,19.27,623.97
JUL,5,4,22.07,9.43,0.28,12.32,10.22,10.46,1.03,158.34,19.1,623.91
JUL,5,5,18.79,9.29,0.28,12.24,21.08,12.36,1.34,90.96,18.66,623.94
JUL,5,6,6.82,8.72,0.34,17.72,14.17,12.1,1.58,132.29,18.08,623.89
JUL,5,7,8.16,9.58,0.44,15.07,25.59,12.31,1.52,113.9,17.9,624.02
JUL,5,8,13.77,11.06,0.45,11.77,22.5,11.42,2.03,85.09,19.2,624.35
JUL,5,9,18.23,8.83,0.51,11.28,23.67,12.61,2.42,94.57,20.89,624.69
JUL,5,10,30.69,9.95,0.46,7.52,23.28,12.84,2.74,110.67,22.45,624.64
JUL,5,11,37.78,10.45,0.52,6.68,30.12,16.21,2.73,106.43,23.89,624.58
JUL,5,12,45.33,11.36,0.42,6.51,24.5,7.98,2.41,134.49,25.4,624.28
JUL,5,13,55.41,11.41,0.47,7.81,20.83,9.56,2.23,139.45,26.59,623.71
JUL,5,14,56.08,11.7,0.41,6.47,17.47,12.97,2.27,176.16,27.9,623.22
JUL,5,15,55.17,12.17,0.29,5.73,9.7,14.97,2.6,158.66,28.97,622.48
JUL,5,16,59.41,12.96,0.23,4.31,1.36,14.4,2.35,249.94,29.79,621.75
JUL,5,17,68.27,13.52,0.25,4.53,1.8,20.19,2.87,279.12,29.93,621.35
JUL,5,18,68.59,13.01,0.24,4.8,7.61,12.05,2.36,256.96,29.96,621.12
JUL,5,19,48.3,9.88,0.27,7.43,30.06,10,4.92,222.84,26.19,621.31
JUL,5,20,40.21,9.06,0.32,8.98,36.8,7.41,3.44,191.49,24.46,621.63
JUL,5,21,35.41,9.1,0.52,12.88,52.85,6.66,2.32,188.38,22.81,622.74
JUL,5,22,30.36,7.84,0.42,12.05,55.23,2.2,2.96,139.05,21.52,623.27
JUL,5,23,34.47,7.54,0.32,10.61,21.65,1.56,2.67,137.49,20.79,623.73
JUL,6,0,34.27,7.69,0.26,9.52,11.63,7.01,2.31,119.61,19.95,623.92
JUL,6,1,31.01,7.2,0.26,10.64,19.4,8.68,2.23,118.98,19.47,623.92
JUL,6,2,23.51,7.26,0.23,13.42,10.24,5.94,1.44,106.18,18.98,623.72
JUL,6,3,25.51,7.53,0.23,12.12,8.88,6.93,1.46,106.68,18.98,623.37
JUL,6,4,10.96,7.44,0.26,20.49,16.4,7.38,1.67,95.78,18.25,623.35
JUL,6,5,3.99,7.55,0.29,24.72,22.05,7.27,1.18,168.38,17.63,623.41
JUL,6,6,1.16,7.71,0.39,24.77,19.92,9.74,0.9,166.48,17.48,623.45
JUL,6,7,4.47,8.26,0.59,24.7,29.38,8.36,1.7,124.32,17.33,623.71
JUL,6,8,14.13,10.25,0.67,16.76,41.71,7.71,2.02,127.74,18.52,623.95
JUL,6,9,21.65,10.02,0.54,13.56,19.21,8.98,1.66,162.45,20.17,624.36
JUL,6,10,33.06,7.55,0.6,12.46,25.93,10.94,1.7,189.79,22.33,624.54
JUL,6,11,51.01,8.19,0.4,7.42,25.72,12.43,2.03,240.99,24.31,624.45
JUL,6,12,58.03,7.42,0.33,5.67,24.74,13.66,2.11,254.14,25.48,624.29
JUL,6,13,62.06,8.8,0.31,5.22,22.15,15.01,1.99,212.95,26.75,623.88
JUL,6,14,70.87,10.17,0.4,6.89,17.5,15.35,2.05,179.47,27.95,623.13
JUL,6,15,77.14,13.82,0.45,8.52,23.34,21.06,2.26,133.37,29.13,622.4
JUL,6,16,76.06,11.86,0.39,8.09,15.7,25,2.51,172.51,29.84,621.77
JUL,6,17,77.95,10.92,0.43,9.89,19.78,24.48,2.98,147.63,30.05,621.23
JUL,6,18,81.33,10.43,0.4,8.62,21.68,23.24,2.65,175.38,29.72,620.66
JUL,6,19,79.48,9.12,0.36,8.67,35.97,20.76,1.58,185.29,29.34,620.6
