DATOS HORARIOS 2020_DIF,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
ENE,3,11,27.52,19.21,1.33,8.67,23.22,1.34,260.52,15.85,55.46,623.55,15.21
ENE,3,12,35.96,13.39,1.31,5.72,3.29,1.6,188.47,17.83,48.97,623.2,14.91
ENE,3,13,42.27,13.38,1.32,4.97,5.47,1.94,232.25,19.78,39.41,622.53,12.84
ENE,3,14,48.29,21.26,1.29,5,NA,2.7,241.05,22.05,25.04,621.7,9.38
ENE,3,15,52.89,18.19,1.35,5.83,5.13,3.51,237.19,23.41,22.25,621.17,17.3
ENE,3,16,54,17.29,1.36,6.38,18.68,3.88,232.92,24.8,15.29,620.77,19.47
ENE,3,17,57.03,20.05,1.33,6.8,24.24,4.01,254.3,24.9,13.18,620.87,21.1
ENE,3,18,50.97,16.63,1.34,9.74,42.69,3.34,267.47,23.12,15.76,621.61,20.74
ENE,3,19,34.34,19.39,1.55,18.66,55.73,2.43,267.25,21,20.63,622.13,17.43
ENE,3,20,16.03,20.81,1.77,25.77,74.11,1.86,280.6,18.66,21.93,622.65,13.88
ENE,3,21,6.82,17.96,1.96,31.62,88.87,1.54,238.03,17.52,23.02,623.31,24.43
ENE,3,22,6.87,18.16,1.99,30.16,64.07,1.86,204.92,16.98,23.5,623.6,36.96
ENE,3,23,4.46,21.6,2.2,31.08,63.13,1.17,120.38,16.43,25.92,623.94,21.62
ENE,4,0,4.55,18.68,2.63,28.98,75.13,0.9,220.05,15.35,30.05,624.11,26.72
ENE,4,1,3.76,16.61,2.47,24.67,85.72,1,258.19,13.93,34.73,624.23,30.99
ENE,4,2,3.93,13.92,1.95,26.32,76.62,1.19,276.55,12.58,36.37,624.7,36.21
ENE,4,3,3.67,16.33,1.64,24.7,55.71,1.25,253.63,11.19,39.22,625.08,32.6
ENE,4,4,14.53,18.87,1.27,17.26,26.35,1.53,102.65,12.06,38.72,625.37,28.22
ENE,4,5,11.81,15.91,1.34,17.62,19.32,1.1,265.57,10.56,44.4,626.03,8.66
ENE,4,6,8.38,12.46,1.43,20.88,35.88,1.17,242.31,9.63,43.19,626.56,9.5
ENE,4,7,5.68,11.92,1.55,22.76,36.93,1.26,255.3,8.92,46.04,627.25,19.97
ENE,4,8,3.68,11.45,1.94,23.51,49.35,1.31,201.46,8.05,49.78,627.83,21.99
ENE,4,9,7.42,12.64,2.03,22.72,53.54,1.3,200.25,10.81,45.04,628.54,23.28
ENE,4,10,21.8,22.57,1.53,15.35,46.07,1,168.72,13.94,42.47,629.09,23.71
ENE,4,11,33.61,42.38,1.75,15.98,40.18,1.39,168.24,16.29,39,628.95,25.9
ENE,4,12,38.56,14.8,1.55,9.11,34.23,1.7,151.44,17.85,35.37,628.46,28.91
ENE,4,13,45.24,17.82,1.44,7.35,13.2,1.82,164.03,19.05,30.51,627.69,16.54
ENE,4,14,48.75,21.79,1.49,7.51,16.47,2.24,161.32,20.21,25.79,626.77,13.79
ENE,4,15,54.6,21.44,1.55,6.6,13.68,3.01,187.55,21.44,21.22,626.09,17.33
ENE,4,16,53.58,27.03,1.57,7.73,23.67,4.67,61.64,21.93,12.96,625.87,7.82
ENE,4,17,54.62,17.3,1.58,7.42,37.29,5.11,49.63,21.63,8.66,625.92,10.79
ENE,4,18,49.53,23.9,1.52,9.26,26.49,4.54,45.65,21,12.77,626.1,10.08
ENE,4,19,40.32,27.38,1.44,12.92,34.39,4.56,57.31,19.32,11.53,626.38,6.44
ENE,4,20,37.81,13.06,1.41,13.44,38.98,4.41,63.06,17.35,10.8,626.82,6.7
ENE,4,21,39.21,41.09,1.32,13.13,28.27,4.72,58.7,16.47,12.26,627.48,7.87
ENE,4,22,33.02,63.25,1.53,15.31,36.38,3.14,74.91,15.03,16.22,627.85,12.15
ENE,4,23,19.29,23.16,1.61,18.78,46.12,1.75,95.86,12.53,25.32,628.08,17.54
ENE,5,0,23.6,23.05,1.39,13.05,29.54,1.69,106.34,11.1,31.98,628.1,14.98
ENE,5,1,26.99,22.15,1.25,9.93,17.1,1.56,95.96,9.89,34.88,627.94,3.35
ENE,5,2,32.11,22.45,1.21,7.05,17.06,2.54,101.51,9.3,34.06,627.88,5.8
ENE,5,3,32.86,22.31,1.19,6.24,15.25,3.07,111.58,8.65,36.26,627.61,8
ENE,5,4,34.03,22.26,1.19,5.28,19.8,2.8,107.14,8.03,38.88,627.45,5.97
ENE,5,5,31.02,22.47,1.22,6.28,12.94,3.44,115.43,7.06,42.78,627.3,3.47
ENE,5,6,28.92,22.33,1.26,6.25,20.36,3.6,116.36,6.07,45.26,627.43,4.5
ENE,5,7,25.53,20.34,1.39,9.1,20.69,3.21,111.97,6.02,45.03,627.63,6.51
ENE,5,8,16.18,21.38,1.71,15.86,28.68,1.91,101.38,5.99,47,627.96,9.85
ENE,5,9,20.69,20.17,1.66,13.87,29.87,2.67,102.61,7.73,42.25,628.59,23.02
ENE,5,10,28.55,19.56,1.62,11.21,30.45,2.73,97.95,10.69,35,628.93,15.56
ENE,5,11,36.6,23,1.51,9.18,17.56,2.19,88.96,14.83,25.04,628.61,14.16
ENE,5,12,44.09,24.44,1.58,8.94,15.98,3.35,90.43,17.73,14.82,627.76,12.82
ENE,5,13,48.32,26.04,1.55,9.52,9.57,2.83,97.99,20.06,11.06,626.73,9.99
ENE,5,14,49.82,22.89,1.57,10.5,16.88,3.73,90.9,21.97,6.7,625.67,21.65
ENE,5,15,52.22,24.19,1.4,10,15.52,3.27,84.19,23.66,4.52,624.82,22.5
ENE,5,16,54.06,24.71,1.48,10.65,11.84,2.77,101.75,24.33,5.32,624.43,9.98
ENE,5,17,53.01,25.96,1.48,12.68,11.29,2.38,87.8,24.52,5.78,624.26,8.79
ENE,5,18,49.52,24.07,1.57,14.76,26.14,1.64,104.25,24.6,5.79,624.33,7.44
ENE,5,19,13.71,24.51,4.28,43.55,52.71,1.13,145.4,21.97,9.01,624.61,9.63
ENE,5,20,6.6,25.18,4.35,41.47,135.21,1.64,162.38,18.93,13.44,624.93,27.89
ENE,5,21,11.56,51.97,2.11,27.7,74.03,2.46,62.58,18.21,12.51,625.26,44.88
ENE,5,22,12.41,34.7,1.98,22.25,57.32,2.38,105.72,16.11,16.64,625.48,11.86
ENE,5,23,14.3,22.46,1.61,16.81,53.53,2.44,112.69,13.63,24,625.73,12.61
ENE,6,0,17.44,22.97,1.51,14.13,40.81,2.47,102.94,12.54,25.61,625.95,9.1
ENE,6,1,21.53,23.09,1.41,11.47,29.84,2.77,101.41,11.35,26.14,625.97,5.81
ENE,6,2,23.38,22.73,1.31,10.07,35.46,2.9,92.92,10.52,26.35,625.91,8.69
ENE,6,3,19.93,23.12,1.29,12.36,32.63,2.35,102.51,9.45,28.08,625.63,10.26
ENE,6,4,18.79,23.05,1.3,11.7,27.66,1.85,92.64,8.55,30.4,625.52,9.91
ENE,6,5,9.53,23.39,1.36,17.31,32.25,2.09,90.51,7.24,34.23,625.29,7.91
ENE,6,6,4.97,23.68,1.46,20.82,32.77,1.84,97.37,6.79,36.35,625.23,9.42
ENE,6,7,4.09,23.18,1.59,22.69,37.23,1.86,101.75,6.43,36.21,625.43,15.6
ENE,6,8,4.3,23.31,1.74,21.73,44.12,2.17,89.17,6.06,36.69,625.9,14.93
ENE,6,9,7.93,23.37,1.9,20.28,51.36,2.17,79.39,7.87,33.48,626.53,15.5
ENE,6,10,12.36,25.33,1.92,20.68,64.01,2.08,116.62,11.65,30.62,626.72,20.77
ENE,6,11,21.86,23.51,1.85,19.04,49.86,2.78,109.47,14.81,26.55,626.67,24.52
ENE,6,12,36.84,18.14,1.65,15,36,2.1,106.6,17.99,22,626.02,21.45
ENE,6,13,52.15,17.41,1.45,9.59,21.55,1.52,202.96,20.87,16.53,624.98,23.69
ENE,6,14,61.18,17.51,1.4,8.78,16.08,1.76,239.2,22.99,13.2,623.85,15.29
ENE,6,15,66.89,20.29,1.35,6.44,17.85,2.65,277.82,24.33,12.43,623.02,17.3
ENE,6,16,70.66,22.25,1.35,6.75,17.8,2.71,259.79,24.99,13.22,622.71,18.59
ENE,6,17,72.8,24.15,1.39,7.82,27.48,2.82,275.89,25.23,12.49,622.76,12.41
ENE,6,18,67.74,24.35,1.42,11.09,43.04,1.82,271.99,24.27,13.78,622.91,14.06
ENE,6,19,26.42,24.14,2.43,40.31,62.92,1.13,257.11,22.27,16.65,623.13,25.81
ENE,6,20,11.13,25.25,4.31,51.64,131.94,1.34,193.68,20.47,19.12,623.51,33.72
ENE,6,21,25.02,23.03,2.23,32.33,108.46,1.67,223.59,20.01,19.27,623.86,42.33
ENE,6,22,18.58,23.76,2.02,29.61,92.33,1.48,285.06,17.97,23.67,624.24,31.07
ENE,6,23,10.64,23.93,1.94,31.92,106.02,1.03,222.07,16.13,27.62,624.6,41.28
ENE,7,0,6.89,23.85,2.23,34.23,89.8,1.25,252.77,15.32,28.18,624.86,45.02
ENE,7,1,7.42,23.94,1.73,30.91,86.82,1.77,254.74,14.73,26.33,624.84,49.89
ENE,7,2,12.83,23.77,1.58,22.79,71.49,1.43,248.83,13.93,24.72,624.74,42.87
ENE,7,3,5.51,24.01,1.66,27.58,60.99,1.61,145.57,12.67,29.45,624.63,35.51
ENE,7,4,5,24.98,1.77,33.18,81.87,1.93,109.87,12.25,33.01,624.38,36.49
ENE,7,5,5.99,25.98,1.82,33.08,101.88,1.97,101.44,11.86,33.78,624.38,56.08
ENE,7,6,3.3,24.92,1.76,32.14,104.19,2.19,101.3,10.38,36.47,624.45,57.32
ENE,7,7,3.35,24.95,1.85,29.47,78.51,2.34,98.84,9.38,37.9,624.78,51.96
ENE,7,8,3.58,26.7,2.08,29.82,92.5,2.45,86.3,9.18,39.29,625.33,45.47
ENE,7,9,10.96,24.07,1.96,24.07,81.53,2.83,93.27,12.05,29.62,626,40.73
ENE,7,10,26.11,22.92,1.56,13.34,55.04,4.27,96.53,15.46,22.7,626.46,29.91
ENE,7,11,36.78,26.26,1.41,9.06,78.91,5.85,72.27,17.55,19.83,626.54,14.72
ENE,7,12,39.11,24.58,1.49,9.9,88.38,6.02,89.85,18.87,21.17,626.01,14.24
ENE,7,13,43.34,22.72,1.44,8.03,91.16,6.57,93.74,19.68,18.6,625.45,13.98
ENE,7,14,47.11,22.9,1.47,8.62,68.3,5.92,84.67,21,17.67,624.88,17.98
ENE,7,15,46.88,23.91,1.43,8.58,38.37,5.43,71.78,21.68,17.64,624.51,26.49
ENE,7,16,46.46,23.5,1.45,9.01,25.87,5.2,83.68,22.1,18.35,624.01,18.96
