DATOS HORARIOS 2020_DIF,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP (°C),WS (m/s),WD (°),HR (%)
NOV,5,16,0.0347,NA,0.58,0.0064,29,16,26.3,3.7,57.37,20.97
NOV,5,17,0.0317,NA,0.415,0.0063,35,13,25.9,4.4,61.22,22.11
NOV,5,18,0.0247,NA,0.478,0.0083,54,8,24.1,4.8,43.13,26.27
NOV,5,19,0.0187,NA,1.043,0.0108,61,5,21.2,4.9,45.16,32.20
NOV,5,20,0.0174,0.0371,1.551,0.0113,57,7,18.7,4.8,49.08,36.63
NOV,5,21,0.0181,0.0353,1.234,0.0098,42,10,17.1,4.8,55.61,40.11
NOV,5,22,0.0206,0.0337,0.351,0.007,34,19,16.2,3.5,63.62,42.27
NOV,5,23,0.0209,0.0032,0.294,0.0054,25,14,14.6,3.6,81.03,48.91
NOV,6,0,0.022,0.0025,0.242,0.0044,17,13,13.7,4.2,79.94,54.94
NOV,6,1,0.0213,0.0081,0.21,0.004,14,10,12.8,3.7,85.77,61.29
NOV,6,2,0.0212,0.0075,0.209,0.0036,17,10,12.1,3.8,74.47,65.78
NOV,6,3,0.0216,0.0572,0.208,0.0054,12,10,12.4,4.7,60.09,64.04
NOV,6,4,0.0207,0.0503,0.197,0.006,21,12,12.1,3.8,59.16,63.17
NOV,6,5,0.0197,0.058,0.214,0.0078,20,13,12,4.2,53.75,62.29
NOV,6,6,0.0192,0.0993,0.247,0.0086,36,15,11.8,3.7,55.35,61.04
NOV,6,7,0.0157,0.0853,0.34,0.0113,29,12,11.6,3.2,61.47,61.45
NOV,6,8,0.0088,0.0468,0.646,0.0166,43,35,11.8,2.2,105.80,59.54
NOV,6,9,0.0154,0.0075,0.561,0.0122,36,9,13.7,2.8,93.30,53.75
NOV,6,10,0.0259,0.0076,0.462,0.0063,34,18,15.9,4.8,80.78,46.24
NOV,6,11,0.0277,0.0067,0.476,0.0069,17,16,17.7,4.2,83.16,41.23
NOV,6,12,0.0306,0.0064,0.484,0.0075,20,9,19.3,3.7,97.68,38.00
NOV,6,13,0.0348,0.011,0.503,0.0071,27,25,21.3,2.7,120.65,35.27
NOV,6,14,0.0385,0.0192,0.459,0.0068,14,18,23.8,2,143.93,32.11
NOV,6,15,0.0498,0.0617,0.834,0.0079,21,16,25.3,1.7,165.77,27.21
NOV,6,16,0.0497,0.0469,0.642,0.0091,31,23,26,1.9,174.86,23.74
NOV,6,17,0.0463,0.0281,0.495,0.0077,41,23,26,1.9,145.53,21.34
NOV,6,18,0.0347,0.0169,0.641,0.0121,46,15,25.1,1.7,98.25,20.22
NOV,6,19,0.0093,0.0118,2.025,0.0352,81,12,23.3,1.3,99.46,23.32
NOV,6,20,0.0026,0.0128,2.131,0.038,142,19,20.7,1.4,131.75,28.39
NOV,6,21,0.0128,0.0982,1.436,0.0155,114,36,19.6,3.2,58.32,34.93
NOV,6,22,0.0125,0.0477,0.584,0.0115,57,22,17.5,3.2,89.59,42.72
NOV,6,23,0.0156,0.0104,0.316,0.0082,44,20,16.1,4.5,90.39,48.12
NOV,7,0,0.0188,0.01,0.259,0.0058,38,27,15.1,5.1,81.84,51.86
NOV,7,1,0.019,0.0098,0.237,0.0048,33,15,14.2,4.4,78.91,56.73
