DATOS HORARIOS 2020_DIF,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP (°C),WS (m/s),WD (°),HR (%)
NOV,13,5,0.0011,0.0141,0.453,0.0295,93,53,15.5,1.7,111.63,50.80
NOV,13,6,0.0013,0.0438,0.493,0.0277,120,54,14.8,1.3,146.71,54.90
NOV,13,7,0.0023,0.0413,0.614,0.0276,113,56,14.6,1.4,104.74,55.52
NOV,13,8,0.0017,0.0137,0.96,0.0281,123,60,14.8,1.6,99.60,55.48
NOV,13,9,0.0082,0.0085,0.776,0.0241,89,41,16.9,2.5,102.49,51.99
NOV,13,10,0.0176,0.0095,0.723,0.0206,95,38,19.7,2.4,101.13,49.14
NOV,13,11,0.0334,0.0279,0.615,0.0157,85,34,22.6,1.9,110.69,42.41
NOV,13,12,0.0492,0.0403,0.517,0.0126,75,45,25.1,1.6,150.18,35.34
NOV,13,13,0.0518,0.0141,0.418,0.0107,64,45,27.2,1.7,138.74,25.83
NOV,13,14,0.0563,0.0103,0.353,0.0082,37,21,28.8,2,147.50,21.63
NOV,13,15,0.0524,0.0092,0.334,0.0072,36,17,29.3,2.8,65.92,19.40
NOV,13,16,0.0551,0.0079,0.386,0.0087,42,18,29.8,2.5,121.51,18.76
NOV,13,17,0.0547,0.0073,0.491,0.0111,38,17,30.1,2.3,156.42,18.19
NOV,13,18,0.0489,0.0077,0.531,0.0154,61,18,28.7,2,194.85,20.60
NOV,13,19,0.0112,0.0076,1.406,0.0461,93,23,26.4,1.2,227.38,24.74
NOV,13,20,0.0026,0.0078,1.736,0.0495,147,39,23.9,1.3,287.73,28.70
NOV,13,21,0.0019,0.0079,2.189,0.0486,164,46,22.6,1.3,195.42,31.03
NOV,13,22,0.0093,0.0092,1.022,0.0314,176,54,21.5,2.4,134.93,39.56
NOV,13,23,0.0069,0.0079,0.783,0.0261,80,53,21.4,1.8,165.98,49.59
NOV,14,0,0.0085,0.0078,0.619,0.0223,71,24,20,1.3,122.19,54.46
NOV,14,1,0.009,0.0157,0.391,0.0174,69,27,19.3,1.3,95.13,48.85
NOV,14,2,0.0034,0.0125,0.42,0.0207,74,27,18,0.8,125.57,50.64
NOV,14,3,0.02,0.0068,0.287,0.0099,53,35,17.2,1.2,227.36,64.13
NOV,14,4,0.0184,0.0068,0.284,0.0099,32,27,16.2,0.6,277.45,68.52
NOV,14,5,0.0042,0.0064,0.32,0.0201,37,23,15.6,0.7,242.25,69.31
NOV,14,6,0.001,0.0081,0.39,0.0207,50,24,15.3,1.2,89.52,56.63
NOV,14,7,0.0009,0.0077,0.52,0.0191,55,32,14.5,1.5,106.21,52.76
NOV,14,8,0.0021,0.0203,0.729,0.0215,121,31,14.5,2.1,103.49,52.65
NOV,14,9,0.0052,0.0199,0.78,0.0203,128,79,16.6,2.2,98.77,47.44
NOV,14,10,0.0143,0.0284,0.852,0.0239,139,51,20.7,1.2,161.82,44.35
NOV,14,11,0.0347,0.0094,0.361,0.0104,89,88,22.7,1.7,252.69,46.51
NOV,14,12,0.0449,0.0065,0.315,0.0056,42,28,24.1,2.5,269.32,43.27
NOV,14,13,0.0527,0.0065,0.3,0.0058,55,26,25.8,2.7,259.04,36.14
NOV,14,14,0.0644,0.0071,0.316,0.0064,44,17,27.3,2.6,263.67,31.28
NOV,14,15,0.0642,0.0077,0.377,0.0074,44,27,28.3,2.2,206.59,24.68
NOV,14,16,0.0642,0.0069,0.28,0.0059,38,27,28.6,2.1,255.62,21.71
NOV,14,17,0.0606,0.005,0.332,0.0067,50,20,28.1,1.7,254.45,22.18
NOV,14,18,0.0518,0.0028,0.416,0.0089,47,21,27.4,1.7,264.72,23.33
NOV,14,19,0.0249,0.0045,0.957,0.0273,76,17,24.9,1.7,253.87,28.38
NOV,14,20,0.0164,0.0039,0.698,0.0312,93,31,22.8,1.6,255.94,32.14
NOV,14,21,0.0035,0.0046,1.616,0.0429,90,39,22.4,1.1,207.00,33.42
NOV,14,22,0.0208,0.0036,0.689,0.0227,119,35,21.2,2.2,254.28,36.30
NOV,14,23,0.0203,0.0045,0.698,0.0171,100,47,20.7,1.8,143.04,39.51
NOV,15,0,0.0177,0.0069,0.632,0.0209,84,40,20,2,185.47,42.65
NOV,15,1,0.0256,0.01,0.326,0.0164,60,33,19.1,1.5,181.17,45.89
NOV,15,2,0.0148,0.0065,0.45,0.0179,72,31,18.1,1.1,210.26,48.30
NOV,15,3,NA,0.0055,0.503,0.0237,65,32,16.8,0.9,193.33,53.08
NOV,15,4,0.0044,0.0058,0.457,0.0218,71,27,16.5,1.4,108.75,55.41
NOV,15,5,0.0075,0.0143,0.396,0.0211,100,42,15.7,1.5,106.87,52.32
NOV,15,6,0.008,0.0421,0.465,0.0219,146,55,15.3,1.7,89.13,51.90
NOV,15,7,0.0033,0.0125,0.539,0.0257,97,55,14.6,1.6,97.99,54.37
NOV,15,8,0.0086,0.0571,0.624,0.0213,115,47,14.9,1.9,99.44,53.64
NOV,15,9,0.0147,0.0335,0.606,0.0185,144,68,16.8,2.5,95.78,48.04
NOV,15,10,0.0255,0.0269,0.701,0.0156,100,53,20,2.5,117.47,42.71
NOV,15,11,0.0388,0.0107,0.492,0.0112,73,41,23,1.9,122.02,37.55
NOV,15,12,0.0468,0.0088,0.6,0.0124,60,30,25.4,2.9,115.31,30.76
NOV,15,13,0.049,0.0078,0.451,0.0095,76,33,27.1,4.5,102.82,24.21
NOV,15,14,0.054,0.0075,0.443,0.0088,54,19,28.3,3.4,132.35,22.29
NOV,15,15,0.0531,0.0073,0.393,0.0098,44,18,29.4,3.8,111.29,18.54
NOV,15,16,0.0416,0.0049,0.343,0.0088,120,20,29.6,5.1,92.86,16.21
NOV,15,17,0.0393,0.0047,0.346,0.0076,183,25,28.5,5.6,86.77,17.14
NOV,15,18,0.0312,0.0423,0.605,0.0079,115,20,26.1,6,61.85,26.57
NOV,15,19,0.0258,0.0608,1.844,0.0074,184,29,22.5,7.1,42.72,38.67
NOV,15,20,0.0249,0.1006,1.479,0.0082,139,28,20.6,6.6,46.46,42.31
NOV,15,21,0.0251,0.065,0.777,0.0063,65,31,19.3,6.4,47.05,45.67
NOV,15,22,0.025,0.0642,0.258,0.0066,55,23,18.8,5.3,61.73,47.04
NOV,15,23,0.0253,0.0069,0.199,0.0051,34,25,18.4,3.9,77.73,49.10
NOV,16,0,0.0233,0.0067,0.172,0.0049,29,16,17.2,3.2,98.43,54.94
NOV,16,1,0.0232,0.0069,0.141,0.0043,28,16,16.5,3,91.47,60.03
NOV,16,2,0.023,0.0059,NA,0.0039,20,20,15.9,2.9,90.52,63.55
NOV,16,3,0.0206,0.008,NA,0.0046,21,18,15.2,2.4,136.07,66.18
NOV,16,4,0.0197,0.0108,NA,0.0055,22,12,15,1.9,96.32,67.80
NOV,16,5,0.0197,0.0076,NA,0.0049,24,19,14.7,2.5,76.58,69.10
NOV,16,6,0.0166,0.0079,NA,0.0061,21,17,14.3,2,100.90,71.39
NOV,16,7,0.0097,0.0078,0.233,0.0119,30,23,14.2,2,118.43,73.52
NOV,16,8,0.0099,0.0076,0.333,0.0118,33,12,14.9,1.8,97.82,71.39
NOV,16,9,0.0182,0.0055,0.305,0.0076,38,21,17.2,3.8,88.64,62.80
NOV,16,10,0.0232,0.0059,0.294,0.0065,42,10,18.8,5.3,80.73,53.57
NOV,16,11,0.0242,0.0056,0.345,0.0063,53,11,20.1,5.5,87.01,48.13
NOV,16,12,0.025,0.0071,0.35,0.0068,37,9,21.3,5.3,91.45,44.30
NOV,16,13,0.024,0.0068,0.371,0.0066,38,9,22.2,5.1,90.38,41.42
NOV,16,14,0.022,0.0128,0.357,0.0067,28,13,23.7,4.7,71.23,36.22
NOV,16,15,0.0253,0.0195,0.484,0.006,39,14,24.2,5.4,55.58,31.39
NOV,16,16,0.0276,0.0293,0.694,0.0061,43,15,24.2,5.6,51.56,28.90
NOV,16,17,0.0264,0.006,0.219,0.0052,41,8,23.2,6.5,47.50,31.41
NOV,16,18,0.0239,0.0053,0.23,0.006,48,6,21.3,6.2,41.21,34.33
NOV,16,19,0.0213,0.0082,0.329,0.0064,46,5,19.2,6,40.93,38.54
NOV,16,20,0.0207,0.0166,0.723,0.0057,36,5,17.8,5.9,44.32,40.99
NOV,16,21,0.0189,0.1169,1.535,0.0077,43,5,17,5.7,45.16,44.22
NOV,16,22,0.0194,0.0186,0.533,0.0049,34,7,16,5.2,40.61,48.79
NOV,16,23,0.0185,0.022,0.18,0.0052,20,8,15.9,4.1,64.16,51.58
NOV,17,0,0.0199,0.0042,NA,0.0033,15,9,15,3.3,90.20,55.76
NOV,17,1,0.0189,0.0038,NA,0.0036,14,8,14,3.2,84.27,59.53
NOV,17,2,0.0194,0.0042,NA,0.0035,7,9,13.6,3.4,81.90,60.85
NOV,17,3,0.0202,0.004,NA,0.0036,6,16,13.8,3.7,69.08,62.02
NOV,17,4,0.0187,0.0348,NA,0.0059,13,6,14,3.5,67.81,62.54
NOV,17,5,0.0185,0.0062,NA,0.0045,16,2,13.5,3.2,79.01,66.15
NOV,17,6,0.0179,0.0039,NA,0.005,11,2,13.7,3.7,74.66,67.56
NOV,17,7,0.0151,0.0051,0.186,0.0066,18,6,13.8,3.7,80.33,68.75
NOV,17,8,0.0119,NA,0.348,0.0097,21,7,14,2.9,97.06,70.02
NOV,17,9,0.0133,0.004,0.404,0.0093,26,6,15.2,3.1,82.72,67.10
NOV,17,10,0.0179,0.0041,0.367,0.0076,28,16,17,4.1,87.65,59.90
NOV,17,11,0.0203,0.0054,0.366,0.0072,28,18,18.2,4.2,96.16,55.49
NOV,17,12,0.0251,0.0056,0.351,0.0071,23,7,20.7,5,81.18,45.70
NOV,17,13,0.0245,0.0051,0.292,0.0063,47,6,21.5,5.5,65.67,44.09
NOV,17,14,0.0211,0.0202,0.378,0.0083,32,16,21.1,5,63.99,45.63
NOV,17,15,0.0218,0.0125,0.382,0.0071,28,11,21.7,4.9,71.41,43.58
NOV,17,16,0.0185,0.0188,0.596,0.0083,35,10,20.9,4.9,62.87,45.81
NOV,17,17,0.0175,0.0309,0.612,0.008,36,8,20.2,4.9,54.16,48.89
NOV,17,18,0.0172,0.0105,0.372,0.0073,39,7,18.9,5,45.49,52.97
NOV,17,19,0.0154,0.0341,0.498,0.009,29,6,17.9,4.3,46.81,56.31
NOV,17,20,0.0163,0.0807,0.47,0.0084,30,7,17.2,4.8,53.88,58.88
NOV,17,21,0.0172,0.0657,0.29,0.0072,35,8,16.7,4.7,61.10,59.93
NOV,17,22,0.0181,0.0638,0.22,0.0067,24,22,16.4,4.3,60.13,60.84
NOV,17,23,0.0188,0.0572,0.249,0.0062,23,15,15.9,4.1,55.15,62.94
NOV,18,0,0.0199,0.0221,0.134,0.0051,8,22,15.7,3.8,57.62,62.89
NOV,18,1,0.0209,0.0154,0.13,0.0043,9,13,15.4,3.2,69.50,64.05
NOV,18,2,0.0231,0.0109,NA,0.0034,7,12,15.3,3.8,69.37,64.72
NOV,18,3,0.0233,0.0767,NA,0.0029,8,7,14.9,4.7,68.49,67.04
NOV,18,4,0.0205,0.0067,0.123,0.0041,4,1,14.4,3.8,76.75,69.72
NOV,18,5,0.0219,0.0057,NA,0.0051,8,8,13.7,4,81.52,68.82
NOV,18,6,0.0234,0.0055,NA,0.0051,9,13,13.5,4.5,80.60,63.16
NOV,18,7,0.0228,0.0048,0.166,0.0066,16,12,13,4.4,74.81,59.47
NOV,18,8,0.0171,0.0053,0.304,0.0121,30,12,13.1,3.4,84.46,58.51
NOV,18,9,0.0206,0.007,0.296,0.0093,36,13,14.2,4.7,75.29,58.18
NOV,18,10,0.0237,0.0061,0.276,0.0067,35,12,15.5,5.3,76.15,56.99
NOV,18,11,0.0264,0.0064,0.299,0.0064,30,8,17.2,5.3,72.24,49.41
NOV,18,12,0.0288,0.0062,0.307,0.0069,44,6,18.7,5.9,84.17,41.82
NOV,18,13,0.0311,0.0065,0.304,0.0065,69,10,20.5,6.1,89.81,37.68
NOV,18,14,0.032,0.0065,0.295,0.0065,73,12,21.2,7.1,90.82,37.48
NOV,18,15,0.0314,0.007,0.323,0.0068,105,20,21.6,7,83.29,36.72
NOV,18,16,0.0316,0.0065,0.288,0.0064,113,11,21.7,7.2,78.58,36.01
NOV,18,17,0.0299,0.0067,0.325,0.0072,90,18,21.5,6.8,78.57,36.15
NOV,18,18,0.0261,0.0067,0.318,0.0074,65,13,20.3,6.3,80.51,38.29
NOV,18,19,0.0213,0.007,0.379,0.0092,65,12,18.7,4.6,74.52,43.56
NOV,18,20,0.0208,0.0064,0.319,0.0079,37,10,17.5,4.6,75.33,47.67
NOV,18,21,0.0211,0.0057,0.233,0.0059,35,8,16.2,4.9,72.89,53.39
NOV,18,22,0.0202,0.0072,0.199,0.0061,26,5,15,5,63.60,58.41
NOV,18,23,0.021,0.0066,0.164,0.0058,21,5,14.4,4.9,65.16,60.64
NOV,19,0,0.0226,0.0061,NA,0.0044,12,11,13.3,4.9,72.72,62.42
NOV,19,1,0.0235,0.0062,NA,0.0038,4,7,12.7,4.9,74.42,64.52
NOV,19,2,0.0233,0.0051,NA,0.0035,6,17,12.2,5,69.03,68.72
NOV,19,3,0.0221,0.0036,NA,0.0035,10,6,11.9,3.7,76.64,71.69
NOV,19,4,0.0208,0.0046,NA,0.0038,6,2,11.7,3.1,77.21,72.23
NOV,19,5,0.0179,0.0043,NA,0.0052,8,1,11.1,2.6,82.54,74.16
NOV,19,6,0.0152,0.0036,0.181,0.0069,13,4,10.7,2.4,77.79,75.06
NOV,19,7,0.005,0.0035,0.377,0.0157,24,4,10,1.9,88.17,78.10
NOV,19,8,0.0037,0.0076,0.629,0.0178,23,8,10.6,1.7,96.53,75.29
NOV,19,9,0.0102,0.0081,0.518,0.0136,30,13,13.4,1.8,98.62,64.49
NOV,19,10,0.0228,0.0086,0.292,0.0065,40,18,16.1,5,75.87,52.85
NOV,19,11,0.0249,0.0088,0.383,0.0072,35,10,18.1,5.5,87.29,45.16
NOV,19,12,0.0274,0.0065,0.326,0.0066,33,8,19.9,5.9,77.77,39.16
NOV,19,13,0.0293,0.0046,0.309,0.0073,39,9,21.6,5.9,81.81,33.71
NOV,19,14,0.0308,0.0057,0.346,0.0076,44,11,22.9,5.6,90.00,28.73
NOV,19,15,0.0326,0.0072,0.337,0.0078,38,8,24,5,87.34,26.16
NOV,19,16,0.0327,0.0092,0.363,0.0089,45,9,24.9,4.7,93.26,24.71
NOV,19,17,0.0322,0.0091,0.37,0.0102,43,13,24.9,4,91.67,24.18
NOV,19,18,0.0255,0.0097,0.523,0.015,47,21,24.1,3.3,92.41,25.73
NOV,19,19,0.0201,0.0153,0.428,0.0114,71,12,21.6,4.7,49.15,33.88
NOV,19,20,0.0181,0.0331,1.329,0.0085,45,10,19.3,5,42.73,40.76
NOV,19,21,0.0176,0.1306,0.906,0.0095,41,9,17.8,5.2,51.96,46.55
NOV,19,22,0.0155,0.1112,0.214,0.0096,66,33,16.8,4,56.58,49.82
NOV,19,23,0.0177,0.0095,0.181,0.0061,36,31,16,4.3,73.04,52.50
NOV,20,0,0.018,0.007,NA,0.0043,18,3,14.5,4.4,78.73,60.22
NOV,20,1,0.0189,0.0062,NA,0.0036,7,5,13.7,4.1,76.94,63.67
NOV,20,2,0.0183,0.0061,NA,0.0035,7,5,13.2,3.2,82.54,66.55
NOV,20,3,0.0179,0.0073,NA,0.0036,7,5,12.7,3,86.22,68.43
NOV,20,4,0.018,0.0056,NA,0.0034,4,7,12.2,3,93.35,70.44
NOV,20,5,0.0136,0.0054,NA,0.008,13,7,11.4,2.5,112.65,73.57
NOV,20,6,0.0133,0.0042,0.173,0.007,40,11,11,2.4,95.33,76.48
NOV,20,7,0.0104,0.0052,0.297,0.0103,17,12,10.8,2.9,105.22,77.31
NOV,20,8,0.0144,0.0054,0.385,0.0117,25,10,11.2,3.5,100.50,75.47
NOV,20,9,0.0156,0.0054,0.339,0.0084,22,11,13.4,4.1,87.16,66.62
NOV,20,10,0.0191,0.005,0.322,0.0062,26,12,15.2,4.9,91.08,60.33
NOV,20,11,0.0208,0.0066,0.386,0.0072,22,13,16.8,4.8,92.63,55.33
NOV,20,12,0.023,0.0071,0.392,0.0067,22,13,18.6,4.8,90.71,50.18
NOV,20,13,0.0266,0.007,0.347,0.0067,22,11,20.7,4.8,66.63,45.16
NOV,20,14,0.0287,0.0077,0.348,0.0075,19,12,23,4,66.60,40.37
NOV,20,15,0.0289,0.0082,0.368,0.0073,23,11,25.2,3.6,65.57,36.62
NOV,20,16,0.0277,0.0075,0.369,0.0075,39,10,25.9,4.6,67.80,35.07
NOV,20,17,0.0254,0.0077,0.438,0.0082,39,11,26,4.3,82.62,34.74
NOV,20,18,0.021,0.0078,0.479,0.0101,89,4,24.7,4.5,90.16,37.91
NOV,20,19,0.0172,0.0091,0.524,0.0123,86,5,22.4,4.5,89.11,44.19
NOV,20,20,0.0119,0.0082,0.513,0.0122,60,12,20.9,3.7,76.82,49.05
NOV,20,21,0.0118,0.007,0.417,0.0107,37,9,19.7,3.8,76.31,52.85
NOV,20,22,0.0132,0.0106,0.298,0.0086,31,5,18.6,3.9,66.17,57.17
NOV,20,23,0.0147,0.0126,0.244,0.0068,20,5,17.6,4.7,66.38,61.71
NOV,21,0,0.017,0.0087,0.205,0.0048,21,4,16.8,3.7,77.06,64.35
NOV,21,1,0.0168,0.0088,0.149,0.0038,2,1,15.9,4.2,74.16,68.06
NOV,21,2,0.0161,0.0078,0.141,0.004,8,6,15.3,3.4,76.83,70.69
NOV,21,3,0.0185,0.0077,0.134,0.0035,4,10,15.5,3.7,73.73,69.38
NOV,21,4,0.0171,0.0074,0.129,0.0035,2,11,14.8,3.3,83.09,71.60
NOV,21,5,0.0156,0.0077,0.131,0.0051,8,6,14.1,3,85.52,74.98
NOV,21,6,0.0146,0.0075,0.136,0.0048,3,1,13.6,3.5,77.87,77.65
NOV,21,7,0.0133,0.0079,0.255,0.0074,12,3,14,2.8,67.10,75.75
NOV,21,8,0.0089,0.0091,0.487,0.0125,23,17,14.2,2.2,101.73,74.37
NOV,21,9,0.0118,0.008,0.508,0.0099,24,13,16,3.3,101.17,68.27
NOV,21,10,0.0159,0.0069,0.51,0.0093,26,9,18.2,3.3,99.28,60.88
NOV,21,11,0.021,0.0074,0.433,0.0071,28,9,19.7,4.5,74.92,56.52
NOV,21,12,0.0218,0.0084,0.484,0.0077,29,6,20.9,4.7,67.33,51.91
NOV,21,13,0.0234,0.0087,0.411,0.0073,20,1,22.3,4.8,64.58,46.01
NOV,21,14,0.0265,0.0082,0.485,0.0077,32,1,23.5,4.9,86.50,41.82
NOV,21,15,0.0265,0.0074,0.481,0.0078,38,6,24.4,5,86.67,38.14
NOV,21,16,0.0262,0.017,0.412,0.0074,38,9,24.7,4.8,80.56,36.35
NOV,21,17,0.0246,0.0069,0.409,0.0076,38,21,24.4,5.1,88.64,36.29
NOV,21,18,0.0217,0.0106,0.426,0.0087,39,1,23,5.1,90.46,39.99
NOV,21,19,0.0147,0.0107,0.553,0.0115,52,6,21.2,3.9,87.01,48.01
NOV,21,20,0.0148,0.0375,0.401,0.0094,44,10,19.8,4.3,61.16,53.56
NOV,21,21,0.0123,0.0256,0.404,0.0101,40,21,18.5,3,63.22,58.13
NOV,21,22,0.0111,0.0054,0.481,0.0101,38,14,17.2,2.8,89.85,62.57
NOV,21,23,0.0154,0.0027,0.288,0.0062,17,10,16.6,3.6,74.98,64.73
NOV,22,0,0.0149,0.0039,0.242,0.006,12,5,15.9,3.1,80.80,67.19
NOV,22,1,0.0149,0.0047,0.196,0.0052,17,5,15.2,2.7,80.12,70.32
NOV,22,2,0.0154,0.0066,0.153,0.0048,6,3,14.8,2.8,81.32,72.10
NOV,22,3,0.0142,0.0045,0.144,0.0045,8,3,14,2.1,82.43,75.11
NOV,22,4,0.013,0.005,0.176,0.0051,6,18,13.6,2.4,80.77,77.27
NOV,22,5,0.0106,0.0035,0.159,0.006,13,6,12.8,2.2,75.41,79.60
NOV,22,6,0.0084,0.0034,0.164,0.0068,8,4,12,2.2,75.11,81.61
NOV,22,7,0.0054,0.0066,0.3,0.0088,21,3,11.4,1.5,95.99,83.85
NOV,22,8,0.0044,0.0071,0.43,0.0109,21,4,12,1.9,95.77,80.64
NOV,22,9,0.0121,0.0081,0.365,0.0074,18,1,14.2,3.1,85.44,72.11
NOV,22,10,0.0185,0.0063,0.339,0.0059,17,6,17,3.9,87.67,61.82
NOV,22,11,0.0213,0.0089,0.387,0.006,10,11,18.9,3.3,90.16,55.13
NOV,22,12,0.0242,0.0073,0.402,0.006,7,5,20.8,3.2,97.85,46.90
NOV,22,13,0.026,0.0067,0.392,0.0068,8,2,23,3.3,105.51,35.20
NOV,22,14,0.0272,0.0061,0.389,0.0069,19,8,24.9,3.8,100.05,26.88
NOV,22,15,0.0298,0.0616,0.27,0.0053,10,21,26.4,3.6,75.34,17.98
NOV,22,16,0.0319,0.1007,0.25,0.0052,20,10,27.2,2.6,117.17,18.72
NOV,22,17,0.0303,0.0183,0.307,0.0061,22,10,27.1,2.9,86.87,18.63
NOV,22,18,0.0257,0.0115,0.375,0.009,139,8,26.2,2.7,80.50,20.02
NOV,22,19,0.0212,0.0129,0.476,0.0068,63,7,23.3,5.2,44.24,26.58
NOV,22,20,0.0192,0.013,0.404,0.0055,47,5,20.6,5.7,41.71,37.64
NOV,22,21,0.0173,0.0361,1.143,0.0063,45,3,18.6,5,43.78,47.56
NOV,22,22,0.0152,0.1397,1.588,0.0089,42,2,17.5,5.1,57.88,52.50
NOV,22,23,0.0165,0.0275,0.194,0.0053,44,7,16.2,4.5,74.78,56.21
NOV,23,0,0.0185,0.0079,NA,0.0033,19,11,15.2,4.2,86.66,60.09
NOV,23,1,0.0189,0.0062,NA,0.0033,17,9,14.5,4.3,80.32,62.27
NOV,23,2,0.0193,0.0064,NA,0.0032,8,12,13.8,3.9,78.12,63.91
NOV,23,3,0.0206,0.0071,NA,0.0031,7,10,13.8,4.4,71.55,62.46
NOV,23,4,0.0212,0.0094,NA,0.0036,7,4,14.2,4.4,69.44,58.53
NOV,23,5,0.0189,0.0101,NA,0.0039,12,1,13.2,2.9,90.83,62.92
NOV,23,6,0.0123,0.0088,NA,0.0072,17,6,11.6,2.7,121.71,70.23
NOV,23,7,0.0061,0.0125,0.26,0.0118,27,7,10.6,2.4,98.10,74.34
NOV,23,8,0.0044,0.0067,0.454,0.0143,30,8,11.4,2.4,102.87,71.81
NOV,23,9,0.0113,0.0096,0.465,0.0115,37,13,14.5,3.2,102.80,61.45
NOV,23,10,0.0198,0.0045,0.276,0.0056,36,31,16.7,5.1,81.07,55.75
NOV,23,11,0.0214,0.0048,0.304,0.0062,145,6,18.6,5.2,77.60,49.99
NOV,23,12,0.0248,0.0061,0.405,0.0075,105,10,20.8,4.6,83.38,41.11
NOV,23,13,0.0291,0.005,0.344,0.0075,22,11,22.2,4.1,80.21,36.43
NOV,23,14,0.0332,0.005,0.361,0.0077,22,19,23.6,3.2,101.01,33.66
NOV,23,15,0.0361,0.0068,0.351,0.008,20,14,24.8,2.7,113.50,30.71
NOV,23,16,0.0374,0.0069,0.275,0.0071,20,14,25.5,2.6,111.44,27.58
NOV,23,17,0.0367,0.0069,0.335,0.009,28,12,26,1.9,110.35,25.80
NOV,23,18,0.0296,0.0067,0.63,0.0145,37,9,24.9,1.6,112.05,26.92
NOV,23,19,0.0042,0.0076,1.595,0.0373,80,8,22.8,0.9,174.19,30.67
NOV,23,20,0.003,0.0082,2.871,0.0393,140,23,21.6,1.2,74.45,33.62
NOV,23,21,0.006,0.0138,1.323,0.0262,218,59,20.6,2.5,71.59,36.45
NOV,23,22,0.0068,0.0193,0.602,0.0174,71,33,19.2,2.5,74.61,41.00
NOV,23,23,0.0074,0.005,0.342,0.0131,47,3,17.6,2.8,88.54,46.30
NOV,24,0,0.0095,0.0158,0.158,0.0101,43,9,16.2,3.5,90.49,50.55
NOV,24,1,0.0093,0.0112,NA,0.0088,64,27,15.1,3.4,87.46,56.80
NOV,24,2,0.007,0.0137,0.238,0.0121,37,15,14.5,3.1,97.50,57.17
NOV,24,3,0.0015,0.0219,0.351,0.0192,79,36,13.6,2.7,93.36,55.82
NOV,24,4,NA,0.0215,0.289,0.0189,86,58,12.9,2,93.20,58.08
NOV,24,5,NA,0.011,0.252,0.0181,67,43,12.1,2.1,82.11,61.09
NOV,24,6,NA,0.0073,0.241,0.0176,45,26,11.4,2.1,97.43,64.70
NOV,24,7,NA,0.0109,0.421,0.0172,50,8,10.8,1.8,90.63,68.10
NOV,24,8,NA,0.0064,0.653,0.0173,61,18,11.1,2,87.46,67.87
NOV,24,9,0.0038,0.0079,0.616,0.0169,66,23,13.8,2.6,97.16,57.24
NOV,24,10,0.0111,0.0218,0.592,0.017,64,25,16.3,2.8,101.20,50.68
NOV,24,11,0.0208,0.0124,0.341,0.0131,56,33,19.6,2.1,107.27,39.37
NOV,24,12,0.0284,0.0077,0.315,0.0127,40,21,22.5,1.7,124.61,33.29
NOV,24,13,0.0389,0.0073,0.344,0.0112,50,21,24.6,1.7,159.21,29.07
NOV,24,14,0.048,0.0069,0.179,0.0058,31,24,26.3,1.8,197.46,25.98
NOV,24,15,0.0491,0.0071,NA,0.0052,24,25,27,2,240.72,23.44
NOV,24,16,0.0493,0.0071,NA,0.0053,37,16,27.7,1.9,243.94,22.58
NOV,24,17,0.0503,0.0068,NA,0.0048,41,26,27.3,2.5,289.55,21.40
NOV,24,18,0.0513,0.0071,0.258,0.0077,53,16,26.2,1.9,276.57,23.66
NOV,24,19,0.0137,0.0067,1.348,0.0354,98,29,23.7,0.9,251.04,28.30
NOV,24,20,0.0069,0.0068,2.665,0.0435,139,28,22.1,0.8,246.91,31.61
NOV,24,21,0.0051,0.0074,3.452,0.0432,194,60,20.9,0.9,191.49,34.18
NOV,24,22,0.008,0.0057,0.945,0.0315,191,70,19.1,1.5,257.67,36.51
NOV,24,23,0.0119,0.0052,0.434,0.0234,85,42,18.1,1.5,285.67,37.96
NOV,25,0,0.0094,0.0046,0.413,0.0236,95,38,16.9,0.8,288.45,41.10
NOV,25,1,0.0128,0.0043,0.36,0.0201,82,40,16.7,1.1,251.11,42.02
NOV,25,2,0.018,0.0042,0.237,0.016,67,28,16.4,1.3,156.96,43.41
NOV,25,3,0.0034,0.0058,0.634,0.0294,85,45,14.8,1.3,87.87,49.04
NOV,25,4,0.0034,0.0051,0.67,0.0275,98,49,14.2,0.7,171.09,50.30
NOV,25,5,0.0022,0.0058,0.524,0.0231,78,51,13.4,0.8,222.95,54.52
NOV,25,6,0.0025,0.0071,0.618,0.0241,94,44,13.4,1.1,128.30,54.32
NOV,25,7,0.0025,0.0134,0.582,0.0258,129,40,12.2,1.7,108.39,56.72
NOV,25,8,0.0032,0.0086,0.877,0.0281,134,44,12.8,1.8,100.14,54.97
NOV,25,9,0.0087,0.0084,0.826,0.0266,109,47,15,2.3,101.25,48.68
NOV,25,10,0.0163,0.0063,0.627,0.0232,110,56,18,2.3,107.57,46.69
NOV,25,11,0.0311,0.0063,0.477,0.0173,67,41,21.6,1.5,109.26,40.31
NOV,25,12,0.0465,0.0079,0.349,0.0106,41,26,24.1,1.6,143.85,33.28
NOV,25,13,0.0509,0.009,0.199,0.0069,39,21,25.6,1.8,197.53,27.81
NOV,25,14,0.0596,0.0164,0.341,0.0087,37,25,27.2,1.9,187.65,25.61
NOV,25,15,0.0618,0.023,0.418,0.0097,51,48,28.4,1.9,160.14,22.90
