DATOS HORARIOS 2020_DIF,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,1,0,0.0186,0.0028,NA,0.0066,46,6,3.42,100.37,18.63
SEP,1,1,0.0253,0.0064,NA,0.0059,48,9,1.84,157.3,17.52
SEP,1,2,0.022,0.0029,NA,0.0058,29,8,1.3,289.47,17.49
SEP,1,3,0.0103,0.0058,NA,0.0108,25,8,1.68,270.46,17.2
SEP,1,4,0.0108,0.0076,NA,0.0093,22,8,1.84,278.22,17.19
SEP,1,5,0.0117,0.0069,NA,0.0088,22,8,1.62,278.96,17.38
SEP,1,6,0.0043,0.0073,NA,0.0121,20,10,1.19,286.44,17.45
SEP,1,7,0.0028,0.0068,NA,0.0135,23,12,1.04,276.26,17.4
SEP,1,8,0.0038,0.0074,NA,0.0138,27,9,1.41,180.76,18.44
SEP,1,9,0.0123,0.0077,NA,0.008,17,12,1.01,247.79,20.66
SEP,1,10,0.0166,0.0074,NA,0.0077,9,14,1.48,240.74,21.94
SEP,1,11,0.0236,0.0071,NA,0.0047,2,13,1.63,230.86,23.36
SEP,1,12,0.0311,0.0076,NA,0.0044,NA,10,1.91,235.69,24.67
SEP,1,13,0.0379,0.0075,NA,0.0048,3,11,2.29,249.95,25.58
SEP,1,14,0.0425,0.0074,NA,0.0045,NA,26,2.27,238.13,26.83
SEP,1,15,0.0485,0.0076,NA,0.0042,NA,16,2.25,229.05,27.36
SEP,1,16,0.0557,0.0088,NA,0.0053,NA,12,2.11,257.6,28.7
SEP,1,17,0.0741,0.0115,NA,0.0061,1,12,2.19,264.79,28.48
SEP,1,18,0.0686,0.0052,NA,0.0059,13,18,1.71,256.49,28.73
SEP,1,19,0.0614,0.0063,NA,0.0095,17,11,2.27,250.11,27.23
SEP,1,20,0.033,0.0072,NA,0.0179,77,11,3.11,226.59,24.69
SEP,1,21,0.0273,0.0048,NA,0.007,62,12,4.51,222.51,21.29
SEP,1,22,0.0259,0.0052,NA,0.0072,44,4,3.65,227.88,20.47
SEP,1,23,0.0252,0.0068,NA,0.0067,30,NA,2.17,257.31,20.07
SEP,2,0,0.0226,0.0062,NA,0.0076,40,5,1.65,233.57,19.43
SEP,2,1,0.0226,0.0069,NA,0.0075,47,7,1.62,264.08,19.1
SEP,2,2,0.0211,0.0068,NA,0.0069,27,9,2.21,230.01,18.18
SEP,2,3,0.0186,0.0072,NA,0.0065,17,9,1.6,247.27,17.88
SEP,2,4,0.0166,0.0074,NA,0.0084,20,8,3.14,179.72,17.63
SEP,2,5,0.0193,0.0061,NA,0.0059,20,8,2.67,236.51,16.85
SEP,2,6,0.0172,0.0074,NA,0.008,16,9,1.85,237.76,16.64
SEP,2,7,0.0166,0.007,NA,0.0112,19,8,1.89,191.14,16.31
SEP,2,8,0.0194,0.0069,NA,0.0108,23,7,2.34,248.97,15.47
SEP,2,9,0.0253,0.0072,NA,0.0085,15,7,2.25,238.25,16.39
SEP,2,10,0.0324,0.0069,NA,0.0048,1,5,2.15,276.1,19.63
SEP,2,11,0.035,0.007,NA,0.0041,2,17,2.2,283.61,21.98
SEP,2,12,0.0411,0.0071,NA,0.0041,NA,14,2.51,279.25,23.57
SEP,2,13,0.057,0.0074,NA,0.0061,NA,14,2.77,276.49,24.9
SEP,2,14,0.0543,0.0073,NA,0.0057,5,22,2.72,262.89,26.46
SEP,2,15,0.0534,0.0074,NA,0.0052,NA,20,2.93,243.33,27.37
SEP,2,16,0.0527,0.0073,NA,0.0057,NA,7,3.08,229.18,27.81
SEP,2,17,0.0526,0.0073,NA,0.0058,1,8,2.78,214.02,28.02
SEP,2,18,0.0523,0.0076,NA,0.006,3,10,2.99,229.92,27.55
SEP,2,19,0.0471,0.0076,NA,0.0085,27,11,2.44,245.68,26.54
SEP,2,20,0.0333,0.0041,NA,0.015,42,9,1.57,268.69,24.95
SEP,2,21,0.0235,0.0058,NA,0.0192,62,10,1.44,274.4,24.05
SEP,2,22,0.0082,0.0056,NA,0.0271,71,14,1.04,273.17,23.09
SEP,2,23,0.0103,0.0061,NA,0.0243,61,11,1.48,140.02,22.53
SEP,3,0,0.0129,0.0063,NA,0.0191,59,10,1.3,153.82,21.35
SEP,3,1,0.0196,0.0071,NA,0.0123,53,17,1.89,149.07,21.07
SEP,3,2,0.0151,0.0077,NA,0.0128,49,20,2.46,88.84,20.13
SEP,3,3,0.0131,0.0199,NA,0.0127,43,18,2.68,89.73,18.8
SEP,3,4,0.0115,0.0135,NA,0.0119,46,20,2.12,92.18,17.67
SEP,3,5,0.0086,0.0084,NA,0.0129,47,13,1.17,127.67,16.82
SEP,3,6,0.0068,0.0095,NA,0.0149,49,19,1.65,128.65,16.32
SEP,3,7,0.0053,0.0095,NA,0.0162,64,19,1.38,145.78,15.64
SEP,3,8,0.007,0.0109,NA,0.0172,78,24,1.66,109.81,17.03
SEP,3,9,0.0156,0.0081,NA,0.0117,72,25,2.54,104.15,18.72
SEP,3,10,0.027,0.0071,NA,0.0085,51,24,3.79,95,21.21
SEP,3,11,0.0353,0.0071,NA,0.0072,46,21,3.9,91.07,22.7
SEP,3,12,0.0385,0.0118,NA,0.0078,19,19,4.28,79.99,24.55
SEP,3,13,0.0418,0.0205,NA,0.0101,30,20,3.88,85.92,26.33
SEP,3,14,0.044,0.0132,NA,0.0085,34,21,3.73,84.62,28.14
SEP,3,15,0.0468,0.0118,NA,0.008,4,30,3.3,75.87,29.06
SEP,3,16,0.0496,0.0077,NA,0.0075,NA,18,2.97,115.23,29.64
SEP,3,17,0.0458,0.0054,NA,0.0087,14,12,3.3,105.5,29.92
SEP,3,18,0.044,0.0057,NA,0.0097,31,12,3.47,103.6,29.58
SEP,3,19,0.0339,0.005,NA,0.0137,41,13,2.87,96.39,28.76
SEP,3,20,0.019,0.0128,NA,0.0164,63,13,2.72,66.7,26.94
SEP,3,21,0.0196,0.0582,NA,0.0121,72,17,4,61.03,25.34
SEP,3,22,0.0159,0.069,NA,0.0109,92,32,3.56,83.14,23.25
SEP,3,23,0.0106,0.0101,NA,0.0121,73,24,2.06,91.98,21.2
SEP,4,0,0.0115,0.0175,NA,0.0114,71,6,3.02,109.66,20.21
SEP,4,1,0.0105,0.0081,NA,0.0116,69,19,2,94.06,19.13
SEP,4,2,0.0099,0.0101,NA,0.0116,49,10,2.03,89.66,18.21
SEP,4,3,0.0116,0.0131,NA,0.0098,40,12,1.9,104.14,17.79
SEP,4,4,0.0099,0.0101,NA,0.0099,37,15,1.39,165.53,17.36
SEP,4,5,0.0104,0.013,NA,0.0093,42,21,1.36,130.15,16.96
SEP,4,6,0.006,0.0154,NA,0.0133,58,27,2.26,72.25,16.85
SEP,4,7,0.0105,0.0085,NA,0.0096,57,38,3.52,91.45,16.85
SEP,4,8,0.0073,0.0099,NA,0.0134,60,16,2.53,103.77,17.78
SEP,4,9,0.0152,0.0088,NA,0.0088,56,18,3.33,87.45,19.55
SEP,4,10,0.023,0.0098,NA,0.0071,35,19,4.42,84.5,21.78
SEP,4,11,0.0269,0.0092,NA,0.0069,33,25,4.49,68.77,23.57
SEP,4,12,0.0296,0.0095,NA,0.0069,12,16,4.35,77.35,25
SEP,4,13,0.0328,0.007,NA,0.0065,28,21,5.22,94.51,26.22
SEP,4,14,0.0332,0.0063,NA,0.0074,24,32,4.8,82.2,26.95
SEP,4,15,0.0336,0.0103,NA,0.0072,10,15,4.64,78.24,27.28
SEP,4,16,0.032,0.0088,NA,0.0088,26,12,3.83,79.66,26.83
SEP,4,17,0.0241,0.0178,NA,0.0078,27,11,5.22,65.13,25.87
SEP,4,18,0.0165,0.0176,NA,0.0089,70,11,5.65,77.28,20.31
SEP,4,19,0.0181,0.054,NA,0.0088,49,6,6.07,56.48,20
SEP,4,20,0.0161,0.0239,NA,0.0092,47,16,4.58,63.09,19.99
SEP,4,21,0.0184,0.0524,NA,0.0079,49,14,4.77,57.48,19.61
SEP,4,22,0.0202,0.033,NA,0.0062,56,26,4.01,52.62,18.95
SEP,4,23,0.0193,0.031,NA,0.006,37,7,4.68,62.79,18.82
SEP,5,0,0.0186,0.0164,NA,0.0053,21,21,3.03,76.62,18.81
SEP,5,1,0.0161,0.0111,NA,0.0054,23,12,2.71,83.05,18.23
SEP,5,2,0.02,0.0166,NA,0.0049,16,12,3.01,85.5,18.19
SEP,5,3,0.0181,0.0081,NA,0.0045,15,10,2.67,115.09,17.22
SEP,5,4,0.0179,0.0072,NA,0.0043,11,6,3.32,83.61,16.82
SEP,5,5,0.0136,0.0067,NA,0.0064,14,NA,1.82,114.92,16.37
SEP,5,6,0.01,0.0068,NA,0.0091,18,2,2.38,104.6,16.09
SEP,5,7,0.0107,0.007,NA,0.0084,24,2,2.99,86.04,16.18
SEP,5,8,0.0109,0.0066,NA,0.0088,20,NA,3.22,87.53,17.09
SEP,5,9,0.0141,0.0073,NA,0.0082,25,7,3.46,90.57,18.68
SEP,5,10,0.0201,0.0063,NA,0.0064,16,8,4.43,88.91,20.45
SEP,5,11,0.0254,0.0079,NA,0.0066,8,16,4.86,85.34,21.95
SEP,5,12,0.0282,0.0083,NA,0.0076,8,5,4.08,81.62,22.87
SEP,5,13,0.0297,0.0073,NA,0.0087,12,6,4.95,101.09,23.54
SEP,5,14,0.0308,0.0067,NA,0.0107,15,19,4.06,105.87,24.14
SEP,5,15,0.0244,0.0071,NA,0.0109,31,17,3.15,97.49,23.78
SEP,5,16,0.0247,0.0127,NA,0.0082,11,5,3.94,82.24,23.98
SEP,5,17,0.026,0.0172,NA,0.0075,6,5,4.35,84.89,23.8
SEP,5,18,0.0207,0.0217,NA,0.0088,20,6,3.3,83.41,23.13
SEP,5,19,0.0183,0.0176,NA,0.0086,74,7,3.39,80.93,21.35
SEP,5,20,0.0166,0.0128,NA,0.0084,45,3,4.29,94.79,19.48
