DATOS HORARIOS 2020_DIF,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,2,12,0.039,0.0056,NA,0.008,33,19,19.65,4.92,83.65,35.41
OCT,2,13,0.040,0.0071,NA,0.007,31,10,21.57,4.57,87.32,30.94
OCT,2,14,0.040,0.0071,NA,0.007,33,9,23,4.3,93.99,28.69
OCT,2,15,0.040,0.0082,NA,0.007,31,8,24.27,4.42,90.19,26.38
OCT,2,16,0.038,0.0078,NA,0.007,30,10,25.12,4.15,77.84,24.16
OCT,2,17,0.037,0.0087,NA,0.006,39,11,25.22,4.8,64.57,23.11
OCT,2,18,0.034,0.0090,NA,0.006,49,9,23.8,5.98,41.37,24.56
OCT,2,19,0.031,0.0253,NA,0.006,54,7,21.33,5.88,41.84,30.55
OCT,2,20,0.027,0.0417,NA,0.008,50,8,19.2,4.54,53.42,36.21
OCT,2,21,0.025,0.0408,NA,0.008,41,12,17.51,4.51,66.58,41.14
OCT,2,22,0.027,0.0092,NA,0.006,32,19,16.07,4.32,72.28,46.21
OCT,2,23,0.022,0.0076,NA,0.008,25,3,14.79,2.95,74.55,52.2
OCT,3,0,0.030,0.0051,NA,0.007,15,5,13.59,2.34,79.24,58.16
OCT,3,1,0.023,0.0042,NA,0.006,21,7,12.89,2.08,95.78,61.61
OCT,3,2,0.024,0.0047,NA,0.008,12,8,12.16,2.06,96.6,64.73
OCT,3,3,0.026,0.0051,NA,0.005,12,10,12.21,2.27,66.96,66.67
OCT,3,4,0.019,0.0091,NA,0.008,13,10,12.41,1.39,103.11,65.53
OCT,3,5,0.013,0.0089,NA,0.013,20,10,11.12,1.45,176.94,71.12
OCT,3,6,0.012,0.0182,NA,0.011,31,12,10.68,1.1,145.79,74.85
OCT,3,7,0.006,0.0222,NA,0.016,34,13,10.51,1.07,157.98,76.77
OCT,3,8,0.008,0.0271,NA,0.017,59,21,12.14,1.81,122.66,71.81
OCT,3,9,0.015,0.0142,NA,0.013,60,17,14.82,2,103.35,63.75
OCT,3,10,0.029,0.0053,NA,0.008,40,32,17.97,4.49,79.68,54.24
OCT,3,11,0.036,0.0049,NA,0.008,37,17,19.59,5.04,82.62,48.8
OCT,3,12,0.039,0.0062,NA,0.008,31,9,21.31,5.01,89.15,42.06
OCT,3,13,0.043,0.0049,NA,0.009,38,4,22.84,4.22,80.1,37.59
OCT,3,14,0.045,0.0048,NA,0.008,29,3,24.06,3.71,93.32,34.3
OCT,3,15,0.046,0.0064,NA,0.008,26,7,25.08,4.12,87.8,28.27
OCT,3,16,0.045,0.0055,NA,0.009,34,6,25.82,4.13,99.04,25.67
OCT,3,17,0.046,0.0049,NA,0.008,39,5,26.15,3.85,93.42,24.45
OCT,3,18,0.042,0.0045,NA,0.010,59,6,26.14,3,84.05,23.13
OCT,3,19,0.031,0.0041,NA,0.017,63,8,24.57,2.51,86.2,25.71
OCT,3,20,0.024,0.0090,NA,0.009,64,11,22.32,4.74,41.96,37.27
OCT,3,21,0.027,0.0113,NA,0.005,38,8,20.45,5.57,50.85,42.87
OCT,3,22,0.026,0.0399,NA,0.006,39,5,19.17,5.39,60.47,46.32
OCT,3,23,0.026,0.0161,NA,0.006,25,11,17.99,4.42,71.26,50.94
OCT,4,0,0.024,0.0056,NA,0.005,26,11,16.55,3.28,83.76,57.92
OCT,4,1,0.027,0.0059,NA,0.004,18,7,16.06,3.7,90.43,61.44
OCT,4,2,0.027,0.0046,NA,0.004,25,9,15.02,3.73,81.72,66.56
OCT,4,3,0.026,0.0041,NA,0.004,7,13,14.26,3.34,81.13,70.34
OCT,4,4,0.025,0.0053,NA,0.004,14,14,13.79,2.21,82.41,72.11
OCT,4,5,0.025,0.0240,NA,0.006,9,20,14.22,2.56,49.03,69.49
OCT,4,6,0.019,0.0090,NA,0.008,23,13,12.96,1.81,125.64,74.02
OCT,4,7,0.015,0.0138,NA,0.010,34,13,11.89,1.91,94.58,79.54
OCT,4,8,0.016,0.0102,NA,0.010,74,32,12.82,2.43,90.05,75.23
OCT,4,9,0.026,0.0087,NA,0.007,39,38,15.79,3.68,82.47,64.72
OCT,4,10,0.031,0.0067,NA,0.006,28,11,17.91,4.53,76.92,56.31
OCT,4,11,0.033,0.0042,NA,0.006,29,10,19.8,4.2,72.7,50.79
OCT,4,12,0.036,0.0049,NA,0.006,22,11,21.67,4.03,77.46,43.3
OCT,4,13,0.036,0.0105,NA,0.006,14,11,23.72,4.15,71.26,34.05
OCT,4,14,0.037,0.0085,NA,0.006,34,10,25.02,4.18,87.4,29.68
OCT,4,15,0.037,0.0125,NA,0.005,26,12,26.86,3.82,77.39,19.29
OCT,4,16,0.038,0.0061,NA,0.006,31,10,27.03,4.06,84.04,19.49
OCT,4,17,0.041,0.0087,NA,0.005,50,8,26.55,5.34,78.49,16.62
OCT,4,18,0.041,0.0091,NA,0.006,68,10,25.13,5.48,81.98,16.89
OCT,4,19,0.036,0.0357,NA,0.007,57,24,22.6,5.96,56.86,21.76
OCT,4,20,0.036,0.0573,NA,0.007,66,27,20.5,5.8,48.92,23.98
OCT,4,21,0.038,0.0560,NA,0.007,48,23,19.26,4.82,46.71,22.21
OCT,4,22,0.036,0.0476,NA,0.007,48,23,17.99,4.51,57.49,25.23
OCT,4,23,0.037,0.0086,NA,0.005,34,23,16.19,3.46,71.61,31.31
OCT,5,0,0.034,0.0174,NA,0.006,24,15,15.47,3.08,69.96,35.61
OCT,5,1,0.032,0.0077,NA,0.004,17,18,13.9,3.07,95.08,45.9
OCT,5,2,0.028,0.0081,NA,0.005,29,10,12.46,2.69,100.19,54.38
OCT,5,3,0.024,0.0153,NA,0.006,30,17,11.52,2.2,102.82,59.72
OCT,5,4,0.021,0.0127,NA,0.007,37,24,10.99,1.96,100.72,66.64
OCT,5,5,0.020,0.0212,NA,0.008,47,25,10.5,1.78,114.88,67.22
OCT,5,6,0.015,0.0220,NA,0.013,54,37,10.42,1.58,107.86,67.7
OCT,5,7,0.010,0.0249,NA,0.017,75,32,10.01,1.54,92.4,70.75
OCT,5,8,0.013,0.0186,NA,0.015,75,50,11.23,2.21,105.3,69
OCT,5,9,0.021,0.0171,NA,0.012,62,42,13.43,3.29,106.65,59.99
OCT,5,10,0.031,0.0134,NA,0.009,47,26,16,4.06,90.91,48.01
OCT,5,11,0.039,0.0093,NA,0.008,35,20,18.78,3.92,77.73,35.55
OCT,5,12,0.042,0.0098,NA,0.008,35,13,20.27,3.8,74.55,33.06
OCT,5,13,0.046,0.0157,NA,0.007,24,10,22.07,4.04,67.24,27.99
OCT,5,14,0.047,0.0090,NA,0.008,26,11,23.72,4.17,81.5,22.74
OCT,5,15,0.049,0.0121,NA,0.007,31,14,24.8,3.17,101.21,20.93
OCT,5,16,0.048,0.0080,NA,0.008,34,16,25.29,2.76,112.3,20.25
OCT,5,17,0.046,0.0104,NA,0.009,36,12,25.55,3.17,104.4,19.36
OCT,5,18,0.041,0.0090,NA,0.008,50,13,24.64,4.27,60.66,19.38
OCT,5,19,0.035,0.0091,NA,0.007,44,14,22.65,5.03,42.93,24.4
OCT,5,20,0.035,0.0104,NA,0.006,43,15,20.71,5.13,46.62,28.86
OCT,5,21,0.036,0.0083,NA,0.004,36,13,19.36,5.04,41.78,30.55
OCT,5,22,0.037,0.0103,NA,0.004,25,12,18.44,4.97,44.17,30.35
OCT,5,23,0.031,0.0266,NA,0.007,37,12,17.16,2.66,94.85,34.12
OCT,6,0,0.027,0.0115,NA,0.008,39,26,15.36,2.3,84.98,39.46
OCT,6,1,0.029,0.0074,NA,0.006,16,17,14.76,2.11,80.65,40.87
OCT,6,2,0.028,0.0093,NA,0.007,18,12,14.37,2.19,89.74,40.96
OCT,6,3,0.029,0.0239,NA,0.006,19,18,13.82,2.16,103.02,42.11
OCT,6,4,0.027,0.0304,NA,0.008,44,35,13.35,2.38,93.3,43.11
OCT,6,5,0.028,0.0095,NA,0.008,30,30,13.43,2.44,67.51,42.06
OCT,6,6,0.022,0.0089,NA,0.013,27,8,13.2,1.65,106.68,43.1
OCT,6,7,0.012,0.0119,NA,0.020,42,8,12.93,2.34,108.99,45.88
OCT,6,8,0.013,0.0261,NA,0.020,70,21,12.89,2.26,118.89,48.15
OCT,6,9,0.026,0.0105,NA,0.012,68,33,14.96,3.66,79.66,41.41
OCT,6,10,0.035,0.0090,NA,0.009,36,20,16.99,4.32,80.35,34.24
OCT,6,11,0.039,0.0088,NA,0.009,36,11,19.26,3.53,95,29.63
OCT,6,12,0.042,0.0105,NA,0.009,34,11,21.96,3.98,103.71,21.63
OCT,6,13,0.046,0.0091,NA,0.008,37,10,23.73,4.07,94.37,19.13
OCT,6,14,0.048,0.0091,NA,0.008,30,12,25.31,4.26,92.47,16.59
OCT,6,15,0.049,0.0121,NA,0.006,30,12,26.67,3.65,91.26,13.4
OCT,6,16,0.051,0.0113,NA,0.008,40,6,26.21,3.34,90.7,15.76
OCT,6,17,0.043,0.0123,NA,0.010,56,7,25.41,3.7,80.72,14.1
OCT,6,18,0.040,0.0088,NA,0.007,44,21,24.1,5.03,45.01,13.17
OCT,6,19,0.039,0.0098,NA,0.007,32,13,22.6,5.14,42.66,14.37
OCT,6,20,0.040,0.0097,NA,0.006,36,11,21.27,5.25,46.74,16.22
OCT,6,21,0.040,0.0178,NA,0.005,44,10,20.34,5.63,57.88,19.88
OCT,6,22,0.036,0.0135,NA,0.006,44,17,18.58,3.79,83.7,22.99
OCT,6,23,0.033,0.0056,NA,0.007,21,9,17.53,3.61,89.19,24.75
OCT,7,0,0.027,0.0093,NA,0.012,33,11,16.53,3.46,94.71,24.46
OCT,7,1,0.031,0.0091,NA,0.009,30,14,15.95,3.04,89.38,26.31
OCT,7,2,0.022,0.0116,NA,0.014,18,15,15.08,2.24,105.16,28.19
OCT,7,3,0.023,0.0104,NA,0.013,21,27,14.53,1.9,110.84,29.88
OCT,7,4,0.021,0.0427,NA,0.013,31,20,13.78,2.44,111,32.51
OCT,7,5,0.022,0.0275,NA,0.012,46,33,13.18,2.59,109.29,36.27
OCT,7,6,0.018,0.0251,NA,0.015,59,26,12.65,3.32,118.48,40.15
OCT,7,7,0.013,0.0131,NA,0.019,48,19,12.32,3.32,115.99,40.56
OCT,7,8,0.014,0.0181,NA,0.020,62,11,13.13,3.05,106.01,40.43
OCT,7,9,0.024,0.0220,NA,0.015,70,21,15.6,3.72,106.25,38.53
OCT,7,10,0.034,0.0100,NA,0.010,51,22,18.32,4.53,99.06,34.78
OCT,7,11,0.039,0.0088,NA,0.009,43,16,20.22,4.35,94.12,29.17
OCT,7,12,0.042,0.0090,NA,0.008,37,15,22.43,3.75,96.28,25.62
OCT,7,13,0.046,0.0095,NA,0.009,53,13,24.26,3.64,94.5,22.82
OCT,7,14,0.047,0.0126,NA,0.007,33,17,26.16,3.1,98.45,19.65
OCT,7,15,0.043,0.0154,NA,0.006,27,6,27.59,3.27,100.48,15.07
OCT,7,16,0.042,0.0107,0.516,0.005,26,7,28.2,3.17,103.88,12.35
OCT,7,17,0.041,0.0088,0.47,0.004,26,7,28.11,3.93,108.16,12.07
OCT,7,18,0.037,0.0088,0.571,0.007,29,6,27.48,3.56,52.14,11.74
OCT,7,19,0.029,0.0081,0.635,0.011,32,6,25.43,3.43,41.59,13.49
OCT,7,20,0.029,0.0192,0.555,0.011,27,8,23.51,3.48,50.76,15.69
OCT,7,21,0.030,0.0239,0.479,0.007,34,10,21.71,3.85,55.85,21.44
OCT,7,22,0.035,0.0324,0.385,0.006,40,10,20.46,5.45,54.57,22.65
OCT,7,23,0.031,0.0251,0.374,0.007,35,12,17.88,4.2,89.63,29.17
OCT,8,0,0.034,0.0081,0.332,0.004,30,18,17.16,4.23,75.65,32.49
OCT,8,1,0.032,0.0072,0.337,0.004,28,8,15.74,3.09,89.35,36.29
OCT,8,2,0.040,0.0094,0.334,0.007,17,9,14.86,3.05,99.04,40.19
OCT,8,3,0.037,0.0094,0.327,0.007,14,23,13.77,2.78,103.96,46.44
OCT,8,4,0.021,0.0275,0.328,0.010,20,18,12.63,2.25,97.01,49.45
OCT,8,5,0.023,0.0274,0.391,0.014,46,19,11.71,1.97,79.21,53.67
OCT,8,6,0.012,0.0289,0.534,0.015,61,35,10.82,1.91,91.48,58.95
OCT,8,7,0.017,0.0407,0.759,0.020,53,14,10.29,1.61,72.19,61.18
OCT,8,8,0.019,0.0741,0.873,0.022,92,30,11.94,2.09,77,53.21
OCT,8,9,0.017,0.0411,0.883,0.021,92,46,14.74,1.99,92.92,44.82
OCT,8,10,0.027,0.0884,0.709,0.019,65,35,18.32,1.44,115.06,36.64
OCT,8,11,0.036,0.0499,0.599,0.012,69,54,21.4,1.62,167.02,31.91
OCT,8,12,0.041,0.0157,0.563,0.007,42,23,23.32,1.93,159,29.38
OCT,8,13,0.035,0.0096,0.574,0.007,26,13,25.04,3.11,119.28,27.92
OCT,8,14,0.036,0.0085,0.559,0.006,15,10,26.42,3.3,113.37,24.77
OCT,8,15,0.039,0.0105,0.566,0.006,15,7,27.74,2.78,134.95,21.93
OCT,8,16,0.043,0.0140,0.633,0.007,22,3,28.8,2.24,143.05,20.59
OCT,8,17,0.046,0.0134,0.591,0.008,32,5,28.95,2.37,167.3,20.02
OCT,8,18,0.045,0.0081,0.617,0.008,36,11,28.24,2.29,177.03,20.28
OCT,8,19,0.028,0.0041,0.777,0.019,54,11,26.13,1.77,203.05,22.07
OCT,8,20,0.024,0.0040,0.712,0.019,62,12,23.36,1.72,255.17,27.88
OCT,8,21,0.016,0.0047,0.8,0.022,54,21,21.78,1.31,177.87,33.46
OCT,8,22,0.004,0.0068,1.312,0.034,75,24,21.52,1.29,171.49,34.57
OCT,8,23,0.007,0.0039,0.716,0.023,89,40,20.58,1.92,73.43,37.69
OCT,9,0,0.011,0.0091,0.524,0.012,40,24,19.44,2.4,96.84,43.1
OCT,9,1,0.007,0.0237,0.473,0.014,41,7,18.37,1.74,142.55,47.56
OCT,9,2,0.004,0.0107,0.499,0.016,39,21,17.01,1.41,111.68,52.68
OCT,9,3,0.003,0.0109,0.482,0.018,39,13,15.73,0.98,147.2,59.33
OCT,9,4,NA,0.0063,0.509,0.019,32,20,15.79,1.21,116.73,59.26
OCT,9,5,0.015,0.0109,0.523,0.017,48,20,15.1,1.26,194.48,50.76
OCT,9,6,0.009,0.0094,0.539,0.021,35,14,14.36,1.14,236.79,54.06
OCT,9,7,0.002,0.0108,1.102,0.023,50,21,13.98,1.13,126,59.94
OCT,9,8,0.001,0.0163,1.86,0.028,99,25,16.29,0.68,221.82,54.26
OCT,9,9,0.013,0.0164,1.204,0.024,137,38,18.63,1.37,103.71,47.64
OCT,9,10,0.031,0.0160,0.785,0.014,81,30,20.57,1.54,175.96,44.5
OCT,9,11,0.045,0.0144,0.657,0.010,50,25,22.8,1.69,171.93,39.18
OCT,9,12,0.053,0.0124,0.61,0.008,42,23,24.49,1.81,151.11,35.02
OCT,9,13,0.051,0.0107,0.617,0.007,31,11,26.22,2.1,165.81,33.64
OCT,9,14,0.048,0.0097,0.494,0.004,24,19,27.77,1.97,232.38,30.3
OCT,9,15,0.053,0.0119,0.612,0.007,22,3,29.02,2.18,160.22,24.84
OCT,9,16,0.060,0.0149,0.548,0.006,34,8,29.38,1.89,144.21,22.45
OCT,9,17,0.056,0.0141,0.529,0.006,27,16,29.95,1.71,150.21,19.5
OCT,9,18,0.051,0.0100,0.505,0.005,29,13,29.1,1.76,245.89,21.3
OCT,9,19,0.029,0.0096,0.907,0.020,60,10,27.18,1.84,217.3,25.61
OCT,9,20,0.016,0.0096,0.974,0.031,78,18,25.33,1.76,251.63,29.42
OCT,9,21,0.029,0.0089,0.763,0.016,53,25,23.45,1.09,231.27,32.9
OCT,9,22,0.020,0.0094,0.744,0.021,54,20,22.15,1.53,250.95,36
OCT,9,23,0.031,0.0092,0.509,0.009,39,24,20.93,1.37,202.33,40.62
OCT,10,0,0.015,0.0098,0.632,0.018,47,27,19.97,1.72,138.35,46.84
OCT,10,1,0.022,0.0094,0.533,0.008,53,16,19.39,1.82,155.39,64.69
OCT,10,2,0.013,0.0099,0.523,0.011,34,19,18.08,1.14,268.02,69.61
OCT,10,3,0.013,0.0164,0.515,0.012,41,24,17.79,1.3,100.27,73.7
OCT,10,4,0.010,0.0137,0.543,0.014,49,29,17.83,0.86,150.47,74.27
OCT,10,5,0.004,0.0102,0.568,0.017,53,34,16.79,1.03,162.33,77.68
OCT,10,6,0.004,0.0093,0.799,0.020,47,33,16.54,0.92,181.73,79.57
OCT,10,7,NA,0.0082,1.286,0.020,66,30,16.05,1.02,116.16,80.5
OCT,10,8,0.002,0.0100,1.336,0.020,85,36,16.82,0.9,146.99,75.82
OCT,10,9,0.013,0.1082,0.939,0.017,115,38,18.77,1.71,95.38,63.06
OCT,10,10,0.030,0.0210,0.739,0.012,100,71,21.5,1.59,218.15,58.84
OCT,10,11,0.043,0.0091,0.59,0.006,44,28,23.11,1.88,202.17,56.53
OCT,10,12,0.049,0.0043,0.627,0.006,39,34,24.83,1.78,195.25,49.26
OCT,10,13,0.055,0.0049,0.713,0.007,36,18,26.31,2.05,130.13,43.27
OCT,10,14,0.059,0.0049,0.684,0.007,40,26,27.63,2.25,202,38.86
OCT,10,15,0.058,0.0099,0.669,0.007,27,22,29.16,2.08,186.96,32.08
OCT,10,16,0.052,0.0080,0.652,0.007,35,20,30.03,2.1,160.44,26.91
OCT,10,17,0.059,0.0156,0.543,0.005,43,14,29.02,1.97,238.54,27.79
OCT,10,18,0.061,0.0132,0.572,0.006,52,25,28.48,2.72,273.16,30.76
OCT,10,19,0.046,0.0188,0.588,0.007,77,24,25.12,4.42,109.65,38.11
OCT,10,20,0.045,0.0098,0.542,0.006,45,23,25.01,4.34,181,34.57
OCT,10,21,0.038,0.0099,0.618,0.007,32,19,23.96,3.5,238.23,44.37
OCT,10,22,0.035,0.0087,0.601,0.007,46,21,22.49,2.45,208.5,53.03
OCT,10,23,0.028,0.0064,0.637,0.011,33,21,22.2,1.79,173.01,54.73
OCT,11,0,0.029,0.0099,0.561,0.007,30,21,21.53,1.18,168.95,57.44
OCT,11,1,0.024,0.0100,0.579,0.009,41,16,21.01,1.43,85.2,59.89
OCT,11,2,0.017,0.0105,0.562,0.011,45,20,19.73,1.71,104.98,65.02
OCT,11,3,0.016,0.0118,0.545,0.012,44,24,19.06,1.64,114.83,67.77
OCT,11,4,0.020,0.0097,0.505,0.009,39,26,18.89,1.35,105.07,67.85
OCT,11,5,0.016,0.0091,0.523,0.009,45,23,17.88,2.14,111.84,69.57
OCT,11,6,0.009,0.0234,0.569,0.012,58,30,16.7,2.18,103.35,69.43
OCT,11,7,0.003,0.0125,0.697,0.015,53,33,15.77,1.98,107.38,71.95
OCT,11,8,0.007,0.0285,0.836,0.015,73,29,16.26,2.04,113.16,68.9
OCT,11,9,0.017,0.0682,0.936,0.015,88,53,18.82,1.92,111.77,57.37
OCT,11,10,0.026,0.0229,0.821,0.013,82,61,20.98,3.12,101.3,48.6
OCT,11,11,0.038,0.0153,0.767,0.011,43,24,23.54,2.77,110.77,38.77
OCT,11,12,0.052,0.0165,0.582,0.009,48,22,25.79,1.94,104.52,31.6
OCT,11,13,0.056,0.0159,0.573,0.007,33,19,27.74,2.31,111.57,23.82
OCT,11,14,0.051,0.0116,0.628,0.007,27,6,29.33,2.53,103.49,19.85
OCT,11,15,0.051,0.0124,0.562,0.006,18,7,29.76,2.73,124.94,18.56
OCT,11,16,0.053,0.0136,0.531,0.006,16,8,30.44,2.41,150.43,17.76
OCT,11,17,0.050,0.0113,0.519,0.006,17,12,30.61,2.12,130.04,17.21
OCT,11,18,0.050,0.0116,0.462,0.006,24,14,29.86,1.7,188.14,17.97
OCT,11,19,0.036,0.0135,0.801,0.015,57,12,28.04,1.62,220.43,20.95
OCT,11,20,0.019,0.0121,1.006,0.025,80,11,26.3,1.9,172.08,23.63
OCT,11,21,0.023,0.0157,0.653,0.013,51,19,24.78,2.58,90.78,27.17
OCT,11,22,0.028,0.0115,0.575,0.008,56,14,21.78,3.13,186.06,60.08
OCT,11,23,0.026,0.0104,0.563,0.009,38,21,20.98,2.17,156.09,64.12
OCT,12,0,0.026,0.0106,0.503,0.008,35,21,20.63,2.09,139.91,65.38
OCT,12,1,0.019,0.0279,0.454,0.009,33,20,20.12,1.62,101.55,41.62
OCT,12,2,0.015,0.0571,0.4,0.010,59,16,18.43,2.32,107.02,40.74
OCT,12,3,0.013,0.0181,0.388,0.009,42,27,17.02,1.85,107.08,45.84
OCT,12,4,0.013,0.0514,0.401,0.011,50,19,17.17,2.43,109.66,46.97
OCT,12,5,0.005,0.0245,0.454,0.016,59,38,15.98,1.86,87.33,55.42
OCT,12,6,0.002,0.0296,0.675,0.019,43,23,15.6,1.6,101.93,59.59
OCT,12,7,0.001,0.0372,0.814,0.019,90,35,15.41,2.04,103.9,62.34
OCT,12,8,0.003,0.0325,0.955,0.019,89,40,15.71,2.38,106.14,62.78
OCT,12,9,0.008,0.0149,0.855,0.016,82,38,17.2,2.91,91.42,60.61
OCT,12,10,0.021,0.0241,0.656,0.012,75,22,20.55,2.18,99.72,57.28
OCT,12,11,0.034,0.0106,0.552,0.008,44,31,23.54,1.85,216.74,51.64
OCT,12,12,0.042,0.0067,0.559,0.006,42,20,25.23,1.73,176.07,45.85
OCT,12,13,0.051,0.0167,0.576,0.007,28,19,26.82,2.1,226.57,37.95
OCT,12,14,0.058,0.0339,0.561,0.008,36,15,28.58,2.35,182.34,28.25
OCT,12,15,0.046,0.0120,0.596,0.007,32,21,29.61,3.55,131.25,20.33
OCT,12,16,0.046,0.0098,0.579,0.008,26,11,30.02,3.61,148.23,21.48
OCT,12,17,0.034,0.0094,0.578,0.007,64,12,26.9,5.99,155.35,34.07
OCT,12,18,0.024,0.0066,0.615,0.009,75,14,24.29,5.49,167.6,39.11
OCT,12,19,0.019,0.0065,0.612,0.009,36,14,23.61,4.61,165.63,46.2
OCT,12,20,0.021,0.0072,0.576,0.007,32,12,22.62,4.94,108.93,50.99
OCT,12,21,0.032,0.0102,0.458,0.006,63,12,20.2,6.32,72.16,60.54
OCT,12,22,0.030,0.0407,0.43,0.007,43,16,19.35,4.58,64.87,62.85
OCT,12,23,0.027,0.0216,0.386,0.006,31,21,18.49,3.5,132.22,69.3
OCT,13,0,0.021,0.0130,0.401,0.008,16,14,17.54,3.26,106.67,78.36
OCT,13,1,0.017,0.0123,0.401,0.010,21,13,17.39,3.27,90.55,79.51
OCT,13,2,0.012,0.0144,0.42,0.012,21,12,16.94,3.09,101.92,81.44
OCT,13,3,0.006,0.0190,0.477,0.017,24,20,16.65,2.61,90.9,82.75
OCT,13,4,0.010,0.0131,0.394,0.011,28,22,16.32,2.08,84.67,82.99
OCT,13,5,0.007,0.0084,0.401,0.013,20,15,15.78,1.64,96.28,84.69
OCT,13,6,0.006,0.0203,0.534,0.016,26,14,15.59,1.51,100.99,85.34
OCT,13,7,0.003,0.0167,0.746,0.018,51,23,15.48,1.55,77.26,86.08
OCT,13,8,0.007,0.0287,1.03,0.018,59,25,16.42,1.45,93.17,83.04
OCT,13,9,0.009,0.0200,0.823,0.014,67,39,18.97,2.88,95.39,73.51
OCT,13,10,0.021,0.0102,0.654,0.009,45,27,21.5,4.07,87.43,63.77
OCT,13,11,0.031,0.0078,0.604,0.007,32,14,23.12,4.72,89.76,57.8
OCT,13,12,0.038,0.0098,0.664,0.008,26,13,24.91,4.17,89.85,50.75
OCT,13,13,0.043,0.0089,0.601,0.008,23,17,26.68,3.72,83.66,42.61
OCT,13,14,0.041,0.0094,0.592,0.008,19,13,27.57,3.87,91.54,38.98
OCT,13,15,0.042,0.0095,0.547,0.007,20,10,28,3.45,93.65,36.98
OCT,13,16,0.039,0.0156,0.548,0.007,24,21,28.73,4.04,74.11,33.33
OCT,13,17,0.037,0.0130,0.507,0.006,37,17,28.01,4.24,50.78,34.95
OCT,13,18,0.033,0.0116,0.517,0.007,39,13,27.22,4.86,41.5,37.48
