DATOS HORARIOS 2020_DIF,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCT,1,1,0.026,NA,NA,0.007,15,19,15.56,2.51,94.1,41.45
OCT,1,2,0.022,0.0047,NA,0.010,19,7,14.47,2.7,93.88,43.21
OCT,1,3,0.025,0.0016,NA,0.008,5,8,13.87,2.11,89.89,42.69
OCT,1,4,0.014,0.0018,NA,0.014,15,8,12.72,2.38,94.07,49.09
OCT,1,5,0.010,0.0021,NA,0.017,23,8,11.82,2.25,108.09,51.46
OCT,1,6,0.007,0.0198,NA,0.020,30,8,11.4,2.42,107.35,51.69
OCT,1,7,0.004,0.0180,NA,0.023,59,10,11.1,2.34,106.89,53.01
OCT,1,8,0.010,0.0207,NA,0.021,67,23,12.29,2.66,100.52,45.19
OCT,1,9,0.026,0.0070,NA,0.012,60,24,15.28,3.67,88.95,33.48
OCT,1,10,0.035,0.0033,NA,0.010,37,16,18.64,4.34,94.6,23.59
OCT,1,11,0.040,0.0032,NA,0.008,34,6,21.31,4.72,90.34,15.08
OCT,1,12,0.043,0.0022,NA,0.008,40,5,23.32,5.03,79.37,9.74
OCT,1,13,0.047,0.0025,NA,0.008,29,5,24.78,4.18,77.3,9.69
OCT,1,14,0.048,0.0080,NA,0.007,30,6,26.37,3.94,88.45,9.62
OCT,1,15,0.046,0.0067,NA,0.007,46,23,27.62,3.72,70.49,8.25
OCT,1,16,0.047,0.0073,NA,0.007,30,4,28.02,3.49,83.76,7.64
OCT,1,17,0.046,0.0078,NA,0.005,33,4,27.35,5.29,59.14,7.89
OCT,1,18,0.039,0.0028,NA,0.006,35,4,25.8,5.87,34.79,9.59
OCT,1,19,0.034,0.0026,NA,0.006,33,5,23.26,5.46,48.9,13.42
OCT,1,20,0.034,0.0026,NA,0.006,28,5,20.64,5.43,48.38,16.28
OCT,1,21,0.035,0.0051,NA,0.005,32,7,19.13,6.18,48.78,18.85
OCT,1,22,0.035,0.0224,NA,0.005,43,3,18.28,5.78,55.4,20.62
OCT,1,23,0.034,0.0311,NA,0.006,24,2,17.2,4.34,70.59,22.79
OCT,2,0,0.031,0.0112,NA,0.006,22,11,15.48,2.45,117.86,25.19
OCT,2,1,0.028,0.0115,NA,0.006,30,16,13.36,2.23,107.5,31.41
OCT,2,2,0.028,0.0234,NA,0.006,19,1,12.32,2.19,96.09,35.06
OCT,2,3,0.034,0.0079,NA,0.008,21,6,11.65,2.84,88.4,38.86
OCT,2,4,0.029,0.0033,NA,0.006,16,10,10.93,3.05,78.53,45.3
OCT,2,5,0.028,0.0026,NA,0.006,19,8,10.43,2.95,98.17,48.38
OCT,2,6,0.025,0.0030,NA,0.009,23,5,10.05,3.46,89.67,52.39
OCT,2,7,0.022,0.0032,NA,0.011,33,NA,9.9,3.15,85.29,57.69
OCT,2,8,0.019,0.0048,NA,0.014,40,5,11.08,2.8,79.3,56.57
OCT,2,9,0.030,0.0024,NA,0.008,39,12,13.84,4.96,79.31,53.49
OCT,2,10,0.035,0.0042,NA,0.007,33,14,15.75,4.94,81.51,45.56
OCT,2,11,0.038,0.0055,NA,0.007,29,21,17.43,4.76,84.74,40.77
