DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
DICIEMBRE,3,12,0.029,0.005,0.004,NA,54,20.81,5.61,83.17,49.22,729.62
DICIEMBRE,3,13,0.033,0.005,0.004,NA,67,22.44,5.75,87.28,41.66,684.26
DICIEMBRE,3,14,0.036,0.004,0.004,NA,52,24.44,5.37,88.80,32.86,705.93
DICIEMBRE,3,15,0.039,0.004,0.004,NA,59,25.63,5.57,87.82,28.07,659.23
DICIEMBRE,3,16,0.040,0.005,0.004,NA,73,25.92,6.24,84.59,27.45,491.89
DICIEMBRE,3,17,0.041,0.005,0.005,NA,84,25.31,5.70,82.47,28.02,297.32
DICIEMBRE,3,18,0.025,0.050,0.005,NA,62,23.13,5.32,60.34,36.81,89.32
DICIEMBRE,3,19,0.018,0.064,0.006,NA,56,19.88,4.97,51.70,50.05,4.71
DICIEMBRE,3,20,0.017,0.008,0.005,NA,40,18.19,4.98,60.25,54.71,3.96
DICIEMBRE,3,21,0.021,0.005,0.004,NA,37,17.36,4.81,77.06,56.12,5.50
DICIEMBRE,3,22,0.022,0.005,0.003,NA,31,16.35,4.94,86.74,60.10,3.99
DICIEMBRE,3,23,0.023,0.005,0.003,NA,23,15.57,4.01,84.91,63.88,10.95
DICIEMBRE,4,0,0.019,0.005,0.004,NA,24,14.85,3.19,87.74,67.62,5.57
DICIEMBRE,4,1,0.017,0.005,0.003,NA,14,14.78,3.00,93.60,69.14,9.44
DICIEMBRE,4,2,0.024,0.005,0.003,NA,20,15.03,3.01,81.14,69.19,2.63
DICIEMBRE,4,3,0.016,0.005,0.002,NA,20,14.39,2.78,74.41,72.28,6.37
DICIEMBRE,4,4,0.033,0.005,0.002,NA,24,13.86,2.49,84.25,74.97,7.91
DICIEMBRE,4,5,0.016,0.005,0.005,NA,20,13.14,2.55,99.08,78.80,7.29
DICIEMBRE,4,6,0.018,0.005,0.003,NA,22,12.77,2.84,100.70,82.06,4.34
DICIEMBRE,4,7,0.015,0.005,0.004,NA,22,12.99,2.64,90.42,82.19,10.77
DICIEMBRE,4,8,0.008,0.005,0.007,NA,30,13.20,2.09,118.89,82.04,41.20
DICIEMBRE,4,9,0.011,0.005,0.005,NA,34,14.55,2.40,121.91,78.39,150.94
DICIEMBRE,4,10,0.019,0.005,0.003,NA,27,18.00,3.79,97.25,62.90,484.71
DICIEMBRE,4,11,0.025,0.005,0.003,NA,29,19.62,4.64,80.78,51.79,636.10
DICIEMBRE,4,12,0.031,0.007,0.003,NA,17,21.49,4.56,81.05,37.45,744.73
DICIEMBRE,4,13,0.038,0.004,0.003,NA,23,22.88,4.52,94.87,27.73,704.96
DICIEMBRE,4,14,0.042,0.004,0.003,NA,29,23.79,4.48,87.70,26.44,696.20
DICIEMBRE,4,15,0.043,0.004,0.004,NA,35,24.69,4.80,96.85,23.75,670.38
DICIEMBRE,4,16,0.042,0.004,0.004,NA,34,25.18,4.59,104.92,21.15,513.39
DICIEMBRE,4,17,0.043,0.005,0.003,NA,35,24.95,4.50,114.82,20.34,312.45
DICIEMBRE,4,18,0.037,0.005,0.005,NA,38,23.59,3.57,108.91,21.83,97.72
DICIEMBRE,4,19,0.030,0.005,0.012,NA,51,20.60,2.90,83.75,27.48,3.41
DICIEMBRE,4,20,0.021,0.018,0.007,NA,46,19.18,3.63,56.33,42.35,2.32
DICIEMBRE,4,21,0.019,0.078,0.006,NA,42,17.66,4.71,59.04,51.63,4.86
DICIEMBRE,4,22,0.019,0.012,0.004,NA,26,16.19,4.06,64.86,56.69,6.56
DICIEMBRE,4,23,0.011,0.006,0.006,NA,39,13.80,1.90,130.85,61.87,4.77
