DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
NOVIEMBRE,1,0,0.010,0.007,0.017,NA,61,17.05,1.03,265.46,52.27,2.68
NOVIEMBRE,1,1,0.008,0.007,0.016,NA,54,15.82,1.16,189.44,55.94,12.11
NOVIEMBRE,1,2,0.007,0.007,0.015,NA,62,15.16,0.97,219.00,57.71,15.81
NOVIEMBRE,1,3,0.010,0.007,0.014,NA,57,14.57,1.02,203.23,62.66,9.28
NOVIEMBRE,1,4,0.016,0.007,0.013,NA,57,13.58,1.00,138.38,67.27,2.98
NOVIEMBRE,1,5,0.019,0.007,0.013,NA,62,12.94,1.07,135.96,71.17,22.10
NOVIEMBRE,1,6,0.021,0.007,0.013,NA,53,12.20,1.01,166.77,72.43,22.53
NOVIEMBRE,1,7,NA,0.007,0.013,NA,69,11.06,0.99,127.71,78.53,12.09
NOVIEMBRE,1,8,NA,0.007,0.013,NA,60,13.15,1.28,136.56,74.21,106.92
NOVIEMBRE,1,9,0.004,0.007,0.014,NA,62,17.89,1.39,123.48,60.78,317.20
NOVIEMBRE,1,10,0.023,0.011,0.012,NA,67,21.64,1.36,182.24,52.74,530.10
NOVIEMBRE,1,11,0.038,0.010,0.008,NA,53,24.20,1.84,210.16,41.47,694.36
NOVIEMBRE,1,12,0.047,0.007,0.007,NA,32,25.39,2.51,248.73,31.81,797.67
NOVIEMBRE,1,13,0.061,0.009,0.005,NA,28,27.02,2.32,238.58,27.92,774.79
NOVIEMBRE,1,14,0.071,0.023,0.006,NA,32,27.51,2.66,243.22,27.76,754.78
NOVIEMBRE,1,15,0.073,0.030,0.005,NA,37,27.97,2.74,232.79,26.92,719.13
NOVIEMBRE,1,16,0.076,0.024,0.005,NA,40,28.07,2.50,253.60,25.71,479.28
NOVIEMBRE,1,17,0.078,0.027,0.006,NA,47,27.73,1.62,227.39,25.10,316.49
NOVIEMBRE,1,18,0.071,0.020,0.007,NA,49,26.25,1.53,254.59,26.14,104.68
NOVIEMBRE,1,19,0.032,0.011,0.024,NA,57,23.34,1.62,275.68,30.98,16.17
NOVIEMBRE,1,20,0.010,0.008,0.034,NA,86,21.51,1.17,238.83,33.52,35.45
NOVIEMBRE,1,21,0.032,0.039,0.010,NA,82,20.97,4.26,76.00,43.09,14.05
NOVIEMBRE,1,22,0.027,0.012,0.011,NA,49,19.27,2.97,88.98,51.22,9.19
NOVIEMBRE,1,23,0.037,0.007,0.006,NA,61,18.29,5.43,83.97,56.86,27.26
NOVIEMBRE,2,0,0.035,0.007,0.005,NA,60,16.92,5.30,89.74,62.43,20.35
NOVIEMBRE,2,1,0.036,0.007,0.004,NA,25,16.03,4.89,85.24,66.13,2.87
NOVIEMBRE,2,2,0.038,0.007,0.003,NA,16,15.34,3.59,72.49,69.86,2.75
