DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
SEPTIEMBRE,1,0,0.018,0.005,0.007,0.73,22,18.05,1.86,118.08,88.2,2.68
SEPTIEMBRE,1,1,0.017,0.005,0.004,0.66,30,17.43,2.63,89.75,81.64,2.71
SEPTIEMBRE,1,2,0.017,0.005,0.003,0.65,16,17.37,2.46,142.76,81.04,2.62
SEPTIEMBRE,1,3,0.025,0.005,0.002,0.64,9,16.89,1.66,159.54,84.98,2.63
SEPTIEMBRE,1,4,0.021,0.005,0.003,0.66,11,17.1,1.23,125.95,85.35,2.6
SEPTIEMBRE,1,5,0.011,0.005,0.006,0.68,15,17.01,1.22,179.25,86.52,2.65
SEPTIEMBRE,1,6,0.012,0.005,0.006,0.73,23,16.9,1.25,146.83,86,2.66
SEPTIEMBRE,1,7,0.005,0.005,0.009,0.92,25,16.83,2.1,98.07,85.33,17.93
SEPTIEMBRE,1,8,0.007,0.005,0.008,0.89,26,18.56,2.47,93.65,80.69,164.26
SEPTIEMBRE,1,9,0.017,0.005,0.004,0.76,19,20.49,3.82,82.95,68.78,388.02
SEPTIEMBRE,1,10,0.024,0.005,0.004,0.73,23,21.93,4.36,92.93,59.4,601.05
SEPTIEMBRE,1,11,0.031,0.005,0.004,0.76,17,23.38,4.25,81.88,52.83,771.62
SEPTIEMBRE,1,12,0.038,0.005,0.005,0.76,14,24.92,3.63,89.68,47.37,951.15
SEPTIEMBRE,1,13,0.044,0.005,0.004,0.75,11,26.03,3.5,88.58,43.76,970.92
SEPTIEMBRE,1,14,0.048,0.005,0.003,0.68,17,26.62,3.29,101.36,41.04,1003.91
SEPTIEMBRE,1,15,0.048,0.005,0.003,0.68,NA,27.85,2.92,111.23,37.14,923.38
SEPTIEMBRE,1,16,0.051,0.005,0.003,0.67,10,28.02,2.81,105.9,34.27,696.92
SEPTIEMBRE,1,17,0.054,0.005,0.004,0.71,13,28.49,2.69,81.97,31.84,544.06
SEPTIEMBRE,1,18,0.054,0.005,0.004,0.73,15,28.69,2.4,95.61,31.36,335.09
SEPTIEMBRE,1,19,0.035,0.006,0.005,0.74,15,26.8,3.42,68.2,38.03,93.1
SEPTIEMBRE,1,20,0.019,0.006,0.005,0.81,26,23.44,3.81,52.12,50.27,2.46
SEPTIEMBRE,1,21,0.017,0.01,0.006,0.75,17,22.33,2.72,119.58,53.61,2.24
