DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
AGOSTO,1,0,0.02,0.004,0.009,0.57,15,19,3.33,89.33,61.22,2.43
AGOSTO,1,1,0.021,0.004,0.008,0.6,19,18,3.14,89.43,66.68,2.54
AGOSTO,1,2,0.017,0.004,0.009,0.59,16,17,2.34,84.28,71.16,2.64
AGOSTO,1,3,0.021,0.004,0.006,0.56,9,16,2.89,83.59,74.17,2.6
AGOSTO,1,4,0.013,0.004,0.009,0.55,13,16,3.72,68.65,76.17,2.67
AGOSTO,1,5,0.021,0.004,0.006,0.57,13,16,3.63,77.08,75.46,2.68
AGOSTO,1,6,0.018,0.004,0.008,0.6,16,15,2.27,91.45,76.46,2.73
AGOSTO,1,7,0.011,0.004,0.009,0.69,25,16,2.69,102.4,77.69,38.54
AGOSTO,1,8,0.011,0.004,0.01,0.75,26,16,2.55,103.42,74.8,105.91
AGOSTO,1,9,0.024,0.004,0.006,0.68,22,19,3.47,86.26,64.2,323.7
AGOSTO,1,10,0.035,0.004,0.004,0.63,21,21,4.63,79.74,55.29,650.75
AGOSTO,1,11,0.041,0.004,0.004,0.61,16,23,4.04,89.21,47.86,831.17
AGOSTO,1,12,0.048,0.004,0.003,0.6,14,25,3.26,71.6,41.91,948.75
AGOSTO,1,13,0.052,0.004,0.003,0.58,9,26,3,104.49,37.73,1018.2
AGOSTO,1,14,0.053,0.003,0.003,0.58,7,27,3.04,111.94,32.64,986.68
AGOSTO,1,15,0.054,0.003,0.003,0.57,6,28,3.33,120.48,32.04,953.52
AGOSTO,1,16,0.054,0.003,0.003,0.59,10,28,2.95,129.84,31.54,552.43
AGOSTO,1,17,0.056,0.003,0.003,0.59,9,28,2.47,118.19,30.85,472.88
AGOSTO,1,18,0.045,0.014,0.005,0.73,20,27,3.89,76.4,34.15,143.68
AGOSTO,1,19,0.034,0.008,0.008,0.77,25,24,3.48,252.85,44.56,38.96
AGOSTO,1,20,0.042,0.004,0.005,0.67,28,21,4.32,155.45,58.76,3.49
AGOSTO,1,21,0.037,0.004,0.005,0.62,21,16,3.36,196.04,81.69,2.72
AGOSTO,1,22,0.038,0.003,0.003,0.62,11,15,3.16,186.25,92.41,2.71
AGOSTO,1,23,0.037,0.003,0.003,0.6,7,15,1.38,228.35,95.6,2.71
AGOSTO,2,0,0.031,0.003,0.005,0.59,8,15,1.23,115.09,96.08,2.7
AGOSTO,2,1,0.029,0.003,0.005,0.6,20,15,1.17,197.65,96.69,2.69
AGOSTO,2,2,0.028,0.003,0.005,0.6,15,15,1.29,139.8,95.35,2.72
AGOSTO,2,3,0.027,0.003,0.005,0.59,10,15,1.02,125.72,95.45,2.74
AGOSTO,2,4,0.021,0.004,0.008,0.59,11,15,1.53,213.7,95.61,2.71
AGOSTO,2,5,0.014,0.004,0.011,0.62,10,15,2.14,299.71,97.31,2.77
AGOSTO,2,6,0.012,0.004,0.011,0.72,12,15,2.42,278.56,97.2,2.79
AGOSTO,2,7,0.013,0.004,0.01,0.76,15,15,2.18,263.21,97.52,14.52
AGOSTO,2,8,0.015,0.004,0.012,0.87,17,16,2.14,307.09,97.3,68.58
AGOSTO,2,9,0.013,0.005,0.012,0.96,18,17,1.37,274.8,95.78,159.8
AGOSTO,2,10,0.018,0.006,0.01,0.87,18,20,1.76,170.57,88.83,314.43
AGOSTO,2,11,0.025,0.006,0.008,0.73,25,22,2.3,121.59,77.78,544.24
AGOSTO,2,12,0.038,0.005,0.006,0.7,32,23,2.56,106.46,64.64,613.99
AGOSTO,2,13,0.049,0.004,0.005,0.68,28,26,2.2,163.75,52.61,863.68
AGOSTO,2,14,0.056,0.004,0.004,0.63,24,27,2.6,159.2,46.48,1027.45
AGOSTO,2,15,0.053,0.004,0.003,0.6,12,28,2.44,167.06,41.96,987.27
AGOSTO,2,16,0.053,0.004,0.003,0.6,8,28,2.65,185.73,40.13,810.08
AGOSTO,2,17,0.053,0.004,0.003,0.61,11,28,2.89,171.05,40.61,641.22
AGOSTO,2,18,0.05,0.007,0.005,0.84,11,27,2.64,122.16,41.3,338.75
AGOSTO,2,19,0.04,0.007,0.01,0.89,35,23,3.44,253.24,52.38,89.61
AGOSTO,2,20,0.037,0.005,0.011,0.86,29,22,1.69,187.51,60.59,9.21
AGOSTO,2,21,0.03,0.005,0.01,0.79,37,21,3.8,108.23,60.69,2.27
AGOSTO,2,22,0.038,0.004,0.005,0.67,32,19,2.4,151.21,62.55,2.39
AGOSTO,2,23,0.027,0.004,0.008,0.65,26,18,2.92,104.66,70.41,2.56
AGOSTO,3,0,0.02,0.004,0.009,0.66,24,18,2.65,103.94,78.9,2.61
AGOSTO,3,1,0.02,0.004,0.008,0.65,23,17,2.04,93.21,83.52,2.71
AGOSTO,3,2,0.012,0.003,0.011,0.67,11,17,2.49,85.81,82.93,2.58
AGOSTO,3,3,0.007,0.004,0.013,0.66,21,17,1.97,90.13,84.1,2.67
AGOSTO,3,4,0.003,0.004,0.012,0.67,20,16,1.36,140.69,86.04,2.63
AGOSTO,3,5,0.001,0.004,0.012,0.69,25,16,2.26,128.2,87.48,2.66
AGOSTO,3,6,0.001,0.004,0.012,0.79,32,16,2.25,117.61,89.25,8.16
AGOSTO,3,7,0.001,0.004,0.011,0.8,35,16,2.34,138.21,88.69,14.32
AGOSTO,3,8,0.003,0.004,0.011,0.98,38,17,2.11,98.32,87.55,91.32
AGOSTO,3,9,0.012,0.004,0.008,0.78,29,22,2.39,125.58,72.36,396.96
AGOSTO,3,10,0.026,0.004,0.005,0.7,24,23,3.16,111.24,60.22,607.04
AGOSTO,3,11,0.036,0.004,0.005,0.68,27,25,2.7,130.08,52.1,736.57
AGOSTO,3,12,0.047,0.004,0.004,0.64,18,27,2.08,165.15,46.23,995.29
AGOSTO,3,13,0.055,0.004,0.004,0.66,22,26,2.01,223.47,45.31,581.91
AGOSTO,3,14,0.055,0.004,0.004,0.65,17,27,2.67,245.69,43.27,773.97
AGOSTO,3,15,0.056,0.004,0.003,0.65,12,28,3.01,258.6,40.87,903.61
AGOSTO,3,16,0.06,0.004,0.003,0.64,16,29,2.72,256.35,37.24,840.12
AGOSTO,3,17,0.062,0.004,0.003,0.63,15,28,2.9,252.55,36.58,634.06
AGOSTO,3,18,0.062,0.004,0.004,0.7,19,27,3.61,268.82,42.28,322.03
AGOSTO,3,19,0.046,0.003,0.009,0.85,38,21,3.47,286.08,65.74,26.25
AGOSTO,3,20,0.03,0.003,0.015,1.05,22,22,2.1,270.84,63.56,3.66
AGOSTO,3,21,0.028,0.003,0.014,0.95,33,21,2.06,299.79,60.66,3.97
AGOSTO,3,22,0.017,0.003,0.017,0.93,39,21,2.35,226.65,64.77,3.99
AGOSTO,3,23,0.021,0.003,0.014,0.69,34,19,2.11,100.7,74.39,4.91
AGOSTO,4,0,0.018,0.003,0.012,0.66,23,18,1.79,100.55,84.34,5.66
AGOSTO,4,1,0.015,0.003,0.013,0.63,21,18,2.23,110.05,83.26,2.59
AGOSTO,4,2,0.016,0.003,0.013,0.62,30,17,1.84,120.87,83.86,11.08
AGOSTO,4,3,0.023,0.003,0.008,0.6,21,16,1.26,160.28,82.75,6.45
AGOSTO,4,4,0.013,0.003,0.015,0.64,19,16,1.1,96.9,83.54,8.24
AGOSTO,4,5,0.006,0.003,0.019,0.65,33,16,1.44,122.08,83.97,8.01
AGOSTO,4,6,NA,0.004,0.017,0.72,45,16,1.64,143.76,85.62,5.58
