DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
JUL,1,0,NA,NA,NA,NA ,NA,NA,NA,NA,NA,NA
JUL,1,1,NA,0.003,0.005,1.27,8,18.834407,2.921756,243.637797,73.550186,2.507488
JUL,1,2,NA,0.003,0.006,1.27,7,19.222233,3.31567,290.632333,68.4903,2.458892
JUL,1,3,NA,0.003,0.008,1.28,14,18.89935,1.747198,233.632033,69.924583,2.489032
JUL,1,4,NA,0.004,0.007,1.28,20,18.77945,1.651262,92.406733,70.779183,2.4516
JUL,1,5,NA,0.005,0.010,1.28,19,18.576333,2.513743,158.986467,69.826617,2.528027
JUL,1,6,NA,0.004,0.012,1.44,19,17.966933,1.61651,259.788167,75.1285,2.729265
JUL,1,7,NA,0.004,0.016,1.59,26,17.596217,1.558332,265.366833,77.588467,51.82292
JUL,1,8,NA,0.005,0.017,1.73,24,21.256517,1.450758,130.252367,70.25655,245.989833
JUL,1,9,NA,0.006,0.009,1.34,28,22.5633,2.689908,102.598567,57.814267,454.956
JUL,1,10,NA,0.004,0.006,1.33,15,23.613583,3.655608,102.235017,49.466167,629.563667
JUL,1,11,NA,0.004,0.006,1.31,22,23.2428,3.442383,121.008,49.636517,393.0565
JUL,1,12,NA,0.004,0.005,1.32,12,24.9372,3.076197,145.58455,45.492733,711.442167
JUL,1,13,NA,0.004,0.006,1.32,24,26.59875,2.83108,157.2787,38.49375,876.614167
JUL,1,14,NA,0.003,0.005,1.29,17,27.71425,3.623225,155.790833,34.256083,1023.984333
JUL,1,15,NA,0.003,0.005,1.30,16,29.053467,2.653257,162.200867,31.638517,915.282167
JUL,1,16,NA,0.003,0.005,1.27,10,30.381017,2.413603,166.690417,27.029683,800.291167
JUL,1,17,NA,0.005,0.008,1.38,103,28.665967,3.667028,226.940767,30.43755,281.152733
JUL,1,18,NA,0.004,0.006,1.30,238,22.19755,5.86439,141.901317,49.45005,79.045633
JUL,1,19,NA,0.003,0.010,1.42,45,21.33235,3.558915,174.669667,51.889933,34.24825
JUL,1,20,NA,0.004,0.015,1.47,34,21.770467,2.221383,238.078033,48.151667,5.37476
JUL,1,21,NA,0.003,0.011,1.52,26,20.3244,2.259572,246.103833,59.371917,4.070808
JUL,1,22,NA,0.003,0.013,1.48,28,20.559583,2.106322,252.191833,58.221783,2.953763
JUL,1,23,NA,0.003,0.009,1.38,30,20.297417,1.909215,224.537167,61.14795,2.961465
JUL,2,0,NA,0.003,0.009,1.36,53,19.544033,1.909877,236.177167,65.942683,4.103965
JUL,2,1,NA,0.003,0.009,1.32,36,19.411883,1.818582,212.266667,67.856417,2.448958
JUL,2,2,NA,0.003,0.008,1.30,23,18.693983,1.553092,182.5755,70.46525,2.463185
JUL,2,3,NA,0.003,0.014,1.31,27,17.994167,2.224322,150.608117,74.362017,2.537398
JUL,2,4,NA,0.003,0.016,1.31,26,17.041633,1.279458,128.1805,79.207467,2.540835
JUL,2,5,NA,0.003,0.020,1.33,30,16.8882,1.551592,90.193183,78.993467,3.762262
JUL,2,6,NA,0.003,0.026,1.48,37,16.623967,1.797163,122.321867,79.203633,2.767075
JUL,2,7,NA,0.003,0.024,1.44,39,16.346533,2.442487,132.796667,81.338533,32.564225
JUL,2,8,NA,0.003,0.017,1.49,28,18.189117,2.748993,116.3208,75.76855,162.2727
JUL,2,9,NA,0.003,0.015,1.48,39,20.488617,3.019837,125.50645,65.768567,346.41
JUL,2,10,NA,0.003,0.008,1.39,23,22.141033,2.912332,115.7374,55.520283,444.351167
JUL,2,11,NA,0.003,0.009,1.37,14,23.5214,3.177223,121.95295,51.15495,644.300833
JUL,2,12,NA,0.004,0.009,1.39,34,25.040317,2.933737,129.2736,46.817583,738.8835
JUL,2,13,NA,0.004,0.009,1.39,17,27.171983,2.694963,110.196217,39.617683,1019.818167
JUL,2,14,NA,0.004,0.007,1.32,17,28.200783,2.850713,125.494833,33.024333,1014.558167
JUL,2,15,NA,0.004,0.006,1.31,15,28.667783,3.40231,158.67525,31.282583,936.8095
JUL,2,16,NA,0.004,0.005,1.28,16,29.351817,2.77452,160.790067,29.160833,659.187667
JUL,2,17,NA,0.004,0.006,1.31,23,27.977433,2.661517,146.91355,32.044217,253.044833
JUL,2,18,NA,0.003,0.007,1.35,56,26.246883,4.52557,97.804167,35.553783,110.680633
JUL,2,19,NA,0.005,0.009,1.40,105,24.522833,4.008935,85.105317,41.882417,51.433533
JUL,2,20,NA,0.004,0.009,1.38,41,22.630517,4.042055,148.541167,48.92865,5.239257
