DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
MAYO,2,21,0.050,0.003,0.011,1.32,87,25.091,3.8341,231.77,14.587,7.1964
MAYO,2,22,0.047,0.003,0.008,1.29,132,23.139,3.6451,239.32,17.057,16.408
MAYO,2,23,0.044,0.003,0.007,1.28,78,21.128467,2.330238,262.389333,20.368,7.433447
MAYO,3,0,0.039,0.003,0.012,1.29,66,20.27625,2.729115,292.956,21.327433,7.506337
MAYO,3,1,0.035,0.003,0.014,1.26,59,19.032133,2.147128,267.791167,22.390433,2.454128
MAYO,3,2,0.034,0.003,0.012,1.25,55,18.37615,1.921298,240.255667,23.225883,6.439895
MAYO,3,3,0.037,0.003,0.009,1.23,53,17.846383,1.387832,207.727833,23.678417,21.31734
MAYO,3,4,0.037,0.003,0.008,1.20,54,17.576483,2.04918,216.804667,25.389067,9.449717
MAYO,3,5,0.035,0.003,0.007,1.21,44,17.133583,1.965613,234.491,26.73585,4.929465
MAYO,3,6,0.021,0.003,0.017,1.40,56,16.138083,1.378468,233.307333,29.571917,6.702393
MAYO,3,7,0.007,0.004,0.031,1.94,70,15.87285,1.140058,223.372833,31.99155,23.289907
MAYO,3,8,0.029,0.016,0.034,1.94,99,17.1601,0.987737,68.093967,32.78095,153.915417
MAYO,3,9,0.030,0.007,0.027,1.65,102,21.308,1.520338,230.106833,29.936333,333.668167
MAYO,3,10,0.041,0.004,0.011,1.24,73,24.30695,1.552312,187.978833,26.07125,551.036167
MAYO,3,11,0.053,0.004,0.007,1.19,54,26.4706,1.693613,188.690583,21.8493,633.6975
MAYO,3,12,0.054,0.004,0.007,1.15,50,28.26095,2.115547,223.980467,17.125483,758.689167
MAYO,3,13,0.055,0.003,0.005,1.10,35,29.928717,2.746825,244.7757,12.981233,917.070833
MAYO,3,14,0.063,0.003,0.005,1.10,37,31.121583,2.515733,225.947833,12.81745,933.6925
MAYO,3,15,0.068,0.003,0.004,1.12,37,31.649033,2.701972,228.07205,12.227717,865.9065
MAYO,3,16,0.072,0.003,0.004,1.11,36,31.980683,2.674707,230.111833,11.5801,669.2275
MAYO,3,17,0.076,0.003,0.004,1.10,36,31.74735,2.50216,218.979667,11.161333,523.108
MAYO,3,18,0.076,0.003,0.005,1.18,38,31.352667,1.74126,240.54175,11.187483,312.617667
MAYO,3,19,0.068,0.003,0.010,1.29,47,28.9642,1.986007,267.206717,12.489383,74.236017
