DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
ABRIL,1,0,0.018,0.004,0.025,1.38,92,18.533083,1.680912,251.472217,21.89755,5.942062
ABRIL,1,1,0.015,0.003,0.024,1.49,80,17.175117,0.965492,261.705983,22.7629,7.694648
ABRIL,1,2,0.009,0.004,0.031,1.42,102,15.890483,1.105008,123.7181,30.247183,9.658815
ABRIL,1,3,NA,0.004,0.032,1.19,103,14.418083,1.476198,156.930317,31.855167,11.297073
ABRIL,1,4,NA,0.003,0.031,1.17,94,14.077467,0.972678,104.280525,31.60405,2.831658
ABRIL,1,5,NA,0.004,0.028,1.28,110,13.277,0.996757,196.566333,33.3991,2.82465
ABRIL,1,6,0.040,0.004,0.028,1.35,129,12.4097,1.058643,156.674182,35.21785,6.913818
ABRIL,1,7,0.014,0.005,0.028,1.53,116,12.056267,1.097682,126.72285,40.326517,9.427717
ABRIL,1,8,0.004,0.005,0.027,1.48,124,14.146783,1.701668,111.790283,41.675567,154.393917
ABRIL,1,9,0.016,0.005,0.024,1.26,127,18.593233,2.01148,123.32495,32.977767,393.8275
ABRIL,1,10,0.044,0.006,0.016,1.08,85,22.563183,1.703898,109.733417,27.4689,650.230167
ABRIL,1,11,0.054,0.005,0.015,1.15,78,25.278,2.2004,226.28,21.242,854.98
ABRIL,1,12,0.038,0.009,NA,1.35,NA,27.441,2.7254,273.69,15.164,1044.9
ABRIL,1,13,0.060,0.004,0.005,1.01,NA,28.232,3.1581,254.73,12.284,1099.4
ABRIL,1,14,0.058,0.002,0.006,0.96,NA,29.406,3.925,269.15,8.6969,1104.4
ABRIL,1,15,0.063,0.003,0.006,0.95,18,30.084,4.825,276.64,9.5154,1012.7
ABRIL,1,16,0.065,0.003,0.006,0.91,20,30.363,4.945,275.41,8.4276,800.3
ABRIL,1,17,0.067,0.002,0.006,0.89,29,30.1,4.7609,271.76,8.7495,552.84
ABRIL,1,18,0.061,0.002,0.006,0.90,32,29.439,4.5277,261.16,9.4388,335.81
ABRIL,1,19,0.047,0.002,0.012,1.03,46,26.94,3.6053,257.91,11.993,69.783
ABRIL,1,20,0.029,0.002,0.023,1.33,58,24.01,2.6245,256.54,14.289,8.6351
ABRIL,1,21,0.023,0.002,0.026,1.38,74,22.08,2.1361,229.18,16.024,2.2156
ABRIL,1,22,0.031,0.003,0.012,1.08,70,21.207,2.765,235.03,19.322,7.9558
ABRIL,1,23,0.033,0.003,0.008,0.96,42,20.269,3.0202,256.16,20.674,5.1975
ABRIL,2,0,0.019,0.003,0.018,1.11,33,18.324,1.8427,230.08,24.081,2.473
ABRIL,2,1,0.015,0.003,0.019,1.17,47,17.259,1.1361,193.33,26.771,2.5766
ABRIL,2,2,0.006,0.004,0.026,1.16,58,16.193,1.7308,220.43,28.441,8.3994
ABRIL,2,3,0.008,0.004,0.024,1.10,60,15.355,1.2849,208.14,29.699,2.6819
ABRIL,2,4,0.015,0.004,0.016,0.95,62,14.276,1.0687,203.98,30.836,5.6522
ABRIL,2,5,0.014,0.003,0.015,0.98,46,13.618,0.9936,218.3,32.563,2.8705
ABRIL,2,6,0.025,0.004,0.023,1.06,51,12.478,1.0511,87.357,37.89,2.8984
ABRIL,2,7,0.012,0.005,0.025,1.13,59,11.111,1.0985,120.06,46.039,11.671
