DATOS HORARIOS 2016_ NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
ENE,3,11,20.04,6.14,0.232,4.39,39.97,1.8,184.16,23.46,51.43,626.44,579.81
ENE,3,12,25.49,11.16,0.252,3.54,42.29,2.87,290.92,24.87,42.26,626.34,699.79
ENE,3,13,34.43,11.48,0.272,2.95,50.64,2.68,291.04,26.23,33.48,626.28,738.84
ENE,3,14,34.47,4.14,0.182,2.49,27.46,3.2,286.14,26.51,26.74,626.32,525.57
ENE,3,15,33.77,3.06,0.152,1.12,41.01,3.45,280.38,26.37,27.64,626.41,551.46
ENE,3,16,29.85,2.05,0.192,2.76,32.46,2.77,281.08,25.54,28.74,626.49,321.05
ENE,3,17,27.26,1.35,0.152,1.75,30.05,3.36,294.41,26.95,25.63,626.39,363.39
ENE,3,18,23.81,1.2,0.202,3.03,38.58,2.9,270.42,26.16,25.76,626.48,176.96
ENE,3,19,16.65,1.93,0.392,8.4,79.08,1.5,260.75,23.33,29.29,626.77,8.84
ENE,3,20,4.47,4.06,0.762,15.34,94.72,1.15,226.89,21.96,31.89,626.87,2.02
ENE,3,21,0.99,6.72,1.562,16.87,184.1,1.44,305.55,20.58,34.74,627.02,23.77
ENE,3,22,4.85,11.24,0.982,12.35,149.38,3.03,52.15,19.23,42.99,627.09,2.21
ENE,3,23,6.66,6.02,0.502,10.45,78.29,2.96,113.11,17,53.67,627.29,2.33
ENE,4,0,10.26,4.18,0.282,4.61,89.11,3.88,101.36,15.51,63.18,627.38,2.47
ENE,4,1,12.91,4.29,0.182,2.81,42.52,3.97,93.84,14.64,66.98,627.47,2.45
ENE,4,2,13.18,3.79,0.132,2.25,50.52,3.48,87.2,13.77,69.77,627.53,2.51
ENE,4,3,12.78,2.02,0.062,0.99,29.28,3.77,100.27,13.01,71.95,627.66,2.56
ENE,4,4,13.44,1.26,0.032,0.47,22.73,3.59,104.86,12.46,73.4,627.68,2.59
ENE,4,5,13.94,0.8,0.012,0.08,21.39,4.19,101.02,11.98,74.47,627.71,2.67
ENE,4,6,12.76,0.6,0.012,0.08,24.18,3.97,98.21,11.43,76.92,627.81,2.64
ENE,4,7,11.25,0.73,0.012,0.74,26.88,4.06,93.63,10.99,79.45,627.79,2.75
ENE,4,8,8.73,0.58,0.062,2.93,38.76,3.44,104,11.28,79.33,627.72,24.09
ENE,4,9,8.68,8.12,0.132,3.42,44.48,3.55,89.6,12.62,76.17,627.51,90.77
ENE,4,10,13.60,3.3,0.122,1.62,34.44,4.06,92.81,14.09,70.54,627.47,255.5
ENE,4,11,16.09,2.16,0.112,1.32,29.6,3.99,95.23,16.03,63.29,627.2,357.69
ENE,4,12,18.74,2.12,0.062,1.48,42.89,2.8,126.65,18.58,56.21,626.94,464.64
ENE,4,13,25.70,0.89,0.042,0.64,50.8,1.77,139.85,20.22,49.81,626.85,411.24
ENE,4,14,27.24,2.26,0.062,2.03,55.28,1.57,221.76,20.36,46.58,626.86,206.15
ENE,4,15,26.93,4.17,0.082,2.59,52.16,1.56,242.14,20.5,42.35,626.89,253.29
ENE,4,16,30.75,4.29,0.102,2.69,16.61,1.98,256.12,22.55,32.21,626.72,387.03
ENE,4,17,31.60,3.67,0.042,1.08,43.62,2.14,204.25,22.28,32.02,626.78,270.78
ENE,4,18,29.69,3.5,0.082,3.61,39.67,1.5,244.07,21.88,31.61,626.82,122.58
ENE,4,19,10.68,4.82,0.742,17.55,79.08,1.34,273.48,18.67,33.98,627.16,77.23
ENE,4,20,1.88,6.7,1.262,20.25,193.82,1.03,133.59,16.62,42.86,627.35,24.1
ENE,4,21,1.69,8.35,1.182,19.73,295.69,1.36,169.2,15.94,43.21,627.39,2.48
ENE,4,22,1.56,8.26,1.022,18.32,217.08,1.67,135.04,15.35,48.59,627.47,2.47
ENE,4,23,1.32,8.95,0.852,16.89,145.93,1.7,98.05,13.97,55.89,627.6,2.58
ENE,5,0,1.20,8.96,0.802,16.31,120.06,1.3,216.52,12.84,55.89,627.69,2.61
ENE,5,1,1.29,10.33,1.092,14.72,136.95,1.17,178.84,12.11,56.43,627.75,18.27
ENE,5,2,1.54,9.98,1.072,13.94,183.61,1.61,237.7,11.46,61.07,627.74,6.92
ENE,5,3,1.42,10.15,0.902,13.84,155.86,1.22,76.15,10.81,64,627.85,13.1
ENE,5,4,0.99,10.47,0.522,12.21,100.71,1.57,137.58,9.41,67.64,627.86,2.84
ENE,5,5,0.99,9,0.342,10.5,75.75,1.87,109.02,8.65,73.78,627.94,74.73
ENE,5,6,1.13,8.22,0.312,10.48,83.92,1.52,120.92,8.28,76.04,627.95,13.95
ENE,5,7,0.99,7.9,0.342,10.23,79.87,1.86,107.43,7.84,78.15,627.94,12.92
ENE,5,8,1.08,8.85,0.392,11.24,94.89,2.58,114.41,8.18,79.79,627.79,29.83
ENE,5,9,2.85,8.75,0.482,9.37,60.15,2.58,103.87,11.59,69.68,627.51,212.44
ENE,5,10,8.19,9.27,0.412,8.6,65.62,2.99,103.18,14.86,59.27,627.23,413.59
ENE,5,11,15.81,9.03,0.292,12.58,76.23,1.69,128.33,19.31,48.49,626.79,578.46
ENE,5,12,34.49,2.24,0.102,5.63,57.39,2.06,261.12,22.72,37.69,626.37,696.18
ENE,5,13,36.26,0.2,0.012,0.29,36.52,2.51,262.87,23.57,32.2,626.46,768.77
ENE,5,14,34.51,0.2,0.042,1,25.14,4.06,273.18,23.59,29.93,626.45,536.81
ENE,5,15,35.38,0.24,0.012,0.59,34.28,4.19,264.73,24.01,27.05,626.51,672.3
ENE,5,16,37.09,0.2,0.012,0.08,47.09,3.59,238.75,24.45,24.73,626.48,495.7
ENE,5,17,35.18,0.2,0.032,1.85,46.6,4.49,268.12,24.39,20.56,626.55,357.88
ENE,5,18,31.60,0.2,0.142,5.14,82.54,4.25,268.94,23.2,22.1,626.72,146.78
ENE,5,19,19.72,0.2,0.332,11.8,97.77,3.11,265.43,20.19,25.9,627.02,10.87
ENE,5,20,10.29,0.2,0.552,15.58,92.7,3.59,287.86,18.55,30.99,627.18,9.19
ENE,5,21,5.01,0.89,0.672,17.47,73.04,2.93,271.9,17.72,33.48,627.23,20.73
ENE,5,22,3.82,1.32,0.612,15.41,112.51,2.49,255.74,16.34,38.54,627.4,55.55
ENE,5,23,4.46,1.48,0.682,14.8,96.04,2.22,288.3,15.51,41.9,627.44,12.39
ENE,6,0,1.55,2.71,0.842,15.91,102.49,2.27,292.36,14.3,44.8,627.53,2.56
ENE,6,1,1.39,3.95,0.612,14.14,84.92,1.77,273.74,13.46,47.99,627.59,2.58
ENE,6,2,0.99,4.4,0.472,14.36,87.9,1.25,245.5,12.74,48.48,627.62,2.67
ENE,6,3,1.79,4.06,0.362,11.97,89.58,2.01,237.87,12.01,53.84,627.62,5.77
ENE,6,4,1.56,3.19,0.332,10.65,73.32,1.42,225.59,11.62,57.08,627.74,2.74
ENE,6,5,1.05,3.39,0.322,10.27,68.9,1.49,239.19,11.5,59.14,627.61,2.75
ENE,6,6,0.99,4.24,0.402,9.99,63.29,1.04,199.4,11.76,58.8,627.64,2.65
ENE,6,7,0.99,5.48,0.532,10.15,94.79,1.26,126.6,10.5,60.33,627.72,2.81
ENE,6,8,0.99,7.19,0.892,11.83,115.17,0.99,128.4,9.61,61.55,627.73,13.18
ENE,6,9,0.99,9.98,1.492,16.27,134.32,1.11,357.15,11.84,59.54,627.52,116.2
ENE,6,10,6.39,9.39,1.422,19.41,158.64,1.44,271.67,18.2,48.79,626.9,385.57
ENE,6,11,18.56,6,0.632,8.85,73.4,2.8,261.77,20.26,41.42,626.64,584.09
ENE,6,12,24.95,3.76,0.312,3.87,49.38,3.58,263.95,20.91,36.63,626.62,661.06
ENE,6,13,26.91,2.14,0.172,2.67,40.55,4.16,257,21.48,33.53,626.67,629.01
ENE,6,14,26.55,1.62,0.102,0.88,50.49,4.46,263.02,22.38,31.01,626.57,570.7
ENE,6,15,29.80,0.88,0.082,0.08,32.34,4.53,264.24,23.05,29.93,626.61,692.5
ENE,6,16,31.37,0.52,0.082,0.46,38.36,4.45,271.96,23.19,28.58,626.64,432.82
ENE,6,17,32.08,0.39,0.112,1.1,42.01,4.83,271.08,23.24,28,626.65,360.06
ENE,6,18,28.86,0.2,0.122,2.08,68.97,4.94,266.48,22.18,29.43,626.84,141.26
ENE,6,19,19.16,0.2,0.182,5.29,81.13,4.16,266.88,19.32,37.34,627.1,5.96
ENE,6,20,14.10,0.47,0.282,7.69,58.98,3.45,264.43,18.43,41.67,627.17,18.46
ENE,6,21,10.82,0.78,0.342,8.63,58.27,3.22,246.44,18.25,43.22,627.18,2.3
ENE,6,22,10.23,0.79,0.272,6.77,69.44,3.07,235.15,17.27,45.76,627.26,2.38
ENE,6,23,11.79,0.77,0.222,4.4,46.34,2.63,213.13,16.01,48.39,627.36,2.48
