DATOS HORARIOS 2016_ NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
MAY,1,0,22.49,1.66,0.482,37.68,107.18,1.56,276.38,19.94,16.21,627.02,37.88
MAY,1,1,9.58,6.48,0.102,37.25,127.87,1.31,320.66,17.95,18.37,627.2,7.85
MAY,1,2,1.79,8.18,0.012,36.07,128.19,1.33,25.66,17.46,22.01,627.23,6.47
MAY,1,3,6.19,10.97,0.182,36.34,106.04,1.3,85.59,16.32,25.33,627.28,9.12
MAY,1,4,9.30,14.62,0.012,37.07,115.12,1.27,134.39,15.45,27.1,627.34,38.84
MAY,1,5,12.49,15.8,0.052,34.68,170.69,1.27,126.51,14.53,29.32,627.39,9.88
MAY,1,6,2.96,16.57,0.062,31.93,143.72,1.48,68.47,13.34,34.73,627.5,9.25
MAY,1,7,4.84,25.44,0.242,29.73,93.28,1.86,129.19,13.23,35.41,627.45,37.88
MAY,1,8,12.33,23.45,0.272,28.97,101.96,1.97,118.48,16.52,32.95,627.12,225.31
MAY,1,9,32.34,23.9,0.842,41.48,106.37,1.39,239.01,23.59,23.86,626.4,505.19
MAY,1,10,73.68,20.65,0.222,21.11,88.64,1.62,248.33,27.42,18.11,626.01,739.53
MAY,1,11,96.29,11.99,0.482,11.45,53.56,2.23,285.51,29.07,14.12,625.88,940.15
MAY,1,12,107.66,8.29,0.582,3.72,47.09,2.22,154.71,29.88,13.1,625.8,963.82
MAY,1,13,106.32,6.61,0.552,2.95,37.27,3.71,273.11,31.26,11.12,625.73,1136.82
MAY,1,14,111.64,4.85,0.612,1.22,20.23,4.11,259.21,31.94,8.06,625.72,1106.03
MAY,1,15,110.03,3.3,0.932,0.82,28.5,4.52,257.33,32.91,7.53,625.66,994.5
MAY,1,16,107.67,2.11,0.712,0.08,28.79,4.54,243.93,33.47,6.59,625.65,812.17
MAY,1,17,99.59,3.23,0.792,0.08,46.54,4.5,246.93,32.42,6.82,625.81,434.74
MAY,1,18,97.08,3.63,0.482,0.08,33.99,4.2,264.14,31.67,7.11,625.91,262.45
MAY,1,19,80.97,3.5,0.282,5.44,42.57,3.48,262.33,30.15,8.4,626.08,102.91
MAY,1,20,55.95,3.92,0.302,22.55,70.35,2.66,254.08,27.71,9.86,626.33,21.9
MAY,1,21,44.35,4.55,0.402,29.84,77.33,2.19,249.26,25.93,10.62,626.5,37.15
MAY,1,22,40.58,4.61,0.472,25.84,93.51,2.1,222.42,23.93,12.11,626.67,33.61
MAY,1,23,34.86,5.19,0.162,21.53,132.97,1.83,160.04,22,14.47,626.84,3.2
MAY,2,0,17.56,6.77,0.312,32.72,120.5,1.41,115.41,20.86,15.43,627.01,22.53
MAY,2,1,3.27,9.62,0.442,38.34,111.35,1.13,211.89,19.93,17.64,627.05,14.3
MAY,2,2,1.36,7.25,0.072,36.85,152.44,1.49,230.76,19.17,20.02,627.06,23.12
MAY,2,3,1.6,8.35,0.262,36.83,119.26,1.28,74.07,17.83,24.45,627.18,17.81
MAY,2,4,1.31,12.82,0.162,37.38,133.01,1.5,127.39,16.1,28.27,627.33,7.27
MAY,2,5,0.99,13.75,0.082,34.99,107.34,1.84,108.85,15.21,29.48,627.37,10.27
MAY,2,6,0.99,13.17,0.012,33.91,115.48,1.94,127.39,13.91,30.21,627.47,12.02
MAY,2,7,0.99,23.68,0.082,37.64,119.72,1.83,104.09,14.56,31.12,627.39,34.73
MAY,2,8,0.99,17.3,0.012,38.76,142.71,1.98,113.64,16.56,28.54,627.19,170.95
MAY,2,9,8.08,15.27,0.042,34.08,134.49,2.19,114.08,21.88,23.33,626.62,466.4
MAY,2,10,52.37,13.41,0.502,21.28,118.38,1.84,139.12,27.16,16.98,626.08,723.56
MAY,2,11,84.46,27.84,0.412,14.06,102.96,1.85,154,30.45,13.51,625.95,911.77
MAY,2,12,92.74,89.71,0.562,16.45,93.53,2.24,260,31.93,11.67,625.94,1035.77
MAY,2,13,105.91,20.07,0.352,5.44,80.69,2.15,238.97,32.96,9.92,625.85,1085.43
MAY,2,14,95.82,4.88,0.442,3.22,67.81,2.27,269.76,34.03,9.23,625.66,1073.09
MAY,2,15,67.15,1.63,0.992,1.82,52.42,3.57,284.93,34.79,8.81,625.56,982.68
MAY,2,16,58.42,0.2,1.052,1.96,37.59,3.32,288.83,35.31,8.6,625.5,808.5
MAY,2,17,63.07,NA,0.502,1.42,51.93,2.89,273.18,35.42,9.09,625.52,546.74
MAY,2,18,58.53,NA,1.122,3.6,59.58,3.12,271.65,34.33,9.63,625.65,294.02
MAY,2,19,45.94,NA,0.532,7.81,75.83,2.08,247.36,32.47,10.44,625.87,79.02
MAY,2,20,15.27,1.54,0.492,31.11,110.15,1.65,213.31,29.62,11.04,626.15,31.52
MAY,2,21,12.84,1.9,0.282,25.63,242.88,2.2,191.08,27.71,14.08,626.32,37.5
MAY,2,22,10.79,2.06,0.302,23.69,151.01,3.09,143.17,26.95,17.3,626.38,11.84
MAY,2,23,16.09,1.64,0.442,5.84,230.9,6.01,80.62,25.18,48.36,626.49,27.3
MAY,3,0,23.6,0.77,0.532,1.85,155.12,5.33,78.66,23.17,55.09,626.58,45.75
MAY,3,1,23.25,1.9,0.242,0.36,89.49,4.97,73.25,21.89,58.18,626.59,15.02
MAY,3,2,26.48,2.81,0.492,0.23,71.61,4.44,78.8,20.94,60.99,626.62,24.88
MAY,3,3,29.55,2.85,0.852,0.62,64.18,4,88.93,20.29,61.91,626.61,13.53
MAY,3,4,29.48,2.54,0.222,0.7,73.48,3.68,90.67,19.48,63.87,626.68,13.06
MAY,3,5,29.32,2.32,0.182,2.26,70.01,3.27,91.98,18.83,65.88,626.76,9.95
MAY,3,6,20.05,2.35,0.752,10.71,86.66,2.75,108.49,18.21,68.3,626.82,22.62
MAY,3,7,0.99,2.73,0.232,21.23,104.99,2.64,116.22,17.36,72.51,626.89,29.66
MAY,3,8,0.99,4.19,0.012,24.09,120.96,3.48,103.9,19.76,67.2,625.75,197.7
MAY,3,9,20.01,4.66,0.262,17.03,98.09,4.23,99.92,22.37,59,625.89,430.04
MAY,3,10,34.33,6.55,0.282,12.02,86.47,3.53,106.46,25.78,47.55,625.73,668.17
MAY,3,11,53.38,3.79,0.212,4.28,65.26,2.91,116.27,28.82,35.43,625.61,866.2
MAY,3,12,63.99,3.11,0.212,2.18,60.14,2.12,165.71,31.67,26.78,625.44,990.05
MAY,3,13,68.48,2.19,0.742,1.87,55.22,2.4,250.43,33.29,20.87,625.45,1045.76
MAY,3,14,63.44,1.34,0.122,0.62,41.47,2.87,258.26,33.81,17.32,625.46,1037.96
MAY,3,15,66.19,0.93,0.342,0.43,42.86,3.43,271.23,34.84,14.75,625.44,945.18
MAY,3,16,69.72,0.2,0.432,0.08,54.25,3.51,243.29,35.07,13.25,625.47,763.68
MAY,3,17,59.83,NA,0.602,1.97,68.84,4.87,272.85,34.89,13.19,625.51,542.3
MAY,3,18,53.05,NA,0.882,2.29,53.47,4.28,259.23,34.37,13.13,625.61,329.78
MAY,3,19,55.6,NA,0.862,2.59,79.84,4.89,197.06,32.72,14.69,625.84,120.89
MAY,3,20,62.32,NA,0.842,3.12,172.01,4.44,169.75,29.52,19.24,626.1,37.97
MAY,3,21,47.68,NA,0.872,5.56,126.5,3.09,187.12,27.99,21.88,626.29,98.18
MAY,3,22,35.08,NA,0.072,6.74,119.6,2.26,195.29,26.68,25,626.39,44.77
MAY,3,23,30.84,NA,0.162,9.39,102.54,2.12,270.18,25.38,28.33,626.51,25.59
MAY,4,0,37.29,NA,0.392,3.57,97.6,3.01,245.55,24.25,31.43,626.61,29.29
MAY,4,1,36.39,0.82,0.112,2.13,80.58,2.1,219.98,23.17,32.38,626.69,12.63
MAY,4,2,33.17,1.71,0.332,1.97,78.62,2.13,208.8,21.38,37.89,626.85,39.89
MAY,4,3,34.32,1.79,0.302,1.13,81.1,2.3,208.6,20.7,42.94,626.91,31.21
MAY,4,4,33.09,1.85,0.372,2.28,80.52,1.83,222.5,19.93,46.3,626.98,19.43
MAY,4,5,29.34,1.96,0.292,4.36,83.61,1.98,214.53,19.51,48.35,626.96,15.66
MAY,4,6,22.46,2.06,0.232,9.72,91.8,1.3,243.67,18.71,49.8,627.03,15.41
MAY,4,7,0.99,3.96,0.012,25.36,109.83,1.79,117.88,18.86,51.72,626.98,34.82
MAY,4,8,0.99,6.62,0.012,22.39,132.5,1.72,138.19,21.71,48.31,626.72,218.89
MAY,4,9,15.53,9.19,0.012,21.57,96.14,1.63,173.14,26.24,37.73,626.23,459.7
MAY,4,10,34.51,4.61,0.072,15.13,101.13,1.85,253.6,29.03,31.64,625.96,700.21
MAY,4,11,45.56,2.77,0.392,3.84,61.61,2.64,259.43,30.18,26.29,625.84,907.08
MAY,4,12,51.5,2.18,0.092,3.18,42.75,2.94,273.81,31.08,22.15,625.79,1035.14
MAY,4,13,59.55,1.88,0.342,4.7,50.86,3.72,288.05,32.04,17.79,625.75,1089.3
MAY,4,14,57.87,1.29,0.622,2.73,36.57,3.18,270.38,33.11,16,625.67,1068.22
MAY,4,15,52.04,0.91,0.612,0.57,42.89,3.37,254.68,33.65,14.96,625.63,970.54
MAY,4,16,49.72,0.7,0.012,0.98,37.68,2.97,255.77,34.33,13.94,625.56,804.49
MAY,4,17,50.73,0.58,1.562,0.08,31.09,3.05,261.25,33.83,12.89,625.59,574.19
MAY,4,18,51.67,0.2,3.712,0.85,37.06,2.82,258.34,34,12.84,625.65,333.82
MAY,4,19,46.61,0.2,1.552,3.14,49.82,2.46,242.9,32.31,13.34,625.82,94.83
MAY,4,20,18.58,2.23,0.992,22.08,73.22,2.2,256.42,29.87,15.83,626.1,38.34
MAY,4,21,10.71,29.58,0.652,7.78,134.56,5.23,64.97,26.16,37.22,626.45,77.47
MAY,4,22,15.84,2.9,0.352,2.4,116.89,5.5,71.48,23.6,45.18,626.52,43.83
MAY,4,23,14.79,2.66,0.682,0.51,66.72,5.41,72.31,21.61,52.94,626.65,55
MAY,5,0,15.16,2.72,0.512,0.68,47.16,4.94,79.59,20.43,57.83,626.61,45.6
MAY,5,1,15.53,2.21,0.512,0.11,43.3,3.76,88.81,19.5,61.29,626.62,65.3
MAY,5,2,14.63,1.68,0.292,0.64,23.92,3.03,107,18.68,63.55,626.65,27.54
MAY,5,3,14.86,1.66,0.762,0.33,35.13,3.56,94.44,17.95,66.31,626.77,62.31
MAY,5,4,14.07,1.51,0.372,0.89,30.38,3.57,93.82,17.18,69.39,626.8,42.96
MAY,5,5,13.08,1.18,0.152,1.66,30.64,3.41,97.52,16.78,71.23,626.9,27.9
MAY,5,6,11.19,1.39,0.262,5.39,42.37,3.07,108.96,16.34,72.78,626.98,27.96
