DATOS HORARIOS 2012_ DIF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2012,JUN,3,6,7,18.96,34.29,0.939,27.69,2.22,66.51,17.02,64.43,625.57,6.29,,
2012,JUN,3,7,5.59,22.56,45.36,1.149,30.15,2.67,74.63,17.17,66.93,625.92,710.43,,
2012,JUN,3,8,14.52,27.68,39.72,1.169,47.32,3.39,72.43,19.35,61.62,626.51,965.97,,
2012,JUN,3,9,32.7,25.63,23.45,1.019,41.83,5.54,73.42,21.46,60.68,626.8,965.73,,
2012,JUN,3,10,40.45,24.12,26.49,1.189,47.51,4.12,83.63,23.91,48.49,626.78,967.19,,
2012,JUN,3,11,50.18,19.81,21.12,1.159,42.74,3.74,120.38,25.46,38.3,626.71,966.71,,
2012,JUN,3,12,53.31,18.58,21.26,1.219,40.26,3.68,127.12,26.91,34.88,626.34,967.31,,
2012,JUN,3,13,57.53,17.38,18.16,0.979,36.51,2.66,121.49,28.13,33.3,625.7,967.5,,
2012,JUN,3,14,56.32,17.32,20.17,1.019,35.22,2.62,120.29,28.81,30.82,624.78,968.48,,
2012,JUN,3,15,53.48,17.06,21.37,1.019,37.34,2.68,155.89,28.21,31.63,624.13,968.93,,
2012,JUN,3,16,56.27,15.1,18.02,0.859,51.53,5.91,203.64,26.79,27.51,624.04,969.27,,
2012,JUN,3,17,59.39,14,15.76,0.769,103.7,6.98,224.24,25.62,27.77,623.8,968.27,,
2012,JUN,3,18,53.71,14.27,15.87,0.749,39.03,4.09,268.41,24.99,32.3,624.65,968.17,,
2012,JUN,3,19,54.28,14.11,16.36,0.759,36.35,4.71,286.83,22.46,40.82,625.21,929.33,,
2012,JUN,3,20,48.24,14.61,19.37,0.849,24.37,1.91,288.75,21.36,44.29,625.33,121.77,,
2012,JUN,3,21,26.49,16.14,36,1.139,28.06,1.31,198.05,20.98,45.15,625.63,1.45,,
2012,JUN,3,22,12.33,17.97,49.31,1.429,33.86,1.61,137.74,20.32,48.03,625.98,1.46,,
2012,JUN,3,23,25.65,21.18,33.91,1.019,35.55,2.54,93.76,20.5,47.5,626.27,1.45,,
2012,JUN,4,0,25.55,17.63,28.92,0.859,39.95,2.4,64.25,19.78,51.59,626.32,1.45,,
2012,JUN,4,1,29.64,16.33,22.47,0.799,NA,2.9,78.27,19.72,54.86,626.19,10.04,,
2012,JUN,4,2,15.23,16.63,33.3,0.849,NA,1.67,79.48,18.79,59.08,626.09,1.43,,
2012,JUN,4,3,7.58,16.66,42.17,0.819,NA,1.76,68.77,18.33,61.07,625.86,1.42,,
2012,JUN,4,4,9.65,17.22,40.44,0.849,NA,1.37,84.84,17.66,63.41,625.79,1.41,,
2012,JUN,4,5,5.43,17.33,43.5,0.869,NA,0.57,126.24,16.96,65.72,625.87,1.39,,
2012,JUN,4,6,2.69,20.27,71.63,1.519,NA,0.96,135.57,16.54,67.08,625.91,3.1,,
2012,JUN,4,7,2.85,19.94,74.89,2.209,NA,0.45,189.83,16.28,67.05,626.21,593.86,,
2012,JUN,4,8,6.61,21,62.84,1.819,NA,0.93,63.68,18.6,59.36,626.3,961.84,,
2012,JUN,4,9,14.44,30.45,54.4,1.469,123.73,1.3,80.49,20.73,53.33,626.38,966.53,,
2012,JUN,4,10,32.2,27.65,32.97,1.089,112.32,1.18,154.51,23.13,44.51,626.39,967.39,,
2012,JUN,4,11,51.49,21.24,19.17,0.899,80.74,1.75,237.14,24.94,38.91,626.06,967.42,,
2012,JUN,4,12,57.56,18.21,16.21,0.839,63.65,2.41,244.74,26.4,33.88,625.71,967.92,,
2012,JUN,4,13,59.3,16.27,15.05,0.849,60.48,2.99,268.05,27.88,28.67,625.15,967.61,,
2012,JUN,4,14,66.23,16.1,15.64,0.839,56.57,3.15,269.88,28.97,25.7,624.33,967.35,,
2012,JUN,4,15,63.42,14.73,14.37,0.759,54.5,3.07,255.46,30.18,18.81,623.7,968.06,,
2012,JUN,4,16,61.96,14.32,14.93,0.669,37.86,3.64,256.59,30.93,15.78,622.98,968.95,,
2012,JUN,4,17,61.88,14.31,16.92,0.739,44.09,3.99,226.2,30.63,18.79,622.53,969.51,,
2012,JUN,4,18,56.07,14.29,19.82,0.839,42.52,4.27,197.08,29.1,24.34,622.44,969.67,,
2012,JUN,4,19,54.53,14.11,20.61,0.819,52.82,3.17,189.84,28.83,24.56,622.41,969.98,,
2012,JUN,4,20,45.91,14.09,24.29,0.859,49.74,3.66,205.35,28.13,25.36,622.47,529.38,,
2012,JUN,4,21,35.71,14.06,25.11,0.909,52.27,3.1,187.56,26.31,29.18,622.83,5.18,,
2012,JUN,4,22,18.96,14.69,35.8,1.149,52.71,2.08,158.34,24.65,33.29,623.25,1.53,,
2012,JUN,4,23,11.67,15.77,38.79,1.159,56.64,0.86,89.26,23.31,38.78,623.77,1.49,,
2012,JUN,5,0,5.36,20.8,42.2,1.059,63.7,0.89,278.21,22.35,41.39,624.06,1.48,,
2012,JUN,5,1,19.43,14.71,28.73,0.709,61.05,1.03,250.79,21.23,47.12,624.28,10.14,,
2012,JUN,5,2,14.15,14.83,32.06,0.729,40.38,0.99,198.26,20.56,50.58,624.19,1.43,,
2012,JUN,5,3,13.53,15.11,32.54,0.759,42.53,0.76,159.75,20.28,52.26,624.03,1.46,,
2012,JUN,5,4,20.73,15.06,24.62,0.709,46.8,1.15,200.01,19.63,55.48,624.05,1.44,,
2012,JUN,5,5,9.71,14.77,32.52,0.719,44.02,1.19,246.95,18.78,58.73,624.14,1.42,,
2012,JUN,5,6,12.82,14.86,31.28,0.829,50.33,1.53,204.36,18.87,59.32,624.26,3.8,,
2012,JUN,5,7,5.55,15.77,43.03,1.279,61.51,1.06,225.78,18.45,60.5,624.4,606.21,,
2012,JUN,5,8,12.7,16.19,40.2,1.419,99.33,1.45,172.45,20.2,55.6,624.62,962.35,,
2012,JUN,5,9,32.53,16.36,22.96,1.049,110.41,2.24,228.12,22.57,50.38,624.72,966.83,,
2012,JUN,5,10,46.11,17.27,17.61,0.909,71.32,2.9,213.18,24.32,40.84,624.64,967.2,,
2012,JUN,5,11,51.31,16.44,17.23,0.829,70.8,2.68,223.7,25.9,34.76,624.31,967.59,,
2012,JUN,5,12,59.89,14.98,16.42,0.799,81.51,3.08,234.8,27.74,27.18,623.81,968.3,,
2012,JUN,5,13,71.53,14.36,16.05,0.779,57.04,3.28,252.9,29.19,22.96,623.26,968.01,,
2012,JUN,5,14,72.71,14.17,15.73,0.729,62.22,2.93,248.57,30.29,21.1,622.55,967.79,,
2012,JUN,5,15,70.59,13.81,18.19,0.779,52.88,2.67,206.65,31.72,16.64,621.83,968.49,,
2012,JUN,5,16,74.67,13.55,15.78,0.699,53.62,2.67,210.91,32.08,15.63,621.07,969.37,,
2012,JUN,5,17,74.86,13.4,16.19,0.689,44.29,3.22,244.39,32.04,15.47,620.51,970.18,,
2012,JUN,5,18,72.4,13.12,15.45,0.659,43.46,2.77,250.05,31.67,15.35,620.21,969.57,,
2012,JUN,5,19,65.52,13.47,19.81,0.749,43.68,2.34,228.76,30.8,16.69,620.23,971.11,,
2012,JUN,5,20,52.92,13.69,29.12,0.899,56.83,3.15,217.72,29.62,17.21,620.65,368.86,,
2012,JUN,5,21,36.31,14.61,37.67,1.049,246.55,2.67,159.78,28.7,22.1,620.96,3.05,,
2012,JUN,5,22,44.47,14.19,23.69,0.789,87.48,3.45,190.81,27.46,26.52,621.57,1.58,,
2012,JUN,5,23,47.9,13.7,17.11,0.679,59.81,3.31,235.62,26.57,29.08,622.49,1.56,,
2012,JUN,6,0,39.29,13.79,19.53,0.669,57.06,2.36,188.58,25.64,31.37,622.74,1.52,,
2012,JUN,6,1,31.46,13.62,21.96,0.649,47.46,1.3,232.45,24.3,33.18,623.36,10.09,,
2012,JUN,6,2,27.5,13.27,24.21,0.649,51.68,1.63,176.83,23.9,33.35,623.21,1.51,,
2012,JUN,6,3,36.5,13.54,16.85,0.629,47.11,3.09,187.22,23.52,32.63,623,1.49,,
2012,JUN,6,4,37.53,13.77,16.58,0.619,48.31,3.29,195.08,23.23,33.51,623.04,1.51,,
2012,JUN,6,5,37.9,13.55,16.32,0.609,45.82,3.93,194.7,22.65,34.87,623.12,1.49,,
2012,JUN,6,6,28.86,13.93,24.21,0.749,38.45,2.97,205.26,21.73,36.87,623.39,2.62,,
2012,JUN,6,7,13.3,14.73,39.1,1.049,44.31,1.88,233.17,21.15,38.94,623.68,587.62,,
