DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR
AGO,1,0,17.67,5.18,2.357,15.76,17,2.01,83.41,16.75,96.88
AGO,1,1,16.70,3.85,2.394,14.52,25,1.78,88.39,16.49,96.95
AGO,1,2,15.62,2.94,2.387,14.87,25,1.52,153.24,16.24,97.23
AGO,1,3,12.38,2.93,2.415,14.86,46,1.61,181.56,16.41,98.16
AGO,1,4,8.58,2.78,2.416,16.56,61,1.37,146.56,16.27,98.35
AGO,1,5,3.28,2.95,2.441,20.55,45,1.79,141.41,16.23,98.64
AGO,1,6,NA,2.98,2.553,23.46,69,1.76,78.85,16.17,98.71
AGO,1,7,0.75,3.87,2.710,23.71,80,1.60,220.23,16.40,98.64
AGO,1,8,1.22,4.37,2.650,21.24,40,1.71,249.83,17.95,98.67
AGO,1,9,3.92,3.80,2.783,22.85,40,1.87,249.88,18.84,95.57
AGO,1,10,7.68,3.60,2.899,20.91,43,2.41,271.40,19.96,95.07
AGO,1,11,12.46,3.75,2.806,17.78,45,2.52,261.41,18.31,89.51
AGO,1,12,25.27,4.22,2.613,14.08,35,2.50,233.27,22.86,87.09
AGO,1,13,42.70,3.49,2.727,12.72,31,1.96,236.02,23.86,72.29
AGO,1,14,56.16,3.64,2.756,12.11,43,1.99,225.27,24.54,68.42
AGO,1,15,35.78,3.25,2.803,16.31,31,2.96,201.64,20.91,71.59
AGO,1,16,36.26,3.16,2.685,14.61,19,2.16,215.41,21.65,79.93
AGO,1,17,34.00,3.37,2.605,13.16,26,2.55,100.17,19.98,78.39
AGO,1,18,26.51,3.23,2.535,13.24,18,2.61,107.15,19.38,81.13
AGO,1,19,24.57,3.33,2.590,15.22,25,2.65,109.31,19.24,82.10
AGO,1,20,19.01,3.10,2.667,18.35,26,2.70,103.60,18.54,85.54
AGO,1,21,16.77,3.49,2.645,21.22,36,2.87,90.30,18.06,86.63
AGO,1,22,13.89,3.09,2.627,19.80,40,2.04,130.72,17.94,87.06
AGO,1,23,7.94,3.33,2.729,20.20,76,2.06,120.02,17.74,86.94
AGO,2,0,6.10,3.38,2.590,19.03,54,2.23,102.41,17.42,87.91
AGO,2,1,4.03,3.11,2.629,19.76,58,2.07,101.86,17.34,89.10
AGO,2,2,2.41,3.00,2.556,20.69,73,2.12,115.23,17.10,90.35
AGO,2,3,1.96,2.57,2.500,19.04,42,2.10,117.09,16.95,90.96
AGO,2,4,5.87,2.80,2.461,16.17,31,2.14,104.25,17.30,89.06
AGO,2,5,1.56,2.66,2.538,19.95,39,1.65,110.69,17.06,90.13
AGO,2,6,0.59,3.15,2.587,20.24,99,1.32,70.44,17.16,90.25
AGO,2,7,0.85,3.89,2.758,20.67,69,1.62,158.71,17.24,89.72
AGO,2,8,2.77,4.07,2.632,17.78,41,1.88,73.67,17.91,88.59
AGO,2,9,9.29,4.23,2.502,12.57,30,2.20,110.20,20.50,80.03
AGO,2,10,19.21,3.61,2.436,8.77,21,3.21,117.93,23.69,63.84
AGO,2,11,28.13,3.33,2.430,9.51,30,3.30,100.75,24.22,57.83
AGO,2,12,35.39,2.98,2.424,8.83,21,3.01,94.95,25.81,50.19
AGO,2,13,40.69,2.76,2.423,9.25,25,2.25,190.39,25.34,48.32
AGO,2,14,43.11,2.66,2.544,11.20,25,1.97,261.88,24.65,51.89
AGO,2,15,38.99,2.93,2.946,14.99,30,2.26,278.56,24.77,53.99
AGO,2,16,33.51,4.45,3.072,15.99,40,3.00,199.89,24.38,56.67
AGO,2,17,24.94,15.03,2.841,14.83,42,4.32,180.01,22.56,58.01
AGO,2,18,20.27,14.31,2.735,14.74,54,3.14,242.92,21.63,61.22
AGO,2,19,16.80,14.04,2.768,16.25,44,2.05,230.60,21.41,60.16
AGO,2,20,7.52,7.31,2.981,22.37,37,2.04,225.14,20.47,66.03
AGO,2,21,12.33,6.11,2.580,14.80,41,3.63,149.16,19.18,73.29
AGO,2,22,24.41,3.86,2.360,7.98,23,4.80,121.73,17.48,78.58
AGO,2,23,24.95,3.04,2.339,8.01,19,3.76,122.74,15.80,91.20
AGO,3,0,20.71,2.81,2.342,8.85,18,3.32,98.25,15.78,95.61
AGO,3,1,26.26,4.22,2.328,8.43,8,2.65,91.95,15.56,95.03
AGO,3,2,27.95,4.84,2.326,9.33,9,3.27,90.13,15.42,94.44
AGO,3,3,30.67,4.37,2.321,9.85,9,3.03,89.25,15.27,92.66
AGO,3,4,25.17,4.67,2.346,11.60,13,2.12,89.97,14.91,93.67
AGO,3,5,15.09,5.01,2.385,15.95,14,1.88,85.31,14.97,95.03
AGO,3,6,11.86,5.16,2.495,17.20,27,1.41,144.97,14.73,95.55
AGO,3,7,6.52,5.15,2.604,19.75,20,1.74,141.00,14.88,96.98
AGO,3,8,5.06,5.51,2.595,16.74,32,2.27,115.03,17.78,89.74
AGO,3,9,9.61,5.26,2.469,12.28,28,2.42,102.10,20.13,79.71
AGO,3,10,17.07,4.99,2.428,9.93,24,3.46,95.61,21.99,67.21
AGO,3,11,24.39,5.17,2.396,9.65,20,3.23,99.74,23.86,55.88
AGO,3,12,30.84,5.03,2.383,8.51,19,3.39,93.12,24.90,49.76
AGO,3,13,36.93,4.57,2.377,8.32,20,2.60,119.28,25.91,45.87
AGO,3,14,43.77,5.21,2.396,8.64,28,2.37,158.46,26.92,43.16
AGO,3,15,48.02,5.36,2.382,8.53,28,2.97,169.14,27.06,43.78
AGO,3,16,50.07,4.82,2.409,8.55,28,4.59,164.14,25.28,50.36
AGO,3,17,36.11,4.01,2.414,9.18,27,5.01,177.29,21.42,63.54
AGO,3,18,35.80,3.96,2.415,8.69,26,2.63,185.60,18.84,71.78
AGO,3,19,33.87,3.61,2.548,11.91,17,1.51,238.69,17.90,75.16
AGO,3,20,23.01,4.29,2.853,22.76,24,1.67,177.31,18.26,78.27
AGO,3,21,14.49,4.84,2.716,23.76,35,2.03,277.65,17.85,82.50
AGO,3,22,5.66,5.17,2.631,26.31,34,1.83,258.30,17.13,84.75
AGO,3,23,5.95,5.44,2.626,25.35,30,1.59,212.32,16.74,85.86
AGO,4,0,0.43,5.66,2.593,23.33,34,1.68,141.87,16.06,90.01
AGO,4,1,1.87,4.79,2.481,20.60,30,1.74,137.20,15.50,91.09
AGO,4,2,0.40,3.64,2.430,19.29,31,1.58,143.71,15.11,93.99
AGO,4,3,NA,3.65,2.442,19.84,37,1.72,146.81,14.73,95.97
AGO,4,4,NA,3.92,2.452,19.47,36,1.47,99.91,14.41,96.00
AGO,4,5,NA,4.33,2.495,19.08,38,1.67,116.20,14.31,96.45
AGO,4,6,NA,4.79,2.651,17.80,55,1.71,127.48,13.73,97.31
AGO,4,7,NA,4.66,2.651,18.31,135,1.55,158.98,13.55,96.96
AGO,4,8,0.70,4.24,2.626,17.60,110,2.06,127.77,14.94,97.58
AGO,4,9,4.47,4.04,2.567,14.90,119,2.70,126.50,19.42,84.23
AGO,4,10,14.03,4.03,2.434,11.35,59,3.50,105.99,22.12,67.27
AGO,4,11,26.56,3.86,2.481,12.39,30,4.01,89.96,23.28,59.01
AGO,4,12,41.83,3.61,2.511,13.19,34,3.83,103.98,24.81,53.47
