DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,2,20,0.0459,0.0015,2.994,NA,30,2.14,267.92,23.29
SEP,2,21,0.0283,0.0021,3.277,NA,44,1.69,276.66,22.67
SEP,2,22,0.0154,0.0028,3.03,NA,51,1.68,255.63,21.86
SEP,2,23,0.0153,0.0074,2.863,NA,46,2.07,143.86,20.59
SEP,3,0,0.0132,0.0038,2.789,NA,51,1.7,120.59,19.07
SEP,3,1,0.016,0.0029,2.755,NA,46,1.98,149.48,18.47
SEP,3,2,0.0143,0.0027,2.682,NA,37,2.38,93.07,17.96
SEP,3,3,0.0134,0.0036,2.643,NA,34,3.3,80.5,16.84
SEP,3,4,0.0099,0.0109,2.645,NA,40,2.4,125.65,15.56
SEP,3,5,0.0101,0.006,2.684,NA,32,1.78,121.96,14.76
SEP,3,6,0.0053,0.0047,2.791,NA,37,1.95,131.73,13.81
SEP,3,7,0.0026,0.0057,2.988,NA,56,1.68,102.68,13.82
SEP,3,8,0.007,0.0058,2.907,NA,63,2.01,114.84,17.47
SEP,3,9,0.0187,0.005,2.754,NA,48,2.83,114.8,19.75
SEP,3,10,0.0344,0.0055,2.708,NA,42,4.27,97.16,21.8
SEP,3,11,0.042,0.013,2.685,NA,37,3.8,89.09,23.42
SEP,3,12,0.0438,0.0246,2.699,NA,40,4.31,76.88,24.81
SEP,3,13,0.0498,0.0345,2.683,NA,40,4.16,68.92,26.22
SEP,3,14,0.0552,0.0132,2.636,NA,39,3.7,85.05,27.72
SEP,3,15,0.0571,0.0148,2.616,NA,28,3.87,88.29,28.66
SEP,3,16,0.0619,0.0106,2.603,NA,25,3.46,114.67,29.41
SEP,3,17,0.0594,0.0068,2.645,NA,28,3.46,103.3,29.61
SEP,3,18,0.0592,0.0033,2.661,NA,25,3.36,105.07,29.1
SEP,3,19,0.0494,0.0034,2.756,NA,35,3.06,100.48,27.65
SEP,3,20,0.026,0.0047,2.903,NA,37,3.14,57.55,24.72
SEP,3,21,0.0226,0.0059,2.753,NA,40,3.68,57.93,22.82
SEP,3,22,0.0202,0.0097,2.671,NA,38,3.48,96.2,21.02
SEP,3,23,0.0132,0.0071,2.666,NA,41,3.03,106.34,19.04
SEP,4,0,0.0179,0.0048,2.611,NA,33,3.83,106.85,18.66
SEP,4,1,0.0141,0.004,2.606,NA,36,3.17,95.41,17.39
SEP,4,2,0.0135,0.0096,2.596,NA,25,2.58,86.44,16.54
SEP,4,3,0.01,0.0103,2.628,NA,30,1.85,134.88,15.59
SEP,4,4,0.014,0.0069,2.617,NA,41,2.22,135.22,15.23
SEP,4,5,0.0116,0.0083,2.656,NA,35,1.83,121.5,14.89
SEP,4,6,0.0084,0.008,2.798,NA,55,2.73,72.19,14.86
SEP,4,7,0.0122,0.0049,2.804,NA,40,3.4,96.88,15.43
SEP,4,8,0.0085,0.0052,2.88,NA,54,2.67,103.63,17.04
SEP,4,9,0.0183,0.009,2.796,NA,46,3.69,95.72,20.21
SEP,4,10,0.0259,0.0209,2.707,NA,42,4.95,82.08,22.07
SEP,4,11,0.032,0.0162,2.7,NA,37,4.69,65.44,23.2
SEP,4,12,0.0362,0.0154,2.684,NA,33,4.54,87.04,25.27
SEP,4,13,0.0413,0.0089,2.645,NA,27,4.97,98.14,26.4
SEP,4,14,0.0421,0.0101,2.659,NA,34,5.21,90.18,26.51
SEP,4,15,0.0408,0.0144,2.702,NA,31,4.77,82.12,26.66
SEP,4,16,0.0413,0.0083,2.728,NA,33,4.37,79.62,25.72
SEP,4,17,0.0309,0.0131,2.715,NA,31,5.25,68.6,24.46
SEP,4,18,0.0208,0.0103,2.74,NA,38,5.69,78.2,18.18
SEP,4,19,0.0222,0.0162,2.707,NA,19,6.24,57.04,17.63
SEP,4,20,0.0213,0.0116,2.676,NA,22,5.09,59.46,17.99
SEP,4,21,0.0243,0.0102,2.626,NA,16,5.46,55.53,17.61
SEP,4,22,0.0267,0.0203,2.578,NA,17,4.87,49.09,17.05
SEP,4,23,0.0259,0.0108,2.56,NA,20,5,63.83,17.01
SEP,5,0,0.0255,0.0089,2.556,NA,15,3.65,71.39,17.26
SEP,5,1,0.0195,0.0154,2.558,NA,27,3.45,85.31,17.01
SEP,5,2,0.0233,0.0183,2.554,NA,18,3.4,83.51,16.59
SEP,5,3,0.0233,0.0057,2.56,NA,15,3.17,105,15.55
