DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR
JUN,1,0,33.01,3.47,2.97,NA,19.39,4.57,79.08,21.52,53.13
JUN,1,1,32.19,4.2,2.93,NA,16.14,4.24,73,20.97,55.02
JUN,1,2,32.91,4.79,2.91,NA,11.85,4,76.41,20.07,58.17
JUN,1,3,32.14,4.87,2.9,NA,12.6,3.97,73.2,19.28,61.94
JUN,1,4,34.26,5.23,2.89,NA,12.32,4.09,79.55,18.86,63.79
JUN,1,5,31.98,4.97,2.9,NA,15.2,3.46,77.82,18.02,67.13
JUN,1,6,29.19,5.45,2.95,NA,17.44,3.78,58.47,18.08,66.4
JUN,1,7,25.02,7.72,3.05,NA,18.07,2.68,66.85,18.41,66.14
JUN,1,8,29.05,8.39,2.99,NA,21.32,3.39,75.52,21.56,57.13
JUN,1,9,37.35,6.42,2.95,NA,20.82,4.79,81.72,23.03,50.48
JUN,1,10,38.62,5.54,2.99,NA,21.66,4.56,87.04,24.61,46.24
JUN,1,11,44.23,4.83,2.97,NA,19.98,4.12,105.29,26.6,40.2
JUN,1,12,50.59,4.09,2.97,NA,23.23,3.79,100.49,28.42,33.28
JUN,1,13,53.21,3.96,2.98,NA,17.53,3.51,106.23,30.13,29.2
JUN,1,14,56.38,3.79,2.93,NA,18.65,3.52,138.12,31.22,26.66
JUN,1,15,58.61,3.46,2.95,NA,11.73,2.84,103.05,32.07,24.19
JUN,1,16,52.82,4.26,3.04,NA,25.47,3.86,203.03,30.62,24.34
JUN,1,17,51.81,3.47,3.05,NA,16.2,2.83,218.41,31.43,22.25
JUN,1,18,49.12,3.54,3.07,NA,26.05,4.82,73.17,29.26,29.96
JUN,1,19,37.94,6.13,3.11,NA,99.26,4.29,65.5,27.03,35.35
