DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR
JUL,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,1,1,44.68,4.38,1.973,7.86,12,2.61,225.68,17.11,95.16
JUL,1,2,42.1,4.55,1.954,7.62,13,2.42,201.01,17.08,97.56
JUL,1,3,36.4,4.69,2.007,9.53,10,2.26,246.02,17.17,97.72
JUL,1,4,33.71,5.27,1.995,9.67,15,1.83,261.03,17.23,98.35
JUL,1,5,38.31,4.87,1.919,8.56,15,1.85,202.78,16.87,98.46
JUL,1,6,35.38,5.29,1.936,9.86,8,1.92,192.21,16.77,98.65
JUL,1,7,28.55,5.38,1.99,11.2,13,1.53,131.04,16.98,99.12
JUL,1,8,24.39,5.44,2.18,16.82,14,1.68,233.88,17.59,99.32
JUL,1,9,27.02,5.51,2.233,16.91,10,1.72,249.94,19.04,99.36
JUL,1,10,38.77,11.81,3.22,19.42,22,1.75,195.65,22.05,NA
JUL,1,11,52.74,31.87,3.279,19.12,48,1.71,180.66,24.02,84.45
JUL,1,12,73.34,31.15,2.507,13.52,40,1.81,214.71,26.13,73.16
JUL,1,13,91.19,32.72,3.164,14.9,44,1.86,211.43,26.76,61.88
JUL,1,14,110.89,47.79,3.636,15.74,69,2.53,198.41,27.64,55.92
JUL,1,15,101.93,33.73,2.944,14.03,48,2.35,207.76,28.38,48.21
JUL,1,16,85.71,20.01,2.271,11.06,30,2.9,246.65,29.39,42.77
JUL,1,17,67.95,11.61,2.066,10.38,20,2.81,280.29,30.08,37.35
JUL,1,18,66.18,9.27,2.07,10.04,55,2.26,249,30.68,33.60
JUL,1,19,64.93,7.49,2.133,10.59,31,2.36,226.74,28.97,36.72
JUL,1,20,51.92,6.94,2.094,10.06,34,3.42,191.54,26.25,49.24
JUL,1,21,39.81,6.34,2.187,12.92,34,3.89,134.93,23.04,64.25
JUL,1,22,30.68,6.95,2.418,14.03,28,2.87,86.8,20.16,85.72
JUL,1,23,28.1,6.99,2.033,10.99,10,1.93,190.31,19.34,90.80
JUL,2,0,28.44,6.69,1.997,9.4,18,2.82,124.97,19.04,91.95
JUL,2,1,32.35,4.79,1.963,8.16,3,1.78,192.2,18.11,95.85
JUL,2,2,29.85,4.01,1.946,8.19,11,1.78,146.98,18.37,96.77
JUL,2,3,31.69,3.95,1.939,7.54,9,1.64,226.5,18.31,97.80
JUL,2,4,29.21,3.94,1.937,9.25,9,1.66,263.51,18.48,NA
JUL,2,5,24.51,3.87,1.933,9.84,11,1.79,185.5,18.28,NA
JUL,2,6,20.25,3.62,1.983,11.67,13,1.4,206.51,18.2,NA
JUL,2,7,16.14,3.65,2.143,14.94,15,1.44,182.94,18.3,NA
JUL,2,8,14.07,3.5,2.212,16.84,19,1.56,238.54,19.42,NA
JUL,2,9,22.44,3.62,2.13,12.35,14,1.69,236.55,21.77,95.95
JUL,2,10,28.59,3.83,2.04,10.17,16,2.67,103.91,25.35,79.18
JUL,2,11,39.46,3.7,1.974,8.48,24,2.72,106.17,26.89,61.08
JUL,2,12,45.05,3.55,1.94,7.53,28,2.59,131.26,27.19,54.68
JUL,2,13,46.95,3.09,2.044,8.99,25,2.37,110.09,28.16,48.35
JUL,2,14,49.6,3.17,1.976,8.68,25,2.14,163.54,28.94,45.30
JUL,2,15,56.95,3.53,2.189,11.3,26,2.02,156.88,29.2,41.60
JUL,2,16,59.25,9.8,2.353,11.95,27,1.93,157.56,30.56,36.86
JUL,2,17,62.1,13.92,2.189,9.72,24,2.08,175.16,30.4,33.78
JUL,2,18,57.94,10.53,2.148,10.07,26,2.53,240.7,30.81,32.45
JUL,2,19,49.5,5.18,2.125,11.68,27,2.61,303.05,29.16,33.71
JUL,2,20,47.29,3.72,2.254,15.12,33,2.68,264.77,26.97,43.85
JUL,2,21,36.3,3.88,2.161,11.54,46,4.12,115.76,24.46,53.16
JUL,2,22,38.56,3.36,2.074,9.44,31,2.38,172.04,21.6,64.95
JUL,2,23,35.42,2.99,2.05,10.03,27,1.87,150.73,20.99,67.54
JUL,3,0,27.52,3.38,2.01,11.81,30,3.47,94.25,21.15,65.42
JUL,3,1,14.77,4.21,1.976,14.87,38,2.9,106.97,20.07,69.58
JUL,3,2,16.71,4.5,1.93,11.99,44,2.94,91.4,18.93,71.32
JUL,3,3,10.33,4.65,1.923,14.92,32,3.24,87,18.16,75.79
JUL,3,4,15.07,4.75,1.897,10.6,39,2.81,74.87,17.67,78.34
JUL,3,5,17.85,5.6,1.927,12.84,40,2.38,117.26,17.21,79.08
JUL,3,6,9.71,5.56,2.028,16.3,41,2.58,80.83,16.67,82.15
JUL,3,7,9.65,5.75,2.078,16.4,46,1.61,155.76,17.34,82.42
JUL,3,8,13.39,5.85,2.12,13.94,51,2.96,86.48,20.8,70.45
JUL,3,9,24.75,5.53,2.026,10.13,54,4.84,76.94,22.32,60.14
JUL,3,10,32.89,5.24,1.994,9.6,45,4.9,84,23.64,53.33
JUL,3,11,40.79,4.94,2.029,9.83,38,3.98,84.64,25.24,48.48
JUL,3,12,49.65,4.57,2.001,9.87,37,3.34,100.36,26.55,45.29
JUL,3,13,58.17,4.84,2.03,9.56,45,2.96,112.68,27.77,42.22
JUL,3,14,62.83,4.8,1.981,8.82,41,2.72,118.5,28.82,37.56
JUL,3,15,63.86,4.31,1.957,8.53,29,3.15,110.92,29.44,31.59
JUL,3,16,61.78,3.82,1.93,8.09,19,2.7,132.41,30.59,25.46
JUL,3,17,61.31,3.48,1.973,8.54,15,3.39,114.64,30.99,23.83
JUL,3,18,60.5,3.21,2.04,9.86,23,2.5,101.07,30.79,25.41
JUL,3,19,38.93,20.63,2.541,14.12,39,4.61,63.97,28,32.97
JUL,3,20,29.37,10.5,2.165,14.6,46,2.81,80.72,26.03,38.81
JUL,3,21,23.61,9,2.063,13.28,29,4.14,48.73,25.24,43.92
JUL,3,22,23.5,7.72,2.025,10.74,38,4.35,61.55,23.66,49.41
JUL,3,23,20.77,6.89,2.005,10.21,33,2.82,114.52,22.17,56.83
JUL,4,0,20.33,6.17,1.989,10.17,32,3.32,84.92,21.34,60.85
JUL,4,1,16.52,5.65,1.949,12.2,26,2.93,65.67,20.3,64.35
JUL,4,2,16.56,5.91,1.923,12.5,24,3.05,68.48,19.63,65.77
JUL,4,3,14.66,6.98,1.897,12.73,17,2.55,61.82,18.74,68.34
JUL,4,4,11.47,7.54,1.906,15.14,22,2.19,97.96,17.95,71.96
JUL,4,5,10.24,7.42,1.928,14.6,27,2.42,82.97,17.23,76.84
JUL,4,6,8.83,6.83,1.986,14.56,26,2.24,108.93,16.77,80.67
JUL,4,7,6.55,6.56,2.067,16.05,33,2.07,112.58,17.01,82.96
JUL,4,8,8.26,6.15,2.114,14.48,49,2.43,110.88,20.58,73.96
JUL,4,9,19.1,6.35,2.076,11.05,38,3.37,95.16,22.92,59.91
JUL,4,10,28.96,5.85,2.001,9.27,31,4.02,89.55,24.07,50.70
JUL,4,11,38.73,4.79,2.023,9.32,25,3.58,90.06,25.61,44.23
JUL,4,12,45.72,4.63,1.983,8.5,22,2.94,113.09,27.25,39.59
JUL,4,13,48.41,4.4,1.96,8.21,21,2.89,120.48,28.26,34.29
JUL,4,14,53.9,4.14,1.982,8.24,19,3.58,123.61,28.94,32.81
JUL,4,15,56.49,4.02,2.004,8.23,16,3.5,121.13,29.69,32.26
JUL,4,16,60.09,3.6,2.008,8.14,18,2.99,121,30.53,30.54
JUL,4,17,63.18,3.56,2.006,8.22,21,3.29,141.63,30.97,29.32
JUL,4,18,64.85,3.35,1.996,8.13,18,2.62,144.81,31.17,28.67
JUL,4,19,53.38,3.55,2.127,10.84,25,2.63,204.67,29.67,32.01
JUL,4,20,45.01,15.85,2.801,14.15,54,2.96,156.33,27.49,39.02
JUL,4,21,29.8,27.46,2.379,11.5,38,3.8,59.78,26.85,36.71
JUL,4,22,25.4,8.55,2.087,11.21,32,3.12,78.95,25.35,43.57
JUL,4,23,25.73,8.58,2.088,9.92,25,2.74,113.91,22.55,54.91
JUL,5,0,22.3,6.02,2.105,12.69,18,2.64,103.87,20.69,72.90
JUL,5,1,26.54,4.82,2.051,11.47,19,2.29,112.31,20.08,75.75
JUL,5,2,24.57,4.32,2.016,12.16,16,2.16,167.59,19.39,77.43
JUL,5,3,23.43,4.14,1.995,11.89,16,1.61,159.01,19.16,78.80
JUL,5,4,24.16,4.34,1.986,11.69,10,1.56,138.6,18.9,80.00
JUL,5,5,12.03,4.11,1.977,19.07,19,1.38,74.29,18.36,81.27
JUL,5,6,1.83,4.14,2.036,24.41,17,1.76,139.3,17.7,81.51
JUL,5,7,2.77,4.22,2.069,19.75,22,1.96,118.06,18.39,79.51
JUL,5,8,8.05,5.16,2.031,15.72,16,2.28,97.89,22.01,63.50
JUL,5,9,14.58,4.85,2.047,12.84,16,2.75,101.77,24.13,54.61
JUL,5,10,28.8,4.33,1.997,8.32,22,2.97,111.07,25.79,49.78
JUL,5,11,34.59,4.04,2.017,8.48,8,3.08,95.72,26.78,46.50
JUL,5,12,41,3.55,1.971,7.61,26,2.89,140.23,28.18,42.88
JUL,5,13,48.71,3.7,2.017,8.37,235,2.34,159.72,29.47,38.14
JUL,5,14,54.6,3.51,2.017,8.32,115,2.48,168.22,30.22,35.20
JUL,5,15,49.65,3.56,2.011,7.94,16,2.76,173.6,30.67,30.02
JUL,5,16,52.7,7.34,2.113,8.18,10,2.6,169.61,31.47,27.91
JUL,5,17,60.5,6.72,2.121,8.42,15,3.08,260.88,31.61,28.24
JUL,5,18,62.28,5.72,2.171,8.58,23,2.62,245.87,31.18,28.59
JUL,5,19,48.38,4.23,2.134,10,132,3.79,217.57,27.45,42.47
JUL,5,20,36.73,3.05,2.164,11.45,192,3.08,179.89,25.12,52.30
JUL,5,21,27.72,2.99,2.447,16.79,53,2.85,144.76,23.47,60.80
JUL,5,22,23.12,2.94,2.11,13.31,28,2.76,134.46,21.94,68.79
JUL,5,23,19.77,2.65,2.078,15.61,17,2.26,142.46,21.16,67.82
JUL,6,0,24.81,2.86,2.015,14.54,11,2.43,125.2,20.48,68.63
JUL,6,1,17.35,4.14,2.003,18.02,21,2.36,115.24,19.45,73.51
JUL,6,2,12.38,4.8,2,21.1,20,1.65,106.02,19.13,74.14
JUL,6,3,15.92,4.88,1.987,18.36,10,1.91,117.79,19.21,73.54
JUL,6,4,2.82,4.91,1.991,26.29,23,1.81,99.93,18.24,79.50
JUL,6,5,1.52,5.42,1.999,27.72,19,1.49,138.73,17.81,80.55
JUL,6,6,1.5,6.07,2.147,30.14,30,1.73,107.62,17.85,81.24
JUL,6,7,1.28,6.66,2.105,26.21,22,2.19,129.62,17.37,82.43
JUL,6,8,3.82,6.45,2.088,20.87,31,2.39,133.89,19.92,79.35
JUL,6,9,13.23,6.96,2.053,15.71,34,2.09,120.55,22.51,69.72
JUL,6,10,26.53,7.29,2.201,13.83,19,2.07,200.31,25.66,58.82
JUL,6,11,43.78,7.29,2.129,10.57,23,2.44,243.1,28.14,49.47
JUL,6,12,54.15,6.59,2.092,10.02,26,2.3,238.67,28.14,47.65
JUL,6,13,58.94,6.22,2.039,8.87,23,2.21,222.91,30.49,40.66
JUL,6,14,65.79,6.17,2.153,9.63,26,2.32,218.93,30.8,34.76
JUL,6,15,74.37,8.07,2.126,9.3,34,2.92,137.16,30.57,32.62
JUL,6,16,71.66,6.95,2.059,8.53,22,2.67,168.13,31.33,32.31
JUL,6,17,72.83,5.38,2.094,8.98,24,3.29,145.95,31.34,32.34
JUL,6,18,76.18,4.9,2.121,8.77,28,2.51,150.8,31.17,32.40
JUL,6,19,74.25,4.85,2.127,9.13,31,1.94,160.97,30.02,33.98
JUL,6,20,64.72,4.72,2.327,14.15,39,2.3,246.71,27.78,38.91
JUL,6,21,43.05,4.88,2.392,22.13,42,2.5,203.92,27.17,41.87
JUL,6,22,28.1,9.38,2.235,15.67,37,3.9,74.86,26.25,40.76
JUL,6,23,19.21,8.34,2.078,14.97,29,3.35,114.17,24.51,52.48
