DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
FEB,3,22,11.10,7.11,2.56,3.47,1.92,264.73,14.49,95.93,3.27
FEB,3,23,9.38,6.81,2.53,9.25,1.35,160.72,14.63,96.80,3.23
FEB,4,0,7.33,7.17,2.41,6.67,1.23,127.12,14.56,97.34,3.18
FEB,4,1,8.58,7.10,2.35,NA,1.93,293.13,14.33,97.78,3.24
FEB,4,2,8.17,6.08,2.35,14.29,2.34,277.24,14.18,97.64,11.57
FEB,4,3,6.52,5.61,2.34,2.22,1.89,252.80,13.96,97.65,3.22
FEB,4,4,13.93,5.49,2.32,3.79,2.37,263.39,13.66,97.77,3.20
FEB,4,5,15.21,5.40,2.31,6.50,2.08,260.18,13.59,98.14,3.25
FEB,4,6,12.75,5.54,2.37,5.33,1.92,272.22,13.50,98.85,3.26
FEB,4,7,6.16,5.71,2.71,13.41,2.42,308.24,13.74,98.76,3.25
FEB,4,8,4.37,6.20,3.07,19.56,1.78,282.15,13.76,98.59,10.96
FEB,4,9,4.19,6.53,2.95,7.61,2.35,307.53,14.37,98.95,102.29
FEB,4,10,6.10,6.26,2.64,15.31,2.59,311.21,15.26,98.63,151.13
FEB,4,11,10.79,6.26,2.50,7.32,2.67,267.60,18.03,96.02,490.24
FEB,4,12,18.63,4.58,2.40,1.21,2.60,259.84,20.87,85.75,601.42
FEB,4,13,20.37,5.00,2.39,5.25,2.42,265.06,21.54,75.57,478.08
FEB,4,14,22.49,4.86,2.33,3.15,3.30,235.65,22.76,59.44,540.90
FEB,4,15,22.12,2.31,2.36,18.85,3.30,242.54,23.03,55.97,359.78
FEB,4,16,24.44,5.23,2.40,20.91,3.89,255.98,22.17,56.95,291.40
FEB,4,17,23.16,5.03,2.36,16.76,4.70,261.39,22.41,54.36,266.04
FEB,4,18,19.81,4.67,2.37,17.52,4.33,259.75,22.24,53.03,221.72
FEB,4,19,16.64,4.97,2.41,20.51,3.87,258.86,20.51,57.76,37.78
FEB,4,20,12.15,6.07,2.53,26.22,3.26,262.63,18.95,63.08,11.84
FEB,4,21,10.76,5.94,2.54,25.31,2.70,254.30,17.83,66.70,2.97
FEB,4,22,7.02,6.22,2.55,23.83,2.18,238.24,17.00,69.63,5.22
FEB,4,23,6.90,6.28,2.44,19.90,2.03,282.61,16.64,71.31,3.02
FEB,5,0,7.67,6.05,2.37,12.38,1.79,247.96,16.62,71.65,9.73
FEB,5,1,7.46,6.22,2.34,11.56,1.72,268.21,16.28,72.04,14.74
FEB,5,2,7.91,6.59,2.30,10.62,1.79,257.25,16.07,72.84,3.06
FEB,5,3,7.11,6.63,2.31,8.11,1.68,217.13,15.70,73.73,9.23
FEB,5,4,8.12,6.77,2.27,3.92,1.52,209.00,15.38,74.63,10.30
FEB,5,5,7.34,6.94,2.27,8.64,1.59,229.38,14.96,75.06,6.99
FEB,5,6,7.78,6.78,2.30,7.60,1.58,217.23,14.88,77.03,7.01
FEB,5,7,5.42,7.01,2.46,19.80,2.32,238.84,14.68,79.94,11.54
FEB,5,8,8.20,7.09,2.49,5.28,3.40,248.99,13.52,89.77,10.01
FEB,5,9,10.53,6.85,2.51,26.95,2.81,243.31,13.17,95.01,23.79
FEB,5,10,11.99,6.60,2.39,26.20,3.61,221.09,13.54,95.75,74.05
FEB,5,11,16.55,6.48,2.36,6.89,3.60,226.21,14.06,94.58,113.32
FEB,5,12,17.92,6.31,2.36,18.60,4.44,245.24,13.34,91.86,77.03
FEB,5,13,14.71,6.68,2.42,2.86,3.51,260.37,13.59,95.93,138.22
FEB,5,14,14.74,6.82,2.48,8.45,3.00,237.89,15.29,92.27,183.73
FEB,5,15,15.48,6.79,2.41,3.64,3.08,225.12,16.46,86.32,257.88
FEB,5,16,18.97,6.53,2.36,NA,3.65,225.13,18.11,77.16,325.95
FEB,5,17,19.70,6.64,2.36,8.84,3.81,217.37,18.46,72.11,251.06
FEB,5,18,18.33,6.59,2.34,2.82,3.80,222.55,19.39,67.92,213.00
FEB,5,19,14.91,6.61,2.43,16.86,3.88,237.74,16.55,76.42,13.19
FEB,5,20,11.11,6.76,2.57,43.11,3.34,276.46,14.42,87.64,6.60
FEB,5,21,7.70,7.23,2.61,29.08,3.19,245.81,14.38,87.95,3.21
FEB,5,22,10.35,6.65,2.41,7.70,2.95,242.78,14.17,86.20,3.16
FEB,5,23,7.65,6.39,2.37,8.39,2.47,243.87,13.09,88.19,3.26
FEB,6,0,7.47,6.49,2.40,4.76,1.95,264.22,12.62,88.77,3.25
FEB,6,1,5.78,6.72,2.36,12.91,1.85,173.08,12.25,89.88,8.81
FEB,6,2,4.64,7.19,2.38,3.67,2.14,292.64,12.08,89.49,3.25
FEB,6,3,4.58,7.30,2.31,8.10,2.30,285.39,11.70,89.12,3.29
FEB,6,4,5.57,6.66,2.29,4.61,2.24,256.81,10.98,90.03,3.33
FEB,6,5,8.07,6.38,2.27,8.67,2.33,253.21,10.47,90.08,7.80
FEB,6,6,10.16,6.55,2.29,6.75,3.02,290.19,10.35,88.75,3.40
FEB,6,7,8.38,6.31,2.56,9.27,2.35,275.21,9.46,85.92,3.47
FEB,6,8,4.26,6.97,3.19,11.05,2.37,267.36,9.65,85.23,40.67
FEB,6,9,6.73,7.77,3.24,8.99,3.10,304.41,13.84,74.66,260.66
FEB,6,10,13.69,7.58,2.56,19.31,3.15,281.59,16.58,60.01,494.13
FEB,6,11,21.49,6.88,2.37,5.12,3.46,278.49,18.38,51.09,695.62
FEB,6,12,27.65,6.44,2.32,1.94,3.73,272.16,20.31,37.36,831.66
FEB,6,13,20.41,3.78,2.38,2.11,4.07,260.75,21.50,30.22,901.90
FEB,6,14,37.09,5.87,2.36,NA,4.07,243.64,22.16,27.19,661.24
FEB,6,15,42.21,6.32,2.32,NA,4.14,250.44,23.32,23.08,785.71
FEB,6,16,44.47,6.42,2.30,NA,3.37,223.13,23.70,23.83,583.69
FEB,6,17,28.91,3.67,2.33,NA,3.56,206.42,23.30,22.96,390.44
FEB,6,18,40.77,6.20,2.27,NA,3.44,210.65,22.56,21.75,251.15
FEB,6,19,0.89,1.00,3.23,NA,2.47,226.92,18.21,27.32,4.04
FEB,6,20,9.76,4.26,2.92,NA,1.65,218.03,17.04,28.85,3.25
FEB,6,21,8.78,9.30,3.14,NA,1.31,227.66,15.60,30.49,3.09
FEB,6,22,4.26,33.10,3.29,NA,1.16,132.43,14.05,36.10,3.20
FEB,6,23,3.57,62.37,3.51,42.14,1.46,198.28,12.44,45.10,3.29
