DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
ENE,1,0,4.60,18.56,2.92,309.39,1.63,184.07,18.50,44.52,2.92
ENE,1,1,5.76,27.67,3.00,353.69,1.66,238.74,17.42,47.22,3.02
ENE,1,2,4.69,30.87,3.02,565.00,1.53,184.40,16.89,51.50,6.89
ENE,1,3,4.80,24.23,3.51,395.37,1.51,188.57,16.44,53.61,3.09
ENE,1,4,5.37,23.28,3.93,364.72,1.23,184.82,15.25,56.58,3.09
ENE,1,5,5.40,22.10,3.68,464.19,1.75,119.49,14.26,63.32,7.07
ENE,1,6,3.28,14.11,2.61,191.26,2.22,118.33,13.14,68.81,3.21
ENE,1,7,3.36,11.55,2.47,103.27,2.34,123.79,12.57,71.44,3.30
ENE,1,8,3.49,10.79,2.49,108.00,1.86,118.63,12.84,71.63,41.45
ENE,1,9,5.29,10.74,2.32,80.52,1.73,129.31,16.38,61.35,183.99
ENE,1,10,12.17,10.04,2.16,58.83,1.51,185.38,22.54,47.41,415.62
ENE,1,11,18.11,8.00,1.87,31.76,3.83,162.82,23.21,41.34,601.76
ENE,1,12,19.76,6.19,1.83,13.59,4.55,157.31,24.81,35.02,730.51
ENE,1,13,20.46,5.77,1.85,24.54,4.61,180.15,26.05,31.56,633.54
ENE,1,14,20.43,5.70,1.85,32.71,4.56,190.88,26.80,28.56,420.47
ENE,1,15,20.20,5.14,1.83,113.92,5.91,212.01,27.51,25.47,650.84
ENE,1,16,11.86,3.30,1.80,253.10,6.09,228.59,26.07,26.89,347.07
ENE,1,17,16.91,5.84,1.86,80.22,4.95,214.30,24.58,30.91,169.12
ENE,1,18,17.65,5.96,1.91,64.41,4.66,225.96,22.92,36.10,77.99
ENE,1,19,16.37,6.86,1.92,50.36,4.08,218.28,21.50,41.73,5.37
ENE,1,20,16.27,6.79,1.92,44.06,3.56,213.11,20.83,43.82,2.79
ENE,1,21,13.26,10.04,2.01,46.10,2.91,180.58,19.66,47.92,2.86
ENE,1,22,16.35,7.26,1.87,48.29,4.36,184.96,19.30,49.84,3.95
ENE,1,23,16.08,6.56,1.85,28.01,3.69,194.24,18.96,48.45,3.45
ENE,2,0,16.57,5.87,1.81,10.29,2.63,167.24,18.00,52.70,2.94
