DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,3,0,0.024,0.006,2.84,NA,21,11.37,2.5,84.23,63.81
OCT,3,1,0.022,0.004,2.81,NA,20,10.62,2.16,86.04,67.7
OCT,3,2,0.022,0.004,2.85,NA,18,9.82,2.32,107.15,71.4
OCT,3,3,0.024,0.004,2.80,NA,17,10.01,3.11,70.21,73.07
OCT,3,4,0.024,0.004,2.81,NA,19,10.02,2.1,114.62,71.9
OCT,3,5,0.016,0.005,2.81,NA,35,8.61,1.97,167.27,74.75
OCT,3,6,0.013,0.012,2.91,NA,29,8.15,1.55,143.21,79.15
OCT,3,7,0.011,0.011,2.93,NA,29,8.23,1.75,156.61,80.57
OCT,3,8,0.009,0.020,3.03,NA,53,11.78,2.06,136.84,75.77
OCT,3,9,0.016,0.008,3.04,NA,55,15.79,2.47,120.03,62.77
OCT,3,10,0.031,0.004,2.95,NA,33,17.86,5,87.97,53.51
OCT,3,11,0.040,0.004,2.94,NA,29,19.41,5.47,86.19,48.15
OCT,3,12,0.045,0.004,2.93,NA,31,21.24,4.86,84.27,41.9
OCT,3,13,0.050,0.004,2.94,NA,38,22.36,4.61,74.88,37.2
OCT,3,14,0.052,0.004,2.93,NA,31,23.83,3.99,85.15,32.78
OCT,3,15,0.054,0.003,2.89,NA,29,24.67,4.35,87.71,28.05
OCT,3,16,0.055,0.003,2.90,NA,25,25.31,4.35,103.7,25.95
OCT,3,17,0.054,0.003,2.91,NA,29,25.57,4.14,90.92,24.75
OCT,3,18,0.053,0.003,2.91,NA,28,25.04,3.72,98.91,24.25
OCT,3,19,0.038,0.003,3.28,NA,33,22.76,2.69,88.1,28.01
OCT,3,20,0.030,0.060,3.02,NA,40,20.42,5.68,42.92,42.74
OCT,3,21,0.030,0.058,2.94,NA,32,18.52,5.75,49.74,48.88
OCT,3,22,0.030,0.018,2.90,NA,35,17.18,5.37,55.68,52.53
OCT,3,23,0.030,0.006,2.88,NA,23,16.13,4.44,75.52,56.71
OCT,4,0,0.027,0.005,2.86,NA,19,14.96,3.83,93,62.5
OCT,4,1,0.030,0.004,2.84,NA,23,14.44,3.96,91.15,65.61
OCT,4,2,0.031,0.003,2.84,NA,20,13.21,3.75,85.88,71
OCT,4,3,0.029,0.003,2.83,NA,19,12.45,3.27,80.52,74.24
OCT,4,4,0.028,0.003,2.83,NA,19,11.96,2.54,76.99,75.77
OCT,4,5,0.028,0.014,2.86,NA,23,11.87,3.48,50.11,75.96
OCT,4,6,0.024,0.008,2.90,NA,19,10.85,2.19,120.95,76.63
OCT,4,7,0.015,0.006,2.99,NA,30,9.51,1.92,115.46,84.97
