DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR
ABR,2,13,54.11,3.01,0.53,22.76,3.31,259.26,30.84,22.09
ABR,2,14,56.99,2.97,0.53,24.24,2.96,240.27,31.88,21.16
ABR,2,15,60.21,2.88,0.49,34.67,2.92,214.65,32.13,21.56
ABR,2,16,57.07,2.57,0.49,25.97,3.52,270.30,32.56,20.95
ABR,2,17,57.21,2.75,0.46,32.12,3.31,271.55,32.62,20.72
ABR,2,18,60.45,3.09,0.46,35.06,3.08,264.58,31.92,21.29
ABR,2,19,56.00,3.30,0.49,47.25,2.51,254.02,30.36,22.57
ABR,2,20,43.40,3.49,0.70,51.97,2.09,240.25,28.04,25.48
ABR,2,21,35.51,4.16,0.63,68.01,2.60,203.83,26.56,32.19
ABR,2,22,38.90,4.07,0.51,61.01,2.91,228.23,26.06,33.28
ABR,2,23,32.26,4.32,0.52,50.21,2.62,205.89,23.98,40.55
ABR,3,0,27.68,4.32,0.53,54.53,2.33,268.29,22.66,45.73
ABR,3,1,26.78,4.27,0.54,39.92,2.69,302.67,22.11,47.95
ABR,3,2,28.15,4.55,0.50,38.41,2.29,268.44,21.37,44.55
ABR,3,3,28.98,4.30,0.50,29.83,2.23,259.03,20.50,46.02
ABR,3,4,24.38,3.80,0.54,30.47,1.77,236.71,19.51,47.70
ABR,3,5,25.16,3.90,0.57,30.20,2.22,257.12,19.14,49.64
ABR,3,6,23.12,4.22,0.61,45.89,2.35,256.23,18.07,53.17
ABR,3,7,12.55,4.05,0.73,46.53,1.84,246.03,17.22,55.75
ABR,3,8,8.02,4.76,0.86,47.38,1.71,242.13,20.71,51.79
ABR,3,9,19.14,4.31,0.74,48.47,1.78,190.20,25.24,39.05
ABR,3,10,37.12,4.03,0.63,34.96,2.25,255.23,27.62,31.80
ABR,3,11,NA,NA,NA,NA,NA,NA,NA,NA
ABR,3,12,NA,NA,NA,NA,NA,NA,NA,NA
ABR,3,13,29.33,4.77,1.39,5.02,3.16,265.07,30.95,25.10
ABR,3,14,52.74,6.32,0.70,1.07,3.27,244.27,31.73,24.20
ABR,3,15,53.04,5.80,0.64,NA,3.89,267.85,32.54,22.55
ABR,3,16,54.47,5.91,0.60,4.39,3.24,266.93,32.34,22.38
ABR,3,17,58.66,6.20,0.55,6.50,3.58,262.48,33.06,20.90
ABR,3,18,58.28,6.32,0.55,26.16,3.80,279.88,32.26,19.78
ABR,3,19,51.94,6.48,0.53,65.36,5.10,180.45,28.46,30.54
ABR,3,20,43.79,6.42,0.59,61.35,3.61,199.02,26.36,34.42
ABR,3,21,36.21,6.52,0.63,73.07,3.26,213.46,26.19,34.47
ABR,3,22,34.31,6.46,0.61,95.94,3.23,229.79,24.77,37.75
ABR,3,23,30.84,6.58,0.61,46.75,2.12,244.78,23.29,40.14
ABR,4,0,30.56,6.60,0.59,29.08,2.06,272.27,23.26,39.81
ABR,4,1,31.63,5.70,0.59,32.21,2.12,266.52,22.67,38.04
ABR,4,2,26.33,4.78,0.59,27.59,2.50,262.55,22.13,41.73
ABR,4,3,32.16,4.49,0.56,27.53,3.44,268.36,21.83,40.62
ABR,4,4,28.80,4.42,0.58,26.66,2.47,250.08,20.05,45.87
ABR,4,5,26.43,4.28,0.60,30.52,2.39,271.86,18.96,49.98
ABR,4,6,24.64,4.36,0.65,31.51,2.51,284.16,18.24,51.68
ABR,4,7,15.97,4.50,0.75,52.63,2.41,269.03,17.74,52.50
ABR,4,8,22.32,4.31,0.78,41.93,2.13,245.67,20.44,49.38
ABR,4,9,30.11,4.64,0.76,38.29,2.30,218.66,24.34,39.69
ABR,4,10,38.47,4.58,0.68,33.50,2.52,240.94,27.08,32.42
ABR,4,11,43.59,3.93,0.72,28.79,3.35,271.34,27.94,29.87
ABR,4,12,46.78,4.08,0.68,23.05,3.37,257.32,28.96,28.26
ABR,4,13,46.51,3.63,0.63,31.03,3.20,223.08,30.04,23.98
ABR,4,14,43.81,3.47,0.60,21.78,3.81,256.51,31.06,18.09
ABR,4,15,47.66,3.20,0.60,21.36,3.39,248.83,32.18,18.70
ABR,4,16,52.00,3.69,0.57,22.21,2.62,205.76,32.81,19.17
ABR,4,17,53.26,3.70,0.55,21.58,2.81,212.03,33.03,18.53
ABR,4,18,51.72,3.80,0.55,24.71,2.98,235.21,32.61,18.91
ABR,4,19,51.64,3.71,0.57,33.41,2.41,204.00,30.69,21.18
ABR,4,20,48.80,4.24,0.62,51.29,2.53,199.14,29.23,24.22
ABR,4,21,37.50,4.19,0.55,64.61,4.88,241.63,27.53,20.70
ABR,4,22,29.68,3.73,0.57,52.82,3.61,238.37,25.14,20.23
ABR,4,23,25.99,3.69,0.60,38.66,2.98,240.80,23.59,24.15
ABR,5,0,25.37,4.17,0.63,34.14,2.06,238.18,22.06,27.18
ABR,5,1,25.87,4.13,0.64,35.00,2.14,263.55,20.82,31.33
ABR,5,2,25.15,4.22,0.64,36.81,1.79,257.98,20.07,31.82
ABR,5,3,23.87,4.30,0.67,31.39,2.02,266.40,19.24,33.11
ABR,5,4,27.03,4.08,0.68,32.89,1.65,222.03,18.31,35.47
ABR,5,5,25.53,3.80,0.66,24.34,2.18,261.38,17.84,38.91
ABR,5,6,22.54,3.75,0.76,30.88,2.55,296.36,17.17,42.28
ABR,5,7,18.42,3.73,0.74,32.09,2.17,261.30,16.40,45.08
ABR,5,8,11.31,3.60,0.94,38.31,1.78,274.68,19.55,42.19
ABR,5,9,23.02,4.33,0.80,45.55,2.75,266.49,23.04,33.59
ABR,5,10,35.40,3.70,0.72,29.53,2.67,266.75,25.00,30.97
ABR,5,11,40.98,3.71,0.70,13.51,2.54,266.61,28.11,24.72
ABR,5,12,44.16,3.72,0.65,19.43,2.30,232.95,29.60,20.99
ABR,5,13,45.63,3.73,0.65,16.55,2.50,183.27,29.99,19.51
ABR,5,14,48.00,3.35,0.64,22.31,2.67,213.61,30.58,18.22
ABR,5,15,50.10,3.46,0.65,10.35,2.28,189.99,31.97,17.62
ABR,5,16,51.07,3.68,0.66,20.10,3.05,231.86,32.70,17.04
ABR,5,17,51.45,3.21,0.62,23.25,2.76,252.63,32.62,17.33
ABR,5,18,50.41,3.56,0.65,19.49,1.97,174.25,31.92,17.58
ABR,5,19,45.40,6.68,0.72,33.15,1.86,142.24,29.57,20.76
ABR,5,20,35.90,7.06,0.80,59.48,2.88,158.81,27.57,23.90
ABR,5,21,28.15,3.98,0.80,70.55,2.73,195.63,26.63,23.27
ABR,5,22,26.16,4.01,0.78,56.70,2.11,212.87,25.25,22.31
ABR,5,23,20.86,4.09,0.78,59.83,1.84,218.21,23.23,22.97
ABR,6,0,24.26,4.16,0.65,44.94,1.60,213.34,22.14,23.90
ABR,6,1,24.83,4.55,0.64,32.97,1.52,195.72,21.35,24.92
ABR,6,2,11.64,4.58,0.76,33.72,1.29,183.44,19.74,26.27
ABR,6,3,7.92,4.29,0.73,31.97,1.91,260.31,19.02,28.93
ABR,6,4,19.73,4.48,0.67,28.22,1.80,265.58,18.13,30.46
ABR,6,5,18.18,4.35,0.70,28.08,1.75,254.07,16.97,32.57
ABR,6,6,13.95,4.38,0.80,29.76,1.66,225.03,16.49,33.05
ABR,6,7,2.22,5.31,1.33,40.25,1.70,142.21,16.41,35.60
ABR,6,8,1.23,7.49,1.12,81.20,1.43,116.96,19.52,34.92
ABR,6,9,5.22,12.20,1.10,66.74,1.50,124.41,24.57,26.81
ABR,6,10,20.68,10.80,0.89,66.62,1.67,228.74,27.96,22.21
ABR,6,11,37.60,5.56,0.80,33.41,2.69,270.06,29.63,18.45
ABR,6,12,36.70,4.93,0.70,10.54,2.91,253.17,29.99,16.68
ABR,6,13,NA,NA,NA,NA,NA,NA,NA,NA
ABR,6,14,NA,NA,NA,NA,NA,NA,NA,NA
ABR,6,15,52.84,5.02,0.93,NA,2.92,163.41,32.85,14.20
ABR,6,16,57.00,5.15,0.74,NA,3.16,227.71,33.31,13.92
ABR,6,17,57.59,5.31,0.68,NA,2.48,216.42,33.09,14.07
ABR,6,18,52.48,5.45,0.64,7.49,3.35,227.25,32.27,14.77
ABR,6,19,41.79,5.79,0.68,15.52,3.55,259.87,29.82,16.47
ABR,6,20,29.45,5.14,0.67,38.27,4.14,260.48,27.16,17.40
ABR,6,21,27.63,5.54,0.69,34.44,4.08,250.95,25.60,17.95
ABR,6,22,28.37,5.11,0.69,30.20,3.08,261.34,23.95,18.91
ABR,6,23,22.27,5.43,0.67,22.25,2.87,277.92,22.74,22.00
ABR,7,0,21.13,5.01,0.68,21.74,2.72,279.83,21.81,23.95
ABR,7,1,29.20,4.55,0.71,14.71,2.68,281.94,20.86,25.39
ABR,7,2,29.78,3.70,0.71,26.63,1.92,270.39,20.13,26.17
ABR,7,3,27.64,2.97,0.72,27.05,1.56,277.02,19.32,27.62
ABR,7,4,25.06,2.97,0.76,19.43,1.75,247.13,19.32,28.90
ABR,7,5,15.57,2.55,0.75,18.22,1.38,237.75,19.18,29.34
ABR,7,6,16.39,2.96,0.82,19.51,1.61,263.48,18.03,31.01
ABR,7,7,6.41,3.06,1.02,28.82,1.60,232.66,17.62,33.38
ABR,7,8,12.13,3.75,1.12,49.55,1.63,245.88,20.94,32.40
ABR,7,9,20.76,4.21,1.07,40.18,1.52,202.20,26.11,24.74
ABR,7,10,NA,NA,NA,NA,NA,NA,NA,NA
ABR,7,11,NA,NA,NA,NA,NA,NA,NA,NA
ABR,7,12,NA,NA,NA,NA,NA,NA,NA,NA
ABR,7,13,38.89,4.54,1.07,NA,3.78,152.62,31.11,17.67
ABR,7,14,44.75,5.24,0.84,NA,3.91,158.55,32.27,16.82
ABR,7,15,46.12,4.88,0.75,NA,4.63,149.57,33.09,14.67
ABR,7,16,50.81,4.84,0.74,7.86,4.32,151.83,32.96,15.05
ABR,7,17,47.33,5.08,0.71,7.71,3.96,151.37,32.40,16.56
ABR,7,18,41.22,5.17,0.69,27.41,4.63,165.58,30.82,18.88
ABR,7,19,35.78,5.17,0.69,51.07,3.59,165.11,29.27,21.21
ABR,7,20,31.80,5.24,0.72,51.73,3.46,208.36,28.73,20.34
ABR,7,21,28.66,5.21,0.74,41.18,3.50,248.92,27.18,21.22
ABR,7,22,27.13,5.07,0.76,36.60,3.12,256.97,24.94,24.62
ABR,7,23,25.71,5.37,0.77,38.44,2.41,268.24,23.37,27.02
ABR,8,0,26.35,5.43,0.75,25.22,2.40,277.16,22.28,28.93
ABR,8,1,24.63,4.18,0.75,34.05,2.38,259.25,20.89,31.75
ABR,8,2,20.35,3.44,0.80,28.97,2.31,277.66,20.04,32.98
ABR,8,3,19.11,3.53,0.82,27.46,1.81,238.33,19.13,34.28
ABR,8,4,22.36,3.23,0.85,31.90,1.51,262.37,18.21,35.66
ABR,8,5,18.08,3.43,0.86,30.13,1.60,235.19,17.48,38.10
ABR,8,6,11.95,3.30,0.90,25.11,1.31,196.09,17.00,39.26
ABR,8,7,32.90,4.35,1.17,50.62,1.22,146.83,16.53,43.33
ABR,8,8,13.53,7.25,1.56,78.49,1.46,158.22,20.62,39.16
ABR,8,9,9.49,11.18,1.42,74.79,1.74,131.63,24.29,31.80
ABR,8,10,23.62,6.98,1.18,93.74,1.59,214.65,27.89,25.96
ABR,8,11,37.20,4.82,0.94,41.11,2.31,264.79,29.76,20.70
ABR,8,12,42.68,4.06,0.85,15.71,2.90,255.20,30.44,19.28
ABR,8,13,49.10,4.11,0.86,19.77,3.07,260.05,31.14,17.83
ABR,8,14,53.86,3.50,0.84,13.28,3.48,268.00,31.84,15.69
ABR,8,15,51.64,3.15,0.78,10.52,2.91,229.43,32.89,13.36
ABR,8,16,50.70,2.84,0.74,9.68,3.20,259.92,33.50,12.18
ABR,8,17,49.61,3.29,0.76,20.79,3.25,261.75,33.50,11.98
ABR,8,18,48.31,2.92,0.77,19.29,2.78,271.44,32.65,12.55
ABR,8,19,43.85,3.33,0.80,31.86,2.94,266.55,30.52,13.91
ABR,8,20,30.77,3.58,0.93,40.56,2.50,258.70,28.60,16.08
ABR,8,21,26.51,3.60,0.85,47.88,3.56,275.55,27.60,16.30
ABR,8,22,25.89,3.82,0.84,39.95,2.77,252.33,25.77,18.74
ABR,8,23,27.96,3.74,0.75,51.04,3.12,252.56,24.43,21.59
ABR,9,0,24.57,3.68,0.78,36.69,1.80,262.06,22.67,23.44
ABR,9,1,19.69,3.45,0.82,27.98,1.83,215.62,21.37,25.52
ABR,9,2,23.85,3.55,0.80,37.14,2.24,209.02,20.53,29.20
ABR,9,3,25.57,3.34,0.82,26.25,2.33,279.09,20.04,30.83
ABR,9,4,22.95,3.19,0.85,26.15,1.57,204.69,19.03,32.00
ABR,9,5,15.93,3.26,0.89,34.83,1.54,188.01,17.81,34.20
ABR,9,6,5.96,3.54,1.00,33.44,1.86,246.34,17.29,37.88
ABR,9,7,3.33,3.99,1.09,49.59,2.04,260.76,16.90,39.93
ABR,9,8,5.41,4.23,1.31,41.29,2.20,287.45,20.26,36.56
ABR,9,9,17.48,4.47,1.20,55.14,2.63,286.49,23.85,28.41
ABR,9,10,40.79,4.03,1.04,47.70,3.01,279.14,26.52,26.27
ABR,9,11,43.82,3.47,0.91,35.66,2.90,252.97,29.04,21.55
ABR,9,12,47.61,3.20,0.89,21.83,3.19,264.30,30.17,19.05
ABR,9,13,47.01,2.89,0.89,25.16,2.63,232.48,31.69,16.09
ABR,9,14,51.52,2.97,0.86,21.35,3.18,244.35,32.22,15.35
ABR,9,15,53.59,2.86,0.86,14.22,2.74,217.41,33.12,14.58
ABR,9,16,54.51,2.95,0.83,19.09,2.95,258.95,33.78,14.19
ABR,9,17,52.80,2.80,0.79,34.64,3.25,247.19,33.66,13.78
ABR,9,18,51.96,2.82,0.83,37.06,3.52,282.18,32.76,14.05
ABR,9,19,48.42,2.82,0.82,26.90,2.84,290.79,31.41,14.24
ABR,9,20,34.39,3.12,0.99,35.75,2.29,266.39,29.20,15.62
ABR,9,21,30.30,3.85,0.90,52.67,3.02,260.45,27.67,18.79
ABR,9,22,35.01,3.56,0.81,46.65,3.71,237.22,26.30,20.88
ABR,9,23,37.44,3.08,0.80,58.01,3.91,237.70,24.79,23.08
ABR,10,0,33.54,3.45,0.83,40.96,2.98,293.29,22.90,26.38
ABR,10,1,30.20,3.60,0.82,38.03,2.63,279.17,21.70,27.69
ABR,10,2,30.79,3.60,0.85,29.32,1.94,238.16,20.71,29.30
ABR,10,3,27.28,3.32,0.86,32.79,1.99,223.76,19.69,31.51
ABR,10,4,27.59,3.59,0.86,30.96,1.73,222.79,19.25,33.04
ABR,10,5,24.01,3.64,0.89,26.62,1.81,250.79,18.49,35.57
ABR,10,6,19.81,3.68,0.94,34.00,1.20,242.18,17.34,36.76
ABR,10,7,12.53,3.74,1.12,43.82,1.15,213.84,17.34,39.09
ABR,10,8,16.14,3.75,1.10,41.47,1.57,270.10,22.54,37.58
ABR,10,9,18.79,4.01,1.17,32.98,1.80,244.72,26.23,29.95
ABR,10,10,31.77,3.65,0.94,28.81,1.87,231.17,28.67,25.04
ABR,10,11,41.59,3.68,0.88,19.41,2.36,254.42,30.33,20.02
ABR,10,12,43.26,3.09,0.90,15.77,2.67,254.24,30.94,17.60
ABR,10,13,45.72,2.76,0.88,14.79,3.31,241.81,31.43,16.99
ABR,10,14,46.89,3.02,0.91,6.73,2.93,250.61,32.45,15.97
ABR,10,15,50.69,3.40,0.86,18.28,2.83,231.14,33.36,14.91
ABR,10,16,48.97,3.06,0.82,29.83,3.27,227.27,33.91,13.73
ABR,10,17,48.50,3.16,0.79,21.66,3.55,236.14,33.70,13.24
ABR,10,18,51.16,3.06,0.81,35.10,3.81,262.65,32.85,13.98
ABR,10,19,46.32,3.13,0.84,35.70,3.87,267.64,31.46,14.80
ABR,10,20,38.86,3.22,0.88,47.41,3.03,262.80,29.88,16.41
ABR,10,21,35.27,3.40,0.91,49.17,3.25,242.69,27.93,18.79
ABR,10,22,34.52,3.28,0.87,52.69,3.39,229.49,25.56,22.28
ABR,10,23,34.95,3.33,0.86,43.98,3.27,253.62,24.30,23.88
ABR,11,0,29.92,3.49,0.88,23.27,3.02,290.03,22.87,25.94
ABR,11,1,28.71,4.12,0.87,18.75,2.64,254.11,22.00,26.17
ABR,11,2,31.11,4.33,0.87,35.04,2.56,236.69,21.05,28.72
ABR,11,3,28.82,4.35,0.88,28.66,2.42,265.48,20.04,31.43
ABR,11,4,24.70,4.66,0.92,29.46,1.80,253.63,18.79,34.26
ABR,11,5,22.67,4.57,0.95,31.65,1.74,208.93,18.30,36.64
ABR,11,6,14.07,5.00,1.08,43.22,1.65,77.40,17.61,38.31
ABR,11,7,5.12,7.62,1.23,50.51,1.39,94.44,17.35,41.78
ABR,11,8,7.44,8.38,1.24,56.73,1.58,80.42,21.11,36.33
ABR,11,9,19.91,9.09,1.20,50.32,1.48,168.25,26.16,29.89
ABR,11,10,36.31,7.19,1.10,47.37,1.90,194.83,28.39,27.37
ABR,11,11,43.43,6.16,0.99,26.72,2.33,203.14,30.38,22.86
ABR,11,12,41.81,5.13,0.92,16.74,4.06,248.97,30.50,16.90
ABR,11,13,41.60,4.76,0.93,30.04,4.61,250.64,31.57,13.41
ABR,11,14,44.40,4.59,0.90,35.48,4.97,231.84,32.31,12.95
ABR,11,15,45.55,4.21,0.91,70.99,5.05,265.70,33.11,12.42
ABR,11,16,44.58,3.95,0.85,54.65,5.88,258.25,33.42,10.95
ABR,11,17,42.98,4.03,0.84,87.75,6.31,265.30,32.90,10.46
ABR,11,18,39.73,3.67,0.81,73.24,5.96,257.46,31.63,10.40
ABR,11,19,38.07,3.65,0.84,42.13,5.15,250.94,29.69,10.96
ABR,11,20,32.87,4.14,0.89,40.99,3.71,217.56,27.45,13.16
ABR,11,21,31.22,4.09,0.93,49.73,3.73,208.45,25.79,16.54
ABR,11,22,27.50,4.96,1.07,65.51,2.87,199.44,23.70,22.30
ABR,11,23,27.33,5.75,1.07,107.58,2.94,247.56,23.21,24.56
ABR,12,0,26.39,5.54,0.97,72.36,2.41,247.32,21.24,28.95
ABR,12,1,27.77,4.25,0.93,34.09,2.25,238.28,20.36,31.91
ABR,12,2,26.80,3.93,0.97,30.26,2.00,163.96,19.56,33.81
ABR,12,3,26.99,4.01,0.98,32.65,1.63,263.10,19.10,35.47
ABR,12,4,25.16,3.95,1.01,27.19,1.32,256.22,18.29,36.38
ABR,12,5,24.21,3.63,0.99,31.86,1.92,254.02,17.69,39.01
ABR,12,6,23.89,3.51,1.00,26.18,2.54,276.77,17.36,45.20
ABR,12,7,22.78,3.52,1.02,31.69,2.43,246.19,17.55,50.46
ABR,12,8,26.08,3.65,1.00,17.88,3.46,238.93,21.34,43.13
ABR,12,9,29.61,3.36,1.00,22.87,3.89,236.91,24.13,34.60
ABR,12,10,NA,NA,NA,NA,NA,NA,NA,NA
ABR,12,11,NA,NA,NA,NA,NA,NA,NA,NA
ABR,12,12,NA,NA,NA,NA,NA,NA,NA,NA
ABR,12,13,29.75,4.33,1.51,NA,5.95,238.37,30.46,15.02
ABR,12,14,36.17,5.08,1.07,NA,5.82,269.17,31.68,13.64
ABR,12,15,36.19,4.79,0.97,NA,5.91,266.28,32.15,12.72
ABR,12,16,34.16,4.89,0.92,24.38,6.40,260.07,31.95,12.99
ABR,12,17,NA,NA,NA,NA,NA,NA,NA,NA
ABR,12,18,31.06,5.21,0.94,NA,5.27,228.76,30.44,13.85
ABR,12,19,33.94,5.59,0.88,NA,4.32,224.08,28.99,14.83
ABR,12,20,32.41,6.02,0.95,NA,4.10,237.54,26.90,18.35
ABR,12,21,26.20,6.08,0.98,18.08,3.41,223.86,25.14,21.94
ABR,12,22,26.40,6.00,0.95,5.00,3.54,223.62,23.99,26.06
ABR,12,23,27.90,6.34,0.95,23.40,3.77,232.74,22.72,30.17
ABR,13,0,23.78,6.59,0.96,12.07,2.28,145.64,20.67,33.50
ABR,13,1,23.74,4.37,0.97,15.30,1.61,209.64,19.62,35.71
ABR,13,2,17.03,3.38,1.05,17.10,1.49,105.23,19.29,38.27
ABR,13,3,8.87,4.15,1.16,36.40,1.53,218.94,18.22,39.50
ABR,13,4,11.60,4.38,1.08,33.09,2.37,274.56,17.98,41.63
ABR,13,5,8.39,3.83,1.14,17.37,2.15,273.77,17.21,43.40
ABR,13,6,6.29,4.13,1.18,22.42,2.12,263.41,16.50,44.96
ABR,13,7,1.50,3.98,1.34,35.73,1.79,253.57,15.98,46.32
ABR,13,8,5.78,4.12,1.36,43.70,2.46,262.54,19.85,43.92
ABR,13,9,16.99,4.15,1.30,33.87,2.85,280.26,23.43,38.50
ABR,13,10,25.06,3.98,1.24,38.05,2.90,286.65,25.87,30.15
ABR,13,11,37.56,3.77,1.17,22.89,2.35,247.33,28.04,26.24
ABR,13,12,41.70,3.60,1.11,27.80,2.31,233.14,29.36,23.96
ABR,13,13,40.25,3.38,1.08,32.26,3.39,256.57,29.96,19.98
ABR,13,14,43.23,2.80,1.07,4.28,4.14,264.97,30.79,16.42
ABR,13,15,44.71,2.85,1.05,10.60,4.47,253.94,31.66,14.09
ABR,13,16,49.12,2.64,1.02,17.97,4.51,247.34,32.10,12.59
ABR,13,17,50.66,2.42,1.03,25.83,4.81,248.99,32.06,11.96
ABR,13,18,51.47,2.62,1.05,17.45,4.97,270.79,31.45,11.08
ABR,13,19,52.65,2.56,1.17,27.51,4.90,287.84,30.04,10.64
ABR,13,20,39.90,3.00,1.24,36.10,3.61,281.80,27.31,13.89
ABR,13,21,30.84,3.40,1.22,43.44,2.61,264.90,25.13,17.74
ABR,13,22,26.88,3.69,1.26,59.81,2.44,247.39,23.96,19.54
ABR,13,23,32.25,3.61,1.09,45.99,2.77,234.15,23.33,21.10
ABR,14,0,32.99,3.25,1.11,30.41,2.43,277.79,21.77,23.78
ABR,14,1,28.63,3.91,1.12,27.51,2.32,315.85,20.62,24.77
ABR,14,2,28.57,4.75,1.20,32.11,1.98,274.47,19.72,26.81
ABR,14,3,22.96,4.35,1.21,42.17,1.66,227.41,18.30,29.23
ABR,14,4,27.61,4.59,1.21,32.27,1.55,214.97,17.74,30.17
ABR,14,5,17.37,4.02,1.28,38.66,1.19,143.16,17.23,31.77
ABR,14,6,8.60,5.55,1.49,48.32,1.40,90.88,15.57,37.86
ABR,14,7,4.26,8.03,1.83,60.65,1.88,104.83,14.85,42.16
ABR,14,8,2.29,8.62,1.58,102.86,1.84,97.82,18.62,33.79
ABR,14,9,8.11,8.45,1.52,99.77,1.69,129.17,24.32,25.61
ABR,14,10,29.35,6.35,1.31,63.12,1.76,229.60,27.81,22.60
ABR,14,11,48.04,8.44,1.34,41.25,2.15,255.79,29.53,19.52
ABR,14,12,58.73,5.75,1.30,32.24,2.64,256.93,30.36,18.16
ABR,14,13,59.14,4.25,1.18,29.45,3.39,247.28,31.05,15.32
ABR,14,14,68.73,4.10,1.18,10.31,3.90,260.72,32.38,12.32
ABR,14,15,69.23,3.68,1.16,13.79,3.92,276.01,33.44,10.46
ABR,14,16,66.66,3.50,1.15,10.99,3.97,273.29,33.98,10.80
ABR,14,17,63.90,4.68,1.24,43.07,4.21,274.84,33.99,11.77
ABR,14,18,61.05,4.85,1.18,57.38,3.98,272.50,33.44,11.22
ABR,14,19,55.76,4.30,1.17,57.43,3.92,253.54,31.68,12.25
ABR,14,20,48.19,4.05,1.15,45.51,3.44,239.18,28.79,13.76
ABR,14,21,40.33,4.01,1.11,46.37,3.20,219.02,26.69,16.76
ABR,14,22,35.29,3.95,1.11,40.78,3.29,240.69,25.18,22.98
ABR,14,23,30.51,4.29,1.08,32.91,2.48,261.25,23.65,26.87
ABR,15,0,18.25,4.70,1.14,37.26,1.55,170.82,21.61,29.59
ABR,15,1,24.48,4.34,1.13,52.95,1.58,200.89,20.64,30.93
ABR,15,2,28.58,4.23,1.15,24.42,2.17,318.74,20.37,33.77
ABR,15,3,30.97,4.47,1.18,29.70,1.84,275.42,19.98,36.22
ABR,15,4,24.81,3.75,1.23,32.43,1.69,216.99,18.89,38.63
ABR,15,5,14.24,3.66,1.31,38.25,2.04,117.50,17.28,43.51
ABR,15,6,2.43,5.41,1.36,69.97,1.56,114.10,16.16,47.32
ABR,15,7,0.79,6.81,1.47,73.51,1.96,124.81,16.20,53.23
ABR,15,8,3.90,7.39,1.54,104.53,2.63,111.31,19.64,55.50
ABR,15,9,18.44,6.07,1.45,63.60,3.96,105.10,22.22,54.50
