DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m3],TEMP (°C),WS (m/s),WD (°),HR (%)
NOV,2,3,0.0302,0.0025,3.004,NA,24,10.1,4.1,67.80,67.75
NOV,2,4,0.0314,0.0033,3.003,NA,19,10.7,5,64.50,66.49
NOV,2,5,0.0316,0.0037,2.98,NA,23,10.5,4,75.13,65.94
NOV,2,6,0.0298,0.0032,3,NA,25,9.9,3.4,77.45,69.64
NOV,2,7,0.022,0.004,3.086,NA,26,8.5,2.4,123.34,74.08
NOV,2,8,0.0153,0.0059,3.171,NA,45,10,3.8,105.79,71.51
NOV,2,9,0.0248,0.0031,3.081,NA,37,13,4.9,73.26,60.77
NOV,2,10,0.0296,0.0031,3.052,NA,36,14.1,5.8,69.43,55.19
NOV,2,11,0.0303,0.003,3.071,NA,39,15.4,6.1,72.37,50.51
NOV,2,12,0.0322,0.0038,3.06,NA,44,17.6,6.3,64.13,42.88
NOV,2,13,0.0334,0.0032,3.047,NA,50,18.5,6.5,90.95,38.40
NOV,2,14,0.0346,0.0022,3.056,NA,52,19.5,6.1,91.29,34.16
NOV,2,15,0.0356,0.0017,3.056,NA,46,20.3,6.1,94.02,32.06
NOV,2,16,0.0356,0.0014,3.073,NA,40,20.9,5.9,95.04,29.44
NOV,2,17,0.035,0.0015,3.101,NA,34,20.7,5.5,85.76,28.09
NOV,2,18,0.0331,0.0011,3.126,NA,48,18.9,5.7,84.25,30.73
NOV,2,19,0.0289,0.001,3.127,NA,49,16.1,6.2,63.08,37.39
NOV,2,20,0.0264,0.0046,3.131,NA,43,14.2,5.3,57.33,44.14
NOV,2,21,0.0275,0.0099,3.084,NA,34,12.5,5.3,59.60,49.45
NOV,2,22,0.0307,0.003,3.022,NA,28,11.3,5.7,60.19,54.61
NOV,2,23,0.0305,0.0039,3.011,NA,21,10.3,5,63.49,57.66
NOV,3,0,0.0306,0.0041,3.024,NA,17,9.3,4,78.91,60.66
NOV,3,1,0.0298,0.0033,2.989,NA,15,8.5,3.4,80.38,64.25
NOV,3,2,0.031,0.0029,2.973,NA,15,8.3,4.1,72.77,66.71
NOV,3,3,0.0331,0.0036,2.968,NA,16,8.6,4.3,72.40,67.81
NOV,3,4,0.0343,0.004,2.967,NA,15,8.7,4.1,75.87,69.70
NOV,3,5,0.0336,0.0035,2.969,NA,16,8.5,3.3,99.29,71.61
NOV,3,6,0.0251,0.0095,3.012,NA,28,7.2,2.4,125.31,75.64
NOV,3,7,0.0182,0.0091,3.086,NA,42,6.7,2.6,119.98,79.63
NOV,3,8,0.0198,0.004,3.175,NA,38,10.1,3.1,101.25,73.35
NOV,3,9,0.0261,0.0036,3.16,NA,39,13.2,4.7,92.35,61.66
NOV,3,10,0.0337,0.0033,3.093,NA,43,15.9,6.3,92.87,53.50
NOV,3,11,0.0379,0.003,3.098,NA,66,17.7,6.1,86.69,47.88
NOV,3,12,0.0415,0.0026,3.087,NA,53,19.6,5.8,91.97,41.48
NOV,3,13,0.0445,0.0022,3.131,NA,39,21.5,5.1,93.85,36.58
NOV,3,14,0.0471,0.0017,3.122,NA,43,22.8,4.9,90.16,33.87
NOV,3,15,0.0477,0.0017,3.103,NA,38,24.1,4.6,94.29,31.34
NOV,3,16,0.047,0.0015,3.129,NA,36,24.8,4.2,96.54,30.05
NOV,3,17,0.045,0.0071,3.171,NA,42,24.5,4.6,84.55,30.95
NOV,3,18,0.0376,0.0242,3.204,NA,48,22.2,6,48.44,36.45
NOV,3,19,0.0306,0.0037,3.221,NA,58,18.4,6.1,47.34,47.41
NOV,3,20,0.0269,0.009,3.21,NA,49,16.3,5.8,57.51,53.38
NOV,3,21,0.0277,0.0026,3.124,NA,38,14.7,5.7,68.45,57.74
NOV,3,22,0.0274,0.003,3.101,NA,30,13.2,5.2,73.00,60.94
NOV,3,23,0.0261,0.0027,3.072,NA,21,12.1,4.4,82.84,63.55
NOV,4,0,0.0283,0.0021,3.036,NA,15,11.2,4.3,83.08,65.79
NOV,4,1,0.0294,0.0022,3.026,NA,6,10.4,4.7,77.93,68.54
NOV,4,2,0.0281,0.0027,3.022,NA,12,9.8,4.6,77.61,70.52
NOV,4,3,0.0281,0.0024,3.01,NA,19,9.3,4.2,78.81,72.06
NOV,4,4,0.0265,0.0028,2.995,NA,16,8.8,3.4,78.81,73.49
NOV,4,5,0.0273,0.0027,3,NA,15,8.7,3.2,88.36,73.36
NOV,4,6,0.0221,0.0027,3.028,NA,15,8,3.3,96.28,74.94
NOV,4,7,0.0195,0.0026,3.102,NA,18,7.7,3.2,94.81,76.39
NOV,4,8,0.0189,0.0025,3.17,NA,21,9.2,3.6,86.45,73.26
NOV,4,9,0.0237,0.0035,3.165,NA,44,12,4.5,89.18,61.38
NOV,4,10,0.0294,0.0028,3.057,NA,26,13.9,5,87.16,51.59
NOV,4,11,0.0329,0.0023,3.06,NA,24,16.1,4.9,81.34,43.62
NOV,4,12,0.0344,0.0024,3.05,NA,29,18.5,5.2,88.25,33.16
NOV,4,13,0.038,0.0022,3.051,NA,28,20.8,5.2,93.57,27.74
NOV,4,14,0.0402,0.0019,3.049,NA,26,22.9,5.3,85.40,22.61
NOV,4,15,0.042,0.0023,3.07,NA,32,24.7,4.9,82.50,19.29
NOV,4,16,0.0399,0.0063,3.091,NA,35,25.7,4.5,69.95,16.12
NOV,4,17,0.0364,0.0263,3.182,NA,38,26,3.9,67.06,15.66
NOV,4,18,0.0297,0.0723,3.657,NA,50,23.7,5.3,51.55,20.11
NOV,4,19,0.0252,0.0082,3.161,NA,58,19.8,5.4,49.55,26.37
NOV,4,20,0.0249,0.0277,3.118,NA,49,17.1,6,47.69,30.10
NOV,4,21,0.0259,0.016,3.089,NA,42,15.3,5.6,48.25,34.72
NOV,4,22,0.0257,0.0421,3.074,NA,34,13.9,5.1,48.75,41.72
NOV,4,23,0.025,0.0057,3.07,NA,25,13,4.1,71.18,47.22
NOV,5,0,0.024,0.003,3.059,NA,26,11.7,3.5,83.80,53.98
NOV,5,1,0.0234,0.0029,3.046,NA,22,10.3,2.7,72.53,60.73
NOV,5,2,0.0246,0.0045,3.033,NA,17,10.4,4.4,62.34,65.06
NOV,5,3,0.026,0.0033,3.006,NA,12,9.6,3.8,80.26,69.27
NOV,5,4,0.0282,0.0037,2.998,NA,17,9.5,5,63.93,70.24
NOV,5,5,0.0259,0.0042,3,NA,13,8.7,4.3,56.34,72.83
NOV,5,6,0.0261,0.0042,3.004,NA,15,8.5,4.9,57.02,73.75
NOV,5,7,0.0232,0.0049,3.087,NA,21,8.1,4.7,60.70,74.16
NOV,5,8,0.021,0.0058,3.109,NA,32,9.5,4.7,59.16,70.20
NOV,5,9,0.0251,0.0063,3.075,NA,31,11.9,5.4,61.53,60.90
NOV,5,10,0.0291,0.0056,3.082,NA,26,13.7,4.8,75.58,53.36
NOV,5,11,0.0319,0.0053,3.077,NA,20,15.7,4.6,77.23,46.83
NOV,5,12,0.0362,0.0048,3.101,NA,30,18,4.3,86.25,40.28
NOV,5,13,0.0399,0.0041,3.075,NA,29,20.1,4.6,82.85,33.73
NOV,5,14,0.0409,0.0084,3.113,NA,28,22.8,4,82.41,28.19
NOV,5,15,0.0423,0.0489,3.476,NA,41,24.9,3.5,85.84,23.75
NOV,5,16,0.0387,0.0321,3.466,NA,39,26.2,3.8,72.96,21.00
NOV,5,17,0.0356,0.0591,3.732,NA,46,25.3,4.9,80.53,22.78
NOV,5,18,0.0308,0.0681,3.462,NA,49,22.9,5.5,48.65,27.92
NOV,5,19,0.0252,0.0145,3.206,NA,54,19.3,5.1,49.43,35.65
NOV,5,20,0.0234,0.0123,3.17,NA,45,16.7,5,50.92,41.69
NOV,5,21,0.0248,0.0106,3.149,NA,37,15.1,4.7,54.74,46.68
NOV,5,22,0.0254,0.0056,3.098,NA,23,14,3.8,67.25,49.70
NOV,5,23,0.0252,0.0046,3.074,NA,22,12.8,4.2,87.05,54.81
NOV,6,0,0.0249,0.0039,3.045,NA,17,11.9,4.5,82.77,60.80
NOV,6,1,0.0247,0.0031,3.032,NA,11,11.1,4,84.49,66.09
NOV,6,2,0.0237,0.002,3.032,NA,14,10.1,3.6,77.20,71.29
NOV,6,3,0.0232,0.005,3.019,NA,19,10.1,4.5,56.75,71.33
NOV,6,4,0.0244,0.0047,3.014,NA,15,9.9,4.1,54.98,70.34
NOV,6,5,0.0234,0.0069,3.013,NA,14,9.8,4.9,50.86,69.81
NOV,6,6,0.0249,0.0243,3.025,NA,19,9.8,4.3,53.62,67.96
NOV,6,7,0.0197,0.0109,3.144,NA,17,9.4,3.5,52.27,68.37
NOV,6,8,0.0117,0.0053,3.284,NA,28,10.8,2.7,108.54,65.32
NOV,6,9,0.0164,0.0034,3.153,NA,39,13.9,3.4,100.37,56.85
NOV,6,10,0.0304,0.0027,3.094,NA,28,15.7,5,75.05,48.11
NOV,6,11,0.0331,0.0027,3.074,NA,21,17.4,4.6,86.44,43.12
NOV,6,12,0.0371,0.0026,3.092,NA,27,19.5,4,88.10,38.44
NOV,6,13,0.0414,0.0043,3.118,NA,29,21.8,2.9,101.64,33.69
NOV,6,14,0.0457,0.0178,3.152,NA,30,23.7,2.5,155.76,31.21
NOV,6,15,0.0517,0.0468,3.518,NA,35,25.3,2.3,249.88,26.94
NOV,6,16,0.0504,0.026,3.218,NA,44,25.5,2.6,89.36,22.66
NOV,6,17,0.0314,0.0137,3.102,NA,18,25.7,1.9,199.50,21.15
NOV,6,18,0.0478,0.0081,3.156,NA,29,23.8,1.8,159.36,21.51
NOV,6,19,0.0226,0.0094,4.218,NA,104,19.9,1.3,133.12,25.75
NOV,6,20,0.0017,0.0115,5.694,NA,168,18.4,2.1,70.01,27.47
NOV,6,21,0.0179,0.0108,3.216,NA,83,17.3,4.2,54.77,40.47
NOV,6,22,0.0161,0.0144,3.216,NA,40,15.4,3.8,88.64,48.57
NOV,6,23,0.0188,0.0044,3.181,NA,38,14.1,4.7,97.97,54.35
NOV,7,0,0.0207,0.0034,3.112,NA,39,13.2,4.7,87.44,57.87
NOV,7,1,0.021,0.0035,3.088,NA,24,12.3,4.1,88.44,62.33
NOV,7,2,0.0214,0.0035,3.07,NA,22,11.6,3.5,88.96,65.33
NOV,7,3,0.0214,0.0031,3.069,NA,24,10.9,3.3,92.76,67.88
NOV,7,4,0.0191,0.003,3.064,NA,24,10.2,3,106.34,71.43
NOV,7,5,0.0087,0.004,3.075,NA,26,9.2,3.1,104.94,75.14
NOV,7,6,0.0137,0.0031,3.082,NA,34,8.6,2.7,89.05,77.50
NOV,7,7,0.0099,0.0032,3.21,NA,29,7.9,3,95.62,81.14
NOV,7,8,0.0071,0.0033,3.329,NA,36,9.4,2.8,93.12,78.25
NOV,7,9,0.0143,0.0033,3.242,NA,17,12.9,3.2,93.01,67.02
NOV,7,10,0.0221,0.0034,3.189,NA,37,15.9,4,86.76,57.60
NOV,7,11,0.0288,0.0037,3.15,NA,38,18.8,3.3,102.23,49.68
NOV,7,12,0.0406,0.0089,3.152,NA,50,21.8,2.5,127.58,40.82
NOV,7,13,0.055,0.0244,3.15,NA,80,24.8,1.9,156.25,32.77
NOV,7,14,0.0616,0.0163,3.291,NA,53,26.2,2.3,219.01,28.62
NOV,7,15,0.0668,0.0093,3.355,NA,60,26.6,2.6,238.88,25.85
NOV,7,16,0.0596,0.0051,3.293,NA,45,27.2,2.4,146.34,23.21
NOV,7,17,0.0521,0.0038,3.291,NA,36,26.5,3.1,277.92,20.56
NOV,7,18,0.0479,0.0041,3.468,NA,38,24.9,2.1,244.42,22.65
NOV,7,19,0.021,0.006,4.614,NA,65,21.6,1.7,297.13,28.40
NOV,7,20,0.0019,0.0076,6.009,NA,98,19.6,1.3,215.92,32.02
NOV,7,21,0.0012,0.0103,5.222,NA,197,17.3,1.5,166.75,36.66
NOV,7,22,0.0256,0.007,3.491,NA,157,17,2.1,130.35,40.36
NOV,7,23,0.0079,0.006,3.903,NA,88,15.7,1.7,181.80,46.18
NOV,8,0,0.0013,0.0065,4.286,NA,104,14.7,1.3,248.30,46.49
NOV,8,1,0.0013,0.0064,3.69,NA,100,13.5,1.6,104.96,55.08
NOV,8,2,0.0034,0.0151,3.442,NA,83,12.7,1.8,129.52,62.72
NOV,8,3,0.0053,0.0091,3.44,NA,59,12.4,1.3,134.27,66.83
NOV,8,4,0.005,0.0074,3.364,NA,65,11.4,2,123.47,69.42
NOV,8,5,0.0065,0.0047,3.317,NA,63,10.7,1.8,137.10,68.42
NOV,8,6,0.0072,0.006,3.354,NA,56,10.3,1.9,120.92,66.87
NOV,8,7,0.0027,0.0484,3.707,NA,109,9.9,1.3,124.49,65.98
NOV,8,8,0.0043,0.0167,3.773,NA,110,12,1.6,111.46,63.12
NOV,8,9,0.0091,0.0103,3.621,NA,89,16.4,1.5,115.46,52.82
NOV,8,10,0.0199,0.0353,3.77,NA,65,21,1.2,115.79,42.29
NOV,8,11,0.0485,0.055,3.924,NA,63,23.1,2.2,247.80,39.63
NOV,8,12,0.0492,0.0097,3.282,NA,40,24.3,2.7,254.40,38.92
NOV,8,13,0.0426,0.0034,3.214,NA,26,25.7,2.9,264.61,34.41
NOV,8,14,0.0453,0.0019,3.203,NA,21,26.3,3,232.94,31.94
NOV,8,15,0.0458,0.0012,3.202,NA,29,27.4,2.7,252.26,27.95
NOV,8,16,0.0452,0.0008,3.234,NA,24,27.8,2.7,252.06,23.83
NOV,8,17,0.046,0.0009,3.319,NA,30,27,2.8,253.91,24.39
NOV,8,18,0.0437,0.0009,3.509,NA,40,25.2,2.5,288.09,27.04
NOV,8,19,0.0174,0.0017,4.948,NA,67,22.2,1.1,290.77,29.98
NOV,8,20,0.0007,0.0044,7.046,NA,134,20,1,257.00,33.31
NOV,8,21,0.0005,0.0069,6.999,NA,352,18.9,1.2,182.24,37.01
NOV,8,22,0.0009,0.0072,4.968,NA,267,17.9,1.9,223.71,42.81
NOV,8,23,0.0133,0.0044,3.454,NA,103,17.3,2,242.68,43.74
NOV,9,0,0.0148,0.0028,3.32,NA,44,16.4,2.1,284.82,49.21
NOV,9,1,0.0078,0.0025,3.333,NA,41,15.3,1.5,287.92,50.81
NOV,9,2,0.0036,0.0031,3.384,NA,44,14,1,182.42,53.63
NOV,9,3,0.0004,0.005,3.395,NA,60,12.9,1.8,99.24,59.69
NOV,9,4,0.0001,0.0088,3.379,NA,60,11.5,2.1,124.65,64.68
NOV,9,5,0,0.007,3.431,NA,68,10.7,1.9,128.56,67.59
NOV,9,6,0,0.0158,3.477,NA,67,10.2,1.5,150.15,68.52
NOV,9,7,0.0002,0.0185,3.758,NA,97,9.9,1,144.99,71.01
NOV,9,8,0.0005,0.0089,3.83,NA,96,11.6,1.5,133.76,67.65
NOV,9,9,0.0021,0.0068,3.722,NA,90,15.7,2.1,122.24,56.42
NOV,9,10,0.0138,0.0191,3.479,NA,82,19.9,1.8,121.43,47.93
NOV,9,11,0.0288,0.0141,3.421,NA,74,23.1,1.9,247.22,41.15
NOV,9,12,0.042,0.0093,3.385,NA,54,24.9,2.6,263.31,32.50
NOV,9,13,0.0681,0.0111,3.329,NA,50,26.8,2.5,267.28,27.58
NOV,9,14,0.065,0.0041,3.193,NA,39,27.9,2.3,240.92,23.16
NOV,9,15,0.0647,0.005,3.271,NA,35,28.8,2.6,250.97,19.84
NOV,9,16,0.0643,0.0095,3.175,NA,34,29.1,2.2,206.63,17.20
NOV,9,17,0.0633,0.01,3.261,NA,37,28.7,2.3,255.91,16.49
NOV,9,18,0.0532,0.0017,3.248,NA,39,26.8,2,228.65,18.72
NOV,9,19,0.0229,0.0016,3.882,NA,75,22.9,1.8,205.97,21.62
NOV,9,20,0.0016,0.0043,4.899,NA,166,20.8,1.6,219.48,25.78
NOV,9,21,0.0019,0.0062,4.714,NA,213,19.8,1.9,255.84,29.80
NOV,9,22,0.0097,0.003,3.685,NA,96,18.5,2.4,264.57,34.88
NOV,9,23,0.0201,0.0026,3.344,NA,58,17.6,2.3,259.72,41.96
NOV,10,0,0.0166,0.0022,3.302,NA,48,16.3,1.8,264.39,46.79
NOV,10,1,0.0112,0.0029,3.322,NA,39,15.4,1.7,217.84,49.45
NOV,10,2,0.0117,0.0038,3.226,NA,45,14.8,1.5,203.46,52.85
NOV,10,3,0.0069,0.0059,3.36,NA,44,14,1.3,245.05,53.16
NOV,10,4,0.0091,0.0071,3.25,NA,39,13.3,1.3,197.83,60.02
NOV,10,5,0.0003,0.0076,3.36,NA,50,11.4,1.9,132.69,63.93
NOV,10,6,0.0001,0.0075,3.38,NA,57,10.5,1.8,118.09,64.76
NOV,10,7,0.0003,0.0103,3.679,NA,75,10.4,2,98.21,66.12
NOV,10,8,0.0013,0.0148,3.822,NA,112,12.4,2.1,94.32,62.07
NOV,10,9,0.0092,0.0095,3.469,NA,88,16,2.7,93.30,55.36
NOV,10,10,0.0229,0.0079,3.326,NA,64,20.6,1.8,132.32,46.93
NOV,10,11,0.0337,0.0074,3.292,NA,51,24,1.6,179.25,39.64
NOV,10,12,0.0448,0.0069,3.304,NA,47,25.5,2.5,269.45,33.36
NOV,10,13,0.0517,0.0061,3.172,NA,36,27.2,2.6,258.02,28.28
NOV,10,14,0.053,0.0041,3.166,NA,32,28.3,2.8,266.11,23.70
NOV,10,15,0.0531,0.0083,3.145,NA,22,29.5,2.2,222.00,17.66
NOV,10,16,0.0584,0.0058,3.17,NA,26,29.9,2.1,216.27,16.79
NOV,10,17,0.06,0.0048,3.214,NA,29,29.1,2.4,212.42,17.61
NOV,10,18,0.0548,0.0033,3.343,NA,39,27,2.2,250.65,19.79
NOV,10,19,0.0236,0.0035,4.162,NA,80,23.5,1.6,232.92,23.30
NOV,10,20,0.0022,0.0058,5.246,NA,150,21.3,1.5,228.69,24.85
NOV,10,21,0.0003,0.0117,5.99,NA,297,19.9,1.6,297.43,29.46
NOV,10,22,0.0042,0.0063,3.906,NA,155,18.6,2.2,259.01,34.17
NOV,10,23,0.0153,0.0052,3.475,NA,97,17.6,1.9,263.04,35.69
NOV,11,0,0.0198,0.0042,3.355,NA,62,16.7,1.7,222.31,37.57
NOV,11,1,0.0092,0.0039,3.408,NA,65,15.4,1.5,127.98,42.37
NOV,11,2,0.0009,0.0041,3.513,NA,82,14,1.1,150.02,43.50
NOV,11,3,0.0008,0.0051,3.532,NA,85,13.9,1,153.92,42.84
NOV,11,4,0.0016,0.0085,3.537,NA,70,13,1.3,198.13,48.18
NOV,11,5,0.0002,0.0085,3.512,NA,69,12.4,1.3,207.09,51.88
NOV,11,6,0.0003,0.0077,3.613,NA,80,11.1,1.6,92.84,60.66
NOV,11,7,0.0001,0.0068,3.651,NA,91,10.5,1.7,106.93,62.81
NOV,11,8,0.0007,0.0088,3.789,NA,98,12.1,1.8,136.37,59.25
NOV,11,9,0.0057,0.0325,3.664,NA,155,17.1,2,117.15,47.29
NOV,11,10,0.02,0.0216,3.4,NA,119,21,1.9,115.58,41.99
NOV,11,11,0.0375,0.0145,3.21,NA,59,24.3,1.7,164.78,37.08
NOV,11,12,0.0463,0.0079,3.248,NA,40,26.3,2.1,237.86,31.27
NOV,11,13,0.0503,0.005,3.328,NA,60,27.7,2.2,225.34,27.44
NOV,11,14,0.0474,0.0031,3.146,NA,33,28.1,2.8,219.46,24.78
NOV,11,15,0.0524,0.0024,3.16,NA,27,29.3,2.5,223.20,21.80
NOV,11,16,0.038,0.0024,3.175,NA,12,29.3,2.7,243.85,21.34
NOV,11,17,0.0595,0.0025,3.262,NA,31,28.8,2.7,269.05,21.30
NOV,11,18,0.051,0.0028,3.407,NA,42,27,2.7,280.25,23.22
NOV,11,19,0.0159,0.0038,4.659,NA,54,24.2,1.8,310.03,26.97
NOV,11,20,0.0106,0.0057,4.6,NA,105,22.5,2.1,261.88,30.57
NOV,11,21,0.0173,0.0057,3.877,NA,97,21,2,219.89,32.61
NOV,11,22,0.0144,0.0066,3.674,NA,120,19.6,1.9,211.59,36.58
NOV,11,23,0.0292,0.0046,3.317,NA,74,19.1,2.4,239.15,44.06
NOV,12,0,0.0214,0.004,3.35,NA,47,17.7,2.2,278.69,49.55
NOV,12,1,0.0122,0.004,3.416,NA,68,16.1,1.1,188.37,49.91
NOV,12,2,0.004,0.0035,3.47,NA,83,15.4,1.2,163.55,53.67
NOV,12,3,0.0017,0.0047,3.391,NA,79,14.2,1.9,94.14,60.55
NOV,12,4,0.0026,0.0077,3.36,NA,68,13.2,1.8,114.24,63.82
NOV,12,5,0,0.0081,3.422,NA,63,12.2,1.2,131.04,65.82
NOV,12,6,0.0001,0.0075,3.429,NA,69,11.9,1.5,140.29,67.57
NOV,12,7,0.0001,0.0087,3.669,NA,126,11.4,1.5,107.16,70.24
NOV,12,8,0.0007,0.0061,3.572,NA,130,12.7,1.8,125.04,66.89
NOV,12,9,0.0026,0.0209,3.798,NA,116,17.1,2,113.55,56.45
NOV,12,10,0.0135,0.0363,3.604,NA,166,20.5,2,121.14,50.74
NOV,12,11,0.0318,0.0172,3.373,NA,91,24.1,1.8,183.87,41.21
NOV,12,12,0.047,0.0065,3.372,NA,49,26.2,2.1,230.08,30.79
NOV,12,13,0.0553,0.0051,3.309,NA,39,27.7,2.5,275.74,26.30
NOV,12,14,0.0583,0.0057,3.281,NA,77,28.4,2.7,273.07,24.53
NOV,12,15,0.0667,0.012,3.249,NA,57,29.5,2.1,214.81,21.15
NOV,12,16,0.0728,0.0155,3.27,NA,35,29.7,1.8,161.76,19.68
NOV,12,17,0.0752,0.0216,3.453,NA,39,28.9,2.3,252.42,20.46
NOV,12,18,0.0622,0.0143,3.601,NA,55,26.8,2.5,288.38,22.88
NOV,12,19,0.0186,0.005,4.722,NA,72,23.7,1.9,284.35,26.86
NOV,12,20,0.0007,0.008,6.03,NA,133,21.3,1.2,222.87,28.93
NOV,12,21,0.0004,0.011,5.608,NA,168,20.1,1.5,256.18,32.43
NOV,12,22,0.0007,0.0097,7.038,NA,260,18.6,1.5,243.52,36.41
NOV,12,23,0.0007,0.0088,4.759,NA,218,17.4,1.9,178.06,42.17
NOV,13,0,0.004,0.0093,3.575,NA,151,16.1,1.7,124.61,46.86
NOV,13,1,0.0014,0.011,3.641,NA,124,15.7,1.1,242.96,46.29
NOV,13,2,0.0004,0.0094,3.756,NA,112,15.4,1.3,199.96,49.24
NOV,13,3,0.001,0.009,3.7,NA,104,14.3,1.3,141.14,51.97
NOV,13,4,0.0003,0.0071,3.513,NA,93,13.4,1.5,121.65,58.73
NOV,13,5,-0.0002,0.0084,3.577,NA,110,12.8,1.8,130.36,58.99
NOV,13,6,0.0002,0.0151,3.497,NA,126,12.2,1.6,151.08,59.75
NOV,13,7,0.0004,0.0131,3.56,NA,110,11.6,1.7,118.03,64.27
NOV,13,8,0.0004,0.0088,3.885,NA,135,12.9,1.7,116.22,62.93
NOV,13,9,0.0043,0.0059,3.634,NA,103,17,2.4,116.92,54.60
NOV,13,10,0.021,0.0061,3.519,NA,89,20.3,2.6,106.13,48.86
NOV,13,11,0.0356,0.0247,3.398,NA,76,23.1,2.4,115.88,42.72
NOV,13,12,0.0505,0.0293,3.375,NA,90,26.2,2.1,180.14,34.66
NOV,13,13,0.0591,0.0111,3.28,NA,76,28.1,2,178.52,26.27
NOV,13,14,0.0642,0.0085,3.255,NA,52,29.3,2.2,217.08,21.30
NOV,13,15,0.0603,0.0017,3.227,NA,37,29.4,2.9,104.99,18.65
NOV,13,16,0.066,0.0019,3.182,NA,38,30,2.2,158.04,17.98
NOV,13,17,0.0702,0.0031,3.197,NA,47,29.3,2.6,159.66,17.97
NOV,13,18,0.0684,0.0017,3.48,NA,51,27.4,2,154.19,21.23
NOV,13,19,0.0256,0.0027,5.345,NA,153,23.6,1.1,174.93,24.65
NOV,13,20,0.0003,0.007,6.981,NA,219,21.6,1.5,293.72,26.94
NOV,13,21,0.0003,0.0081,5.052,NA,185,20.3,1.7,201.53,33.15
NOV,13,22,0.0107,0.0062,3.742,NA,185,19.1,2.7,141.33,46.42
NOV,13,23,0.0173,0.0054,3.576,NA,79,19.3,1.8,133.21,54.64
NOV,14,0,0.0175,0.0049,3.421,NA,59,17.9,2.2,132.95,58.65
NOV,14,1,0.0106,0.0104,3.316,NA,59,16.9,1.9,98.07,52.80
NOV,14,2,0.0033,0.0081,3.369,NA,63,15.4,1.5,124.88,58.05
NOV,14,3,0.0033,0.0056,3.419,NA,68,14.7,1.6,192.78,61.65
NOV,14,4,0.0114,0.004,3.38,NA,58,14.6,1.2,153.58,62.87
NOV,14,5,0.0011,0.0057,3.395,NA,61,13.8,1.2,97.47,63.70
NOV,14,6,-0.0001,0.006,3.427,NA,58,12.6,1.5,124.68,61.18
NOV,14,7,0,0.0049,3.478,NA,59,11.9,1.8,123.94,61.15
NOV,14,8,0.0003,0.0078,3.713,NA,108,12.7,2,114.19,59.87
NOV,14,9,0.0022,0.0083,3.654,NA,145,17.1,2,127.83,50.44
NOV,14,10,0.0141,0.0099,3.619,NA,92,21.1,1.7,167.09,46.29
