DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m3],TEMP (°C),WS (m/s),WD (°),HR (%)
NOV,1,0,0.0182,0.0203,3.074,NA,53,17.2,4.2,81.52,36.55
NOV,1,1,0.0218,0.0104,3.037,NA,29,16.1,3.6,79.23,37.27
NOV,1,2,0.0281,0.0031,3.03,NA,20,15.4,3,78.85,36.88
NOV,1,3,0.023,0.003,3.023,NA,20,14.1,2,96.43,39.09
NOV,1,4,0.0225,0.0026,3.013,NA,21,13.3,2.1,102.21,39.61
NOV,1,5,0.0241,0.003,2.992,NA,18,12.7,2.1,121.99,39.41
NOV,1,6,0.0225,0.0048,3.037,NA,23,12,2.1,120.57,40.84
NOV,1,7,0.0155,0.0029,3.146,NA,23,11.4,1.9,108.67,43.19
NOV,1,8,0.0156,0.0023,3.167,NA,30,13.7,2.3,80.85,40.22
NOV,1,9,0.0232,0.0023,3.132,NA,33,17.3,3.6,95.66,32.51
NOV,1,10,0.03,0.0024,3.121,NA,28,20.6,4.3,90.13,28.96
NOV,1,11,0.0335,0.0019,3.078,NA,26,22.3,5,81.89,29.95
NOV,1,12,0.034,0.0029,3.088,NA,20,24.3,5.3,72.08,29.53
NOV,1,13,0.0366,0.0036,3.112,NA,36,25.7,5.4,69.49,28.46
NOV,1,14,0.0354,0.0041,3.118,NA,35,27.2,4.4,79.54,26.30
NOV,1,15,0.0348,0.0042,3.123,NA,38,27.6,4.9,76.79,23.10
NOV,1,16,0.0332,0.0219,3.143,NA,57,27.2,5.4,69.99,21.03
NOV,1,17,0.0337,0.0318,3.175,NA,70,25.7,6.2,59.06,20.43
NOV,1,18,0.0342,0.0252,3.144,NA,70,23,6.7,52.00,23.79
NOV,1,19,0.0334,0.0063,3.158,NA,65,19.5,5.6,46.67,30.07
NOV,1,20,0.0319,0.0071,3.119,NA,48,17.3,6.1,45.36,32.06
NOV,1,21,0.0332,0.0193,3.084,NA,49,15.9,6.3,52.62,34.89
NOV,1,22,0.0322,0.0033,3.081,NA,37,14.6,5.7,71.28,40.20
NOV,1,23,0.0343,0.003,3.041,NA,29,13.2,6.3,70.11,48.50
NOV,2,0,0.0357,0.0038,3.013,NA,29,12.1,5.8,71.93,55.32
NOV,2,1,0.0337,0.0036,3.012,NA,21,11.4,4.6,76.50,59.41
NOV,2,2,0.0311,0.0028,2.999,NA,22,10.4,4.3,83.72,64.60
