DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR
MAY,1,0,NA,NA,NA,NA,NA,NA,NA,NA
MAY,1,1,35.14,5.35,2.15,7.07,3.08,293.25,18.47,55.92
MAY,1,2,25.25,6.21,2.21,15.20,3.11,304.79,17.30,65.96
MAY,1,3,24.74,6.92,2.20,17.11,1.94,173.86,17.15,64.82
MAY,1,4,16.55,7.78,2.17,14.74,2.52,106.02,16.15,66.65
MAY,1,5,8.17,8.02,2.19,30.90,2.41,121.40,14.78,71.41
MAY,1,6,4.54,8.15,2.22,28.41,1.92,113.49,14.29,74.40
MAY,1,7,6.77,8.90,2.28,53.08,2.32,122.94,14.88,74.10
MAY,1,8,9.39,9.15,2.31,37.92,2.75,116.97,18.09,65.64
MAY,1,9,24.61,10.48,2.28,35.15,3.01,98.63,21.50,51.15
MAY,1,10,40.32,9.86,2.18,29.86,2.36,126.26,24.84,39.05
MAY,1,11,50.37,9.33,2.19,22.30,2.06,185.82,27.46,33.00
MAY,1,12,59.91,8.68,2.29,20.82,2.47,208.13,28.98,27.69
MAY,1,13,65.46,8.45,2.29,21.27,3.05,260.77,29.69,25.01
MAY,1,14,68.03,7.67,2.29,25.55,3.45,233.87,30.12,22.96
MAY,1,15,74.06,7.30,2.30,16.56,3.34,251.57,30.84,20.57
MAY,1,16,68.08,6.15,2.26,12.19,2.78,211.71,31.92,18.59
MAY,1,17,66.36,5.07,2.25,19.31,2.73,263.21,31.68,17.48
MAY,1,18,59.59,9.10,2.44,20.18,2.87,252.38,31.56,15.06
MAY,1,19,59.60,6.32,2.33,19.84,2.42,115.56,30.25,15.49
MAY,1,20,52.92,5.38,2.38,77.55,5.77,165.32,25.98,30.17
MAY,1,21,51.18,4.97,2.38,53.55,4.10,157.53,24.74,31.97
MAY,1,22,53.07,5.30,2.39,28.96,3.45,142.19,24.03,34.32
MAY,1,23,53.42,5.32,2.32,29.05,3.62,146.52,22.14,41.80
MAY,2,0,47.48,5.67,2.32,17.30,2.68,101.67,20.45,48.66
MAY,2,1,35.69,4.86,2.32,17.47,2.42,90.91,19.67,50.53
MAY,2,2,30.70,5.77,2.32,20.87,1.95,86.71,19.22,51.72
MAY,2,3,31.16,6.52,2.31,17.78,2.41,92.73,18.76,54.14
MAY,2,4,24.93,6.92,2.31,22.77,1.99,130.88,17.51,57.64
MAY,2,5,20.60,7.45,2.34,36.60,1.89,88.65,16.86,60.79
MAY,2,6,17.41,9.91,2.39,42.84,2.09,108.46,16.31,63.87
MAY,2,7,6.71,9.91,2.39,67.51,2.31,129.24,15.65,66.93
MAY,2,8,14.01,10.97,2.52,70.15,2.41,125.39,19.56,58.02
MAY,2,9,26.80,9.54,2.40,60.21,2.30,143.98,23.35,45.76
MAY,2,10,42.36,9.57,2.43,43.32,1.84,209.34,27.31,35.38
MAY,2,11,56.55,9.31,2.47,31.07,2.49,249.92,29.10,29.83
MAY,2,12,63.08,8.27,2.44,34.29,3.40,272.10,29.75,27.90
MAY,2,13,70.86,7.42,2.47,31.05,3.95,286.72,30.58,25.65
MAY,2,14,72.48,6.23,2.38,23.68,2.96,229.09,32.18,19.12
MAY,2,15,74.67,5.55,2.39,15.45,2.86,201.23,33.14,18.81
MAY,2,16,73.56,6.70,2.42,25.66,3.20,158.30,33.74,17.99
MAY,2,17,65.91,6.04,2.56,37.66,4.69,258.87,29.86,22.49
MAY,2,18,62.48,4.31,2.47,42.43,4.77,262.45,28.20,22.83
MAY,2,19,55.38,3.74,2.59,30.44,4.45,300.27,28.66,23.08
MAY,2,20,41.71,4.26,2.80,41.76,3.35,280.90,25.72,31.66
MAY,2,21,32.32,4.38,2.87,54.11,1.61,238.21,24.71,33.90
MAY,2,22,33.16,4.90,2.89,55.87,1.58,161.92,24.32,34.46
MAY,2,23,32.13,5.01,2.61,54.91,2.01,115.25,22.36,39.70
MAY,3,0,26.93,5.56,2.61,67.44,1.99,94.61,21.78,40.48
MAY,3,1,30.24,5.87,2.42,46.24,3.14,73.46,21.45,37.39
MAY,3,2,30.09,5.46,2.37,18.86,3.30,82.86,20.63,43.11
MAY,3,3,29.59,5.28,2.34,23.93,2.47,118.66,19.35,47.98
MAY,3,4,25.74,5.21,2.35,23.04,2.19,84.16,18.73,52.56
MAY,3,5,26.32,6.38,2.41,30.83,2.77,94.46,18.21,57.93
MAY,3,6,22.32,6.54,2.45,26.71,2.14,74.48,17.74,59.40
MAY,3,7,19.66,6.90,2.46,29.54,2.17,105.29,17.75,60.18
MAY,3,8,21.99,7.53,2.47,27.80,2.53,100.15,20.55,52.31
MAY,3,9,30.01,8.02,2.50,33.72,3.00,102.27,23.56,41.87
MAY,3,10,41.73,10.79,2.43,35.87,2.43,115.72,26.50,33.42
MAY,3,11,56.47,17.07,2.45,29.71,2.24,250.01,29.96,26.73
MAY,3,12,67.45,15.06,2.52,38.90,2.49,250.65,31.20,23.63
MAY,3,13,68.93,8.04,2.42,26.79,2.49,247.03,32.16,20.86
MAY,3,14,72.59,5.55,2.41,17.87,2.45,216.74,33.28,18.16
MAY,3,15,70.91,10.80,2.56,21.40,3.28,252.37,34.09,15.81
MAY,3,16,78.73,14.98,2.55,28.31,2.11,159.74,34.85,15.01
MAY,3,17,77.55,12.96,2.56,19.13,2.81,224.79,34.86,14.90
MAY,3,18,75.92,9.90,2.51,27.82,2.68,159.38,34.34,14.84
MAY,3,19,62.09,3.58,2.48,29.31,2.47,120.61,32.93,14.38
MAY,3,20,54.33,2.96,2.63,35.99,1.64,150.98,29.71,17.47
MAY,3,21,37.01,3.65,3.26,57.36,2.25,100.11,28.65,20.00
MAY,3,22,34.09,3.88,2.55,48.93,4.17,75.54,27.24,24.77
MAY,3,23,39.01,4.51,2.54,29.99,3.42,96.03,25.97,28.33
MAY,4,0,45.31,4.57,2.49,29.65,3.75,83.42,25.17,29.58
