DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR
MAY,4,1,29.00,6.31,2.45,17.46,4.11,63.15,23.44,33.72
MAY,4,2,33.46,7.59,2.43,23.91,3.57,85.64,23.32,37.41
MAY,4,3,35.72,6.98,2.43,22.95,3.54,109.22,22.29,41.75
MAY,4,4,28.84,6.77,2.45,28.22,3.49,120.35,20.66,49.09
MAY,4,5,21.43,8.00,2.50,35.63,3.26,124.49,19.72,52.43
MAY,4,6,16.00,8.93,2.54,40.90,2.87,117.17,19.17,54.80
MAY,4,7,19.53,8.39,2.59,43.94,3.40,106.90,20.06,50.55
MAY,4,8,18.38,9.11,2.62,41.48,3.68,107.68,21.80,47.52
MAY,4,9,27.05,7.74,2.51,37.42,3.69,104.44,24.76,38.34
MAY,4,10,40.44,6.50,2.45,34.90,3.73,101.46,27.45,29.50
MAY,4,11,53.69,5.98,2.45,26.83,2.58,141.15,30.07,25.96
MAY,4,12,64.13,6.04,2.48,32.88,2.30,139.01,31.94,23.85
MAY,4,13,71.27,6.60,2.49,39.78,2.25,175.19,33.12,21.80
MAY,4,14,74.62,7.40,2.50,33.22,2.54,146.81,33.93,19.89
MAY,4,15,74.53,6.80,2.46,33.25,2.87,152.37,34.92,16.82
MAY,4,16,76.89,14.16,2.59,21.94,2.56,210.13,35.51,14.69
MAY,4,17,78.89,19.50,2.62,34.45,2.57,151.20,35.29,14.27
MAY,4,18,67.50,6.72,2.59,50.63,3.63,179.67,32.14,19.14
MAY,4,19,56.86,4.61,2.70,66.76,3.61,224.48,30.02,24.26
MAY,4,20,45.92,4.63,2.84,70.40,3.37,274.86,28.17,29.27
MAY,4,21,45.28,3.60,2.74,68.32,4.40,284.62,27.43,29.56
MAY,4,22,46.67,2.88,2.60,66.76,5.87,292.87,26.29,32.58
MAY,4,23,35.94,24.82,3.46,61.66,4.76,114.81,23.24,48.86
MAY,5,0,33.05,12.24,2.56,36.08,3.82,259.22,22.13,55.28
MAY,5,1,33.92,22.13,3.33,14.44,3.37,154.84,21.81,54.17
MAY,5,2,34.79,33.01,2.99,18.87,2.54,156.09,21.26,54.41
MAY,5,3,36.13,19.08,2.77,13.93,1.80,147.62,21.04,54.97
MAY,5,4,35.15,15.29,2.53,12.03,2.43,85.54,20.35,58.50
MAY,5,5,26.59,11.36,2.47,27.40,1.86,145.24,19.22,63.65
MAY,5,6,19.99,9.91,2.53,30.43,2.12,154.45,18.44,66.79
MAY,5,7,21.00,9.04,2.51,30.47,2.25,182.87,18.45,66.44
MAY,5,8,29.02,8.33,2.47,18.46,2.51,138.24,21.26,59.74
MAY,5,9,28.66,9.14,2.55,30.46,1.77,188.38,22.47,55.65
MAY,5,10,33.98,10.35,2.48,31.61,1.97,173.11,25.35,48.44
MAY,5,11,52.44,22.98,2.86,23.07,1.89,141.69,29.14,35.23
MAY,5,12,71.34,37.24,2.80,59.49,2.13,164.53,30.76,29.63
MAY,5,13,86.21,62.70,3.81,40.45,2.74,242.33,31.93,26.32
MAY,5,14,68.68,24.29,2.65,30.76,2.98,256.58,33.25,20.48
MAY,5,15,65.70,12.69,2.58,17.83,3.00,256.54,34.06,19.30
MAY,5,16,69.99,9.58,2.55,15.62,2.80,253.94,34.63,19.18
MAY,5,17,56.97,34.16,2.87,45.75,4.86,102.92,28.00,31.79
MAY,5,18,48.92,12.77,2.65,66.39,4.61,120.60,19.88,61.98
MAY,5,19,33.26,5.33,2.61,8.35,5.08,171.63,19.56,69.39
MAY,5,20,39.96,6.04,2.55,16.73,4.22,165.57,16.97,83.45
MAY,5,21,34.97,5.64,2.49,5.97,5.36,93.95,16.00,89.88
MAY,5,22,31.80,10.30,2.47,32.39,4.63,177.65,16.68,89.22
MAY,5,23,35.75,14.42,2.48,13.19,2.67,115.96,17.43,85.57
MAY,6,0,30.23,9.89,2.33,13.25,2.96,122.51,16.51,89.35
MAY,6,1,27.04,6.59,2.33,10.03,1.78,133.87,16.96,90.76
MAY,6,2,21.29,7.14,2.32,8.86,2.64,201.82,16.96,88.14
MAY,6,3,20.89,5.64,2.41,18.20,2.96,276.20,16.40,88.72
MAY,6,4,20.78,5.36,2.32,11.93,2.66,295.76,16.68,88.85
MAY,6,5,16.13,5.37,2.35,12.52,1.97,137.47,16.86,87.99
MAY,6,6,12.74,5.07,2.36,23.24,2.12,155.28,16.66,87.43
MAY,6,7,7.72,5.15,2.52,20.57,2.21,140.23,16.38,88.59
MAY,6,8,9.12,5.23,2.47,18.27,1.78,128.85,19.86,81.35
MAY,6,9,16.68,5.24,2.42,20.84,2.11,151.09,23.54,69.02
MAY,6,10,30.19,4.57,2.34,27.81,2.72,123.02,24.43,56.90
MAY,6,11,40.87,4.19,2.30,25.21,2.12,147.13,26.50,49.38
MAY,6,12,50.12,3.07,2.32,16.74,2.97,108.79,27.05,42.40
MAY,6,13,54.24,2.62,2.33,20.24,3.90,93.76,27.82,38.99
MAY,6,14,54.73,2.09,2.32,18.16,4.00,91.46,29.09,32.15
MAY,6,15,62.79,1.86,2.30,9.53,4.10,96.64,30.33,27.36
MAY,6,16,63.05,2.38,2.31,9.96,3.59,90.10,31.06,24.58
MAY,6,17,51.26,6.19,2.37,34.45,6.09,69.85,28.13,29.42
MAY,6,18,46.07,5.87,2.38,46.23,5.71,61.66,26.79,31.81
MAY,6,19,39.24,8.45,2.40,58.74,5.66,58.63,25.41,36.96
MAY,6,20,37.01,8.26,2.40,30.10,4.84,103.21,24.32,40.09
MAY,6,21,44.86,4.87,2.41,41.30,4.08,210.80,17.49,75.41
MAY,6,22,46.56,3.97,2.38,6.35,2.81,227.57,15.25,88.04
MAY,6,23,40.29,3.91,2.37,5.13,1.76,186.91,14.91,94.81
MAY,7,0,28.71,5.25,2.39,17.15,2.55,91.14,15.37,94.88
MAY,7,1,30.87,4.21,2.28,22.08,2.65,95.20,15.54,93.74
MAY,7,2,25.32,4.22,2.28,25.33,2.33,137.27,15.63,95.16
MAY,7,3,24.83,4.40,2.27,18.61,2.25,72.54,15.74,95.83
MAY,7,4,17.85,4.62,2.26,19.03,3.04,99.62,15.88,93.30
MAY,7,5,17.01,4.75,2.26,22.45,1.93,147.75,15.66,92.65
MAY,7,6,16.97,4.42,2.27,15.08,2.29,149.92,15.60,93.56
MAY,7,7,11.68,3.27,2.39,18.62,2.32,122.61,15.65,92.18
MAY,7,8,8.34,3.06,2.56,25.89,2.21,85.38,16.89,89.28
MAY,7,9,17.09,3.35,2.46,23.99,3.10,95.03,19.97,77.08
MAY,7,10,30.53,2.71,2.36,20.99,4.62,85.84,20.93,64.39
MAY,7,11,39.87,2.88,2.34,22.19,4.86,92.59,23.02,53.11
MAY,7,12,47.26,2.93,2.41,18.18,4.17,80.79,24.72,45.53
MAY,7,13,55.27,3.33,2.34,20.73,3.62,96.22,26.56,39.23
MAY,7,14,62.59,3.97,2.33,17.06,2.87,101.99,27.74,34.32
MAY,7,15,67.77,3.93,2.37,14.61,2.83,175.15,29.10,31.54
MAY,7,16,73.73,6.86,2.40,16.22,2.35,172.08,30.18,28.41
MAY,7,17,67.20,3.00,2.35,23.55,4.56,193.18,28.51,30.31
MAY,7,18,58.13,NA,2.44,33.25,3.39,212.20,25.85,34.26
MAY,7,19,51.19,NA,2.53,40.70,3.45,269.53,23.28,45.63
MAY,7,20,51.58,NA,2.52,36.53,5.33,276.36,19.94,60.83
MAY,7,21,52.82,NA,2.54,17.74,3.55,267.96,19.52,63.04
MAY,7,22,46.63,NA,2.54,23.78,1.98,273.16,19.65,62.58
MAY,7,23,36.77,NA,2.47,22.87,2.30,243.97,18.99,68.11
MAY,8,0,38.30,NA,2.43,15.87,2.52,279.47,18.76,69.12
MAY,8,1,40.39,3.97,2.39,43.95,2.06,234.72,18.42,68.98
MAY,8,2,36.57,4.96,2.39,23.71,1.70,181.32,17.45,73.36
MAY,8,3,32.52,4.87,2.36,18.61,1.90,218.94,17.25,76.85
MAY,8,4,31.84,5.12,2.37,16.79,2.40,271.69,16.92,80.35
MAY,8,5,24.26,4.80,2.39,18.23,2.86,291.35,16.08,84.18
MAY,8,6,20.88,5.02,2.53,22.15,2.58,290.73,15.79,86.48
MAY,8,7,13.82,5.16,2.87,21.54,2.47,300.71,16.17,87.71
MAY,8,8,23.71,5.34,2.61,23.24,1.69,233.66,19.10,83.21
MAY,8,9,32.17,4.83,2.55,24.81,1.86,214.26,20.73,71.94
MAY,8,10,38.93,5.10,2.46,16.80,1.95,226.68,21.12,65.47
MAY,8,11,44.20,4.88,2.47,15.99,2.07,257.21,22.45,59.87
MAY,8,12,47.90,4.56,2.46,21.34,2.06,266.78,22.31,56.94
MAY,8,13,47.24,4.25,2.54,20.22,1.99,274.29,23.13,55.26
MAY,8,14,59.80,4.09,2.51,11.60,3.03,267.05,26.62,45.00
MAY,8,15,68.90,4.11,2.44,22.12,3.89,269.87,28.26,36.76
MAY,8,16,71.83,3.73,2.44,9.34,3.35,275.10,29.25,32.55
MAY,8,17,61.26,3.51,2.48,28.83,6.34,284.73,26.89,37.80
MAY,8,18,50.42,10.94,2.67,21.38,5.02,150.75,25.29,37.49
MAY,8,19,46.83,22.65,2.64,36.07,2.63,143.40,23.51,41.66
MAY,8,20,43.75,10.57,2.63,25.24,3.87,285.72,22.33,48.71
MAY,8,21,37.23,5.92,2.63,27.97,3.71,308.34,20.26,60.10
MAY,8,22,35.86,4.52,2.50,11.15,2.18,157.31,20.14,60.68
MAY,8,23,31.76,4.65,2.50,17.11,2.55,260.99,19.78,62.78
MAY,9,0,25.73,3.91,2.53,14.85,2.78,299.42,18.94,68.18
MAY,9,1,28.10,3.37,2.42,5.62,2.70,294.73,18.85,68.82
MAY,9,2,28.68,3.44,2.40,9.41,3.13,298.67,18.73,70.12
MAY,9,3,30.44,3.34,2.39,17.42,4.06,311.71,17.69,76.36
MAY,9,4,32.98,3.21,2.39,10.71,4.07,307.06,16.91,82.31
MAY,9,5,33.44,3.00,2.37,11.30,3.34,311.91,16.69,83.47
MAY,9,6,27.37,3.18,2.42,12.17,1.75,177.94,16.75,82.66
MAY,9,7,23.85,3.61,2.44,16.14,2.02,167.36,16.79,82.29
MAY,9,8,25.06,3.63,2.50,18.76,2.08,176.07,18.93,79.48
MAY,9,9,31.23,3.87,2.45,16.49,2.12,120.34,20.30,69.35
MAY,9,10,42.46,4.65,2.81,13.87,2.56,192.85,24.98,51.98
MAY,9,11,53.38,15.35,3.03,19.74,2.30,218.32,26.46,44.17
MAY,9,12,61.25,14.80,2.63,16.26,2.39,233.27,28.31,37.10
MAY,9,13,74.61,9.17,2.57,17.55,2.75,275.37,28.94,33.72
MAY,9,14,77.86,8.05,2.54,16.73,3.11,254.83,29.12,30.71
MAY,9,15,69.45,4.31,2.45,6.41,3.36,258.48,29.79,27.38
MAY,9,16,72.57,3.32,2.47,10.42,3.23,279.55,30.29,26.55
MAY,9,17,72.21,2.11,2.46,9.15,3.57,281.83,30.55,25.79
MAY,9,18,69.04,2.05,2.47,11.29,2.75,274.68,30.11,25.48
MAY,9,19,63.41,1.50,2.48,21.15,2.77,240.78,28.96,25.33
MAY,9,20,55.79,1.76,2.59,31.80,3.32,206.03,25.91,33.40
MAY,9,21,52.86,1.83,2.56,31.81,3.59,153.07,23.03,46.61
MAY,9,22,45.61,2.42,2.62,33.65,3.75,86.45,23.07,46.59
MAY,9,23,39.30,2.38,2.48,22.23,5.62,87.37,22.33,55.23
MAY,10,0,38.77,2.68,2.45,28.94,5.80,93.08,20.74,62.58
MAY,10,1,39.59,4.35,2.42,18.71,5.44,76.23,19.62,64.85
MAY,10,2,39.47,5.21,2.40,12.10,3.93,84.15,18.61,68.63
MAY,10,3,37.03,5.17,2.38,9.56,3.86,76.70,18.00,71.27
MAY,10,4,38.51,5.58,2.36,11.09,3.81,70.21,17.81,70.90
MAY,10,5,37.96,5.99,2.36,7.25,3.14,84.55,17.17,73.84
MAY,10,6,32.22,5.70,2.39,11.69,2.49,88.09,16.54,76.75
MAY,10,7,24.61,5.65,2.46,13.74,2.57,92.70,16.78,77.47
MAY,10,8,29.44,5.60,2.46,8.85,3.31,87.47,19.73,67.50
MAY,10,9,39.76,5.29,2.46,8.82,4.13,85.04,22.27,55.98
MAY,10,10,44.52,5.12,2.44,9.20,3.37,103.73,24.51,49.01
MAY,10,11,53.08,4.49,2.42,15.47,2.56,152.42,26.99,40.37
MAY,10,12,63.82,5.83,2.51,12.60,2.40,205.10,28.64,35.67
MAY,10,13,76.09,16.83,2.80,22.86,2.57,214.00,29.52,32.53
MAY,10,14,85.74,23.51,2.85,22.17,2.42,184.84,31.05,25.32
MAY,10,15,72.91,7.34,2.44,12.47,2.89,225.92,32.44,15.86
MAY,10,16,70.77,16.13,2.77,9.99,2.83,178.72,32.52,15.82
MAY,10,17,73.67,6.55,2.47,13.28,3.20,218.32,31.88,16.58
MAY,10,18,74.89,3.89,2.46,13.97,3.06,260.05,31.18,17.52
MAY,10,19,58.34,37.13,3.37,21.70,3.72,174.09,29.01,26.22
MAY,10,20,45.72,15.56,2.55,176.31,5.43,69.46,24.81,38.96
MAY,10,21,41.62,9.45,2.54,60.06,5.81,68.82,23.04,44.57
MAY,10,22,38.31,7.76,2.51,16.78,5.76,74.27,21.34,53.82
MAY,10,23,37.21,6.72,2.47,16.15,5.68,81.07,20.12,59.66
MAY,11,0,38.70,6.02,2.43,11.71,5.93,75.75,19.22,61.38
MAY,11,1,39.80,4.38,2.41,12.25,5.73,70.94,18.63,61.91
MAY,11,2,39.64,4.09,2.39,9.01,5.23,59.59,18.09,63.24
MAY,11,3,38.70,4.36,2.38,4.22,4.12,76.38,17.61,64.16
MAY,11,4,36.80,4.12,2.37,11.97,3.43,88.49,17.39,64.94
MAY,11,5,33.26,3.95,2.38,10.18,3.41,84.05,16.57,69.13
MAY,11,6,30.22,3.80,2.44,7.91,3.37,89.03,16.21,70.44
MAY,11,7,26.66,3.58,2.48,12.75,3.22,94.32,16.61,70.17
MAY,11,8,28.05,3.77,2.49,15.47,3.93,101.25,19.07,63.04
MAY,11,9,32.18,3.84,2.46,17.51,4.45,90.04,20.77,56.98
MAY,11,10,38.61,3.53,2.45,15.98,4.00,92.56,23.46,49.03
MAY,11,11,48.31,3.22,2.44,17.43,3.27,118.64,25.94,42.32
MAY,11,12,59.72,3.03,2.47,23.73,2.39,140.51,27.96,36.76
MAY,11,13,65.98,2.93,2.51,24.73,2.44,243.27,29.86,29.88
MAY,11,14,75.18,3.01,2.52,24.95,2.12,206.85,31.08,26.79
MAY,11,15,76.69,2.92,2.50,24.76,2.63,214.06,30.57,25.53
MAY,11,16,76.58,2.16,2.46,25.83,2.40,159.11,30.08,24.86
MAY,11,17,76.19,1.72,2.50,28.75,3.41,166.07,30.00,24.68
MAY,11,18,70.14,1.37,2.58,34.56,4.12,236.31,28.34,26.22
MAY,11,19,62.63,1.34,2.66,37.64,2.60,163.70,27.26,27.74
MAY,11,20,61.84,1.78,2.71,34.48,2.14,183.20,26.47,28.72
MAY,11,21,52.90,3.26,2.69,38.35,2.67,86.77,25.84,31.83
MAY,11,22,42.27,2.83,2.61,42.27,4.24,80.40,24.62,42.25
MAY,11,23,38.93,2.47,2.52,27.36,5.22,84.99,22.56,54.29
MAY,12,0,32.61,2.42,2.50,16.83,4.61,93.83,21.73,59.16
MAY,12,1,29.96,3.22,2.48,15.74,4.61,98.01,21.18,61.20
MAY,12,2,28.85,3.99,2.47,14.35,3.41,101.13,20.57,63.07
MAY,12,3,23.85,3.90,2.47,16.60,2.69,127.20,19.30,67.20
MAY,12,4,20.50,3.97,2.46,23.09,2.31,129.38,18.39,70.93
MAY,12,5,16.65,4.06,2.54,19.78,1.54,122.11,17.98,70.59
MAY,12,6,12.24,4.36,2.56,23.25,1.64,156.86,18.10,63.52
MAY,12,7,7.66,4.21,2.71,39.80,1.47,179.72,18.04,56.65
MAY,12,8,15.17,4.57,2.63,49.14,1.98,190.47,22.23,44.33
MAY,12,9,27.51,4.28,2.53,31.16,2.49,258.35,25.62,32.71
MAY,12,10,38.81,3.87,2.46,20.98,2.39,249.98,27.50,27.35
MAY,12,11,48.22,3.53,2.52,22.36,2.55,264.22,29.29,23.12
MAY,12,12,57.44,3.07,2.52,23.52,2.82,245.73,30.17,22.51
MAY,12,13,60.75,2.90,2.50,24.61,3.38,238.27,30.61,19.67
MAY,12,14,60.86,2.56,2.52,23.38,3.68,254.36,31.32,16.35
MAY,12,15,65.70,2.03,2.50,19.02,4.30,273.58,31.79,13.79
MAY,12,16,70.13,2.02,2.49,19.88,3.83,266.39,32.15,13.42
MAY,12,17,70.53,1.67,2.51,20.95,3.38,276.75,32.28,13.07
MAY,12,18,70.79,1.98,2.54,28.40,3.53,270.70,31.68,13.69
MAY,12,19,66.85,1.91,2.62,28.19,3.44,279.55,30.21,14.05
MAY,12,20,50.69,1.97,2.89,31.85,2.67,277.15,27.99,14.83
MAY,12,21,28.21,2.73,3.10,64.89,1.80,241.55,25.71,18.11
MAY,12,22,38.40,2.75,2.77,62.30,3.00,218.05,24.86,22.09
MAY,12,23,40.87,2.70,2.65,47.91,2.43,205.88,24.00,24.15
MAY,13,0,30.65,2.68,2.67,49.55,1.64,125.19,21.87,29.99
MAY,13,1,32.05,3.52,2.62,47.72,1.86,249.27,20.93,31.53
MAY,13,2,33.60,4.31,2.60,36.35,2.02,273.64,20.48,33.27
MAY,13,3,17.13,4.35,2.62,39.17,1.82,254.16,19.19,35.66
MAY,13,4,13.68,4.57,2.63,40.05,1.74,226.17,18.88,37.18
MAY,13,5,25.91,4.77,2.60,44.37,1.68,257.92,18.05,40.17
MAY,13,6,28.27,4.87,2.64,33.77,2.34,251.41,17.70,44.69
MAY,13,7,12.18,5.13,3.05,47.25,1.30,257.61,17.90,47.10
MAY,13,8,14.82,5.46,2.97,50.56,1.52,238.84,22.85,42.38
MAY,13,9,28.12,5.46,2.78,42.23,1.93,267.37,25.81,33.06
MAY,13,10,41.51,5.39,2.66,38.16,1.98,216.95,27.88,29.45
MAY,13,11,57.37,5.00,2.59,29.48,2.00,216.13,29.29,26.91
MAY,13,12,72.71,4.81,2.60,34.83,2.23,177.51,30.28,24.59
MAY,13,13,77.52,4.64,2.66,36.99,2.64,196.64,30.72,23.31
MAY,13,14,72.90,4.25,2.60,30.45,2.54,212.49,31.96,20.32
MAY,13,15,75.57,4.08,2.59,25.79,2.36,144.87,32.49,19.12
MAY,13,16,73.53,3.74,2.57,34.27,2.63,219.03,33.40,16.13
MAY,13,17,75.08,3.68,2.62,31.29,3.60,271.52,32.84,14.80
MAY,13,18,74.25,3.48,2.68,34.68,3.26,253.08,32.33,15.69
MAY,13,19,76.17,3.58,2.76,56.81,3.15,168.38,29.96,21.19
MAY,13,20,57.94,3.99,2.95,NA,2.92,167.32,28.36,24.40
MAY,13,21,41.91,4.06,2.82,NA,3.38,180.98,27.35,24.34
MAY,13,22,37.88,3.82,2.74,68.51,3.16,223.18,26.31,23.99
MAY,13,23,37.58,3.53,2.62,39.80,2.91,234.87,24.32,27.79
MAY,14,0,29.80,3.59,2.75,28.12,2.07,279.22,22.34,31.44
MAY,14,1,23.46,3.90,2.67,44.21,1.53,288.71,21.30,33.60
MAY,14,2,19.46,4.05,2.70,44.45,1.69,256.06,20.26,35.76
MAY,14,3,24.93,4.22,2.66,40.65,2.32,268.34,20.22,37.90
MAY,14,4,28.91,4.44,2.63,37.93,1.74,228.84,19.29,38.76
MAY,14,5,25.99,4.85,2.64,45.97,1.42,251.70,18.05,41.54
MAY,14,6,26.69,4.66,2.77,40.22,1.82,280.22,17.97,44.84
MAY,14,7,11.22,5.81,3.11,47.63,1.89,274.54,17.93,47.44
MAY,14,8,11.64,5.36,3.04,57.36,1.58,218.21,22.42,41.83
MAY,14,9,30.02,5.22,2.87,50.64,1.70,220.33,26.46,31.41
MAY,14,10,48.49,5.08,2.70,40.59,1.89,236.05,28.62,25.52
MAY,14,11,62.67,4.88,2.63,37.11,2.01,183.10,29.71,24.04
MAY,14,12,69.90,4.49,2.64,41.55,2.29,196.31,30.71,22.82
MAY,14,13,59.12,4.11,2.62,34.92,3.05,267.54,31.35,20.61
MAY,14,14,67.02,3.90,2.63,29.93,2.69,192.01,32.08,20.44
MAY,14,15,70.18,3.71,2.61,24.74,2.77,205.62,33.26,17.12
MAY,14,16,71.31,3.32,2.61,32.48,3.64,275.97,33.22,15.18
MAY,14,17,69.94,3.38,2.64,30.41,3.53,266.03,33.25,14.85
MAY,14,18,70.23,3.27,2.62,24.90,2.36,236.41,33.21,13.91
MAY,14,19,65.57,2.89,2.68,29.41,3.03,256.15,31.29,14.56
MAY,14,20,54.76,3.10,2.76,35.68,2.85,265.55,29.39,14.22
MAY,14,21,42.62,2.81,2.86,46.27,1.87,225.98,27.23,14.35
MAY,14,22,36.32,2.87,2.85,54.55,2.41,252.91,25.69,17.36
MAY,14,23,29.74,3.09,2.76,51.08,2.71,243.94,24.48,24.85
MAY,15,0,24.96,3.03,2.75,39.98,2.39,282.88,22.49,30.86
MAY,15,1,23.09,3.78,2.71,46.06,2.16,281.91,21.19,30.93
MAY,15,2,26.16,3.51,2.69,43.90,1.52,269.10,20.31,31.38
MAY,15,3,27.56,3.73,2.68,29.02,1.76,245.88,19.73,33.33
MAY,15,4,19.64,4.09,2.66,32.77,1.89,301.64,19.14,35.80
MAY,15,5,15.22,4.42,2.67,37.87,1.40,244.37,17.72,39.10
MAY,15,6,14.51,4.64,2.78,38.37,1.79,237.32,17.39,41.83
MAY,15,7,9.64,4.69,2.99,46.11,1.64,261.07,18.17,41.97
