timestamp,sensor_temp_C,reference_temp_C
2026-03-01 08:00:00,26.053,25.0
2026-03-01 08:05:00,24.987,25.0
2026-03-01 08:10:00,25.244,25.0
2026-03-01 08:15:00,24.899,25.0
2026-03-01 08:20:00,25.842,25.0
2026-03-01 08:25:00,25.186,25.0
2026-03-01 08:30:00,24.975,25.0
2026-03-01 08:35:00,25.692,25.0
2026-03-01 08:40:00,25.9,25.0
2026-03-01 08:45:00,24.779,25.0
2026-03-01 08:50:00,24.645,25.0
2026-03-01 08:55:00,25.413,25.0
2026-03-01 09:00:00,24.974,25.0
2026-03-01 09:05:00,25.869,25.0
2026-03-01 09:10:00,25.571,25.0
2026-03-01 09:15:00,25.579,25.0
2026-03-01 09:20:00,25.845,25.0
2026-03-01 09:25:00,25.298,25.0
2026-03-01 09:30:00,25.179,25.0
2026-03-01 09:35:00,24.982,25.0
2026-03-01 09:40:00,25.44,25.0
2026-03-01 09:45:00,25.002,25.0
2026-03-01 09:50:00,25.95,25.0
2026-03-01 09:55:00,24.482,25.0
2026-03-01 10:00:00,24.907,25.0
2026-03-01 10:05:00,24.645,25.0
2026-03-01 10:10:00,25.611,25.0
2026-03-01 10:15:00,23.981,25.0
2026-03-01 10:20:00,24.514,25.0
2026-03-01 10:25:00,24.859,25.0
2026-03-01 10:30:00,24.747,25.0
2026-03-01 10:35:00,23.935,25.0
2026-03-01 10:40:00,25.087,25.0
2026-03-01 10:45:00,25.362,25.0
2026-03-01 10:50:00,23.889,25.0
2026-03-01 10:55:00,24.881,25.0
2026-03-01 11:00:00,25.672,25.0
2026-03-01 11:05:00,25.923,25.0
2026-03-01 11:10:00,25.352,25.0
2026-03-01 11:15:00,24.6,25.0
