DATOS HORARIOS 2018_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
MZO,1,0,11.56,5.19,NA,13.43,60.4,3.25,277.68,19.03,42.79,623.35,2.56
MZO,1,1,13.95,5.09,NA,7.82,51.17,2.9,253.95,17.54,48.84,623.56,2.62
MZO,1,2,11.59,5.06,NA,6.34,49.18,3.35,235.1,15.84,52.71,623.51,2.75
MZO,1,3,9.55,5.09,NA,5.85,44.44,3.6,239.49,14.74,53.65,623.48,2.83
MZO,1,4,8.14,4.92,NA,8.54,44.24,2.73,276.44,13.62,56.48,623.55,2.87
MZO,1,5,5.91,4.21,NA,12.09,39.07,2.19,285.59,12.85,59.28,623.61,2.91
MZO,1,6,5.26,4.01,NA,15.04,41.9,2.08,297.27,12.69,59.83,623.9,2.89
MZO,1,7,0.41,4.75,NA,23.66,52.81,2.25,308.09,12.17,59.95,624.31,3.11
MZO,1,8,0.2,5.86,NA,23.98,66.56,1.67,294.37,13.29,58.12,624.68,62.4
MZO,1,9,0.2,5.58,NA,20.14,90.79,1.7,228.91,17.85,49.49,625.17,277.65
MZO,1,10,6.96,4.17,NA,9.13,54.32,1.95,255.22,20.83,39.03,625.51,514.26
MZO,1,11,11.16,3.88,NA,7.09,35.42,2.04,261.23,23.07,32.02,625.71,712.57
MZO,1,12,16.06,5.57,NA,4.75,35.33,2.42,247.32,24.09,29.68,625.44,857.45
MZO,1,13,19.67,3.5,NA,4.31,30.58,2.31,261.81,25.88,26.72,624.72,932.11
MZO,1,14,24.35,9.98,NA,5.41,20.58,2.44,272.78,26.56,25.86,623.89,807.36
MZO,1,15,28.64,27.86,NA,6.66,40.08,2.31,195.94,27.61,24.38,623.2,842.99
MZO,1,16,28.16,9.07,NA,3.14,61.48,3.1,145.68,27.62,22.34,622.66,717.33
MZO,1,17,28.19,6.75,NA,2.7,47.63,2.46,142.89,28.16,19.1,622.35,496.22
MZO,1,18,26.53,6.82,NA,6.16,45.25,3.09,279.05,27.21,20.92,622.24,259
MZO,1,19,21.21,6.22,NA,10.44,58.33,3.21,266.14,24.47,25.7,622.27,52.26
MZO,1,20,10.86,3.5,NA,17.5,69.25,2.79,261.52,21.8,30.42,622.51,5.01
MZO,1,21,4.04,3.61,NA,27.34,82.62,2.3,263.75,20.47,31.91,623,2.11
MZO,1,22,0.84,10.66,NA,25.8,106,3.52,87.87,19.62,38.23,624,2.23
MZO,1,23,5.37,4.24,NA,10.89,101.64,5.35,89.29,18.97,50.11,624.4,2.35
MZO,2,0,8.59,3.5,NA,5.61,134.15,6.41,87.18,17.87,57.89,624.55,3.5
MZO,2,1,9.38,12.7,NA,4.75,96.84,5.62,77.26,17.09,60.31,624.81,2.39
MZO,2,2,6.57,25.28,NA,7.38,51.95,4.83,54.86,15.96,61.94,624.84,6.37
MZO,2,3,7.98,3.5,NA,3.62,36.58,5.08,65.06,15.3,65,624.48,5.11
MZO,2,4,9.57,3.5,NA,2.7,35.41,4.21,64.93,15.05,65.77,624.35,6.29
MZO,2,5,6.63,29.18,NA,7.06,37.75,3.5,77.98,14.6,68.03,624.31,6.96
MZO,2,6,5.65,15.34,NA,5.41,47.26,3.91,71.76,13.95,70.27,624.36,2.53
MZO,2,7,2.44,6.21,NA,14.3,40.27,2.57,74.62,13.39,71.52,624.72,5.64
MZO,2,8,0.2,10.13,NA,14.85,61.11,2.89,75.89,13.12,72.62,625.11,52.91
MZO,2,9,0.2,88.17,NA,12.9,63.1,4.51,68.23,15.56,64.18,625.6,257.9
MZO,2,10,1.5,57.63,NA,7.72,71.94,5.2,78.71,17.2,57.14,626.05,497.14
