DATOS HORARIOS 2018_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
SEP,3,14,30.2,3.5,NA,4.77,10.9,3.04,95.35,27.36,46.31,NA,952.1
SEP,3,15,31.4,3.57,NA,3.76,9.56,2.6,101.96,28.74,39.38,NA,875.88
SEP,3,16,32.95,4.01,NA,4.39,12.12,2.94,111.97,29.37,35.35,NA,728.23
SEP,3,17,34.3,3.65,NA,2.82,8.19,2.95,129.23,29.74,33.38,NA,522.18
SEP,3,18,34.07,3.5,NA,3.97,12.02,3.17,142.96,29.02,36.09,NA,285.11
SEP,3,19,30.71,3.5,NA,11.01,50.31,2.68,168.68,27.07,42.64,NA,77.32
SEP,3,20,23.51,3.65,NA,21.54,39.29,2.11,246.65,24.45,51.66,NA,2
SEP,3,21,22.81,3.93,NA,10.69,38.79,2.5,234.9,22.19,61.21,NA,2
SEP,3,22,19.39,3.9,NA,9.45,19.95,2.36,285,20.5,67.72,NA,2.12
SEP,3,23,13.03,4.32,NA,15.25,23.37,2.12,327.2,20.13,71.97,NA,14.91
SEP,4,0,15.27,4.46,NA,12.43,13.72,1.99,318.71,19.9,75.71,NA,2.14
SEP,4,1,9.8,4.67,NA,17.02,22.11,2.19,108.67,19.42,80.76,NA,5.57
SEP,4,2,6.87,3.97,NA,15.6,18.47,2.61,122.96,18.72,84.72,NA,2.27
SEP,4,3,9.07,3.67,NA,15.85,12.73,2.19,142.29,17.86,89.53,NA,2.32
SEP,4,4,11.85,3.5,NA,9.85,15.05,1.61,133.08,17.65,91.91,NA,10.64
SEP,4,5,8.51,3.51,NA,15.88,19.19,1.44,163.63,17.29,90.8,NA,2.88
SEP,4,6,3.58,3.68,NA,23.74,23.93,1.84,294.64,17.41,89.12,NA,3.39
SEP,4,7,NA,4.55,NA,27.08,28.29,1.95,288.33,17.1,89.84,NA,14.95
SEP,4,8,0.95,4.76,NA,23.79,31.08,2.13,265.48,18.92,89.7,NA,111.7
SEP,4,9,7.48,4.6,NA,18.22,25.95,2.02,287.48,20.31,86.79,NA,181
SEP,4,10,19.69,6.19,NA,11.57,23.63,1.99,124.29,24.25,69.24,NA,510.94
SEP,4,11,23.26,4.08,NA,4.71,19.71,3.54,100.21,25.36,55.49,NA,744.43
SEP,4,12,25.75,3.5,NA,4.66,15.25,3.5,126.22,26.46,52.29,NA,829.33
SEP,4,13,26.82,3.5,NA,3.9,9.86,2.98,115.49,26.83,49.57,NA,575.06
SEP,4,14,25.9,3.5,NA,4.68,13.9,3.21,107.96,26.76,49.07,NA,556.63
SEP,4,15,26.77,3.7,NA,3.41,8.88,2.89,115.58,28.26,44.23,NA,712.15
SEP,4,16,27.81,3.53,NA,2.7,7.68,2.85,129.13,28,42.83,NA,411.18
SEP,4,17,28.69,3.5,NA,2.7,11.88,2.02,167.06,28.18,42.91,NA,366.95
SEP,4,18,28.54,3.66,NA,4.96,20.05,2,165.42,29.28,39.18,NA,278.91
SEP,4,19,23.42,3.5,NA,8.22,23.51,2.01,157.77,26.77,45.78,NA,70.52
SEP,4,20,14.55,3.5,NA,19.81,37.05,1.82,223.25,24.34,54.56,NA,18.66
SEP,4,21,13.36,4.16,NA,23.36,46.14,2.37,295.54,23.45,60.79,NA,5.24
SEP,4,22,11.02,5.79,NA,14.89,34.38,2.22,75.29,23.37,55.23,NA,27.52
SEP,4,23,7.97,7.04,NA,10.27,26.1,3.17,86.1,21.81,61.06,NA,7.59
SEP,5,0,7.03,5.67,NA,11.05,16.14,3.43,89.92,20.53,65.72,NA,2.09
SEP,5,1,3.89,4.76,NA,14.79,20.85,3.12,105.87,19.74,70.07,NA,3.88
SEP,5,2,9.46,4.64,NA,6.63,16.66,3.44,65.95,19,72.2,NA,2.23
SEP,5,3,7.67,8.91,NA,11.91,11.66,3.76,70.15,18.64,71.96,NA,5.12
SEP,5,4,5.01,9.2,NA,11.28,17.9,2.35,136.4,16.91,78.96,NA,7.92
SEP,5,5,0.2,7.15,NA,16.96,19.88,1.75,124.8,16.02,84,NA,2.94
SEP,5,6,NA,6.24,NA,18.95,20.58,1.85,143.49,15.54,84.69,NA,2.41
SEP,5,7,NA,5.81,NA,17.48,35.44,1.74,101.24,15.37,86.92,NA,13.83
SEP,5,8,2.11,6.15,NA,11.61,25.7,2.26,93.22,18.37,79.68,NA,178.08
SEP,5,9,8.87,5.61,NA,7.43,17.16,3.15,93.38,21.15,68.11,NA,390.77
SEP,5,10,14.89,4.66,NA,5.91,17.37,4.18,96.19,22.97,57.84,NA,596.68
SEP,5,11,18.49,4.26,NA,4.19,16.66,3.65,93.39,24.68,50.69,NA,767.76
SEP,5,12,22.31,3.78,NA,2.7,9.91,2.99,104.04,26.56,45.91,NA,907.85
SEP,5,13,25.68,3.5,NA,2.7,12.58,3.12,104.31,26.45,43.85,NA,686.48
SEP,5,14,28.35,3.5,NA,4.2,9.09,2.86,90.01,28.02,40.06,NA,878.66
SEP,5,15,29.85,4.12,NA,3.97,15.01,3.03,108.82,28.85,36.78,NA,711.14
SEP,5,16,26.04,5.12,NA,5.22,18.7,2.87,109.43,29.07,35.54,NA,641.92
SEP,5,17,23.69,5.57,NA,3.93,13.05,3.12,248.94,29.66,33.2,NA,499.83
SEP,5,18,21.68,6.94,NA,6.8,13.75,2.55,77.9,29.93,32.41,NA,319.96
SEP,5,19,16.22,9.34,NA,7.54,30.67,3.78,75.28,27.29,39.46,NA,63.8
SEP,5,20,7.38,13.05,NA,12.41,42,2.69,145.18,24.46,49.88,NA,2.2
SEP,5,21,6.51,11.73,NA,10.12,26.52,3.68,104,23.67,54.55,NA,8.57
SEP,5,22,7.66,7.73,NA,6.68,21.56,2.99,108.32,21.74,65.55,NA,2.04
SEP,5,23,0.75,8.41,NA,15.27,21.88,2.98,102.07,21.59,66.42,NA,4.26
SEP,6,0,2.15,7.52,NA,10.24,14.31,3.73,95.03,20.81,70,NA,4.9
SEP,6,1,3.94,9.48,NA,9.9,18.33,3.24,81.95,20.53,71.05,NA,3.24
SEP,6,2,0.2,8.79,NA,13.35,16.56,3.14,119.56,19.47,76.43,NA,3.89
SEP,6,3,1.67,7.68,NA,12.72,11.28,2.27,90.38,18.99,79.25,NA,7.23
SEP,6,4,3.65,10.94,NA,10.39,19.77,3.67,74.84,19.2,79.43,NA,2.25
SEP,6,5,NA,10.93,NA,13.13,15.85,2.66,136.91,18.59,81.56,NA,8.36
SEP,6,6,NA,9.88,NA,13.52,17.68,2.45,127.68,18.07,83.64,NA,18.93
SEP,6,7,NA,11.16,NA,14.9,21.66,2.47,134.88,17.94,84.31,NA,12.48
SEP,6,8,NA,11.75,NA,14.97,22.83,2.59,99.1,18.55,82.87,NA,76.83
SEP,6,9,4.68,11.35,NA,9.81,21.99,2.96,90.92,20.74,75.14,NA,248.53
SEP,6,10,13.62,10.26,NA,3.79,9.65,3.74,102.28,24.11,59.51,NA,537.82
SEP,6,11,18.83,8.39,NA,3.64,16.25,3.8,95.11,25.41,52.7,NA,682.86
SEP,6,12,26.19,7.64,NA,4.86,11.75,3.42,102.96,26.54,47.52,NA,747.09
SEP,6,13,29.37,7.14,NA,5.72,21.58,3.65,124.33,25.4,50.85,NA,271.85
SEP,6,14,22.42,6.5,NA,6.37,26.82,3.44,98.33,21.53,64.92,NA,247.46
SEP,6,15,22.16,6.52,NA,6.63,4.04,2.79,117.16,23.31,63.92,NA,217.46
SEP,6,16,20.39,7.46,NA,11.23,16.48,3.81,73.61,23.67,58.55,NA,241.46
SEP,6,17,20.08,8.12,NA,9.16,18.57,4.55,84.06,23.96,57.24,NA,426.53
SEP,6,18,19.46,7.09,NA,3.86,17.18,3.43,133.83,23.79,57.2,NA,266.74
SEP,6,19,19.55,6.12,NA,2.76,12.55,3.2,130.31,22.29,58.51,NA,73.8
SEP,6,20,13.8,5.94,NA,9.23,17.92,2.16,141.8,20.75,64.73,NA,7.79
SEP,6,21,6.04,6.17,NA,15.96,21.21,1.75,127.47,19.83,70.94,NA,2.18
SEP,6,22,6.66,6.88,NA,13.57,25.46,2.01,148.66,19.81,71.18,NA,3.78
SEP,6,23,6.57,3.67,NA,13.96,20.27,2.37,108.42,19.53,73.52,NA,2.19
SEP,7,0,NA,3.5,NA,21.16,15.48,2.54,120.43,18.59,80.78,NA,5.05
SEP,7,1,0.2,3.79,NA,25.02,17.68,2.39,106.9,18.04,81.49,NA,18.97
SEP,7,2,1.43,4.84,NA,21.22,14.29,3.3,100.61,17.97,81.61,NA,13.54
SEP,7,3,NA,6.89,NA,22.75,16.59,2.7,93.78,17.66,83.53,NA,12.35
SEP,7,4,NA,7.3,NA,22.46,19.38,2.45,67.17,17.51,84.04,NA,2.34
SEP,7,5,3.45,8.95,NA,18.96,35.62,3.03,58.17,17.74,81.57,NA,10.12
SEP,7,6,0.2,9.22,NA,21.64,21.41,2.31,102.26,17.27,83.82,NA,24.54
SEP,7,7,NA,9.16,NA,22.73,24.91,1.77,111.82,16.67,86.98,NA,12.22
SEP,7,8,NA,9.53,NA,21.39,24.38,1.94,127.11,19.2,82.07,NA,144.84
SEP,7,9,0.2,9.5,NA,19.91,31.02,2.31,118.58,20.97,74.32,NA,266.31
SEP,7,10,9.56,8.76,NA,8.57,14.99,3.24,102.68,23.25,64.1,NA,539.5
SEP,7,11,15.81,7.6,NA,6.71,10.87,3.65,101.48,25.05,55.74,NA,770.83
SEP,7,12,22.85,6.96,NA,3.67,8.91,3.53,116.35,26.68,49.04,NA,885.6
SEP,7,13,27.37,6.59,NA,4.84,14.78,3.37,97.13,27.51,44.79,NA,964.3
SEP,7,14,35.58,6.48,NA,3.98,11.25,2.76,133.76,29.07,37.66,NA,957.39
SEP,7,15,38.78,6.36,NA,3.23,7.57,2.45,166.92,30.18,33.51,NA,886.22
SEP,7,16,40.34,6.43,NA,3.61,11.48,2.81,156.62,30.49,32.67,NA,660.02
SEP,7,17,38.97,3.63,NA,3.75,27.98,2.69,150.08,28.2,36.82,NA,234.06
SEP,7,18,34.23,3.5,NA,7.88,20.76,2.22,224.67,27.29,40.21,NA,128.7
SEP,7,19,25.78,3.6,NA,9.27,34.13,3.73,248.72,25.67,46.43,NA,42.34
SEP,7,20,14.81,6.25,NA,9.48,36.54,3.18,252.58,22.37,59.86,NA,14.35
SEP,7,21,11.79,7.46,NA,12.32,20.53,2.83,293.07,21.96,62.35,NA,2.1
SEP,7,22,10.48,8.06,NA,12.04,21.48,1.97,119.54,20.43,72.63,NA,4.4
SEP,7,23,9.89,7.56,NA,7.49,25.56,3.16,156.62,18.25,84.6,NA,2.32
SEP,8,0,12.51,3.57,NA,3.87,16.24,3.32,152.13,17.49,91.04,NA,2.37
SEP,8,1,15.44,3.58,NA,2.7,13.18,2.6,199.86,17.19,91.55,NA,2.4
SEP,8,2,12.76,3.82,NA,2.96,4.99,1.96,209.14,17.37,91.23,NA,2.33
SEP,8,3,13.41,3.7,NA,2.7,6.42,2.9,284.7,17.22,90.59,NA,5.75
SEP,8,4,11.74,3.51,NA,2.7,3.64,2.58,310.55,16.49,91.14,NA,2.4
SEP,8,5,11.26,3.5,NA,2.7,10.76,1.78,153.06,16.29,91.31,NA,2.4
SEP,8,6,2.32,3.53,NA,3.59,13.19,1.96,138.44,16.1,94.01,NA,10.2
SEP,8,7,0.2,3.5,NA,11.01,18.02,2.01,119.03,16.06,96.68,NA,16.62
SEP,8,8,0.2,3.5,NA,8.35,13.9,2.18,134.23,16.87,94.07,NA,108.73
SEP,8,9,8.34,4.52,NA,7.14,11.89,2.27,119.95,18.44,87.45,NA,169.52
SEP,8,10,12.43,6.8,NA,2.7,20.38,2.39,136.92,22.04,76.65,NA,531.54
SEP,8,11,16.84,7.36,NA,2.7,28.85,1.74,111.45,23.15,64.09,NA,421.32
SEP,8,12,22.95,8.99,NA,2.7,82.4,1.85,193.47,26.72,54.2,NA,705.41
SEP,8,13,NA,NA,NA,NA,76.19,2.09,188.95,26.47,51.36,NA,581.47
SEP,8,14,47.38,5.06,NA,NA,51.17,2.36,259.46,27.66,46.09,NA,583.04
SEP,8,15,41.97,7.05,NA,NA,50.68,2.77,269.42,25.71,50.79,NA,357.25
SEP,8,16,37.45,7.83,NA,NA,25.29,3.19,292.1,26.85,47.41,NA,548.48
SEP,8,17,41.09,6.17,NA,NA,25.46,3.56,299.25,27.94,43.17,NA,458.08
SEP,8,18,26.4,4.22,NA,NA,31.73,3.93,303.72,25.68,52.8,NA,174.48
SEP,8,19,19.97,3.5,NA,NA,29.22,3.1,276.36,24.13,59.83,NA,39.89
SEP,8,20,14.61,3.5,NA,NA,26.04,2.73,285.62,23.02,65.97,NA,2.1
SEP,8,21,9.57,4.28,NA,NA,28.71,2.36,239.12,22.06,69.55,NA,2.06
SEP,8,22,13.54,4.14,NA,NA,37.92,2.42,224.22,21.31,70.5,NA,2.1
SEP,8,23,19.97,3.5,NA,NA,22.55,4.88,274.21,19.89,71.7,NA,2.26
SEP,9,0,21.28,NA,NA,NA,17.07,3.37,291.71,17.29,84.26,NA,2.42
SEP,9,1,21.57,NA,NA,NA,5.85,3.09,305.72,16.71,90.62,NA,2.49
SEP,9,2,23.84,NA,NA,NA,8.79,1.91,260.01,16.45,88.29,NA,2.5
SEP,9,3,18.73,NA,NA,NA,5.66,1.9,177.6,15.94,88.52,NA,2.45
SEP,9,4,14.01,NA,NA,NA,9.79,1.42,241.43,15.44,88.9,NA,2.45
SEP,9,5,7.74,NA,NA,NA,15.39,1.97,303.27,15.34,90.06,NA,2.47
SEP,9,6,6.05,NA,NA,NA,11.66,1.2,170.18,15.2,90.38,NA,2.5
SEP,9,7,0.2,NA,NA,NA,20.92,1.76,134.09,14.95,93.81,NA,12.88
SEP,9,8,0.2,NA,NA,NA,13.87,1.94,111.28,17.75,86.74,NA,152.76
SEP,9,9,5.36,NA,NA,NA,18.92,2.23,127.3,21.3,74.75,NA,374.9
SEP,9,10,15.01,NA,NA,NA,25.02,1.84,140,24.22,62.63,NA,523.5
SEP,9,11,24.21,NA,NA,NA,10.01,1.95,267.5,26.74,52.8,NA,766.94
SEP,9,12,23.97,NA,NA,NA,7.28,2.24,267.32,27.96,46.4,NA,804.46
SEP,9,13,23.26,NA,NA,NA,11.8,2.69,246.94,27.86,45.16,NA,916.03
SEP,9,14,24.81,NA,NA,NA,2.71,2.69,258.71,29.31,39.9,NA,921.5
SEP,9,15,27.36,NA,NA,NA,NA,2.58,277.68,30.02,36.19,NA,876.69
SEP,9,16,29.24,NA,NA,NA,6.88,3.03,252.55,29.46,34.48,NA,626.83
SEP,9,17,30.53,NA,NA,NA,9.62,2.88,268.43,28.63,36.17,NA,355.38
SEP,9,18,29.87,NA,NA,NA,11.33,3.01,263.61,27.87,40.23,NA,238.92
SEP,9,19,24.43,NA,NA,NA,25.39,3.44,274,25.92,45.61,NA,39.9
SEP,9,20,17.13,NA,NA,NA,25.78,3.18,263.78,23.92,54.23,NA,2
SEP,9,21,16.24,NA,NA,NA,22.95,2.97,261.73,21.91,63.98,NA,2.02
SEP,9,22,17.43,NA,NA,NA,17.39,2.63,254.18,20.3,70.73,NA,2.21
SEP,9,23,15.47,NA,NA,NA,20.89,2.18,207.55,17.91,89.08,NA,2.42
SEP,10,0,19.91,NA,NA,NA,4.59,2.2,224.77,16.93,94.31,NA,2.39
SEP,10,1,15.17,NA,NA,NA,2.52,2.14,92.99,17.09,96.56,NA,2.41
SEP,10,2,8.7,NA,NA,NA,3.75,1.46,138.08,17.63,97.45,NA,2.41
