DATOS HORARIOS 2018_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
JUL,3,14,29.47,3.51,NA,2.7,17.62,2.27,171.84,28.97,33.21,NA,952.39
JUL,3,15,30.48,4.8,NA,3.3,31.58,2.24,107.08,29.21,31.4,NA,734.77
JUL,3,16,32.59,5.73,NA,4.69,35.37,2.22,182.21,29.83,30.05,NA,695.6
JUL,3,17,33.53,5.65,NA,3.69,25.92,2.19,129.49,30.3,27.49,NA,525.25
JUL,3,18,30.39,4.95,NA,2.7,38.27,4.68,142.68,27.13,39.52,NA,269.18
JUL,3,19,24.09,4.29,NA,2.7,52.71,5.41,117.91,21.67,62.33,NA,77.46
JUL,3,20,19.04,5.01,NA,6.35,37.93,6.16,93.96,18.17,82.88,NA,6.51
JUL,3,21,19.42,3.96,NA,5.42,15.69,3,136.11,17,90.51,NA,2.51
JUL,3,22,17.54,3.5,NA,4.23,5.4,2.02,104.7,17.37,89.35,NA,2.5
JUL,3,23,15.73,3.65,NA,4.58,11.42,2.18,76,17.65,88.23,NA,2.49
JUL,4,0,14.61,4.39,NA,4.94,12.39,1.53,322.52,18.06,87.2,NA,2.41
JUL,4,1,8.62,4.6,NA,5.79,17.47,1.99,127.82,18.03,84.55,NA,2.42
JUL,4,2,6.38,4.25,NA,7.42,14.32,1.81,123.52,17.78,85.85,NA,2.36
JUL,4,3,1.49,4.14,NA,9.38,18.42,2.28,124.5,17.08,87.58,NA,2.44
JUL,4,4,0.2,3.96,NA,12.36,21.4,2.05,97.99,16.52,89.77,NA,2.44
JUL,4,5,0.2,4.14,NA,10.78,17.67,1.7,97.75,15.99,92.63,NA,2.49
JUL,4,6,NA,4.07,NA,10.48,24.96,1.65,119.44,15.46,95.09,NA,17.58
JUL,4,7,NA,4.07,NA,10.57,19.59,1.73,145.15,16.03,94.33,NA,44.68
JUL,4,8,0.2,4.53,NA,10.09,18.42,1.9,18.07,19.1,89.6,NA,172.38
JUL,4,9,1.51,5.26,NA,10.85,27.57,1.49,152.63,20.82,81.57,NA,254.76
JUL,4,10,10.35,6.64,NA,13.1,46.53,1.8,142.18,24.27,61.13,NA,577.21
JUL,4,11,20.75,5.17,NA,11.56,29.12,3.01,121.44,25.08,50.53,NA,790.06
JUL,4,12,23.34,4.3,NA,6.33,16.1,2.52,112.87,26.49,46.32,NA,912.09
JUL,4,13,22.66,5.32,NA,6.18,28.97,2.47,116.32,27.81,39.33,NA,975.7
JUL,4,14,25.15,4.07,NA,4.21,17.27,2.75,116.1,28.44,35.17,NA,981.69
JUL,4,15,24.99,3.77,NA,2.7,12.26,2.74,124.66,29.02,31.12,NA,871.97
JUL,4,16,24.33,4.7,NA,2.7,13.04,2.43,110.81,30.26,30.46,NA,793.72
JUL,4,17,24.93,5.37,NA,2.71,20.93,3.47,81.21,30.68,25.55,NA,576.02
JUL,4,18,25.64,5.44,NA,3,21.16,3.67,82.55,30.14,24.98,NA,391.7
JUL,4,19,23.27,5.45,NA,3.23,22.77,4.26,65.1,28.57,25.89,NA,168.15
JUL,4,20,19.14,5.86,NA,4.01,27.2,4.86,61.73,26.07,29.02,NA,10.88
JUL,4,21,13.21,7.31,NA,5.18,26.87,3.19,69.82,24.53,32.5,NA,2.02
JUL,4,22,7.14,9.41,NA,6.89,37.21,3.98,77.93,23.13,43.3,NA,2.11
JUL,4,23,5.87,8.08,NA,7.48,36.63,4.09,93.14,21.7,53.84,NA,2.17
JUL,5,0,7.93,7.15,NA,5.89,27.44,4.29,80.66,20.53,59.7,NA,2.27
JUL,5,1,4.88,6.13,NA,5.8,31.04,3.44,81.37,19.58,64.51,NA,2.34
JUL,5,2,4.47,5.19,NA,5.53,29.58,3.21,81.98,18.54,69.3,NA,2.46
JUL,5,3,5.6,4,NA,4.27,31.25,2.82,90.85,17.73,73.22,NA,2.47
JUL,5,4,5.92,4.22,NA,4.26,29.15,2.76,85.97,17.92,72.43,NA,2.45
JUL,5,5,6.38,4.66,NA,3.99,26.69,2.39,63,17.96,72.09,NA,2.41
JUL,5,6,5.5,5.34,NA,4.89,34.63,2.58,61.01,18.04,71.1,NA,2.47
JUL,5,7,0.2,5.37,NA,7.46,33.46,3.01,77.09,17.65,74.84,NA,33.8
JUL,5,8,0.2,7.17,NA,8.32,39.13,4.43,67.58,20.09,67.78,NA,201.19
JUL,5,9,5.32,13.82,NA,9.09,48.41,4.71,84.64,22.38,57.59,NA,391.77
JUL,5,10,11.07,3.94,NA,6.81,41.03,5.61,81.33,23.37,52.98,NA,607.75
JUL,5,11,13.07,4.31,NA,8.09,38.8,5.1,89.34,25.08,44.8,NA,778.62
JUL,5,12,16.55,NA,NA,6.45,32.66,5.23,96.69,26.4,36,NA,922.12
JUL,5,13,17.43,NA,NA,6.64,37.28,5.2,86.23,27.33,32.21,NA,971.04
JUL,5,14,18.96,3.5,NA,7.24,31.35,4.66,85.32,28.42,30.52,NA,990.25
JUL,5,15,17.85,3.5,NA,8.49,31.23,4.76,89.41,28.96,26.73,NA,862.83
JUL,5,16,19.47,NA,NA,6.18,21.22,4.8,98.28,29.33,25.77,NA,727.99
JUL,5,17,14.94,NA,NA,6.01,34.08,4.66,72.36,28.67,30.39,NA,399.57
JUL,5,18,12.16,3.5,NA,6.57,38.95,4.99,60.87,27.95,32.5,NA,245.82
JUL,5,19,10.86,3.5,NA,6.55,44.22,5.49,66.33,26.86,34.72,NA,121.01
JUL,5,20,8.63,4.44,NA,7.26,44.63,5.38,66.84,24.63,45.06,NA,24
JUL,5,21,7.77,3.98,NA,5.75,39.25,4.66,75.19,22.4,54.01,NA,24.83
JUL,5,22,7.92,3.86,NA,4.69,32.06,3.6,86.5,21.15,59.27,NA,12.92
JUL,5,23,6.65,4.98,NA,5.92,34.48,3.85,71.95,20.4,58.14,NA,7.54
JUL,6,0,8.81,4.43,NA,7.46,36.86,3.48,97.67,19.25,60.7,NA,17.34
JUL,6,1,8.49,3.5,NA,6,29.11,4.45,75.8,18.46,63.9,NA,4.57
JUL,6,2,9.64,3.5,NA,4.17,19.93,3.71,61.52,18.17,64.12,NA,14.71
JUL,6,3,7.58,4.41,NA,4.56,15.46,4.61,64.56,18,65.33,NA,9.11
JUL,6,4,9.25,5.18,NA,3.61,14.07,4.98,65.08,18.06,65.23,NA,14.11
JUL,6,5,7.97,6.23,NA,2.7,16.57,4.61,70.16,17.48,69.63,NA,14.74
JUL,6,6,4.97,7.3,NA,2.7,15.31,4.56,74.92,17.1,72.35,NA,7.6
JUL,6,7,1.81,7.52,NA,4.59,25.77,3.87,83.22,16.95,74.22,NA,45.69
JUL,6,8,1.08,10.9,NA,6.97,41.25,5.31,67.56,19.05,64.89,NA,217.3
JUL,6,9,8.12,9.75,NA,7.42,30.06,6.3,66.05,21.1,53.09,NA,442.9
JUL,6,10,10.92,7.71,NA,6.19,23.12,6.77,59.57,22.13,48.24,NA,616.68
JUL,6,11,12.93,6.74,NA,4.29,14.01,5.69,65.53,23.42,44.77,NA,729.55
JUL,6,12,13.68,7.73,NA,5.77,17.34,4.97,75.69,24.8,41.98,NA,797.89
JUL,6,13,17.24,6.79,NA,5.54,15.01,4.64,83.25,26.4,39.53,NA,935.74
JUL,6,14,18.84,5.92,NA,4.31,20.6,5.45,95.57,26.65,39.46,NA,714.57
JUL,6,15,15.38,6.07,NA,5.27,27.23,5.16,73.52,26.01,41.56,NA,588.17
JUL,6,16,16.98,6.13,NA,5.03,11.05,5.05,68.57,27.22,37.85,NA,659.62
JUL,6,17,14.75,7.03,NA,5.16,21.93,4.95,69.4,27.45,37.05,NA,484.16
JUL,6,18,12.72,7.36,NA,4.55,25.28,4.43,73.31,26.49,40.06,NA,282.6
JUL,6,19,9.87,8.03,NA,4.16,21.28,4.73,61.63,25.55,43.81,NA,150.89
JUL,6,20,7.53,7.58,NA,4.45,36.84,4.39,60.26,23.46,49.46,NA,6.44
JUL,6,21,7.27,8.13,NA,4.02,20.88,4.93,61.97,21.86,55.52,NA,15.86
JUL,6,22,6.49,8.99,NA,4.22,18.89,4.43,58.56,20.75,59.12,NA,9.03
JUL,6,23,7.01,8.65,NA,3.61,NA,3.99,71.16,20.2,59.99,NA,2.29
JUL,7,0,7.53,8.28,NA,3.54,NA,3.55,65.65,19.57,61.66,NA,2.32
JUL,7,1,6.77,6.36,NA,3.06,14.21,3.63,75.88,18.82,66.06,NA,2.28
JUL,7,2,5.98,5.38,NA,2.71,14.45,4.18,76.01,17.95,71.62,NA,2.38
JUL,7,3,4.55,6.16,NA,3.09,24.33,4,70.23,17.33,75.36,NA,2.5
JUL,7,4,5.27,6.14,NA,3.49,9.12,3.18,77.87,17.33,75.17,NA,4.08
JUL,7,5,1.47,4.97,NA,4.28,15.02,2.79,96.13,16.43,80.78,NA,2.49
JUL,7,6,1.44,4.43,NA,4.44,13.55,3.08,91.6,16.26,82.29,NA,2.55
JUL,7,7,0.2,4.09,NA,5.36,20.7,3.15,89.44,16.56,82.6,NA,33.34
JUL,7,8,0.2,4.86,NA,5.51,9.87,3.79,72.38,19.72,71.74,NA,216.34
JUL,7,9,1.14,5.94,NA,6.46,24.12,4.49,77.68,21.77,61.33,NA,414.59
JUL,7,10,4.93,6.37,NA,8.08,30.7,5.15,79.48,23.25,52.98,NA,634.55
JUL,7,11,8.1,4.68,NA,7.94,17.31,5.31,79.37,24.22,48.84,NA,745.48
JUL,7,12,11.3,3.91,NA,7.16,17.36,4.92,96.49,25.69,43.34,NA,936.45
JUL,7,13,14.47,NA,NA,5.75,8.24,4.12,84.51,26.87,38.54,NA,964.56
JUL,7,14,15.25,3.65,NA,6.19,15.6,4.25,92.06,27.82,34.89,NA,979.95
JUL,7,15,16.05,3.5,NA,5.7,18.92,3.98,95.88,28.92,32.25,NA,923.71
JUL,7,16,17.75,NA,NA,5.17,12.65,4.03,95.42,29.17,31.4,NA,720.6
JUL,7,17,14.36,NA,NA,5.21,16.79,3.53,75,28.33,33.56,NA,236.65
JUL,7,18,11.47,3.73,NA,5.56,26.88,3.37,79.8,27.34,36.92,NA,147.85
JUL,7,19,11.41,NA,NA,5.37,29.13,3.07,110.7,26.6,38.9,NA,89.29
JUL,7,20,7.91,NA,NA,5.18,14.84,3.19,67.63,25.51,42.49,NA,23.83
JUL,7,21,5.86,4.86,NA,6.23,24.24,3.47,101.43,23.98,51.02,NA,8.65
JUL,7,22,9.89,4.44,NA,5.81,26.8,3.13,100.66,22.24,60.45,NA,5.96
JUL,7,23,10.4,3.98,NA,5.7,19.93,3.19,81.97,21.75,60.7,NA,20.68
JUL,8,0,1.97,5.29,NA,5.37,22.36,3.83,76.86,21.34,63.24,NA,12.19
JUL,8,1,6.83,4.84,NA,4.32,18.24,4.58,89.12,20.83,60.39,NA,2.18
JUL,8,2,7.31,3.76,NA,3.31,10.91,3.44,103.85,20.16,63.23,NA,2.26
JUL,8,3,6.8,NA,NA,2.9,13.23,3.79,84.99,19.69,66.51,NA,13.77
JUL,8,4,5.96,NA,NA,2.7,6.14,3.28,91.62,19.15,69.26,NA,2.3
JUL,8,5,1.67,3.51,NA,2.7,9.81,3.42,83.12,18.66,73.29,NA,2.35
JUL,8,6,2.37,3.5,NA,2.86,24.24,3.2,107.3,18.36,74.74,NA,2.36
JUL,8,7,0.88,NA,NA,3.34,11.8,3.05,83.99,18.04,76.9,NA,20.38
JUL,8,8,0.2,3.85,NA,4.29,24.9,2.56,79.73,19.07,73.56,NA,95.11
JUL,8,9,5.45,4.61,NA,4.69,16.88,3.19,64.39,20.85,66.28,NA,240.89
JUL,8,10,10.19,4.78,NA,4.87,12.71,4.01,85.81,23.86,53.71,NA,542.04
JUL,8,11,11.53,3.99,NA,4.53,37.85,2.97,92.32,24.44,51.4,NA,506.45
JUL,8,12,14.34,4.36,NA,4.65,33.74,3.19,107.31,27.04,43.7,NA,909.97
JUL,8,13,18.01,NA,NA,3.21,17.38,2.85,114.23,27.09,42.08,NA,661.9
JUL,8,14,17.6,NA,NA,2.84,NA,2.07,132.88,27.29,41.73,NA,335.07
JUL,8,15,15.99,3.5,NA,3.51,18.18,2.11,111.21,28.02,38.47,NA,336.2
JUL,8,16,16.44,NA,NA,3.47,14.11,2.37,115.36,28.35,34.73,NA,385.37
JUL,8,17,18.64,NA,NA,3.47,13.28,3.76,99.05,28.44,33.91,NA,237.95
JUL,8,18,15.9,NA,NA,3.39,NA,4.09,116.61,23.79,55.72,NA,56.54
JUL,8,19,14.95,NA,NA,4.28,56.57,3.44,275.52,20.19,71.93,NA,4.02
JUL,8,20,12.58,NA,NA,5.7,36.73,3,291.03,18.26,82.93,NA,2.61
JUL,8,21,10.48,NA,NA,7.12,44.33,2.4,199.83,17.02,91.45,NA,2.48
JUL,8,22,12.58,NA,NA,6.14,25.66,1.81,212.96,16.85,95.75,NA,3.55
JUL,8,23,12.07,NA,NA,5.1,12.09,2.45,257.98,16.41,95.94,NA,12.51
JUL,9,0,14.9,NA,NA,4.37,10.17,2.86,287.66,16.2,96.31,NA,2.53
JUL,9,1,17.52,NA,NA,3.28,NA,2.02,286.27,16.39,96.55,NA,2.55
JUL,9,2,14.3,3.8,NA,2.79,3.92,1.61,224.22,16.58,97.34,NA,2.56
JUL,9,3,11.52,3.72,NA,2.7,2.02,1.31,186.33,16.64,97.65,NA,2.46
JUL,9,4,2.92,3.64,NA,3.24,10.09,1.75,141.45,16.73,97.69,NA,3.03
JUL,9,5,7.98,3.67,NA,3.85,16.99,1.83,156.85,16.61,97.61,NA,2.47
JUL,9,6,4.78,3.54,NA,3.94,22.58,1.8,158.38,16.29,98.14,NA,2.48
JUL,9,7,0.2,3.65,NA,5.31,10.61,1.73,50,16.36,NA,NA,14.37
JUL,9,8,0.49,4.47,NA,6.58,7.73,2.45,80.06,17,NA,NA,87.56
JUL,9,9,10.01,4.31,NA,6.58,5.04,3.32,95.89,19.82,90.94,NA,360.75
JUL,9,10,12.28,4.12,NA,5.85,2.77,3.34,101.87,20.88,81.5,NA,449.33
JUL,9,11,12.01,3.88,NA,5.08,6.68,4.13,94.5,22.58,69.56,NA,664.67
JUL,9,12,14.84,3.83,NA,5.6,17.21,4.07,84.73,23.93,59.79,NA,795.05
JUL,9,13,21.12,4.13,NA,5.64,20.31,3.82,100.26,25.82,52,NA,1013.74
JUL,9,14,25.12,3.98,NA,4.23,19.9,3.56,96.3,27.16,43.73,NA,963.15
JUL,9,15,23.12,4.32,NA,4.16,17.64,3.46,82.25,27.16,44.19,NA,787.78
JUL,9,16,23.71,4.58,NA,4.06,24.41,3.62,81.66,27.91,39.75,NA,761.49
JUL,9,17,26.31,4.53,NA,3.82,27.76,3.43,96.4,28.38,35.02,NA,507.58
JUL,9,18,28.02,5.02,NA,3.24,29.17,3.42,100.65,28.4,31.13,NA,301.66
JUL,9,19,12.65,6.52,NA,5.53,48.94,3.76,113.04,25.49,43.62,NA,25.4
JUL,9,20,8.11,6.85,NA,5.87,42.24,4.65,61.11,23.51,50.57,NA,4.17
JUL,9,21,6.2,9.25,NA,4.94,32.38,4.22,73.69,22.45,53.97,NA,2.08
JUL,9,22,6.13,11.42,NA,4.17,39.48,4.79,69.75,21.08,60,NA,2.18
JUL,9,23,5.16,13.2,NA,3.15,28.87,4.29,74.94,20.21,64.6,NA,2.23
JUL,10,0,3.34,12.43,NA,3.76,43.84,4.27,88.57,19.58,68.84,NA,2.31
JUL,10,1,6.84,8.75,NA,3.21,23.15,4.97,66.71,19.2,67.95,NA,2.33
JUL,10,2,5.77,9.84,NA,2.7,16.25,4.59,71.3,19.06,67.82,NA,2.34
JUL,10,3,3.46,9.85,NA,3.23,31.43,3.95,70.3,18.52,70.45,NA,2.37
JUL,10,4,5.11,8.99,NA,2.7,21.51,3.87,74.89,18.32,70.88,NA,2.38
JUL,10,5,3.39,8.89,NA,2.9,27.37,4.14,77.45,17.9,73.55,NA,2.36
JUL,10,6,4.26,7.46,NA,2.72,23.68,3.65,94.14,17.5,74.11,NA,2.46
JUL,10,7,0.2,5.79,NA,3.89,27.4,3.39,95.72,17.28,75.97,NA,32.87
JUL,10,8,1.05,4.67,NA,4.58,18.17,4.21,103.38,18.25,72.43,NA,108.53
JUL,10,9,5.48,5.28,NA,4.97,23.13,4.27,72.1,20.24,64.87,NA,311.44
JUL,10,10,9.73,6.4,NA,5.93,17.52,4.73,77.56,23.14,54.78,NA,636.96
JUL,10,11,12.36,5.13,NA,5.57,20.67,4.3,87.04,24.76,50.31,NA,783.1
JUL,10,12,15.07,4.41,NA,4.47,15.13,4.42,88.73,26.05,46.55,NA,966.04
JUL,10,13,16.59,4.72,NA,4.6,18.34,3.69,85.06,26.28,44.11,NA,685.54
JUL,10,14,17.76,4.47,NA,5.72,22.71,4.07,80.97,26.36,44.84,NA,673.05
JUL,10,15,16.9,4.56,NA,5.68,16.28,4.59,90.02,26.62,44.7,NA,563.76
JUL,10,16,15.01,3.5,NA,6.75,32.56,2.93,25.99,24.5,46.78,NA,123.43
JUL,10,17,14.05,3.5,NA,6.34,24.66,3.92,263.52,22.25,57.64,NA,45.9
JUL,10,18,14.72,NA,NA,6.1,26.97,4.25,262.16,19.17,73.49,NA,26.77
JUL,10,19,12.09,NA,NA,7.65,27.85,3.13,266.42,18.41,78.55,NA,12.06
JUL,10,20,10.57,NA,NA,9.11,20.87,3.72,292.21,17.33,86.14,NA,3.28
JUL,10,21,7.18,NA,NA,9.65,21.04,2.31,273.34,17.64,87.39,NA,2.48
JUL,10,22,7.84,NA,NA,8.16,15.58,1.98,279.52,17.4,86.59,NA,17.47
JUL,10,23,6.2,NA,NA,6.61,15.99,1.5,81.67,16.77,87.37,NA,2.42
JUL,11,0,2.91,NA,NA,6.23,19.03,2.3,102.68,17.24,88.54,NA,7.49
JUL,11,1,2.45,NA,NA,5.89,19.52,2.6,104.87,17.26,87.13,NA,2.45
JUL,11,2,6.03,6.24,NA,3.73,11.29,2.34,101.31,16.99,83.46,NA,2.48
JUL,11,3,3.73,6.27,NA,3.58,7.56,2.58,92.04,16.44,83.43,NA,2.51
JUL,11,4,4.02,5.98,NA,3.98,7.86,1.91,78.78,15.57,84.88,NA,2.53
JUL,11,5,4.6,7.29,NA,4.43,13.2,2.25,108.81,15.02,84.99,NA,2.58
JUL,11,6,5.12,6.55,NA,5.55,11.75,2.51,111.45,14.67,84.95,NA,2.61
JUL,11,7,0.2,5.62,NA,7.93,16.24,2.85,94,15.05,85.19,NA,33.82
JUL,11,8,5.25,5.52,NA,8.02,21.73,3.59,96.22,16.89,79.54,NA,174.35
JUL,11,9,13.38,4.97,NA,7.27,6.44,4.14,100.67,20.03,66.53,NA,413.62
JUL,11,10,16.6,5.13,NA,6.05,7.61,4.14,92.51,21.98,57.03,NA,627.76
JUL,11,11,20.31,4.37,NA,4.31,9.57,3.79,100.9,23.66,51.08,NA,811.32
JUL,11,12,24.3,NA,NA,3.08,9.75,2.86,125.89,25.45,47.24,NA,955.87
JUL,11,13,26.63,NA,NA,3.25,13.94,2.57,134.53,27.19,42.92,NA,958.08
JUL,11,14,28.5,5.85,NA,6.33,32.65,2.52,129.51,27.35,40.9,NA,717.94
JUL,11,15,28.31,7.35,NA,6.51,47.35,2.13,119.67,26.53,42.78,NA,344.31
JUL,11,16,29.18,5.15,NA,5.16,26.46,2.16,147.69,27.46,41.1,NA,386.67
JUL,11,17,28.96,4.08,NA,3.1,25.57,2.22,180.77,25.7,45.17,NA,103.23
JUL,11,18,24.39,3.97,NA,4.31,23.44,2.39,221.47,24.53,48.88,NA,54.68
JUL,11,19,21.67,4.28,NA,5.22,50.12,3.46,242.23,20.58,64.47,NA,9.1
JUL,11,20,19.89,3.5,NA,6.05,20.89,3.43,290.38,18.63,73.84,NA,3.02
JUL,11,21,17.21,3.5,NA,7.41,18.94,2.19,62.29,18.7,74.23,NA,2.31
JUL,11,22,12.83,4.25,NA,7.44,24.43,3.33,93.4,18.67,77.72,NA,2.35
JUL,11,23,14.69,3.75,NA,6.57,24.26,3.92,89.38,17.5,83.47,NA,2.38
JUL,12,0,15.88,3.5,NA,5.22,6.81,3.07,75.57,17.06,83.28,NA,2.42
JUL,12,1,16.41,4.07,NA,3.83,9.08,2.72,66.7,17.4,81.31,NA,2.44
JUL,12,2,14.17,6.98,NA,3.09,4.85,2.88,72.57,17.36,81.92,NA,2.42
JUL,12,3,10.05,8.09,NA,2.7,8.58,2.58,84.11,17.56,82.84,NA,2.43
JUL,12,4,5.93,7.87,NA,2.92,14.4,2.41,87.88,17.74,82.27,NA,2.33
JUL,12,5,4.78,6.83,NA,3.13,16.52,2.72,86.73,17.39,83.47,NA,2.39
JUL,12,6,3.02,6.27,NA,3.9,21.11,2.56,107.86,17.38,81.81,NA,2.41
JUL,12,7,0.81,5.46,NA,5.38,18.68,2.67,106.17,17.17,82.74,NA,21.74
JUL,12,8,3.78,5.11,NA,5.7,17.58,3.01,93.89,18.55,78.25,NA,105.54
JUL,12,9,11.36,4.73,NA,5.88,15.37,4.45,93.49,21.05,65.48,NA,308.56
JUL,12,10,14.1,4.83,NA,5.72,12.87,3.98,90.34,23.03,57.81,NA,479.32
JUL,12,11,15.19,4.48,NA,4.46,19.46,3.55,99.9,22.92,58.4,NA,369.95
JUL,12,12,19.52,4.01,NA,3.49,16.1,2.55,118.89,24.76,52.96,NA,661.09
