DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,,,","
,,,,,,,,,,,,,","
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,"RADSOL,"
DIC,2,5,NA,6.89,0.29,NA,16.38,1.5,276.42,10.23,78.4,NA,"5.21,"
DIC,2,6,NA,6.69,0.31,NA,18.57,1.61,268.98,9.64,81.35,NA,"3.03,"
DIC,2,7,NA,6.54,0.38,NA,20.76,1.44,86.57,9.21,82.74,NA,"3.49,"
DIC,2,8,NA,6.36,0.34,NA,24.18,1.49,139.22,9.9,85.74,NA,"71.88,"
DIC,2,9,2.24,6.97,0.35,NA,4.87,1.38,128.8,15.74,73.22,NA,"270.41,"
DIC,2,10,13.36,6.55,0.24,NA,12.52,1.39,234.73,20.22,58.5,NA,"468.54,"
DIC,2,11,24.81,7.76,0.19,NA,20.47,1.64,163.84,22.06,49.44,NA,"632.21,"
DIC,2,12,31.23,4.45,0.07,NA,14.92,2.02,234.85,23.32,41.3,NA,"742.72,"
DIC,2,13,36.83,4.41,0.09,NA,5.64,2.23,278.77,24.62,35.54,NA,"687.62,"
DIC,2,14,36.96,4.17,0.01,NA,NA,2.88,275.89,25.21,29.04,NA,"720.24,"
DIC,2,15,38.77,3.71,0.04,NA,6.93,3.8,278.38,25.83,23.05,NA,"668.66,"
DIC,2,16,43.36,3.5,0.01,NA,7.2,3.14,269.1,26.37,21.39,NA,"511.47,"
DIC,2,17,39.01,3.5,0.01,NA,5.6,3.12,264.49,26.17,20.23,NA,"316.24,"
DIC,2,18,32.98,3.5,0.01,NA,26.34,2.52,263.67,24.59,19.86,NA,"102.58,"
DIC,2,19,11.99,3.7,0.81,NA,31.89,1.86,282.96,20.7,26.58,NA,"3.38,"
DIC,2,20,1.07,6.69,2.77,NA,66.22,1.11,320.79,18,33.83,NA,"2.1,"
DIC,2,21,0.58,8.6,2.6,NA,122.92,1.18,196.12,15.71,36.42,NA,"2.77,"
DIC,2,22,NA,8.84,1.06,NA,120.39,1.61,115.96,14.81,53.24,NA,"2.27,"
