DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,,,","
,,,,,,,,,,,,,","
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,"RADSOL,"
DIC,11,15,44.17,3.5,0.07,NA,34,3.06,107.48,23.1,38.19,NA,"592.24,"
DIC,11,16,47.43,12.81,0.01,NA,21.57,1.91,163.41,24.85,33.28,NA,"440.94,"
DIC,11,17,46.71,24.45,0.07,NA,33.77,1.71,284.36,25.21,31.06,NA,"292.98,"
DIC,11,18,36.98,13.84,0.33,NA,37.18,2.36,299.2,22.59,32.65,NA,"70.42,"
DIC,11,19,9.85,11.97,1.68,NA,55.5,2.22,316.5,19.89,41.12,NA,"2.7,"
DIC,11,20,0.2,13.02,1.54,NA,71.29,1.88,321.92,18.38,47.48,NA,"2.08,"
DIC,11,21,1.17,11.6,1.2,NA,77.76,1.71,137.19,16.63,53.3,NA,"2.17,"
DIC,11,22,0.2,8.81,0.62,NA,74.83,1.63,138.75,15.39,57.85,NA,"2.2,"
DIC,11,23,13.9,10.23,0.86,NA,78.24,1.77,93.95,14.21,65.07,NA,"2.27,"
DIC,12,0,8.72,9.44,0.43,NA,85.12,1.95,117.14,13.19,67.34,NA,"2.34,"
DIC,12,1,3.96,5.58,0.23,NA,74.02,1.74,125.69,12.45,68.7,NA,"2.35,"
DIC,12,2,NA,14.39,0.23,NA,44.2,2.27,125.72,12.22,69.74,NA,"2.38,"
DIC,12,3,22.22,14.84,0.31,NA,49.86,1.55,141.83,11.64,70.35,NA,"2.39,"
DIC,12,4,NA,5.72,0.2,NA,41.46,1.88,122.55,10.85,72.85,NA,"2.45,"
DIC,12,5,8.27,6.42,0.32,NA,38.24,1.35,119.53,10.79,75.22,NA,"2.42,"
DIC,12,6,NA,5.44,0.36,NA,40.23,1.74,116.26,10.65,76.27,NA,"2.44,"
DIC,12,7,NA,6.35,0.28,NA,40.33,2.07,120.25,9.86,80.52,NA,"2.57,"
DIC,12,8,0.42,4.92,0.27,NA,39.63,2.1,123.37,9.33,81.6,NA,"29.71,"
DIC,12,9,1.33,6.68,0.36,NA,39.66,2.09,116.56,11.52,76.51,NA,"133.82,"
DIC,12,10,7.32,NA,0.28,NA,28.6,1.89,112.75,16.36,60.67,NA,"350.28,"
DIC,12,11,21.77,5.31,0.22,NA,35.19,1.58,190.16,20.26,53.02,NA,"437.5,"
DIC,12,12,30.7,5.31,0.22,NA,30.45,1.69,233.83,22.96,46.97,NA,"553.69,"
DIC,12,13,43.18,4.74,0.12,NA,33.93,3.24,266.12,23.7,44.63,NA,"649.57,"
DIC,12,14,48.92,4.59,0.11,NA,18.22,2.77,252.83,23.58,44.03,NA,"351.16,"
DIC,12,15,46.62,4.57,0.12,NA,27.19,3.21,272.99,23.58,43.47,NA,"317.79,"
DIC,12,16,34.4,4.51,0.09,NA,28.85,4.32,247.34,22.7,43.21,NA,"182.45,"
DIC,12,17,24.16,4.54,0.06,NA,31.75,4.37,244.08,22.15,39.36,NA,"89.97,"
DIC,12,18,22.9,4.55,0.11,NA,27.27,4.11,242.38,20.84,47.76,NA,"19.42,"
DIC,12,19,18.56,4.9,0.1,NA,24.86,4.14,243.1,20.02,50.27,NA,"2.63,"
DIC,12,20,16.5,5.4,0.07,NA,25.12,3.31,235.74,18.64,54.71,NA,"2.08,"
DIC,12,21,10.57,6.68,0.17,NA,31.41,2.38,225.6,17.47,60.03,NA,"2.12,"
DIC,12,22,9.38,7.69,0.15,NA,57.4,2.47,236.5,17.3,62.78,NA,"2.13,"
DIC,12,23,9.38,5.25,0.12,NA,22.93,2.24,190.73,16.51,65.75,NA,"2.2,"
DIC,13,0,10.27,5.01,0.1,NA,19.88,2.01,238.47,15.86,68.62,NA,"2.19,"
DIC,13,1,7.74,5.79,0.06,NA,27.92,1.81,217.07,14.76,70.7,NA,"2.26,"
DIC,13,2,9.28,5.43,0.05,NA,17.11,2.17,254.88,15.1,72.5,NA,"2.31,"
DIC,13,3,9.44,5.28,0.01,NA,11.71,2.02,245.47,15.02,73.45,NA,"2.26,"
DIC,13,4,7.87,5.19,0.01,NA,12.39,1.68,253.98,14.16,75.8,NA,"2.26,"
DIC,13,5,7.77,5.13,0.01,NA,9.08,1.57,190.35,13.19,78.28,NA,"2.35,"
DIC,13,6,7.45,4.94,0.01,NA,17.12,1.65,193.96,13.14,81.63,NA,"2.36,"
DIC,13,7,4.78,5.13,0.06,NA,7.54,1.54,158.22,12.87,82.77,NA,"2.39,"
DIC,13,8,1.93,5.47,0.35,NA,19.5,1.41,205.09,12.76,81.78,NA,"21.72,"
DIC,13,9,2.1,6.31,0.57,NA,18.91,1.19,179.02,15.94,76.31,NA,"162.07,"
DIC,13,10,11.49,5.34,0.19,NA,22.4,2.41,259.39,18.68,69.38,NA,"364.36,"
DIC,13,11,19.88,4.86,0.07,NA,NA,3.22,274.02,22.06,50.28,NA,"628.03,"
DIC,13,12,23.91,4.46,0.04,NA,14.76,4.41,266.71,21.86,45.59,NA,"524.9,"
DIC,13,13,24.69,4.03,0.04,NA,33.5,5.24,253.78,22.01,41.03,NA,"543.53,"
DIC,13,14,26.13,3.78,0.01,NA,25.19,5.75,251.39,22.02,38.81,NA,"431.34,"
DIC,13,15,27.92,3.5,0.01,NA,25.35,5.43,241.72,22.63,34.63,NA,"420.79,"
DIC,13,16,30.09,3.58,0.04,NA,22.23,4.84,247.46,22.67,36.64,NA,"346.43,"
DIC,13,17,31.23,3.5,0.01,NA,17.94,4.92,250.64,22.51,35.78,NA,"277.68,"
DIC,13,18,27.27,3.5,0.01,NA,30.47,3.86,248.05,21.02,40.27,NA,"52.21,"
DIC,13,19,15.83,3.99,0.13,NA,35.07,2.76,257.94,19.23,47.04,NA,"3.7,"
DIC,13,20,5.58,4.49,0.3,NA,41.25,2.21,251.02,17.44,53.9,NA,"2.18,"
DIC,13,21,4.02,5.08,0.32,NA,40.44,2.18,264.74,16.19,58.82,NA,"2.17,"
DIC,13,22,0.63,5.98,0.44,NA,42.31,1.86,313.8,15.39,61.12,NA,"2.23,"
DIC,13,23,NA,5.44,0.27,NA,33.81,1.54,283.18,14.6,60.58,NA,"2.31,"
DIC,14,0,NA,5.57,0.33,NA,31.64,1.91,241.22,13.96,62.19,NA,"2.35,"
DIC,14,1,NA,5.12,0.26,NA,26.61,1.6,245,13.06,63.57,NA,"2.38,"
DIC,14,2,17.41,5.06,0.22,NA,33.31,1.56,149.36,12.05,68.96,NA,"2.38,"
DIC,14,3,15.09,5.8,0.23,NA,37.29,1.7,93.57,10.89,75.07,NA,"2.47,"
DIC,14,4,16.84,5.96,0.23,NA,23.84,1.36,138.18,9.87,77.68,NA,"2.53,"
DIC,14,5,15.36,6.68,0.2,NA,31.21,1.68,89.82,9.5,80.72,NA,"2.53,"
DIC,14,6,13.14,6.99,0.32,NA,23.78,1.65,221.52,9.03,80.07,NA,"2.52,"
DIC,14,7,15.32,9.13,0.43,NA,35.32,1.95,157.26,8.86,80.84,NA,"2.61,"
DIC,14,8,0.2,9.16,0.94,NA,28.52,1.55,308.82,8.73,80.38,NA,"26.38,"
DIC,14,9,0.2,10.54,1.11,NA,39.08,1.77,300.92,11.08,77.94,NA,"136.54,"
DIC,14,10,0.38,14.21,0.78,NA,29.84,1.66,298.16,14.82,70.65,NA,"366.57,"
DIC,14,11,9.61,20.77,0.47,NA,24.11,1.71,190.92,19.17,48.53,NA,"491.22,"
DIC,14,12,19.64,59.66,0.79,NA,31.9,1.99,260.73,21.4,42.01,NA,"707.66,"
DIC,14,13,34.54,19.69,0.31,NA,31.6,2.18,254.12,22.59,36.13,NA,"641.01,"
DIC,14,14,35.21,9.21,0.19,NA,13.25,2.76,279.17,22.98,34.04,NA,"580.9,"
DIC,14,15,44.95,7.86,0.29,NA,16.65,3.2,292.01,23.69,31.73,NA,"648.4,"
DIC,14,16,43.84,6.15,0.19,NA,28.47,3.14,292.68,23.11,28.26,NA,"420.47,"
DIC,14,17,35.02,5.41,0.28,NA,23.41,3.32,305.84,22.46,27.01,NA,"280.02,"
DIC,14,18,26.68,5.54,0.4,NA,30.7,3.16,315.88,19.84,27.7,NA,"52.17,"
DIC,14,19,4.08,6.72,1.33,NA,40.19,2.15,304.67,17.86,29.37,NA,"3.91,"
DIC,14,20,NA,9.01,1.72,NA,57.11,2.17,300.55,16.65,31.14,NA,"2.18,"
DIC,14,21,0.2,40.9,1.11,NA,61.53,1.49,63.74,14.57,35.4,NA,"2.3,"
DIC,14,22,7.41,21.81,0.47,NA,50.65,2.18,74.44,14.1,30.94,NA,"2.3,"
DIC,14,23,21.03,12.78,0.12,NA,21.66,3.1,74.35,13.52,26.35,NA,"2.37,"
DIC,15,0,12.67,13.76,0.12,NA,25.06,2.73,98.64,10.86,51.26,NA,"2.5,"
DIC,15,1,26.86,10.58,0.01,NA,18.68,3.49,57.71,11.21,27.65,NA,"2.54,"
DIC,15,2,23.26,14.5,0.03,NA,14.91,2.89,98.2,10.08,29.82,NA,"2.58,"
DIC,15,3,8.89,12.57,0.09,NA,24.67,2.43,164.11,7.47,36.51,NA,"2.7,"
DIC,15,4,11.1,7.48,0.05,NA,14.84,2.63,118.67,5.91,45.73,NA,"2.81,"
DIC,15,5,18.3,3.5,0.01,NA,6.41,3.03,92.93,5.54,42.78,NA,"2.81,"
DIC,15,6,17.56,7.62,0.01,NA,8.19,2.37,83.77,4.96,42.39,NA,"2.9,"
DIC,15,7,15.89,4.9,0.05,NA,14.01,1.41,149.16,3.68,43.29,NA,"2.94,"
DIC,15,8,9.72,4.13,0.13,NA,47.62,2.05,115.06,4.58,43.11,NA,"54.61,"
DIC,15,9,15,5.64,0.12,NA,13.51,2.63,102.8,8.49,35.39,NA,"235,"
DIC,15,10,21.41,10.24,0.38,NA,15.27,3.32,96.61,12.07,30.41,NA,"468.76,"
DIC,15,11,31,16.37,0.02,NA,8.94,4.65,95.96,14.8,25.57,NA,"633.79,"
DIC,15,12,34.65,8.34,0.02,NA,10.4,3.88,106.37,16.92,24.82,NA,"688.91,"
DIC,15,13,38.85,4.52,0.01,NA,4.67,3.33,107.95,19.21,22.85,NA,"713.41,"
DIC,15,14,42.53,13.79,0.02,NA,8.36,3.09,115.53,21.34,21.73,NA,"609.87,"
DIC,15,15,45.47,17.79,0.01,NA,17.25,2.34,127.43,23.18,21.72,NA,"658.58,"
DIC,15,16,49.81,31.33,0.08,NA,23.67,2.2,122.98,24.08,22.31,NA,"503.59,"
DIC,15,17,57.09,44.11,0.43,NA,37.96,2.23,302.07,24.07,21.41,NA,"311.55,"
DIC,15,18,46.88,10.74,0.39,NA,37.55,2.36,310.76,21.9,23.53,NA,"102.27,"
DIC,15,19,20.71,7.27,1.06,NA,54.65,1.73,277.65,18.03,27.8,NA,"3.32,"
DIC,15,20,3.24,8.33,2.31,NA,82.83,1.37,240.14,15.63,31.41,NA,"2.26,"
DIC,15,21,0.2,13.01,1.69,NA,88.3,1.22,339.31,14.12,37.4,NA,"2.31,"
DIC,15,22,10.56,62.66,0.8,NA,81.69,2.87,57.73,14.44,38.66,NA,"2.28,"
DIC,15,23,11.61,13.63,0.41,NA,52.62,2.56,103.83,12.2,47.57,NA,"2.43,"
DIC,16,0,16.14,7.24,0.22,NA,33.78,2.52,103.1,10.73,51.26,NA,"2.47,"
DIC,16,1,23.52,6.32,0.05,NA,11.05,3.23,104.1,10.03,52.28,NA,"2.58,"
DIC,16,2,25.57,5.08,0.01,NA,14.19,3.74,102.43,9.55,52.15,NA,"2.59,"
DIC,16,3,24.48,4.35,0.01,NA,9.17,4,109.08,8.48,54.83,NA,"2.71,"
DIC,16,4,21.94,3.77,0.01,NA,9.32,4.09,106.8,7.39,59.01,NA,"2.72,"
DIC,16,5,19.83,4.68,0.01,NA,14.87,3.97,102.82,6.97,60.94,NA,"2.71,"
DIC,16,6,15.73,3.52,0.03,NA,17.43,3.48,106.21,6.13,64.35,NA,"2.76,"
DIC,16,7,13.97,3.5,0.07,NA,12.31,2.82,93.55,5.28,66.73,NA,"2.89,"
DIC,16,8,14.4,4.03,0.19,NA,17.05,2.43,111.75,5.77,66.53,NA,"44.6,"
DIC,16,9,15.67,6.14,0.21,NA,13.4,3.44,105.1,8.97,56.74,NA,"242.24,"
DIC,16,10,21.98,3.87,0.13,NA,12.16,3.18,108.07,12.79,46.51,NA,"439.7,"
DIC,16,11,31.99,3.5,0.08,NA,7.32,4.07,93.93,15.85,37.14,NA,"582.75,"
DIC,16,12,38.94,3.68,0.04,NA,4.11,2.99,103.96,19,31.61,NA,"659.13,"
DIC,16,13,44.2,10.53,0.02,NA,4.57,2.32,128.04,21.69,27.88,NA,"663.79,"
DIC,16,14,49.79,28.91,0.08,NA,14.69,2.09,223.42,23.99,25.49,NA,"583.04,"
DIC,16,15,58.22,87.07,0.49,NA,44.8,2.06,267.28,24.38,24.67,NA,"497.96,"
DIC,16,16,71.08,66.52,0.66,NA,55.61,2.04,272.57,24.44,24.39,NA,"394.54,"
DIC,16,17,65.04,17.26,0.42,NA,39.03,2.04,298.21,23.26,25.51,NA,"207.67,"
DIC,16,18,53.72,7.57,0.59,NA,43.64,2.51,307.41,21.4,28.66,NA,"62.89,"
DIC,16,19,19.19,8,1.54,NA,62.02,1.72,301.8,18.89,32.03,NA,"2.87,"
DIC,16,20,1.58,9.41,2.48,NA,112.93,1.16,203.17,16.9,38.39,NA,"2.12,"
DIC,16,21,0.2,14,3.33,NA,156.88,1.31,248.56,16.35,38.68,NA,"2.16,"
DIC,16,22,0.2,11.45,1.91,NA,152.53,1.59,151.22,15.52,46,NA,"2.23,"
DIC,16,23,0.2,14.79,0.66,NA,92.2,2.23,119.9,14.52,46.49,NA,"2.29,"
DIC,17,0,7.05,6.74,0.16,NA,28.86,1.93,128.07,13.48,43.82,NA,"2.34,"
DIC,17,1,5.24,6.96,0.1,NA,14.19,1.85,136.02,12.68,44.6,NA,"2.38,"
DIC,17,2,5.68,9.62,0.07,NA,20.64,2.49,125.94,11.95,45.96,NA,"2.41,"
DIC,17,3,17.57,3.91,0.01,NA,10.8,3.66,105.06,11.72,43.52,NA,"2.44,"
DIC,17,4,18.87,3.5,0.01,NA,8.29,3.62,106.44,11.17,45.56,NA,"2.48,"
DIC,17,5,12.14,3.5,0.01,NA,16.8,3.15,94.05,10.77,48.51,NA,"2.53,"
DIC,17,6,7.26,4.19,0.02,NA,23.13,3.01,94.58,9.86,54.45,NA,"2.55,"
DIC,17,7,1.41,3.5,0.18,NA,25.01,3.14,101.42,9.01,59.28,NA,"2.66,"
DIC,17,8,NA,3.98,0.34,NA,26.25,2.67,87.91,8.92,59.23,NA,"18.54,"
DIC,17,9,3.34,3.5,0.26,NA,26.67,3.48,109.82,10.34,53.83,NA,"106.14,"
DIC,17,10,10.22,8.11,0.24,NA,28.97,3.41,105.7,13.61,44.09,NA,"370.21,"
DIC,17,11,22.73,8.67,0.14,NA,8.06,3.36,104.41,17.75,32.71,NA,"540.17,"
DIC,17,12,34.01,6.39,0.07,NA,15.81,1.75,168.85,21.68,28.79,NA,"619.32,"
DIC,17,13,41.26,32.44,0.06,NA,19.85,1.74,165.05,24.38,24.67,NA,"736.29,"
DIC,17,14,53.76,16.79,0.05,NA,40.08,1.79,138.64,25.49,22.79,NA,"580.35,"
DIC,17,15,63.9,5.08,0.01,NA,27.52,2.09,164.25,26.17,23.53,NA,"602.31,"
DIC,17,16,62.46,5.3,0.01,NA,33.19,2.92,285.08,25.8,24.61,NA,"426.51,"
DIC,17,17,59.11,5.38,0.04,NA,32.42,2.55,277.72,24,26.72,NA,"180.74,"
DIC,17,18,56.83,5.7,0.17,NA,42.33,1.92,261.36,22.57,28.43,NA,"69.15,"
DIC,17,19,18.08,10.09,2.51,NA,69.41,1.12,298.42,19.96,29.44,NA,"3.45,"
DIC,17,20,3.75,14.16,2.61,NA,129.1,1.06,130.83,17.71,31.77,NA,"2.12,"
DIC,17,21,6.83,12.88,1.5,NA,168.71,1.75,195.21,16.46,39.64,NA,"2.19,"
DIC,17,22,0.2,12.29,1.79,NA,112.56,1.43,283.14,15.55,46.3,NA,"2.25,"
DIC,17,23,NA,11.81,1.17,NA,104.18,1.73,339.32,14.64,52.63,NA,"2.34,"
DIC,18,0,0.2,12.71,0.98,NA,76.48,1.44,153.55,13.78,57.52,NA,"2.31,"
DIC,18,1,23.69,14.47,0.6,NA,87.91,1.41,99.24,12.59,63.23,NA,"2.38,"
DIC,18,2,20.52,10.94,0.56,NA,78.05,1.19,277.01,11.88,62.63,NA,"2.41,"
DIC,18,3,14.06,11.26,0.7,NA,76.16,1.43,253.3,11.72,63.87,NA,"2.38,"
DIC,18,4,0.2,11.35,0.63,NA,70.98,1.53,234.43,11.04,67.22,NA,"2.43,"
DIC,18,5,NA,9.53,0.39,NA,65.13,1.45,222.55,10.47,69.21,NA,"2.5,"
DIC,18,6,1.26,8.77,0.43,NA,52.35,1.36,150.89,10.07,72.72,NA,"2.5,"
DIC,18,7,16.81,15.05,0.52,NA,65.79,1.46,115.36,9.08,81.9,NA,"2.59,"
DIC,18,8,11.37,10.5,0.73,NA,73.2,1.6,117.26,9.09,84.54,NA,"34.12,"
DIC,18,9,NA,10.29,0.86,NA,63.09,1.49,116.43,14.11,70.31,NA,"198.6,"
DIC,18,10,11.5,27.94,0.48,NA,48.39,1.23,176.21,19.58,54.45,NA,"378.72,"
DIC,18,11,22.04,15.74,0.43,NA,39.62,1.76,267.6,22.19,49.86,NA,"545.31,"
DIC,18,12,31.87,6.99,0.07,NA,29.66,3.26,269.54,22.62,46.39,NA,"657.87,"
DIC,18,13,35.83,4.4,0.04,NA,8.69,3.2,267.87,24.26,41.03,NA,"763.27,"
DIC,18,14,42.45,4.01,0.04,NA,8.25,2.65,242.47,24.6,38.65,NA,"494.14,"
DIC,18,15,41.94,3.85,0.05,NA,10.52,3.66,247.92,25.49,33.27,NA,"559.39,"
DIC,18,16,40.39,3.74,0.11,NA,25.21,3.63,248.71,25.53,31.67,NA,"369.24,"
DIC,18,17,35.71,3.8,0.16,NA,32.65,3.76,268.49,24.18,31.99,NA,"139.34,"
DIC,18,18,20.64,3.5,0.35,NA,31.09,3.97,292.11,22.79,31.59,NA,"32.37,"
DIC,18,19,8.44,3.68,0.48,NA,39.49,2.29,273.01,20.88,34.29,NA,"2.78,"
DIC,18,20,0.74,4.94,0.75,NA,45.57,1.63,223.71,18.61,39.88,NA,"2.09,"
DIC,18,21,2.11,6.25,0.68,NA,88.1,2.02,205.87,17.71,45.5,NA,"2.14,"
DIC,18,22,7.4,5.44,0.3,NA,68.51,2.1,215.26,17.11,51.24,NA,"2.14,"
DIC,18,23,14.13,3.92,0.09,NA,31.46,2.69,242.41,16.91,54,NA,"2.2,"
DIC,19,0,8.86,3.66,0.12,NA,17.14,1.95,256.04,15.44,56.75,NA,"2.2,"
DIC,19,1,0.94,5.88,0.19,NA,29.67,1.59,261.15,13.86,60.31,NA,"2.27,"
DIC,19,2,7.13,6.34,0.04,NA,35.6,1.57,225.88,13.26,64.98,NA,"2.32,"
DIC,19,3,5.63,7.97,0.09,NA,14.59,1.73,309.77,12.48,65.6,NA,"2.38,"
DIC,19,4,0.25,7.38,0.11,NA,25.82,2.08,306.41,11.09,70.9,NA,"2.38,"
DIC,19,5,1.08,8.43,0.13,NA,39.61,1.92,245.75,10.36,74.41,NA,"2.48,"
DIC,19,6,5.25,6.86,0.07,NA,16.27,1.98,255.66,10.36,77.12,NA,"2.47,"
DIC,19,7,5.48,6.29,0.18,NA,25.32,1.89,250.63,9.73,79.08,NA,"2.55,"
DIC,19,8,2.08,6.51,0.76,NA,26.57,1.9,251.81,9.9,79.83,NA,"40.76,"
DIC,19,9,3.31,7.49,0.65,NA,26.18,2.22,263.74,14.43,73.14,NA,"233.1,"
DIC,19,10,9.57,7.32,0.47,NA,27.99,2.46,298.82,17.72,62,NA,"430.24,"
DIC,19,11,23.57,6.14,0.13,NA,21.58,3.07,262.86,20.08,52.1,NA,"601.66,"
DIC,19,12,31.41,4.58,0.07,NA,10.14,3.8,261.08,21.86,41.16,NA,"709.5,"
DIC,19,13,33.75,3.98,0.04,NA,23.04,4.88,263.31,22.99,29.18,NA,"775.41,"
DIC,19,14,39.26,3.91,0.01,NA,13.85,4.74,255.51,23.87,25.7,NA,"600.8,"
DIC,19,15,40.08,3.69,0.01,NA,12.02,5.17,259.01,24.81,21.23,NA,"656.1,"
DIC,19,16,35.97,3.55,0.01,NA,23.16,5.52,275.6,25.09,18.18,NA,"507.94,"
DIC,19,17,38.06,3.51,0.01,NA,25.81,4.99,265.8,24.39,19.51,NA,"319.63,"
DIC,19,18,36.24,3.5,0.03,NA,25.63,4.27,259.09,23.08,19.25,NA,"112.67,"
DIC,19,19,26.41,3.5,0.2,NA,42.71,2.95,243.77,19.77,23.82,NA,"4.02,"
DIC,19,20,26.46,3.5,0.14,NA,38.87,2.91,237,17.84,26.55,NA,"2.15,"
DIC,19,21,18.63,3.5,0.41,NA,41.76,2.74,275.74,16.34,28.59,NA,"2.19,"
DIC,19,22,16.39,4.45,0.74,NA,77.87,2.72,277.63,14.64,32.87,NA,"2.27,"
DIC,19,23,10.53,4.47,0.71,NA,94.61,1.73,222.05,13,35.2,NA,"2.37,"
DIC,20,0,5.42,3.86,0.79,NA,68.53,1.68,247.37,11.91,38.41,NA,"2.43,"
DIC,20,1,2.33,3.96,0.44,NA,58.54,2,277.81,11.7,41.9,NA,"2.43,"
DIC,20,2,1.85,3.5,0.28,NA,51.18,2.03,287.38,10.77,45.65,NA,"2.48,"
DIC,20,3,1.09,3.5,0.32,NA,45.06,1.56,122.13,9.42,52.14,NA,"2.55,"
DIC,20,4,0.96,4.85,0.33,NA,42.25,1.49,250.55,8.29,52.4,NA,"2.58,"
DIC,20,5,0.2,5.72,0.37,NA,49.1,1.47,134.81,7.44,57.67,NA,"2.66,"
DIC,20,6,NA,5.7,0.26,NA,47.68,1.8,111.45,6.33,61.34,NA,"2.75,"
DIC,20,7,NA,6.49,0.3,NA,46.56,2.21,130.25,5.43,64.95,NA,"2.82,"
DIC,20,8,NA,8.22,0.61,NA,62.91,1.91,124.67,6.22,65.22,NA,"42.31,"
DIC,20,9,NA,10.75,0.69,NA,50.26,1.74,122.15,11.41,52.33,NA,"242.32,"
DIC,20,10,4.93,8.9,0.43,NA,51.11,1.93,150.67,15.63,42.5,NA,"443.78,"
DIC,20,11,20.5,12.06,0.18,NA,45.86,2.14,167.82,18.04,33.39,NA,"600.53,"
DIC,20,12,33.79,30.3,0.09,NA,26.86,2.08,221.68,21.19,21.73,NA,"713.62,"
DIC,20,13,41.43,23.64,0.05,NA,17.29,2.03,249.38,23.18,16.05,NA,"771.74,"
DIC,20,14,46.07,13.03,0.01,NA,18.15,2.15,219.77,24.08,13.84,NA,"608.8,"
DIC,20,15,51.2,13.02,0.01,NA,21.41,2.13,240.91,24.71,13.14,NA,"659.03,"
DIC,20,16,54.23,10.74,0.01,NA,25.3,2.55,259.85,24.58,12.35,NA,"487.34,"
DIC,20,17,55.56,14.49,0.01,NA,34.04,1.68,263.12,24.01,12.16,NA,"278.35,"
DIC,20,18,54.32,13.95,0.07,NA,44.91,2.02,226.32,22.08,13.31,NA,"95.74,"
DIC,20,19,27.84,10.92,0.48,NA,79.12,1.67,189.5,17.97,14.98,NA,"4.13,"
DIC,20,20,6.81,39.09,1.39,NA,90.24,1.72,76.36,16.34,19.87,NA,"2.2,"
DIC,20,21,13.56,11.97,0.25,NA,47.5,2.62,73.13,16.29,18.52,NA,"2.19,"
DIC,20,22,22.64,36.32,0.01,NA,23.53,2.58,64.74,14.95,18.63,NA,"2.31,"
DIC,20,23,12.81,NA,0.61,NA,37.01,2.15,115.25,13.58,21.25,NA,"2.31,"
DIC,21,0,8.77,7.09,0.05,NA,51.88,1.7,129.65,10.32,26.64,NA,"2.52,"
DIC,21,1,0.25,6.68,0.06,NA,42.86,1.56,138.42,9.33,27.85,NA,"2.58,"
DIC,21,2,NA,3.79,0.01,NA,38.89,1.67,168.72,8.1,29.32,NA,"2.63,"
DIC,21,3,NA,5.81,0.19,NA,52.89,1.41,123.85,7.6,32.67,NA,"2.71,"
DIC,21,4,0.78,8.38,0.25,NA,73.2,1.52,139.2,6.68,36.38,NA,"2.69,"
DIC,21,5,NA,4.88,0.07,NA,58.42,2.08,100.14,6.48,41.12,NA,"2.77,"
DIC,21,6,NA,3.65,0.08,NA,37.36,1.96,124.35,5.22,46.92,NA,"2.82,"
DIC,21,7,NA,3.5,0.15,NA,39.08,1.78,125.53,3.9,51.44,NA,"2.93,"
DIC,21,8,NA,3.61,0.34,NA,32.22,1.84,81.89,5.71,50.2,NA,"43.11,"
DIC,21,9,2.79,11.97,0.2,NA,15.68,2.46,83.93,9.88,43.08,NA,"249.82,"
DIC,21,10,10.21,12.41,0.16,NA,26.24,2.51,110.82,13.27,34.8,NA,"451.27,"
DIC,21,11,19.01,22.47,0.01,NA,25.21,1.74,187.34,17.19,27.48,NA,"605.88,"
DIC,21,12,35.12,73.97,0.3,NA,31.17,1.83,291.17,20.34,22.11,NA,"716.82,"
DIC,21,13,62.46,106.62,1.11,NA,49.08,2.02,263.68,22.06,18.54,NA,"773.16,"
DIC,21,14,60.65,114.81,0.76,NA,22.63,2.13,250.34,23.16,15.57,NA,"612.39,"
DIC,21,15,64.64,47.35,0.36,NA,44.3,2.08,249.03,24.38,13.24,NA,"681.19,"
DIC,21,16,67.35,11.06,0.04,NA,29.35,1.97,275.8,24.81,11.46,NA,"505.69,"
DIC,21,17,65.74,8.73,0.09,NA,43.77,1.91,266.24,24.28,11,NA,"305.08,"
DIC,21,18,59.3,8.93,0.31,NA,54.78,1.98,242.47,21.86,11.13,NA,"97.97,"
DIC,21,19,10.41,10.34,1.42,NA,82.08,1.79,246.58,17.7,12.23,NA,"4.18,"
DIC,21,20,4.43,12.74,1.54,NA,144.08,1.87,207.7,15.35,15.95,NA,"2.26,"
DIC,21,21,5.6,13.28,1.61,NA,134.09,1.5,73.94,13.55,23.03,NA,"2.35,"
DIC,21,22,1.5,17.62,1.14,NA,121.03,1.22,125.36,11.43,29.82,NA,"2.48,"
DIC,21,23,0.56,17.14,0.86,NA,127.77,1.51,122.85,10.24,32.53,NA,"2.51,"
DIC,22,0,0.2,16.11,0.86,NA,112.13,1.25,121.73,8.86,39.14,NA,"2.59,"
DIC,22,1,NA,15.41,0.65,NA,116.46,1.78,129.66,8.1,41.84,NA,"2.69,"
DIC,22,2,NA,20.19,0.65,NA,89.57,1.91,115.99,7.48,47.38,NA,"2.72,"
DIC,22,3,NA,22.31,0.57,NA,79.85,1.9,118.21,6.79,48.59,NA,"2.75,"
DIC,22,4,NA,24.26,0.59,NA,72.63,2.02,122.98,6.18,50.34,NA,"2.8,"
DIC,22,5,NA,16.03,0.38,NA,67.12,2.02,135.8,4.5,53.72,NA,"2.86,"
DIC,22,6,NA,32.2,0.25,NA,53.17,1.71,121.73,3.68,58.36,NA,"2.93,"
DIC,22,7,NA,10.03,0.22,NA,47.27,1.94,138.87,3,58.94,NA,"2.92,"
DIC,22,8,NA,11.43,0.34,NA,49.28,2.38,129.93,3.44,60.56,NA,"35.03,"
DIC,22,9,1.57,9.49,0.53,NA,52.57,2.45,112.84,7.81,50.82,NA,"222.01,"
DIC,22,10,10.1,11.72,0.44,NA,45,2.62,120.17,12.4,41.91,NA,"428.1,"
DIC,22,11,20.21,13.12,0.32,NA,35.34,2.19,106.1,16.37,33.8,NA,"602.62,"
DIC,22,12,39.3,5.18,0.16,NA,28.29,1.98,169.08,20.37,27.49,NA,"719.04,"
DIC,22,13,55.49,4.31,0.16,NA,35.64,1.99,267.51,23.01,22.48,NA,"767.16,"
