DATOS MÓVILES 2018_DIF,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
JUL,1,0,4.36,NA,44.53708333,13.3175,34.55875,1.40875
JUL,1,1,4.55,29.46444444,44.78458333,13.17291667,31.8925,1.38625
JUL,1,2,5.57,28.97555556,44.75666667,13.12958333,28.76,1.3725
JUL,1,3,6.37,28.53222222,44.38916667,13.12291667,26.285,1.35625
JUL,1,4,8.15,28.27277778,44.71333333,13.13625,24.39375,1.33125
JUL,1,5,7.79,28.11888889,44.53458333,13.16291667,23.1975,1.3
JUL,1,6,10.48,27.85,44.76958333,13.18375,22.42,1.26
JUL,1,7,13.68,27.53277778,45.32208333,13.14416667,19.73375,1.28375
JUL,1,8,8.63,27.06166667,45.69333333,13.02833333,17.48375,1.32
JUL,1,9,7.31,25.07555556,44.74625,13.14208333,16.34375,1.34625
JUL,1,10,7.62,22.53055556,44.22416667,12.96666667,16.19875,1.375
JUL,1,11,7.14,22.96473684,44.04958333,12.20958333,16.93625,1.40875
JUL,1,12,6.96,23.092,44.5875,11.56291667,18.8475,1.43625
JUL,1,13,6.69,22.4465,44.66625,11.57125,21.4925,1.45125
JUL,1,14,5.64,23.22095238,44.68958333,10.90666667,25.44875,1.46
JUL,1,15,5.43,22.24571429,44.50375,9.66,30.435,1.44625
JUL,1,16,6.01,21.02238095,44.14625,8.790833333,34.68875,1.43
JUL,1,17,4.55,20.80190476,44.73583333,8.815,38.00875,1.41375
JUL,1,18,4.05,21.53227273,44.36958333,8.345416667,40.05375,1.39
JUL,1,19,6.9,21.09227273,45.14791667,8.737916667,40.5225,1.3775
JUL,1,20,5.66,21.22818182,45.57478261,8.74625,40.0575,1.36375
JUL,1,21,4.72,21.0573913,45.99454545,8.75,39.5075,1.35875
JUL,1,22,4.77,21.91173913,46.06681818,8.690416667,38.41875,1.34375
JUL,1,23,4.15,21.84708333,44.99136364,8.6725,36.63125,1.325
JUL,2,0,5.31,22.30782609,44.26045455,8.665,34.71375,1.31125
JUL,2,1,6.99,22.70956522,44.64863636,8.677083333,31.88875,1.30375
JUL,2,2,7.58,23.20956522,45.28636364,8.732916667,29.79875,1.305
JUL,2,3,9.48,23.56826087,46.00363636,8.775833333,28.46,1.29
JUL,2,4,12.38,24.01913043,46.45545455,8.790416667,26.79625,1.28
JUL,2,5,13.29,24.26130435,47.81409091,8.812083333,23.19,1.27875
JUL,2,6,9.8,24.91913043,49.55863636,8.822916667,19.4225,1.30375
JUL,2,7,11.47,25.36086957,52.34772727,8.869583333,15.91375,1.35375
JUL,2,8,9.94,25.615,54.19045455,8.965,13.1075,1.40125
JUL,2,9,10.12,26.03454545,55.94409091,9.615,11.72375,1.4375
JUL,2,10,6.79,26.67772727,57.15909091,9.284583333,11.52,1.455
JUL,2,11,7.49,26.52454545,57.72772727,9.102083333,12.59625,1.485
JUL,2,12,8.25,26.57285714,58.51272727,8.499583333,14.79125,1.51375
JUL,2,13,7.49,25.15952381,59.91454545,7.264583333,17.99375,1.54125
JUL,2,14,6.43,23.43952381,60.68227273,6.756666667,21.3175,1.53875
JUL,2,15,7.72,23.33904762,60.61590909,6.265,25.53125,1.515
JUL,2,16,9.19,22.5715,60.27636364,5.874583333,29.66375,1.47125
JUL,2,17,8.44,20.8525,59.86772727,5.545416667,33.3575,1.44125
JUL,2,18,5.81,20.6305,61.52181818,5.35875,35.28375,1.4275
JUL,2,19,6.35,20.4,62.95818182,4.818333333,35.7175,1.4075
JUL,2,20,8.76,19.8995,63.32826087,4.716666667,34.9525,1.40375
JUL,2,21,11.7,19.5365,63.36625,4.73875,33.5825,1.4125
JUL,2,22,10.25,19.694,64.57125,4.748333333,32.08625,1.4125
JUL,2,23,6.98,19.607,65.77041667,4.736666667,30.38625,1.3925
JUL,3,0,5.1,19.39,66.28916667,4.711666667,28.48875,1.38625
JUL,3,1,7.32,19.32285714,66.54166667,4.722083333,25.43,1.3775
JUL,3,2,7.15,19.19809524,66.76458333,4.724583333,22.72875,1.3675
JUL,3,3,6.71,19.22666667,67.23791667,4.73125,20.5775,1.34875
JUL,3,4,7.09,18.95238095,67.5025,4.711666667,19.18875,1.31625
JUL,3,5,8.3,18.79904762,67.47708333,4.729583333,18.005,1.27375
JUL,3,6,9.6,18.51380952,66.88791667,4.792916667,16.46,1.26625
JUL,3,7,12.94,18.57047619,66.38875,4.797083333,13.9425,1.31875
JUL,3,8,11.51,18.97,66.36833333,4.80375,11.2825,1.37
JUL,3,9,9.15,18.32454545,66.09541667,3.949583333,10.6625,1.4175
JUL,3,10,8.27,17.69409091,65.51458333,3.822916667,11.14375,1.45
JUL,3,11,8.41,17.50363636,65.55416667,3.8075,12.0825,1.48875
JUL,3,12,7.43,17.83,64.89166667,3.752083333,13.90125,1.5225
JUL,3,13,5.62,18.7573913,63.09375,3.730416667,17.0775,1.53625
JUL,3,14,4.22,19.69565217,61.55,3.680416667,21.02,1.52375
JUL,3,15,4.34,19.28956522,60.62958333,3.954583333,26.09375,1.47
JUL,3,16,5.42,19.41375,60.5175,4.650416667,31.51,1.43375
JUL,3,17,5.59,20.53166667,60.36958333,4.878333333,35.8675,1.395
