DATOS MÓVILES 2018_DIF,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
SEP,1,0,7.29,NA,35.83458333,3.107916667,39.7875,1.27625
SEP,1,1,12.18,NA,34.36291667,3.068333333,36.14375,1.26125
SEP,1,2,9.57,NA,34.20833333,3.2525,32.52125,1.25
SEP,1,3,8.7,NA,34.24125,3.315,31.1275,1.23375
SEP,1,4,10.84,NA,33.94208333,3.31625,30.145,1.21375
SEP,1,5,8.19,NA,33.93333333,3.445416667,29.27125,1.205
SEP,1,6,19.99,NA,33.62666667,3.50125,25.675,1.2275
SEP,1,7,23.44,NA,32.8575,3.512916667,22.2925,1.275
SEP,1,8,20.59,NA,30.60625,3.48375,20.15875,1.34375
SEP,1,9,12.88,NA,28.25625,3.46625,20.335,1.3975
SEP,1,10,10.96,NA,26.93916667,3.4325,21.1325,1.445
SEP,1,11,7.63,NA,25.78625,3.363333333,22.06625,1.48125
SEP,1,12,6.95,NA,25.00958333,3.329166667,25.01875,1.515
SEP,1,13,5.26,NA,24.26541667,3.285,28.8575,1.53125
SEP,1,14,5.05,NA,23.32541667,3.294166667,34.74875,1.52125
SEP,1,15,5.17,NA,23.60166667,3.307916667,40.7325,1.4875
SEP,1,16,4.54,NA,23.65916667,3.26375,45.66875,1.43125
SEP,1,17,4.07,11.63161844,23.44208333,3.09,48.87375,1.38625
SEP,1,18,4.05,11.81453853,22.99416667,2.867083333,51.195,1.3425
SEP,1,19,5.35,11.8417881,23.4025,2.7675,50.04875,1.3225
SEP,1,20,11.49,11.45440138,22.98291667,2.731666667,47.78625,1.3175
SEP,1,21,14.69,11.13559427,22.565,2.7225,44.585,1.3275
SEP,1,22,17.11,11.22526191,22.36833333,2.7275,39.92,1.335
SEP,1,23,19.46,11.38855517,20.58,2.733333333,34.555,1.3575
SEP,2,0,16.98,11.66026008,19.66208333,2.74375,29.49125,1.3625
SEP,2,1,19.93,11.92806317,20.87625,2.762083333,24.52375,1.3675
SEP,2,2,12.22,12.38803721,21.21875,2.593333333,20.40375,1.365
SEP,2,3,9.95,12.32911708,21.35708333,2.6325,19.705,1.35625
SEP,2,4,5.26,12.53462617,21.67791667,2.762083333,19.61125,1.32875
SEP,2,5,6.04,12.95775179,21.72625,2.670416667,19.77125,1.29875
SEP,2,6,5.66,12.71862896,21.68958333,2.635416667,21.10375,1.27875
SEP,2,7,6.73,12.62157558,21.5,2.63125,22.85875,1.25
SEP,2,8,8.03,12.66857425,21.31166667,2.62125,24.49875,1.2475
SEP,2,9,5.55,12.67439425,21.055,2.610416667,27.30125,1.24375
SEP,2,10,10.47,12.77592008,20.88208333,2.660833333,29.50875,1.28125
SEP,2,11,7.59,12.9665645,21.00708333,2.790833333,31.05375,1.31
SEP,2,12,7.82,13.01726175,20.57208333,3.494166667,33.44,1.3375
SEP,2,13,5.26,13.83636729,20.89375,3.742916667,35.07625,1.36875
SEP,2,14,1.92,14.04045588,20.58291667,3.754166667,36.51375,1.36875
SEP,2,15,2.08,13.73888433,19.65583333,3.767916667,39.155,1.35875
SEP,2,16,3.37,13.54556488,19.14916667,3.807916667,42.64375,1.34625
SEP,2,17,2.83,13.41263013,18.91541667,3.805,46.15375,1.3375
SEP,2,18,4.24,13.27029646,18.96,3.802916667,49.8825,1.305
SEP,2,19,7.27,13.10275658,18.35625,3.815,50.65125,1.28875
SEP,2,20,15.29,13.23639513,18.245,3.822083333,48.34,1.29125
SEP,2,21,12.44,13.37781229,18.4125,3.820416667,46.1475,1.28875
SEP,2,22,5.62,13.46031688,18.705,3.8125,44.58125,1.29125
SEP,2,23,5.15,13.21328054,18.29,3.799166667,42.7925,1.28875
SEP,3,0,5.77,13.03701739,17.88875,3.78875,40.1575,1.2825
SEP,3,1,5.97,12.65086665,16.9825,3.761666667,36.0825,1.27875
SEP,3,2,2.68,12.25112309,16.71458333,3.725,32.755,1.265
SEP,3,3,3.3,12.38767109,16.235,3.594166667,32.60375,1.24375
SEP,3,4,6.21,12.22476576,15.71208333,3.430416667,33.1325,1.21
SEP,3,5,8.69,11.60367948,15.63041667,3.41,33.39125,1.19
SEP,3,6,18.65,11.7918771,15.885,3.489583333,31.68625,1.2375
SEP,3,7,32.56,12.01086867,16.44,3.565,27.93875,1.3775
SEP,3,8,29.46,12.38262114,16.88041667,3.6375,25.0025,1.4825
SEP,3,9,16.73,12.45463135,17.48541667,3.6875,24.34125,1.54
SEP,3,10,16.78,12.6079547,18.38791667,3.682083333,22.47625,1.5875
SEP,3,11,9.87,13.14145805,18.61666667,3.683333333,22.98625,1.62125
SEP,3,12,10.24,13.2922247,19.56958333,3.046666667,24.62,1.6725
SEP,3,13,9.57,12.4272272,20.14375,2.8325,27.02125,1.70625
SEP,3,14,8.48,12.46778755,21.48166667,2.84875,31.025,1.68875
SEP,3,15,7.4,12.7971334,22.63041667,3.13625,36.9025,1.56875
SEP,3,16,7.68,13.08532175,23.59916667,3.5775,42.3775,1.4825
SEP,3,17,9.01,13.4450901,24.44625,3.635416667,45.87875,1.45125
SEP,3,18,14.58,13.4645355,25.34125,3.692083333,49.24,1.44625
SEP,3,19,22.2,13.62610685,27.66625,3.714583333,48.8425,1.46625
SEP,3,20,21.05,13.82690725,30.91833333,3.730416667,47.12,1.45875
SEP,3,21,13.83,14.0516744,31.26375,3.739583333,45.27625,1.43875
SEP,3,22,8,13.8577714,31.3025,3.743333333,43.35875,1.4125
SEP,3,23,9.33,13.9285,31.70041667,3.788333333,40.92625,1.41
SEP,4,0,8.9,13.9285,31.95583333,3.820833333,38.15125,1.40125
SEP,4,1,13.4,14.35157895,31.91083333,3.852083333,34.44375,1.38375
SEP,4,2,13.96,14.51526316,32.40833333,3.910416667,30.98875,1.35125
SEP,4,3,13.65,14.4115,33.1475,4.000416667,28.88375,1.31
SEP,4,4,9.67,14.4115,33.8425,4.064583333,27.90125,1.2775
SEP,4,5,18.85,15.0145,34.37541667,4.072916667,25.305,1.2725
SEP,4,6,26.24,15.347,34.84416667,4.0175,24.02571429,1.29375
SEP,4,7,24.53,15.9165,35.75083333,3.984166667,19.67,1.3325
SEP,4,8,21.54,16.1215,36.65458333,3.958333333,16.57142857,1.375
SEP,4,9,12.04,16.34142857,37.1625,4.014166667,16.62142857,1.39875
SEP,4,10,14.55,16.69952381,37.25958333,4.845833333,18.17142857,1.44625
SEP,4,11,9.54,17.26285714,38.65208333,4.879583333,19.87857143,1.47375
SEP,4,12,11.23,17.0747619,39.00125,4.869583333,21.61571429,1.51375
SEP,4,13,9.2,17.03333333,38.655,4.87375,25.66571429,1.535
SEP,4,14,9.63,17.00571429,38.48333333,4.939166667,27.405,1.54125
SEP,4,15,8.12,17.11,38.63333333,4.726666667,32.475,1.51625
SEP,4,16,9,16.95571429,39.04458333,4.2925,36.625,1.49375
SEP,4,17,8.58,16.76619048,38.89166667,4.360416667,39.16625,1.49
SEP,4,18,11,16.84047619,38.42166667,4.984166667,40.68125,1.4825
SEP,4,19,18.14,17.11809524,37.60458333,5.050416667,40.0925,1.48625
SEP,4,20,22.12,17.25571429,35.68875,5.08875,38.60875,1.49
SEP,4,21,24.57,17.64285714,36.09791667,5.14625,35.95625,1.49625
SEP,4,22,19.18,18.1047619,37.02041667,5.40875,33.24375,1.49375
SEP,4,23,9.7,18.32619048,37.5725,5.457916667,30.2475,1.46875
SEP,5,0,9.76,17.76181818,37.91458333,5.450833333,27.00125,1.44
SEP,5,1,23.41,17.2773913,38.7575,5.640833333,22.1375,1.41625
SEP,5,2,12.38,17.48,38.71916667,6.033333333,18.38375,1.36625
SEP,5,3,12.5,17.70909091,38.72625,6.235833333,16.5175,1.32125
SEP,5,4,11.31,17.47130435,38.98166667,6.2775,14.82625,1.26625
SEP,5,5,19.92,17.24304348,39.085,6.352083333,12.955,1.22375
