DATOS MÓVILES 2018_DIF,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
AGO,4,8,14.44,14.89043478,39.68791667,13.18291667,18.41375,1.2375
AGO,4,9,14.45,14.88826087,39.22375,12.87583333,17.7475,1.2725
AGO,4,10,12,14.87173913,38.72291667,13.43291667,18.39375,1.3125
AGO,4,11,8.11,15.23391304,38.28875,13.68458333,19.39875,1.35375
AGO,4,12,7.96,14.77173913,41.02125,13.3625,20.60375,1.3925
AGO,4,13,8.95,14.43652174,45.07791667,12.9475,22.8725,1.4225
AGO,4,14,8.68,14.35391304,48.04666667,12.61083333,25.60375,1.44875
AGO,4,15,6.64,14.11695652,48.99375,12.16875,29.66375,1.4325
AGO,4,16,7.16,13.81,49.16791667,11.94041667,32.1475,1.4175
AGO,4,17,6.11,13.83956522,48.08458333,10.98875,34.3275,1.4025
AGO,4,18,5.16,13.78391304,48.2975,9.882916667,35.205,1.37875
AGO,4,19,9.64,13.35347826,48.24625,10.79916667,34.9225,1.36875
AGO,4,20,10.41,13.05391304,49.05625,12.20625,33.65875,1.36375
AGO,4,21,10.97,13.21173913,48.76291667,11.15291667,31.145,1.3675
AGO,4,22,8.13,13.02695652,47.77083333,11.43833333,29.0925,1.35
AGO,4,23,7.63,12.9873913,47.31458333,11.85625,26.88875,1.34125
AGO,5,0,7.91,12.92652174,47.04375,12.70625,24.9425,1.32625
AGO,5,1,5.81,13.09333333,46.51875,12.87458333,22.9625,1.30625
AGO,5,2,3.61,13.3825,46.83833333,12.89875,21.96875,1.28875
AGO,5,3,4.36,13.48541667,46.77541667,12.91458333,21.3275,1.26
AGO,5,4,4.11,13.4275,46.75083333,12.89041667,21.1025,1.22625
AGO,5,5,3.9,13.44541667,46.88458333,12.5775,21.28875,1.19
AGO,5,6,8.38,13.4525,46.61625,13.41708333,20.96125,1.1725
AGO,5,7,5.88,13.41541667,45.86875,13.39916667,21.0325,1.1725
AGO,5,8,8.81,12.97416667,45.20541667,13.64791667,20.86375,1.1825
AGO,5,9,8.12,12.52625,44.47375,13.64041667,20.91625,1.2
AGO,5,10,6.43,12.09041667,43.68625,12.95916667,20.79375,1.22
AGO,5,11,7.2,11.42666667,43.87458333,12.89958333,20.98125,1.2525
AGO,5,12,8.42,11.52875,41.0325,13.32,21.12125,1.29
AGO,5,13,7.19,11.45541667,36.63708333,13.41416667,21.62875,1.335
AGO,5,14,9.14,11.37375,33.50083333,14.3475,22.325,1.3775
AGO,5,15,3.19,11.635,32.25416667,14.39375,23.40375,1.37625
AGO,5,16,4.37,11.13625,31.26583333,14.32166667,24.875,1.3775
AGO,5,17,6.98,10.91791667,31.55833333,14.60625,26.02625,1.3725
AGO,5,18,6.99,11.05583333,31.1275,14.69875,26.60375,1.37
AGO,5,19,5.66,10.955,30.84125,13.28,27.09875,1.3475
AGO,5,20,8.61,10.66166667,29.01,11.4675,27.0625,1.34625
AGO,5,21,11,9.892083333,28.78583333,14.08541667,26.3275,1.32
AGO,5,22,10.62,10.70083333,28.87666667,16.14333333,25.43125,1.29375
AGO,5,23,8.6,11.02583333,28.78,16.45708333,23.70125,1.29125
AGO,6,0,7.36,11.19916667,28.3625,17.10166667,21.985,1.27375
AGO,6,1,5.35,11.27125,28.01708333,17.87916667,20.47375,1.25625
AGO,6,2,4.31,11.3875,27.59,18.265,19.24125,1.23375
AGO,6,3,4.4,11.54478261,26.95291667,18.89666667,18.01,1.21875
AGO,6,4,4.19,11.63565217,26.87541667,19.49375,17.42,1.17875
AGO,6,5,4.44,11.63347826,26.74541667,20.0375,17.01875,1.16125
AGO,6,6,8.79,11.55652174,26.51583333,20.15375,16.51375,1.15
AGO,6,7,11.26,11.1426087,27.00125,20.89208333,15.9475,1.16375
AGO,6,8,11.34,11.43347826,27.55791667,22.51416667,15.31125,1.20375
AGO,6,9,8.16,12.09869565,28.33166667,23.16583333,15.22125,1.22875
AGO,6,10,5.2,12.48347826,31.80083333,22.84958333,16.08875,1.25375
AGO,6,11,5.66,12.52565217,33.72875,22.59041667,17.44,1.28125
AGO,6,12,7.15,12.56217391,34.15375,22.1575,19.25875,1.325
AGO,6,13,6.97,12.69347826,34.82333333,22.05458333,21.92875,1.3575
AGO,6,14,7.39,12.84478261,35.6025,21.20416667,25.00375,1.38125
AGO,6,15,7.13,12.67086957,37.27166667,21.53791667,28.32875,1.38375
AGO,6,16,7.95,13.19652174,39.13416667,21.40416667,31.30125,1.3725
AGO,6,17,9.78,13.39913043,39.54666667,20.90958333,33.14,1.38625
AGO,6,18,8.07,13.71608696,41.53416667,20.55958333,33.46875,1.39125
AGO,6,19,8.39,13.99173913,42.75416667,20.56958333,32.96125,1.39375
AGO,6,20,10.02,14.18521739,42.54958333,19.77291667,31.845,1.3925
AGO,6,21,11.65,13.9926087,41.42041667,16.705,29.465,1.39
AGO,6,22,8.72,13.30227273,40.14416667,14.33125,28.06125,1.3825
AGO,6,23,13.03,12.96285714,39.13916667,13.67083333,25.71125,1.375
AGO,7,0,7.99,12.56,38.74875,12.15333333,23.75625,1.3575
AGO,7,1,5.83,12.01428571,38.21583333,11.19416667,23.055,1.33
AGO,7,2,4.88,11.8695,37.63708333,10.76958333,22.95125,1.31
AGO,7,3,5.5,11.51142857,37.51208333,10.11541667,22.99625,1.28875
AGO,7,4,8.03,11.27047619,37.2125,9.51,22.5675,1.25875
AGO,7,5,11.03,11.06857143,37.10708333,8.924583333,22.08625,1.24125
AGO,7,6,21.69,11.02095238,36.96416667,7.902083333,19.55125,1.2575
AGO,7,7,22.36,10.9147619,36.525,6.989583333,17.52375,1.325
AGO,7,8,15.4,10.77380952,35.66875,5.008333333,15.9175,1.39125
AGO,7,9,9.29,10.21857143,34.55791667,3.79375,14.3075,1.43125
AGO,7,10,7.21,9.8155,30.81875,3.653333333,13.15375,1.4675
AGO,7,11,6.43,9.886,28.28041667,3.620833333,13.05625,1.4925
AGO,7,12,6.02,9.848421053,27.45833333,3.684583333,14.1575,1.51375
AGO,7,13,6.8,9.769444444,26.43125,3.687083333,16.2575,1.54
AGO,7,14,7.19,9.666111111,25.18791667,3.625416667,19.7825,1.5375
AGO,7,15,6.91,9.676111111,23.21458333,3.297916667,24.44,1.47625
AGO,7,16,7.74,9.849444444,22.04166667,3.174583333,28.37875,1.4275
AGO,7,17,8.04,9.928333333,21.505,2.99125,30.11875,1.39625
AGO,7,18,6.42,9.268888889,18.80333333,2.9025,31.3025,1.36625
AGO,7,19,8.65,8.979444444,17.54916667,2.875416667,31.445,1.35
