DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
MAYO,4,21,0.053,0.079,0.003,0.62,47,39,0.017
MAYO,4,22,0.052,0.076,0.003,0.65,48,31,0.019
MAYO,4,23,0.047,0.070,0.003,0.66,47,29,0.015
MAYO,5,0,0.046,0.064,0.003,0.66,49,35,0.016
MAYO,5,1,0.037,0.057,0.004,0.67,54,39,0.021
MAYO,5,2,0.025,0.049,0.003,0.68,58,42,0.024
MAYO,5,3,0.039,0.044,0.003,0.66,57,45,0.015
MAYO,5,4,0.018,0.040,0.003,0.59,54,47,0.027
MAYO,5,5,0.019,0.035,0.003,0.57,55,45,0.029
MAYO,5,6,0.020,0.031,0.003,0.58,56,44,0.030
MAYO,5,7,0.015,0.027,0.003,0.66,63,48,0.032
MAYO,5,8,0.019,0.024,0.003,0.74,70,47,0.030
MAYO,5,9,0.038,0.024,0.003,0.78,68,50,0.022
MAYO,5,10,0.055,0.028,0.003,0.78,62,43,0.015
MAYO,5,11,0.062,0.031,0.003,0.79,52,41,0.011
MAYO,5,12,0.070,0.037,0.003,0.79,41,31,0.010
MAYO,5,13,0.071,0.044,0.003,0.78,35,24,0.010
MAYO,5,14,0.079,0.051,0.003,0.75,31,22,0.009
MAYO,5,15,0.087,0.060,0.003,0.65,32,23,0.007
MAYO,5,16,0.091,0.069,0.003,0.57,35,26,0.009
MAYO,5,17,0.091,0.076,0.003,0.52,32,30,0.010
MAYO,5,18,0.085,0.080,0.003,0.51,36,33,0.014
MAYO,5,19,0.081,0.082,0.003,0.51,37,34,0.014
MAYO,5,20,0.039,0.078,0.003,0.62,40,35,0.042
MAYO,5,21,0.016,0.071,0.003,0.76,51,34,0.052
MAYO,5,22,0.049,0.068,0.003,0.78,58,35,0.020
MAYO,5,23,0.054,0.063,0.003,0.79,55,33,0.010
MAYO,6,0,0.041,0.057,0.003,0.79,52,34,0.017
MAYO,6,1,0.034,0.050,0.002,0.79,55,34,0.023
MAYO,6,2,0.044,0.045,0.002,0.78,57,35,0.017
MAYO,6,3,0.055,0.042,0.002,0.77,54,36,0.006
MAYO,6,4,0.032,0.041,0.002,0.66,51,37,0.021
MAYO,6,5,0.030,0.042,0.002,0.53,52,41,0.019
MAYO,6,6,0.013,0.038,0.002,0.53,59,44,0.030
MAYO,6,7,0.013,0.033,0.002,0.58,62,49,0.033
