DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
MARZO,4,11,0.039,0.017,0.021,0.44,38,27,0.021
MARZO,4,12,0.05,0.021,0.021,0.48,38,23,0.015
MARZO,4,13,0.063,0.027,0.02,0.5,36,23,0.007
MARZO,4,14,0.07,0.035,0.019,0.52,35,23,0.005
MARZO,4,15,0.072,0.042,0.018,0.53,34,21,0.005
MARZO,4,16,0.072,0.05,0.017,0.51,32,22,0.005
MARZO,4,17,0.073,0.057,0.017,0.51,33,20,0.005
MARZO,4,18,0.069,0.063,0.017,0.53,34,19,0.006
MARZO,4,19,0.038,0.063,0.017,0.62,57,19,0.025
MARZO,4,20,0.029,0.061,0.017,0.67,58,22,0.021
MARZO,4,21,0.035,0.057,0.017,0.7,54,22,0.02
MARZO,4,22,0.027,0.052,0.017,0.73,44,23,0.024
MARZO,4,23,0.011,0.044,0.017,0.76,43,24,0.047
MARZO,5,0,0.025,0.038,0.017,0.77,43,27,0.034
MARZO,5,1,0.034,0.034,0.009,0.77,38,24,0.036
MARZO,5,2,0.008,0.026,0.008,0.77,40,25,0.042
MARZO,5,3,0.004,0.022,0.008,0.69,44,25,0.043
MARZO,5,4,0.008,0.019,0.008,0.63,43,29,0.024
MARZO,5,5,0.023,0.017,0.007,0.59,38,28,0.02
MARZO,5,6,0.027,0.017,0.007,0.55,33,25,0.011
MARZO,5,7,0.011,0.017,0.006,0.52,33,22,0.018
MARZO,5,8,0.008,0.015,0.006,0.58,54,25,0.026
MARZO,5,9,0.015,0.013,0.004,0.66,52,23,0.021
MARZO,5,10,0.034,0.016,0.004,0.66,52,24,0.01
MARZO,5,11,0.045,0.021,0.004,0.66,45,25,0.005
MARZO,5,12,0.048,0.026,0.004,0.68,38,23,0.006
MARZO,5,13,0.047,0.029,0.004,0.69,31,21,0.003
MARZO,5,14,0.046,0.032,0.004,0.7,25,18,0.002
MARZO,5,15,0.047,0.036,0.004,0.69,21,17,0.002
MARZO,5,16,0.048,0.041,0.004,0.61,20,16,0.003
MARZO,5,17,0.05,0.046,0.003,0.53,20,16,0.002
MARZO,5,18,0.048,0.047,0.003,0.51,20,16,0.003
MARZO,5,19,0.041,0.047,0.003,0.51,22,14,0.009
MARZO,5,20,0.017,0.043,0.003,0.59,26,13,0.029
MARZO,5,21,0.024,0.04,0.003,0.65,34,17,0.019
MARZO,5,22,0.023,0.037,0.003,0.68,33,19,0.01
MARZO,5,23,0.017,0.034,0.002,0.7,29,17,0.011
MARZO,6,0,0.018,0.03,0.002,0.73,30,18,0.009
MARZO,6,1,0.019,0.026,0.002,0.74,28,14,0.011
MARZO,6,2,0.022,0.023,0.002,0.75,31,16,0.022
MARZO,6,3,0.022,0.02,0.002,0.75,29,15,0.03
MARZO,6,4,0.017,0.02,0.001,0.66,30,16,0.014
MARZO,6,5,0.014,0.019,0.001,0.61,29,17,0.014
MARZO,6,6,0.01,0.017,0.001,0.59,29,19,0.019
MARZO,6,7,0.01,0.017,0.001,0.57,29,16,0.014
MARZO,6,8,0.01,0.016,0.001,0.6,30,15,0.023
MARZO,6,9,0.023,0.016,0.001,0.6,30,20,0.014
MARZO,6,10,0.043,0.019,NA,0.61,31,13,0.008
MARZO,6,11,0.051,0.022,NA,0.57,31,NA,0.003
MARZO,6,12,0.051,0.027,NA,0.56,30,NA,0.002
MARZO,6,13,0.048,0.031,NA,0.53,27,NA,NA
MARZO,6,14,0.043,0.035,NA,0.5,21,NA,NA
MARZO,6,15,0.045,0.039,NA,0.48,16,NA,NA
MARZO,6,16,0.046,0.044,NA,0.4,17,NA,NA
MARZO,6,17,0.048,0.047,NA,0.35,15,NA,NA
MARZO,6,18,0.051,0.048,NA,0.34,16,NA,NA
MARZO,6,19,0.047,0.047,NA,0.34,16,NA,0.004
MARZO,6,20,0.017,0.043,NA,0.42,19,NA,0.037
MARZO,6,21,0.005,0.038,NA,0.61,31,NA,0.055
MARZO,6,22,0.011,0.034,NA,0.7,42,NA,0.023
MARZO,6,23,0.019,0.03,NA,0.73,46,25,0.019
MARZO,7,0,0.026,0.028,NA,0.75,41,24,0.029
MARZO,7,1,0.019,0.024,NA,0.76,33,20,0.005
MARZO,7,2,0.011,0.019,NA,0.78,29,17,0.008
MARZO,7,3,0.013,0.015,NA,0.78,28,19,0.02
MARZO,7,4,0.007,0.014,NA,0.7,28,16,0.014
MARZO,7,5,0.005,0.014,NA,0.51,29,16,0.026
MARZO,7,6,0.005,0.013,NA,0.44,32,19,0.026
MARZO,7,7,0.005,0.011,NA,0.47,32,19,0.032
MARZO,7,8,0.004,0.009,NA,0.62,63,22,0.032
MARZO,7,9,0.007,0.007,NA,0.73,66,27,0.037
MARZO,7,10,0.021,0.008,0.002,0.77,55,29,0.02
MARZO,7,11,0.041,0.012,0.002,0.79,43,26,0.006
MARZO,7,12,0.045,0.017,0.002,0.79,32,20,0.004
MARZO,7,13,0.05,0.022,0.002,0.79,27,17,0.005
MARZO,7,14,0.05,0.028,0.002,0.79,24,18,NA
MARZO,7,15,0.051,0.034,0.002,0.74,22,14,NA
MARZO,7,16,0.055,0.04,0.002,0.59,22,17,0.003
MARZO,7,17,0.053,0.046,0.002,0.48,23,20,0.003
MARZO,7,18,0.053,0.05,0.002,0.44,22,20,0.003
MARZO,7,19,0.045,0.05,0.002,0.48,25,18,0.008
MARZO,7,20,0.019,0.047,0.002,0.56,30,17,0.049
MARZO,7,21,0.018,0.043,0.002,0.64,43,19,0.034
MARZO,7,22,0.033,0.041,0.002,0.65,43,23,0.009
MARZO,7,23,0.028,0.038,0.002,0.65,37,20,0.007
MARZO,8,0,0.025,0.034,0.002,0.65,31,18,0.008
MARZO,8,1,0.022,0.03,0.002,0.64,29,17,0.005
MARZO,8,2,0.012,0.025,0.002,0.63,30,18,0.011
MARZO,8,3,0.018,0.022,0.002,0.59,31,21,0.012
