DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
NOVIEMBRE,1,0,0.0085,0.0048,0.0219,1.15,56,15.89,1.59,148.9,70.21,4.95
NOVIEMBRE,1,1,0.0154,0.0091,0.019,0.94,71,15.69,1.97,146.55,70.76,6.55
NOVIEMBRE,1,2,0.0174,0.0085,0.0148,0.9,41,15.72,1.46,96.16,68.77,5.03
NOVIEMBRE,1,3,0.0086,0.006,0.0202,0.93,35,15.38,1.16,80.23,71.14,6.51
NOVIEMBRE,1,4,0.0024,0.005,0.0207,0.97,43,14.92,1.97,124.85,73.16,2.79
NOVIEMBRE,1,5,0.0115,0.0045,0.0132,0.87,37,14.92,2.06,91.58,72.24,21.6
NOVIEMBRE,1,6,0.0052,0.0041,0.0172,0.9,41,14.57,1.52,94.45,71.69,2.69
NOVIEMBRE,1,7,0.0039,0.0039,0.017,1.02,36,13.87,2.27,108.12,74.48,6.9
NOVIEMBRE,1,8,0.0038,0.0039,0.0169,1.04,39,14.02,2.37,122.65,73.91,53.55
NOVIEMBRE,1,9,0.0111,0.0057,0.015,1.03,47,16.06,2.86,78.81,67.07,279.66
NOVIEMBRE,1,10,0.0278,0.0039,0.007,0.85,32,19.38,4.32,71.02,50.51,533.73
NOVIEMBRE,1,11,0.0362,0.0035,0.0061,0.79,22,21.68,4.02,80.25,39.21,693.7
NOVIEMBRE,1,12,0.0457,0.0035,0.0052,0.78,14,23.65,3.33,85.54,30.73,801.92
NOVIEMBRE,1,13,0.053,0.0039,0.0055,0.78,15,25.44,2.94,94.05,25.38,770.59
NOVIEMBRE,1,14,0.0595,0.0036,0.0049,0.75,14,26.47,2.66,108.49,22.63,749.85
NOVIEMBRE,1,15,0.0603,0.0043,0.0063,0.79,22,27.15,3.08,93.35,20.95,704.39
NOVIEMBRE,1,16,0.0605,0.0034,0.0053,0.76,18,27.14,3.15,104.66,21.57,526.07
NOVIEMBRE,1,17,0.0554,0.003,0.0067,0.79,19,26.76,3.46,97.96,21.59,307.94
NOVIEMBRE,1,18,0.0468,0.0034,0.0132,0.93,30,24,2.41,124.19,24.66,30.89
NOVIEMBRE,1,19,0.0284,0.004,0.024,1.19,68,22.27,2.36,114.03,27.81,4.63
NOVIEMBRE,1,20,0.0242,0.0115,0.0131,0.9,56,21.35,4.23,57.46,35.46,11.17
NOVIEMBRE,1,21,0.0189,0.011,0.0124,0.92,36,18.9,3.01,82.01,46.66,2.51
NOVIEMBRE,1,22,0.0187,0.0041,0.0103,0.94,44,16.96,3.39,93.62,54.64,2.63
NOVIEMBRE,1,23,0.0193,0.0036,0.0082,0.84,37,15.61,2.95,121.7,60.32,14.92
NOVIEMBRE,2,0,0.0199,0.0034,0.0074,0.81,33,14.8,3.18,109.55,62.8,2.76
NOVIEMBRE,2,1,0.0164,0.0032,0.0092,0.82,19,13.54,2.67,113.81,66.67,13.77
NOVIEMBRE,2,2,0.0155,0.0035,0.0094,0.77,30,12.45,2.6,114.34,71.01,2.89
NOVIEMBRE,2,3,0.0183,0.0034,0.0061,0.74,23,11.56,2.07,70.4,74.55,3.01
NOVIEMBRE,2,4,0.0122,0.0032,0.0096,0.74,17,10.77,1.97,85.29,78.35,2.96
NOVIEMBRE,2,5,0.004,0.0033,0.0167,0.76,29,10.06,1.83,90.23,80.63,3.03
NOVIEMBRE,2,6,0.002,0.0032,0.0172,0.78,24,9.45,2.17,117.45,84.35,5.39
NOVIEMBRE,2,7,0.0041,0.0032,0.0149,0.95,29,9.34,2.22,102.46,84.81,5.96
NOVIEMBRE,2,8,0.0056,0.0033,0.0144,0.94,42,11.18,2.02,93.42,81.93,118.39
NOVIEMBRE,2,9,0.0169,0.0031,0.0086,0.87,28,14.1,3.31,81.77,71.57,340.74
NOVIEMBRE,2,10,0.0235,0.0032,0.0069,0.84,31,17.27,3.62,88.62,57.81,548.36
NOVIEMBRE,2,11,0.0321,0.003,0.0053,0.8,24,20.69,3.3,84.91,39.73,714.63
