DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
JULIO,1,0,0.0189,0.0018,0.5906,12,19.17,3.16,92.93,74.05
JULIO,1,1,0.017,0.0017,0.5873,6,18.53,3.44,77.31,76.82
JULIO,1,2,0.0126,0.0016,0.5887,11,17.6,3.17,88.28,81.7
JULIO,1,3,0.0099,0.0016,0.5833,8,17.13,2.69,86.49,86.54
JULIO,1,4,0.0129,0.0015,0.5765,15,17.37,3.23,82.5,85.56
JULIO,1,5,0.0166,0.0016,0.5737,9,17.51,3.15,70.13,82.66
JULIO,1,6,0.0131,0.0016,0.6359,15,17.41,2.6,79.87,82.16
JULIO,1,7,0.0054,0.0016,0.8013,23,16.96,1.91,98.74,85.01
JULIO,1,8,0.0089,0.0015,0.7987,27,17.43,2.96,101.7,83.04
JULIO,1,9,0.0156,0.0014,0.7258,28,18.89,3.91,90.26,75.29
JULIO,1,10,0.0242,0.0013,0.7124,21,20.51,4.43,83.05,65.4
JULIO,1,11,0.0305,0.0016,0.6612,20,22.32,4.67,89.03,57.9
JULIO,1,12,0.0347,0.002,0.6415,15,23.71,5.29,86.63,52.16
JULIO,1,13,0.0412,0.0026,0.6764,20,24.94,4.56,89.4,48.55
JULIO,1,14,0.0453,0.0025,0.6352,80,25.87,4.17,95.09,43.66
JULIO,1,15,0.0502,0.0024,0.6475,47,26.8,3.68,91.53,41.83
JULIO,1,16,0.0414,0.0032,0.6892,43,25.65,4.25,70.12,45.48
JULIO,1,17,0.0344,0.0026,0.7083,59,23.3,4.55,96.22,55.29
JULIO,1,18,0.0299,0.0018,0.7462,41,18.46,2.82,158.78,81.98
JULIO,1,19,0.0284,0.0015,0.857,38,19.17,2.95,265.6,79.53
JULIO,1,20,0.0298,0.0013,0.8364,44,18.38,3.22,277.26,80.83
JULIO,1,21,0.0262,0.0012,0.8772,30,18.21,2.91,295.87,83.37
JULIO,1,22,0.0273,0.0011,0.7084,16,17.18,2.43,201.57,87.68
JULIO,1,23,0.032,0.0011,0.674,8,16.87,2.19,243.45,92.01
JULIO,2,0,0.028,0.001,0.6297,11,16.76,1.7,177.77,93.37
JULIO,2,1,0.0265,0.0011,0.6201,11,16.11,1.83,237.51,94.17
JULIO,2,2,0.0251,0.0011,0.5982,8,15.65,1.73,254.04,94.43
JULIO,2,3,0.0228,0.0011,0.5933,5,15.53,1.07,212.6,95.44
JULIO,2,4,0.0214,0.001,0.5989,8,15.79,1.33,189.97,96.2
JULIO,2,5,0.0197,0.0011,0.6314,10,15.92,1.54,161.9,96.1
JULIO,2,6,0.0125,0.001,0.6669,17,16.37,2.13,102.07,93.51
JULIO,2,7,NA,0.001,0.7681,17,16.5,2.24,106.77,93.06
JULIO,2,8,0.0109,0.0011,0.7244,20,17.34,3.17,76.09,90.06
JULIO,2,9,0.0185,0.0013,0.7088,12,18.86,3.76,88.27,81.06
JULIO,2,10,0.0251,0.0013,0.6817,15,21.47,4.51,89.49,66.31
JULIO,2,11,0.0282,0.0019,0.6685,13,23.05,4.91,80.58,56.81
JULIO,2,12,0.0321,0.003,0.6755,17,24.06,4.7,79.57,52.06
JULIO,2,13,0.0372,0.0032,0.6421,46,24.9,3.9,85.39,48.42
JULIO,2,14,0.0418,0.0035,0.6231,59,26.41,3.41,110.46,43.1
JULIO,2,15,0.0414,0.0043,0.6704,19,26.57,3.08,103.53,41.05
JULIO,2,16,0.0391,0.0072,0.6668,17,26.81,2.78,118.18,40.5
