DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
JUNIO,1,0,0.0380,0.0067,NA,15,15.54,4.76,298.54,94.46
JUNIO,1,1,0.0392,0.0027,NA,17,16.08,3.90,198.01,91.03
JUNIO,1,2,0.0340,0.0017,NA,34,16.01,3.70,131.19,90.51
JUNIO,1,3,0.0325,0.0020,NA,35,16.13,3.04,125.53,88.62
JUNIO,1,4,0.0275,0.0019,NA,27,16.22,2.08,179.14,89.81
JUNIO,1,5,0.0254,0.0021,NA,21,16.12,1.02,140.47,90.01
JUNIO,1,6,0.0169,0.0027,NA,23,15.80,1.09,192.27,90.77
JUNIO,1,7,0.0056,0.0028,NA,30,15.93,1.46,270.35,93.12
JUNIO,1,8,0.0124,0.0030,NA,32,18.96,1.73,247.57,88.46
JUNIO,1,9,0.0217,0.0030,NA,35,19.61,2.09,261.45,77.49
JUNIO,1,10,0.0322,0.0030,NA,28,22.51,1.69,194.08,65.16
JUNIO,1,11,0.0502,0.0031,NA,29,25.47,1.95,181.39,52.67
JUNIO,1,12,0.0591,0.0028,NA,40,27.15,1.97,169.86,45.63
JUNIO,1,13,0.0634,0.0027,NA,42,28.47,2.07,185.69,41.12
JUNIO,1,14,0.0692,0.0030,NA,41,28.69,2.52,185.08,37.57
JUNIO,1,15,0.0698,0.0028,NA,28,28.96,2.70,167.68,34.32
JUNIO,1,16,0.0656,0.0028,NA,25,28.26,1.91,122.07,32.64
JUNIO,1,17,0.0494,0.0051,NA,38,24.84,5.83,116.00,39.50
JUNIO,1,18,0.0387,0.0082,NA,44,21.50,5.01,78.75,52.08
JUNIO,1,19,0.0328,0.0136,NA,32,21.87,4.24,69.72,48.04
JUNIO,1,20,NA,0.0085,NA,24,21.70,3.90,100.31,54.35
JUNIO,1,21,0.0294,0.0066,NA,35,21.25,4.83,50.63,57.78
JUNIO,1,22,0.0291,0.0063,NA,29,20.64,3.97,102.83,59.07
JUNIO,1,23,0.0300,0.0051,NA,40,17.91,4.95,260.54,73.14
JUNIO,2,0,0.0283,0.0048,NA,30,14.18,3.21,176.16,93.69
JUNIO,2,1,0.0258,0.0028,NA,12,14.88,3.29,140.97,95.97
JUNIO,2,2,0.0238,0.0024,NA,15,15.27,3.86,82.69,96.34
JUNIO,2,3,0.0247,NA,NA,16,15.13,3.73,61.85,96.19
JUNIO,2,4,0.0249,NA,NA,14,15.45,3.13,74.04,95.09
JUNIO,2,5,0.0169,NA,NA,15,15.39,1.58,93.92,95.17
JUNIO,2,6,0.0095,NA,NA,12,15.10,1.05,190.38,95.77
JUNIO,2,7,0.0029,NA,NA,17,15.18,1.47,239.29,97.03
JUNIO,2,8,0.0069,NA,NA,18,16.47,2.02,290.65,98.08
JUNIO,2,9,0.0119,NA,NA,27,18.52,2.33,304.18,96.16
JUNIO,2,10,0.0235,NA,NA,22,19.99,2.43,286.95,82.81
JUNIO,2,11,0.0352,NA,NA,19,22.41,1.91,212.55,68.23
JUNIO,2,12,0.0458,NA,NA,16,23.63,1.85,177.37,57.77
JUNIO,2,13,0.0539,NA,NA,21,24.35,2.53,143.48,50.49
JUNIO,2,14,0.0545,NA,NA,18,25.62,2.80,128.87,46.23
JUNIO,2,15,0.0575,NA,NA,8,27.27,1.99,175.37,41.14
JUNIO,2,16,0.0566,NA,NA,16,26.26,2.39,220.74,38.40
JUNIO,2,17,0.0490,NA,NA,28,22.02,3.62,277.62,54.55
JUNIO,2,18,0.0434,NA,NA,62,19.26,2.22,226.56,66.68
JUNIO,2,19,0.0408,NA,NA,65,19.41,2.09,129.50,66.00
JUNIO,2,20,0.0316,NA,NA,46,18.24,2.47,136.22,74.78
JUNIO,2,21,0.0295,NA,NA,64,17.59,2.14,127.92,80.68
JUNIO,2,22,0.0221,NA,NA,44,17.64,2.82,112.45,82.31
JUNIO,2,23,0.0236,NA,NA,25,17.43,2.19,81.64,82.29
JUNIO,3,0,0.0250,NA,NA,20,17.02,1.75,96.49,81.98
JUNIO,3,1,0.0228,NA,NA,21,16.47,3.17,87.92,85.95
JUNIO,3,2,0.0233,0.0005,NA,11,16.02,2.52,103.77,89.15
JUNIO,3,3,0.0300,NA,NA,17,15.22,3.14,219.83,90.86
JUNIO,3,4,0.0335,NA,NA,13,14.58,2.50,292.22,96.14
JUNIO,3,5,0.0273,NA,NA,12,14.84,1.67,265.86,97.28
JUNIO,3,6,0.0289,NA,NA,8,15.00,1.50,125.17,97.55
JUNIO,3,7,0.0256,NA,NA,NA,15.16,1.36,126.61,97.37
JUNIO,3,8,0.0265,NA,NA,13,15.45,2.41,171.98,97.68
JUNIO,3,9,0.0302,NA,NA,16,17.03,2.51,132.56,93.50
JUNIO,3,10,NA,NA,NA,12,20.04,2.80,107.75,80.42
JUNIO,3,11,NA,NA,NA,13,20.89,2.41,134.06,73.13
JUNIO,3,12,NA,NA,NA,21,23.44,2.03,132.70,61.55
JUNIO,3,13,NA,NA,NA,23,24.43,2.05,169.85,52.52
JUNIO,3,14,NA,NA,NA,19,25.47,1.77,170.40,45.13
JUNIO,3,15,NA,NA,NA,NA,NA,NA,NA,NA
JUNIO,3,16,0.0646,NA,NA,9,26.68,2.77,269.67,36.97
JUNIO,3,17,0.0562,NA,NA,19,22.67,3.72,210.87,54.42
JUNIO,3,18,0.0457,NA,NA,18,15.90,3.42,211.17,89.46
JUNIO,3,19,0.0419,NA,NA,9,15.22,3.18,205.09,93.72
JUNIO,3,20,0.0424,NA,NA,16,14.99,3.55,206.31,95.58
JUNIO,3,21,0.0410,NA,NA,11,15.11,2.03,203.24,96.78
JUNIO,3,22,0.0360,NA,NA,10,15.62,1.68,191.05,97.14
JUNIO,3,23,0.0314,NA,NA,14,15.76,1.69,103.48,97.37
JUNIO,4,0,0.0318,NA,NA,14,15.54,1.75,251.04,98.13
JUNIO,4,1,0.0387,NA,NA,19,15.70,3.17,285.54,98.43
JUNIO,4,2,0.0381,NA,NA,12,15.37,2.52,232.42,98.28
JUNIO,4,3,0.0371,NA,NA,11,14.87,3.14,245.39,98.08
JUNIO,4,4,0.0354,NA,NA,10,14.53,2.50,296.94,98.17
JUNIO,4,5,0.0389,NA,NA,11,14.30,1.67,197.12,98.37
JUNIO,4,6,0.0317,NA,NA,11,14.10,1.50,264.55,98.52
JUNIO,4,7,0.0234,NA,NA,12,14.28,1.36,286.64,98.86
JUNIO,4,8,0.0209,NA,NA,8,14.80,2.41,294.82,99.10
JUNIO,4,9,0.0190,NA,NA,17,15.56,2.51,301.41,99.06
JUNIO,4,10,0.0230,NA,NA,13,15.48,2.80,261.03,98.93
JUNIO,4,11,0.0325,NA,NA,15,18.50,2.41,224.12,94.38
JUNIO,4,12,0.0399,NA,NA,19,20.03,2.03,184.02,86.21
JUNIO,4,13,0.0487,NA,NA,22,22.23,2.05,184.30,75.39
JUNIO,4,14,0.0578,NA,NA,21,23.97,1.77,211.30,60.08
JUNIO,4,15,0.0565,NA,NA,11,25.09,NA,234.82,52.40
JUNIO,4,16,0.0572,NA,NA,7,25.29,2.77,246.40,43.77
JUNIO,4,17,0.0631,NA,NA,10,25.03,3.72,247.71,43.54
JUNIO,4,18,0.0559,NA,NA,16,23.86,3.42,267.74,43.51
JUNIO,4,19,0.0543,NA,NA,15,22.97,3.18,259.79,44.25
JUNIO,4,20,0.0426,NA,NA,22,21.96,3.55,228.87,49.42
JUNIO,4,21,0.0377,NA,NA,32,21.51,2.03,248.79,52.22
JUNIO,4,22,0.0315,NA,NA,31,20.70,1.68,206.88,57.02
JUNIO,4,23,0.0201,NA,NA,31,19.81,1.69,147.43,63.97
JUNIO,5,0,0.0265,NA,NA,32,19.50,1.15,212.83,62.90
JUNIO,5,1,0.0316,NA,NA,NA,19.07,1.54,229.43,63.83
JUNIO,5,2,0.0316,NA,NA,8,18.67,1.43,221.91,65.34
JUNIO,5,3,0.0346,NA,NA,14,18.49,1.57,240.14,64.76
JUNIO,5,4,0.0275,NA,NA,18,17.82,1.15,240.39,66.69
JUNIO,5,5,0.0195,NA,NA,16,17.57,1.26,248.12,69.56
JUNIO,5,6,0.0107,NA,NA,22,17.47,1.30,271.21,71.39
JUNIO,5,7,0.0047,NA,NA,39,17.44,1.16,238.64,72.75
JUNIO,5,8,0.0157,NA,NA,46,19.48,1.49,236.18,70.73
JUNIO,5,9,0.0303,NA,NA,28,23.96,2.07,233.28,56.33
JUNIO,5,10,0.0411,NA,NA,17,25.43,2.30,253.37,47.60
JUNIO,5,11,0.0548,NA,NA,18,26.42,2.21,253.01,41.75
JUNIO,5,12,0.0638,NA,NA,13,27.25,2.44,225.96,39.06
JUNIO,5,13,0.0707,NA,NA,16,28.13,2.14,223.17,35.92
JUNIO,5,14,0.0732,NA,NA,10,28.69,2.37,251.20,29.82
JUNIO,5,15,0.0796,NA,NA,8,29.00,2.41,214.17,27.30
JUNIO,5,16,0.0808,NA,NA,22,28.35,3.19,174.87,28.37
JUNIO,5,17,0.0773,NA,NA,17,28.20,2.69,127.30,27.79
JUNIO,5,18,0.0751,NA,NA,18,27.18,2.28,193.68,28.54
JUNIO,5,19,0.0598,NA,NA,26,24.75,2.92,224.87,38.17
JUNIO,5,20,0.0444,NA,NA,25,22.29,3.07,230.11,47.18
JUNIO,5,21,0.0361,NA,NA,24,21.43,2.64,233.00,51.27
JUNIO,5,22,0.0349,NA,NA,29,20.82,1.89,199.26,53.00
JUNIO,5,23,0.0329,NA,NA,22,20.47,2.35,187.18,54.40
JUNIO,6,0,0.0298,NA,NA,17,19.41,1.80,186.46,58.63
JUNIO,6,1,0.0300,NA,NA,19,19.12,2.26,233.13,61.26
JUNIO,6,2,0.0474,NA,NA,10,18.55,2.79,310.40,62.96
JUNIO,6,3,0.0533,NA,NA,14,17.87,2.07,310.82,64.67
JUNIO,6,4,0.0414,NA,NA,9,17.63,1.44,197.29,66.64
JUNIO,6,5,0.0353,NA,NA,16,16.88,1.76,235.87,68.32
JUNIO,6,6,0.0358,NA,NA,22,16.11,1.63,255.43,70.53
JUNIO,6,7,0.0160,NA,NA,27,16.11,1.99,296.45,74.45
JUNIO,6,8,0.0267,NA,NA,33,20.35,2.08,208.47,67.91
JUNIO,6,9,0.0400,NA,NA,20,23.81,1.71,224.58,54.69
JUNIO,6,10,0.0503,NA,NA,18,25.35,1.87,195.14,46.99
JUNIO,6,11,0.0638,NA,NA,23,26.43,2.15,212.05,43.52
JUNIO,6,12,0.0727,NA,NA,20,27.50,2.11,212.75,40.24
JUNIO,6,13,0.0833,NA,NA,16,28.67,2.12,192.35,35.07
JUNIO,6,14,0.0996,NA,NA,28,29.70,1.87,169.00,32.27
JUNIO,6,15,0.1120,NA,NA,41,30.07,2.11,177.34,30.17
JUNIO,6,16,0.0718,NA,NA,42,29.31,4.81,64.12,23.46
JUNIO,6,17,0.0682,NA,NA,16,30.16,2.92,183.11,20.74
JUNIO,6,18,0.0675,NA,NA,16,29.64,1.84,241.91,21.98
JUNIO,6,19,0.0664,NA,NA,25,26.83,3.26,195.63,29.58
JUNIO,6,20,0.0568,NA,NA,31,23.12,3.97,211.64,44.60
JUNIO,6,21,0.0551,NA,NA,26,21.89,2.74,150.46,46.32
JUNIO,6,22,0.0563,NA,NA,20,20.48,1.37,139.99,48.53
JUNIO,6,23,0.0529,NA,NA,24,20.71,1.73,190.81,49.34
JUNIO,7,0,0.0377,NA,NA,24,20.49,1.58,163.38,51.66
JUNIO,7,1,0.0342,NA,NA,35,18.77,2.07,153.06,58.77
JUNIO,7,2,0.0405,NA,NA,18,18.25,1.25,196.73,58.64
JUNIO,7,3,0.0182,NA,NA,23,18.00,1.90,308.68,61.90
JUNIO,7,4,0.0115,NA,NA,26,17.31,1.09,258.16,64.22
JUNIO,7,5,0.0085,NA,NA,32,16.86,1.12,226.43,66.06
JUNIO,7,6,0.0067,NA,NA,33,16.44,1.43,183.62,67.37
JUNIO,7,7,0.0087,NA,NA,55,16.98,1.53,122.46,69.31
JUNIO,7,8,0.0153,NA,NA,51,21.82,1.23,130.98,59.44
JUNIO,7,9,0.0356,NA,NA,40,24.90,1.84,259.44,49.67
JUNIO,7,10,0.0492,NA,NA,25,26.51,2.23,262.97,43.98
JUNIO,7,11,0.0629,NA,NA,17,27.88,2.35,273.42,39.45
JUNIO,7,12,0.0715,NA,NA,24,28.68,2.66,244.25,36.22
JUNIO,7,13,0.0645,NA,NA,24,29.65,2.50,210.21,31.75
