DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
MAYO,8,15,0.055,0.0109,1.389,44,29.86,2.47,217.68,26.30
MAYO,8,16,0.0554,0.0117,1.339,52,30.49,3.04,115.65,24.98
MAYO,8,17,0.0473,0.0147,1.427,52,28.97,3.94,212.9,27.22
MAYO,8,18,0.0434,0.0086,1.445,49,27.32,4.95,301.07,29.34
MAYO,8,19,0.0362,0.008,1.521,59,25.29,4.9,312.92,33.86
MAYO,8,20,0.0351,0.0077,1.579,56,23.87,4.45,294.71,36.87
MAYO,8,21,0.0313,0.0075,1.646,59,22.98,3.81,305.01,39.59
MAYO,8,22,0.0316,0.0075,1.671,55,22.74,2.58,272.6,40.43
MAYO,8,23,0.029,0.0076,1.621,57,22.25,2.2,255.02,41.65
MAYO,9,0,0.0292,0.0081,1.493,64,21.55,1.89,225.53,43.67
MAYO,9,1,0.0272,0.0079,1.428,60,21.08,2.51,242.8,46.51
MAYO,9,2,0.0232,0.0078,1.403,62,19.59,2.75,275.73,52.65
MAYO,9,3,0.0226,0.0078,1.397,54,19.02,2.69,303.7,55.83
MAYO,9,4,0.0223,0.008,1.386,74,18.6,2.23,281.15,58.10
MAYO,9,5,0.0214,0.0076,1.381,48,17.83,1.79,247.03,60.75
MAYO,9,6,0.0171,0.0075,1.49,49,17.21,1.68,244.38,63.16
MAYO,9,7,0.0141,0.0076,1.633,56,17.09,1.37,236.73,65.71
MAYO,9,8,0.0183,0.0079,1.463,63,19.91,2.36,245.85,62.84
MAYO,9,9,0.0234,0.0075,1.412,51,22.32,2.67,247.6,57.15
MAYO,9,10,0.0291,0.0074,1.431,51,23.94,2.53,240.79,52.50
MAYO,9,11,0.0365,0.0074,1.412,48,26.14,3.26,275.39,44.71
MAYO,9,12,0.041,0.0072,1.455,48,27.47,2.92,267.86,39.89
MAYO,9,13,0.0448,0.0067,1.429,41,28.04,3.12,252.85,36.88
MAYO,9,14,0.0489,0.0066,1.412,44,29.61,2.71,249.12,31.11
MAYO,9,15,0.0522,0.0067,1.353,33,30.43,2.92,230.39,28.54
MAYO,9,16,0.0545,0.0067,1.376,33,31.11,2.8,258.98,26.56
MAYO,9,17,0.0491,0.0062,1.45,71,27.61,3.54,236.64,33.03
MAYO,9,18,0.0398,0.0062,1.454,120,23.58,3.14,97,46.21
