DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
SEPTIEMBRE,11,14,0.0429,0.0045,0.7909,12,23.31,4.07,80.11,46.71,761.71
SEPTIEMBRE,11,15,0.0444,0.0082,0.7842,16,24.28,4.41,68.9,42.32,750.64
SEPTIEMBRE,11,16,0.045,0.0076,0.7399,10,24.15,4.84,72.65,41.22,480.77
SEPTIEMBRE,11,17,0.0411,0.0195,0.9496,19,23.91,5.78,53,44.14,427.53
SEPTIEMBRE,11,18,0.0381,0.0808,2.3208,26,22.86,5.3,74.69,46.69,274.49
SEPTIEMBRE,11,19,0.036,0.0381,1.2051,NA,20.68,6.19,55.37,53.21,62.61
SEPTIEMBRE,11,20,0.0312,0.0121,0.8136,9,18.52,4.64,58.63,62.41,2.63
SEPTIEMBRE,11,21,0.0308,0.0072,0.759,11,17.32,4.74,73.49,68.74,2.53
SEPTIEMBRE,11,22,0.0276,0.009,0.7429,10,16.48,3.69,61.39,72.19,6.08
SEPTIEMBRE,11,23,0.0237,0.0105,0.7169,9,15.56,2.73,105.7,76.39,14.06
SEPTIEMBRE,12,0,0.0238,0.0055,0.6761,7,14.97,3.91,88.17,82.12,12.38
SEPTIEMBRE,12,1,0.0231,0.0045,0.6578,NA,14.74,2.9,78.47,83.11,2.65
SEPTIEMBRE,12,2,0.0202,0.0042,0.6506,NA,13.88,1.98,102.68,86.02,5.82
SEPTIEMBRE,12,3,0.0145,0.0039,0.6656,6,13.07,1.95,113.54,90.62,9.23
SEPTIEMBRE,12,4,0.0134,0.0038,0.65,12,12.99,3.18,110.5,92.14,6.39
SEPTIEMBRE,12,5,0.015,0.0035,0.6774,10,13.09,2.53,109.62,91.57,7.47
SEPTIEMBRE,12,6,0.0127,0.0035,0.7565,7,13.01,2.2,119.3,92.01,2.72
SEPTIEMBRE,12,7,0.0099,0.0035,0.8111,14,12.43,2.27,108.97,93.72,15.73
SEPTIEMBRE,12,8,0.0121,0.0034,0.893,22,15.23,2.35,87.85,88.72,140.45
SEPTIEMBRE,12,9,0.0236,0.0034,0.7827,15,18.36,3.39,94.63,74.88,388.75
SEPTIEMBRE,12,10,0.0301,0.0034,0.7732,10,19.83,4.82,74.16,62.66,460.46
SEPTIEMBRE,12,11,0.0327,0.0032,0.7669,10,20.58,4.43,78.05,57.74,469.82
SEPTIEMBRE,12,12,0.0345,0.0031,0.7735,8,21.76,4.15,88.83,54.53,608.08
SEPTIEMBRE,12,13,0.035,0.003,0.7451,6,22.76,3.93,82.4,50.99,564.13
SEPTIEMBRE,12,14,0.0349,0.0029,0.7509,9,23.85,4.21,81.59,48.06,599.89
SEPTIEMBRE,12,15,0.0337,0.0034,0.7715,6,24.55,3.6,81.95,44.82,567.29
SEPTIEMBRE,12,16,0.0357,0.0036,0.7413,6,24.05,4.05,79.23,45.56,332.89
SEPTIEMBRE,12,17,0.0366,0.0032,0.7647,9,24.25,4.13,77.11,44.46,332.6
SEPTIEMBRE,12,18,0.0337,0.0038,0.762,13,23.69,4.21,66.1,45.65,185.13
SEPTIEMBRE,12,19,0.0307,0.0037,0.7575,13,22.41,3.94,57,49.07,43.92
SEPTIEMBRE,12,20,0.0275,0.0036,0.8019,11,20.94,3.66,68.73,53.26,8.65
SEPTIEMBRE,12,21,0.0287,0.0048,0.7322,11,20.1,4.06,63,55.19,16.23
SEPTIEMBRE,12,22,0.0243,0.0039,0.7356,13,18.77,3.36,79.12,62.51,12.7
SEPTIEMBRE,12,23,0.021,0.0035,0.6902,10,17.23,2.61,85.28,71.01,19.2
SEPTIEMBRE,13,0,0.0222,0.0032,0.661,5,16.58,2.67,113.35,71.33,2.6
SEPTIEMBRE,13,1,0.0228,0.0032,0.6438,12,15.87,2.37,86.75,74.04,10.8
SEPTIEMBRE,13,2,0.0224,0.0032,0.6212,11,15.47,2.96,83.04,75.8,10.26
SEPTIEMBRE,13,3,0.0195,0.0033,0.6201,8,15.19,2.18,124.77,77.93,9.19
SEPTIEMBRE,13,4,0.021,0.0032,0.6298,7,15.32,2.41,83.21,78.03,16.61
SEPTIEMBRE,13,5,0.0203,0.0031,0.6618,11,14.92,3.23,81.57,81.24,8.28
SEPTIEMBRE,13,6,0.0145,0.0032,0.7869,10,14.55,2.64,77.98,83.2,6.47
SEPTIEMBRE,13,7,0.01,0.0037,1.018,22,14.5,2.1,72.86,84.22,19.85
SEPTIEMBRE,13,8,0.0105,0.0047,0.9312,29,16.29,2.19,112.93,78.7,91.56
SEPTIEMBRE,13,9,0.0237,0.0039,0.7964,24,19.95,3.81,88.51,65.07,396.08
SEPTIEMBRE,13,10,0.0276,0.0036,0.7474,13,19.83,4.18,76.72,61.62,312.02
SEPTIEMBRE,13,11,0.0297,0.0036,0.7687,16,20.45,4.68,71.56,60.33,436.83
SEPTIEMBRE,13,12,0.0333,0.0035,0.7813,33,21.99,4.41,83.23,56.17,548.66
SEPTIEMBRE,13,13,0.0399,0.0034,0.7456,30,23.83,3.34,87.88,50.71,649.29
SEPTIEMBRE,13,14,0.0474,0.0035,0.6986,11,26.23,2.68,113.51,43.37,968.95
SEPTIEMBRE,13,15,0.0501,0.0035,0.7256,13,26.37,2.57,107.86,42.21,599.85
SEPTIEMBRE,13,16,0.0524,0.0033,0.704,14,25.89,1.96,162.17,43.78,351.78
SEPTIEMBRE,13,17,0.046,0.0032,0.8092,20,22.41,2.54,178.95,59.5,99.27
SEPTIEMBRE,13,18,0.0401,0.0031,0.7955,29,20.84,3.21,151.44,66.28,58.81
SEPTIEMBRE,13,19,0.0274,0.003,0.8979,22,17.41,2.82,113.45,89.04,21.72
SEPTIEMBRE,13,20,0.0231,0.003,0.8996,21,17.73,1.76,137.59,89.7,18.64
SEPTIEMBRE,13,21,0.0213,0.0029,0.7724,16,17.59,2.1,139.88,90.2,14.11
SEPTIEMBRE,13,22,0.0186,0.0029,0.7203,10,17.4,1.93,117.27,90.53,22.5
SEPTIEMBRE,13,23,0.0123,0.0029,0.6867,7,17.6,1.5,135.38,87.86,8.28
SEPTIEMBRE,14,0,0.0116,0.0029,0.6736,5,17.47,1.79,162.98,89.5,15.6
SEPTIEMBRE,14,1,0.0127,0.003,0.6867,NA,17.26,1.53,175.54,89.54,14.5
SEPTIEMBRE,14,2,0.0143,0.003,0.7076,13,16.25,2.29,51.78,89.89,19.84
SEPTIEMBRE,14,3,0.0163,0.003,0.6823,40,15.94,1.35,124.84,93.15,22.04
SEPTIEMBRE,14,4,0.0154,0.0032,0.7004,NA,16.1,0.98,134.51,94.15,15.8
SEPTIEMBRE,14,5,0.0096,0.0032,0.7132,NA,16.18,1.08,229.42,93.54,10.03
SEPTIEMBRE,14,6,0.0032,0.0032,0.7294,8,15.97,1.55,128.38,95.7,25.02
SEPTIEMBRE,14,7,0.0038,0.0032,0.7685,9,15.54,1.6,133.63,97.43,9.99
SEPTIEMBRE,14,8,0.0039,0.0032,0.9583,21,16.35,1.7,103.34,96.01,80.26
SEPTIEMBRE,14,9,0.0107,0.0034,0.9346,24,18.79,2.26,99.92,88.22,274.82
SEPTIEMBRE,14,10,0.0152,0.0034,0.7664,22,21.48,2.2,132.3,75.28,410.29
SEPTIEMBRE,14,11,0.0187,0.0035,0.7302,16,22.28,1.88,204.86,68.54,255.87
SEPTIEMBRE,14,12,0.0246,0.0032,0.816,10,22.79,1.61,168.43,69.53,727.26
SEPTIEMBRE,14,13,0.0349,0.0033,0.7696,9,25.75,2.01,190.29,52.23,690.48
SEPTIEMBRE,14,14,0.0379,0.0033,0.7219,12,25.44,2.23,171.96,50.09,503.99
SEPTIEMBRE,14,15,0.0329,0.0032,0.7274,9,25.39,3.09,240.94,50.63,483.83
SEPTIEMBRE,14,16,0.034,0.0032,0.7289,9,25.46,2.09,209.6,50.37,401.98
SEPTIEMBRE,14,17,0.0321,0.0029,0.7025,6,26.54,2.72,195.16,45.59,461.08
SEPTIEMBRE,14,18,0.0288,0.0029,0.7756,10,24.65,2.35,212.56,50.42,116.08
SEPTIEMBRE,14,19,0.0233,0.0028,0.7939,15,20.06,3.58,237.95,72.67,10.29
SEPTIEMBRE,14,20,0.0182,0.0027,0.8852,13,18.33,2.61,266.4,83.58,24.04
SEPTIEMBRE,14,21,0.0161,0.0027,0.7816,12,18.47,2.2,226.07,82.84,23.58
SEPTIEMBRE,14,22,0.0136,0.0026,0.7424,7,18.02,2.17,207.41,83.76,9.05
SEPTIEMBRE,14,23,0.0158,0.0027,0.7329,8,17.5,1.23,258.22,83.56,31.01
SEPTIEMBRE,15,0,0.0147,0.0026,0.7205,8,17.51,1.42,295.28,84.11,28.17
SEPTIEMBRE,15,1,0.0148,0.0026,0.6928,30,16.84,1.36,253.15,85.35,10.59
SEPTIEMBRE,15,2,0.0134,0.0026,0.7028,17,16.41,0.97,232.12,86.25,10.51
SEPTIEMBRE,15,3,0.0072,0.0026,0.6848,9,16.87,1.46,192.38,87.44,6
SEPTIEMBRE,15,4,0.0053,0.0026,0.6959,5,16.74,1.44,162.86,87.65,16.77
SEPTIEMBRE,15,5,0.0062,0.0027,0.6966,16,16.9,1.15,203.95,87.6,28.7
SEPTIEMBRE,15,6,0.0073,0.0026,0.7419,NA,16.53,1.81,244.56,87.52,8.97
SEPTIEMBRE,15,7,0.0028,0.0026,0.9386,NA,16.1,1.62,254.15,88.39,6.48
SEPTIEMBRE,15,8,0.004,0.0028,0.95,17,16.54,2.12,241.51,89.33,40.83
SEPTIEMBRE,15,9,0.0077,0.0028,0.8771,36,17.98,1.83,222.27,87.13,153.75
SEPTIEMBRE,15,10,0.0145,0.0028,0.8005,36,22.69,1.37,190.58,70.87,555
SEPTIEMBRE,15,11,0.0227,0.0033,0.7341,17,25.9,1.86,227.21,52.79,774.42
SEPTIEMBRE,15,12,0.0305,0.0034,0.713,16,26.5,1.72,219.13,48.98,708.83
SEPTIEMBRE,15,13,0.034,0.0031,0.7191,13,26.9,1.88,228.47,46.25,715.4
SEPTIEMBRE,15,14,0.0457,0.0052,0.8143,19,28.15,2.23,191.94,42.22,821.37
SEPTIEMBRE,15,15,0.0395,0.0048,0.6836,14,28.03,2.16,152.24,40.64,548.68
SEPTIEMBRE,15,16,0.0404,0.0036,0.7146,9,27.47,2.52,142,41.98,432.08
SEPTIEMBRE,15,17,0.0479,0.0033,0.7404,12,27.52,2.8,164.78,41.26,375.12
SEPTIEMBRE,15,18,0.0464,0.0036,0.7712,29,27.62,3.33,177.48,41.31,327.82
SEPTIEMBRE,15,19,0.0619,0.0044,0.9136,33,24.06,3.9,168.35,51.9,41.2
SEPTIEMBRE,15,20,0.0361,0.0063,0.9386,50,21.71,3.31,183.05,59.39,18.19
SEPTIEMBRE,15,21,0.0168,0.0043,0.975,43,20.97,2.08,148.58,65.07,11.87
SEPTIEMBRE,15,22,0.0096,0.0036,0.8208,40,20.76,2.16,128.42,65.8,6.3
SEPTIEMBRE,15,23,0.0117,0.0033,0.8523,24,19.88,2.74,129.11,71.74,13.82
SEPTIEMBRE,16,0,0.0093,0.0029,0.9188,33,19.22,3.09,118.52,78.04,17.42
SEPTIEMBRE,16,1,0.0156,0.0028,0.8282,30,18.48,2.81,113.53,80.05,11.72
SEPTIEMBRE,16,2,0.0181,0.0027,0.7859,20,17.6,3.08,94.18,85.52,8.39
SEPTIEMBRE,16,3,0.0132,0.0026,0.7639,16,17.5,2.36,125.96,85.59,8.25
SEPTIEMBRE,16,4,0.0092,0.0026,0.7944,20,17.03,1.82,129.96,87.54,14.09
SEPTIEMBRE,16,5,0.0092,0.0025,0.8049,33,17.06,1.45,140.76,87.58,8.66
SEPTIEMBRE,16,6,0.0073,0.0025,0.8261,28,17.04,1.65,120.53,88.13,11.67
SEPTIEMBRE,16,7,0.0036,0.0025,0.8751,33,16.78,1.5,90.14,89.46,17.09
SEPTIEMBRE,16,8,0.0071,0.0025,0.8905,38,17.63,1.6,93.72,88.74,91.37
SEPTIEMBRE,16,9,0.0131,0.0026,0.8855,26,19.38,2.46,96.73,82.21,285.64
SEPTIEMBRE,16,10,0.0252,0.0026,0.7804,25,22.78,3.73,94.21,66.09,670.94
SEPTIEMBRE,16,11,0.0351,0.0025,0.7488,14,24.17,3.57,92.37,56.66,785.37
SEPTIEMBRE,16,12,0.0401,0.0026,0.744,17,25.42,2.98,104.48,51.23,778.9
SEPTIEMBRE,16,13,0.0469,0.0026,0.7253,13,27.27,2.68,125.4,44.9,896.44
SEPTIEMBRE,16,14,0.0468,0.0027,0.739,14,27.6,2.53,109.12,43,766.43
SEPTIEMBRE,16,15,0.042,0.0027,0.7037,8,29.4,2.33,154.79,36.3,897.74
SEPTIEMBRE,16,16,0.0383,0.0026,0.6756,30,29.61,2.75,175.24,34.82,700.67
SEPTIEMBRE,16,17,0.034,0.0027,0.6601,7,28.93,2.16,144.1,33.49,341.84
SEPTIEMBRE,16,18,0.0316,0.0025,0.7133,6,27,3.35,158.5,41.26,154.2
SEPTIEMBRE,16,19,0.0245,0.0024,0.7423,21,22.05,3.22,174.04,62.29,18.44
SEPTIEMBRE,16,20,0.021,0.0024,0.7871,16,20.62,1.98,203.38,67,4.59
SEPTIEMBRE,16,21,0.0198,0.0023,0.831,17,20.17,1.49,167.61,68.79,6.95
SEPTIEMBRE,16,22,0.0146,0.0023,0.8313,23,19.82,1.49,121.52,69.22,6.71
SEPTIEMBRE,16,23,0.011,0.0024,0.8109,18,19.66,1.33,153.34,72.67,11.39
SEPTIEMBRE,17,0,0.0099,0.0023,0.7678,21,19.11,2.19,115.64,74.72,11.75
SEPTIEMBRE,17,1,0.0032,0.0024,0.8183,23,18.64,1.66,111.21,77.66,13.91
SEPTIEMBRE,17,2,0.0018,0.0023,0.8582,30,18.54,1.1,186.8,77.6,9.88
SEPTIEMBRE,17,3,0.0025,0.0024,0.8561,40,18.48,1.63,127.92,79.34,7.59
SEPTIEMBRE,17,4,0.0009,0.0025,0.892,33,18.26,1.49,144.74,82.45,4.28
SEPTIEMBRE,17,5,0.007,0.0024,0.7707,26,18.04,2.35,143.46,82.96,3.09
SEPTIEMBRE,17,6,0.0118,0.0024,0.8005,16,16.5,1.8,132.56,92.58,3.67
SEPTIEMBRE,17,7,0.0062,0.0026,1.0074,13,16.64,1.03,196.03,91.97,5.27
SEPTIEMBRE,17,8,0.01,0.0025,1.0168,15,17.59,1.02,192.38,90.58,88.98
SEPTIEMBRE,17,9,0.0159,0.0024,0.8693,19,20.5,1.55,132.62,80.85,260.83
SEPTIEMBRE,17,10,0.0212,0.0025,0.8125,29,23.06,2.51,159.44,72.39,575.47
SEPTIEMBRE,17,11,0.03,0.0024,0.7503,19,25.08,2.03,163.28,60.3,689.82
SEPTIEMBRE,17,12,0.0362,0.0025,0.7179,15,26.44,2.47,155.36,50.71,873.29
SEPTIEMBRE,17,13,0.0389,0.0024,0.754,10,27.65,2.25,173.17,45.29,976.57
SEPTIEMBRE,17,14,0.0445,0.0023,0.7191,16,27.35,1.84,144.3,45.11,594.31
SEPTIEMBRE,17,15,0.0479,0.0022,0.7545,15,29.85,2.73,257.36,37.51,934.39
SEPTIEMBRE,17,16,0.0434,0.0022,0.8106,20,28.24,3.36,219.3,40.53,406.14
SEPTIEMBRE,17,17,0.0436,0.0022,0.9391,25,25.74,4.8,196.77,49.41,311.6
SEPTIEMBRE,17,18,0.0302,0.0023,1.1242,29,23.2,5.96,59.57,55.14,185.31
SEPTIEMBRE,17,19,0.0322,0.0026,0.7337,21,20.35,4.84,122.12,64.31,9.64
SEPTIEMBRE,17,20,0.031,0.0023,0.7404,15,18.72,3.36,146.39,71.04,12.8
SEPTIEMBRE,17,21,0.0328,0.0024,0.7469,12,16.6,2.25,186.56,82.1,7.06
SEPTIEMBRE,17,22,0.0306,0.0024,0.7348,6,16.15,2.11,159.82,86.48,8.97
SEPTIEMBRE,17,23,0.0298,0.0023,0.6902,NA,15.78,2.38,142.81,91.25,15.35
SEPTIEMBRE,18,0,0.0276,0.0022,0.6768,6,15.45,1.91,126.39,93.97,11.23
SEPTIEMBRE,18,1,0.0281,0.0023,0.6828,14,15.44,2.06,92.44,93.63,7.78
SEPTIEMBRE,18,2,0.0416,0.0023,0.7063,9,15.52,1.99,121.91,94.75,17
SEPTIEMBRE,18,3,0.0366,0.0023,0.6976,13,15.45,1.11,117.05,94.92,4.96
SEPTIEMBRE,18,4,0.0258,0.0023,0.6967,6,15.67,1.22,122.27,96.42,8.71
SEPTIEMBRE,18,5,0.0205,0.0023,0.7001,9,15.63,2.11,137.53,94.58,2.57
SEPTIEMBRE,18,6,0.017,0.0023,0.7372,18,15.42,2.24,115.21,96.63,13.22
SEPTIEMBRE,18,7,0.0074,0.0024,0.8318,22,15.47,2.26,91.81,96.34,7.64
SEPTIEMBRE,18,8,0.0399,0.0024,0.9598,28,16.07,2.51,110.36,94.73,84.03
SEPTIEMBRE,18,9,0.0175,0.0025,0.9368,28,18.11,3.38,103.7,86.5,263.25
SEPTIEMBRE,18,10,0.0242,0.0025,0.8566,15,19.11,3.37,104.15,77.96,300.14
SEPTIEMBRE,18,11,0.0288,0.0026,0.8196,19,21.42,3.53,87.88,68.75,549.67
SEPTIEMBRE,18,12,0.0393,0.0028,0.8093,18,23.65,3.75,93.62,57.33,798.66
SEPTIEMBRE,18,13,0.0486,0.0033,0.7884,21,25.31,4.32,96.91,47.45,961.6
SEPTIEMBRE,18,14,0.0496,0.0049,0.7692,17,26.41,4.13,89.58,40.84,943.55
SEPTIEMBRE,18,15,0.0489,0.0045,0.7412,21,27.05,4.14,84.13,36.84,797.68
SEPTIEMBRE,18,16,0.0449,0.0057,0.7397,13,27.54,3.88,79.29,32.51,718.55
SEPTIEMBRE,18,17,0.0425,0.0068,0.7129,14,27.52,3.75,75.82,32.07,465.58
SEPTIEMBRE,18,18,0.0389,0.0074,0.8018,13,27.28,3.2,80.31,33.23,235.34
SEPTIEMBRE,18,19,0.0331,0.0044,1.0064,22,24.06,3.84,270.39,50.79,14.21
SEPTIEMBRE,18,20,0.0231,0.004,0.802,77,21.44,4.71,73.06,60.63,11.91
SEPTIEMBRE,18,21,0.0215,0.0049,0.7616,25,18.51,4.13,62.65,76.77,34.1
SEPTIEMBRE,18,22,0.0303,0.0039,0.7602,15,17.55,2.96,120.56,89.22,3.36
SEPTIEMBRE,18,23,0.0307,0.0033,0.7483,25,17.82,3.01,114.86,86.38,5.57
SEPTIEMBRE,19,0,0.0193,0.0029,0.725,19,17.8,3.08,85.25,82.87,12.86
SEPTIEMBRE,19,1,0.0151,0.0029,0.7175,17,17.52,3.35,97.5,81.44,11.4
SEPTIEMBRE,19,2,0.0161,0.0027,0.6973,18,17.16,2.93,90.82,81.76,4.95
SEPTIEMBRE,19,3,0.0185,0.003,0.6775,15,16.71,2.19,123.64,82.81,8.92
SEPTIEMBRE,19,4,0.02,0.0034,0.6666,16,16.76,2.41,115.31,82.89,23.68
SEPTIEMBRE,19,5,0.0181,0.0031,0.6592,14,15.93,2.51,137.86,87.08,7.79
SEPTIEMBRE,19,6,0.0231,0.003,0.7871,19,15.73,2.21,129.12,89.79,7.13
SEPTIEMBRE,19,7,0.0084,0.003,0.772,21,16,2.43,100.74,88.27,10.77
SEPTIEMBRE,19,8,0.0117,0.003,0.8185,23,16.23,2.8,85.64,85.1,26.33
SEPTIEMBRE,19,9,0.0138,0.0028,0.8133,20,16.65,3.46,86.59,82.9,105.64
SEPTIEMBRE,19,10,0.0194,0.0029,0.795,18,17.61,3.71,84.72,77.48,264.46
SEPTIEMBRE,19,11,0.025,0.0028,0.7716,16,20.2,3.74,97.65,63.08,442.54
SEPTIEMBRE,19,12,0.0285,0.0028,0.7699,9,21.13,3.26,90.65,58.41,517.04
SEPTIEMBRE,19,13,0.0368,0.0028,0.6892,14,24.64,2.99,137.92,48.14,1074.68
SEPTIEMBRE,19,14,0.0371,0.0027,0.7026,NA,25.09,3.17,156.12,46.21,781.45
SEPTIEMBRE,19,15,0.038,0.0026,0.707,5,25.58,2.29,147.81,44.28,544.78
SEPTIEMBRE,19,16,0.0415,0.0025,0.7203,7,25.23,2.08,180.67,44.76,377.5
SEPTIEMBRE,19,17,0.0385,0.0024,0.7609,10,23.79,2.27,242.54,50.47,119.77
SEPTIEMBRE,19,18,0.0298,0.0024,0.8842,15,19.39,3.39,211.92,68.8,25.97
SEPTIEMBRE,19,19,0.024,0.0023,0.8491,15,18.74,2.76,176.24,71.91,5.97
SEPTIEMBRE,19,20,0.0223,0.0024,0.8328,23,16.5,2.43,136.41,88.34,6.32
SEPTIEMBRE,19,21,0.0187,0.0024,0.8658,15,15.7,1.98,67.87,95.53,9
SEPTIEMBRE,19,22,0.018,0.0031,0.8227,11,15.39,2.76,77.46,96.96,10.43
SEPTIEMBRE,19,23,0.0206,0.0027,0.7424,6,15.33,2.62,82.37,98.62,7.59
SEPTIEMBRE,20,0,0.0219,0.0028,0.7273,10,15.3,2.01,74.74,99.05,9.54
SEPTIEMBRE,20,1,0.023,0.0031,0.697,4,15.16,1.95,66.28,99.07,13.58
SEPTIEMBRE,20,2,0.0153,0.0031,0.6802,NA,15.22,1.74,110.19,99.26,20.33
SEPTIEMBRE,20,3,0.0219,0.003,0.6724,7,15.15,1.18,146.56,99.56,6.46
SEPTIEMBRE,20,4,0.0177,0.003,0.6945,7,15.13,1.25,173.72,99.52,10.06
SEPTIEMBRE,20,5,0.0129,0.003,0.7072,10,15.21,1.58,177.13,99.71,13.23
SEPTIEMBRE,20,6,0.0099,0.0029,0.7859,13,14.8,1.44,202,99.74,12.49
SEPTIEMBRE,20,7,0.003,0.0029,1.0142,19,14.61,1.22,202.99,NA,9.94
SEPTIEMBRE,20,8,0.0046,0.0031,1.2946,21,15.11,1.47,209.61,NA,56.5
SEPTIEMBRE,20,9,0.0141,0.0031,1.0246,28,16.66,1.66,255.56,NA,185.45
SEPTIEMBRE,20,10,0.0226,0.0036,0.8877,17,19.34,1.45,210.47,91.74,380.24
SEPTIEMBRE,20,11,0.0287,0.0034,0.8112,15,22.13,1.55,200.32,82.79,606.48
SEPTIEMBRE,20,12,0.0384,0.0037,0.8453,17,23.97,1.81,190.13,71.11,841.98
SEPTIEMBRE,20,13,0.0511,0.0068,0.8492,21,25.38,2.06,236.3,57.65,1012.87
SEPTIEMBRE,20,14,0.0528,0.0051,0.8333,15,26.08,2.01,202.03,47.91,720.13
SEPTIEMBRE,20,15,0.0427,0.0038,0.7536,12,26.57,2.78,241.13,43.11,613.64
SEPTIEMBRE,20,16,0.0478,0.0031,0.8571,15,25.84,3.03,284.02,42.32,304.05
SEPTIEMBRE,20,17,0.034,0.0031,0.8995,16,25.05,3.56,296.79,44.82,320.42
SEPTIEMBRE,20,18,0.0347,0.0028,0.9652,9,25.4,2.51,232.92,44.8,232.47
SEPTIEMBRE,20,19,0.0275,0.0026,0.8108,31,20.68,3.15,218.84,59.52,9.86
SEPTIEMBRE,20,20,0.0264,0.0029,0.8365,24,18.72,2.09,234.85,66.1,21.92
SEPTIEMBRE,20,21,0.0252,0.0028,0.8579,14,17.82,3.47,287.33,71.51,10.4
SEPTIEMBRE,20,22,0.0234,0.0029,0.825,15,16.64,3.66,292.63,81.5,15.24
SEPTIEMBRE,20,23,0.0239,0.0027,0.7398,14,16.29,2.16,254.6,84.74,12.55
SEPTIEMBRE,21,0,0.0162,0.0027,0.7336,10,15.85,1.91,204.36,86.38,10.1
SEPTIEMBRE,21,1,0.0128,0.0029,0.7203,11,15.28,1.65,210.72,89.18,18.34
SEPTIEMBRE,21,2,0.0108,0.0029,0.7079,21,14.71,1.47,169.46,89.12,17.84
SEPTIEMBRE,21,3,0.0117,0.0029,0.7068,14,14.23,1.38,97.53,92.16,4.1
SEPTIEMBRE,21,4,0.0035,0.003,0.712,24,13.67,1.76,117.48,95.43,9.87
SEPTIEMBRE,21,5,0.0009,0.003,0.7666,28,13.11,1.45,142.59,96.74,12.73
SEPTIEMBRE,21,6,0.0017,0.003,0.8052,28,13.26,1.21,130.87,97.93,5.8
SEPTIEMBRE,21,7,0.0029,0.0029,0.8988,28,13.39,1.4,139.73,97.5,14.52
SEPTIEMBRE,21,8,0.002,0.003,1.0576,31,14.69,2.25,114.11,95.34,131.24
SEPTIEMBRE,21,9,0.0104,0.0029,0.8809,31,17.68,2.4,122.48,86.49,346.02
SEPTIEMBRE,21,10,0.0267,0.0033,0.7727,24,21.89,2.01,147.25,71.16,612.35
SEPTIEMBRE,21,11,0.0361,0.004,0.8095,18,24.42,1.96,150.88,56.63,810.86
SEPTIEMBRE,21,12,0.0454,0.0048,0.8256,20,24.91,2.48,117.54,52.04,900.48
SEPTIEMBRE,21,13,0.0523,0.0042,0.8162,16,25.75,2.89,113.11,48.21,940.13
SEPTIEMBRE,21,14,0.0563,0.0035,0.7478,19,26.86,2.97,137.52,43.66,937.33
SEPTIEMBRE,21,15,NA,NA,NA,NA,27.7,NA,NA,NA,NA
SEPTIEMBRE,21,16,0.0528,0.0027,0.739,9,28.29,3,107.1,39.46,689.49
SEPTIEMBRE,21,17,0.0578,0.0024,0.736,13,28.4,3.3,112.94,39,457.99
SEPTIEMBRE,21,18,0.0594,0.0024,0.7466,18,27.68,2.52,115.79,41.11,181.46
SEPTIEMBRE,21,19,0.0431,0.0024,1.0208,23,25.33,2.17,120.49,46.9,19.96
SEPTIEMBRE,21,20,0.0251,0.0026,1.1335,30,23.43,2.69,216.75,51.29,11.9
SEPTIEMBRE,21,21,0.0218,0.0025,1.0564,23,21.83,3.01,120.41,61.7,22.86
SEPTIEMBRE,21,22,0.019,0.0024,0.7417,24,20.34,2.43,95.89,68.91,17.63
SEPTIEMBRE,21,23,0.0161,0.0024,0.6908,15,19.11,3.3,78.34,75.75,6.54
SEPTIEMBRE,22,0,0.0184,0.0025,0.6515,13,18.4,3.88,85.72,79.76,7.73
SEPTIEMBRE,22,1,0.0219,0.0025,0.6465,18,17.91,3.81,89.17,80.36,12.41
SEPTIEMBRE,22,2,0.0226,0.0026,0.6349,21,17.29,3.1,89.67,80.1,9.51
SEPTIEMBRE,22,3,0.0218,0.0024,0.6463,13,16.15,2.93,121.81,83.88,16.43
SEPTIEMBRE,22,4,0.0181,0.0026,0.6774,16,15.81,2.69,110.49,83.34,5.6
SEPTIEMBRE,22,5,0.0188,0.0026,0.69,21,15.56,3.05,90.14,83.75,10.23
SEPTIEMBRE,22,6,0.0159,0.0024,0.785,17,15.34,2.42,90.39,84.52,13.59
SEPTIEMBRE,22,7,0.0116,0.0025,0.8694,26,15.03,2.81,90.75,85.92,19.95
SEPTIEMBRE,22,8,0.0137,0.0024,0.8526,36,16.66,3,96.66,80.67,145.32
SEPTIEMBRE,22,9,0.0198,0.0026,0.8411,33,19.08,3.59,94.97,71.32,373.14
SEPTIEMBRE,22,10,0.0297,0.0026,0.751,27,21.37,4.61,68.41,58.95,617.14
SEPTIEMBRE,22,11,0.0329,0.0027,0.7298,20,22.31,4.98,75.51,52,749.97
SEPTIEMBRE,22,12,0.0386,0.0032,0.6854,22,23.74,5.11,66,44.27,797.95
SEPTIEMBRE,22,13,0.0411,0.0025,0.7147,41,24.1,4.52,70.94,41.97,642.25
SEPTIEMBRE,22,14,0.0412,0.0026,0.7286,NA,25.37,4.75,71.16,38.98,744.67
SEPTIEMBRE,22,15,0.0379,0.0037,0.7349,22,26.29,4.62,82.22,36.66,832.6
SEPTIEMBRE,22,16,0.0395,0.004,0.7621,22,25.69,5.03,95.76,37.77,528.68
SEPTIEMBRE,22,17,0.0366,0.0037,0.7702,14,25.37,5.16,72.39,39.06,396.07
