DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
AGOSTO,1,0,0.0117,0.0024,0.6175,38,18.04,2.14,75.52,66.72
AGOSTO,1,1,0.0128,0.0024,0.5951,32,17.28,1.62,86,71.99
AGOSTO,1,2,0.0213,0.0024,0.6014,33,16.57,1.04,111.13,76.18
AGOSTO,1,3,0.0196,0.0025,0.5881,37,15.95,1.28,106.71,81.20
AGOSTO,1,4,0.0082,0.0028,0.5677,31,15.54,1.19,99.23,83.87
AGOSTO,1,5,0.0081,0.0027,0.5799,34,15.31,1.13,95.57,84.40
AGOSTO,1,6,0.0073,0.0025,0.6273,29,14.78,1.19,93.78,86.56
AGOSTO,1,7,0.0227,0.0025,0.7009,33,14.57,0.97,132.69,88.11
AGOSTO,1,8,0.013,0.0026,0.7288,37,17.72,1.5,112.47,80.63
AGOSTO,1,9,0.0184,0.0026,0.6783,30,20.79,1.49,91.66,66.34
AGOSTO,1,10,0.0279,0.0024,0.6722,29,22.44,2.54,86.97,55.57
AGOSTO,1,11,0.0342,0.0023,0.6305,19,23.83,2.59,107.04,50.99
AGOSTO,1,12,0.0414,0.0024,0.6255,26,25.9,1.72,114.22,45.15
AGOSTO,1,13,0.0464,0.0029,0.6417,25,26.6,1.76,110.83,40.84
AGOSTO,1,14,0.0538,0.005,0.6365,31,27.45,1.52,182.58,38.54
AGOSTO,1,15,0.0521,0.0074,0.7781,30,28.14,1.68,239.61,34.24
AGOSTO,1,16,0.0509,0.014,0.8787,20,29.04,2.12,215.33,32.01
AGOSTO,1,17,0.0539,0.0057,0.6865,17,29.98,1.7,225.13,30.74
AGOSTO,1,18,0.0598,0.0044,0.6804,26,29.01,2.6,242.72,34.02
AGOSTO,1,19,0.0444,0.004,0.7506,36,22.7,2.69,181.08,56.14
AGOSTO,1,20,0.0461,0.0032,0.6515,18,15.2,4.2,161.9,93.34
AGOSTO,1,21,0.0415,0.0028,0.7128,6,15.59,2.4,117.31,94.64
AGOSTO,1,22,0.0431,0.0024,0.6409,12,15.84,1.26,137.71,92.99
AGOSTO,1,23,0.0375,0.0023,0.6917,12,16.32,1.02,185.2,93.18
AGOSTO,2,0,0.038,0.0022,0.6148,12,16.2,0.96,130.46,91.44
AGOSTO,2,1,0.0235,0.0027,0.6706,16,16.05,0.98,174.74,94.32
AGOSTO,2,2,0.0193,0.0032,0.6116,18,15.71,0.98,175.53,93.85
AGOSTO,2,3,0.0244,0.0034,0.6139,18,15.88,0.99,125.37,92.87
AGOSTO,2,4,0.0104,0.0038,0.6259,23,15.46,1,109.84,94.40
AGOSTO,2,5,0.0047,0.0032,0.6381,23,14.86,0.98,106.09,95.67
AGOSTO,2,6,0.0026,0.0029,0.6966,26,14.81,0.96,113.39,96.56
AGOSTO,2,7,NA,0.0027,0.8556,24,14.48,1.13,112.77,96.60
AGOSTO,2,8,0.0127,0.0031,0.8722,47,18.04,1.02,74,90.03
AGOSTO,2,9,0.0208,0.0034,0.7542,35,20.21,1.87,94.31,77.90
AGOSTO,2,10,0.0283,0.003,0.6962,34,21.85,2.44,94.12,64.94
