DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
MARZO,1,0,0.0125,0.0061,1.329,85,19,1.6,272.51,34.46
MARZO,1,1,0.016,0.0065,1.099,88,18.15,1.98,265.29,37.03
MARZO,1,2,0.0166,0.0068,0.969,77,17.01,1.56,233.75,38.2
MARZO,1,3,0.0258,0.0067,0.839,64,15.9,1.7,231.98,41.41
MARZO,1,4,0.029,0.0065,0.797,53,15.46,1.66,219.39,43.3
MARZO,1,5,0.0227,0.006,0.81,56,14.38,1.31,181.12,44.42
MARZO,1,6,0.0218,0.0062,0.863,54,13.94,2,289.23,47.91
MARZO,1,7,0.007,0.0064,1.181,71,13.03,1.58,243.22,48.68
MARZO,1,8,0.0037,0.007,1.488,118,13.86,1.18,211.19,51.1
MARZO,1,9,0.0116,0.0075,1.381,108,19.03,1.78,301.77,42.52
MARZO,1,10,0.025,0.0067,1.131,80,22.6,1.83,244.35,33.72
MARZO,1,11,0.0432,0.0063,0.881,60,24.3,2.28,241.39,29.15
MARZO,1,12,0.0525,0.006,0.901,49,26.3,2.42,259.1,24.12
MARZO,1,13,0.0611,0.006,0.861,51,27.71,2.67,245.33,20.52
MARZO,1,14,0.0679,0.0077,0.818,53,29.21,2.27,221.46,18.68
MARZO,1,15,0.072,0.0067,0.816,52,30.01,1.91,174.36,17.06
MARZO,1,16,0.0722,0.0076,0.85,58,30.72,2.7,249.28,15.02
MARZO,1,17,0.0692,0.0064,0.88,56,30.37,3.46,242.1,14.7
MARZO,1,18,0.0655,0.0056,0.955,60,29.27,3.59,284.19,15.73
MARZO,1,19,0.0516,0.0054,1.131,73,27.08,3.42,288,18.99
MARZO,1,20,0.0226,0.0057,1.629,78,24.72,1.98,273.46,21.6
MARZO,1,21,0.0108,0.0068,1.783,115,22.81,1.46,209.65,23.95
MARZO,1,22,0.0239,0.0198,1.108,130,22.07,2.73,134.24,28.64
MARZO,1,23,0.0276,0.0339,0.853,163,21.18,6.46,83.5,47.45
MARZO,2,0,0.0352,0.0102,0.803,186,19.66,6.07,85.05,55.56
MARZO,2,1,0.0294,0.0359,0.8,103,18.48,5.71,66.72,61.05
MARZO,2,2,0.0286,0.0444,0.798,72,17.71,4.92,64.7,62.46
MARZO,2,3,0.0208,0.1085,0.794,91,17.42,4.3,75.76,63.47
MARZO,2,4,0.0286,0.0566,0.79,66,16.81,4.98,63.76,65.61
MARZO,2,5,0.0245,0.082,0.798,57,16.44,4.39,72.82,67.26
MARZO,2,6,0.0295,0.0287,0.807,59,15.84,3.67,92.69,68.23
MARZO,2,7,0.0252,0.0176,0.886,52,15.47,3.39,88.58,70.18
MARZO,2,8,0.0215,0.0185,0.902,57,15.64,3.71,96.6,70.21
MARZO,2,9,0.0207,0.0286,0.935,70,18.17,3.97,86.12,62.72
MARZO,2,10,0.0286,0.0174,0.901,63,20.03,5.42,87.77,57.01
MARZO,2,11,0.0354,0.0125,0.9,66,22.13,4.81,97.2,49.2
MARZO,2,12,0.0439,0.0122,0.919,65,24.43,4.09,117.22,41.44
MARZO,2,13,0.0531,0.0107,0.861,64,26.57,3.14,134.87,34.37
MARZO,2,14,0.0558,0.0086,0.802,59,28.56,2.9,138.4,24.9
MARZO,2,15,0.0569,0.0083,0.86,52,29.79,2.86,230.76,21.41
MARZO,2,16,0.0591,0.0069,0.807,46,30.45,2.37,223.7,19.36
MARZO,2,17,0.0571,0.0055,0.864,43,30.48,3.58,278.53,18.36
MARZO,2,18,0.0543,0.0049,0.942,51,29.59,3.38,292.99,17.13
MARZO,2,19,0.0454,0.0051,1.083,70,27.58,3.23,287.64,18.52
MARZO,2,20,0.0292,0.0066,1.296,114,25.23,2,252.31,21.25
MARZO,2,21,0.0257,0.0071,1.11,91,24.25,2.35,229.1,23.52
MARZO,2,22,0.0315,0.0067,0.868,63,22.14,2.75,249.56,27.24
MARZO,2,23,0.0218,0.0084,1.02,53,20.52,2.34,216.82,31.77
MARZO,3,0,0.0177,0.009,0.798,58,17.43,2.72,115.38,47.88
MARZO,3,1,0.0163,0.0081,0.781,45,15.31,3.95,113.16,56.83
MARZO,3,2,0.0187,0.0071,0.771,38,14.46,3.68,111.08,59.28
MARZO,3,3,0.0146,0.0071,0.777,29,13.37,3,124.25,62.66
MARZO,3,4,0.0037,0.0132,0.794,33,12.45,2.82,121.29,66.21
MARZO,3,5,0.0038,0.0138,0.857,43,11.97,2.74,113.79,68.07
MARZO,3,6,0.0055,0.0085,0.834,33,11.66,3.07,103.59,67.9
MARZO,3,7,0.0037,0.0076,0.856,32,11.18,3.1,110.47,69.39
MARZO,3,8,0.003,0.0078,1.023,83,11.31,2.72,119.34,69.57
MARZO,3,9,0.0094,0.008,0.987,69,15.06,3.57,103.47,59.92
MARZO,3,10,0.0143,0.0079,0.969,44,18.54,3.05,102.06,50.16
MARZO,3,11,0.0274,0.0082,0.896,53,22.59,2.08,178.04,38.73
MARZO,3,12,0.0385,0.0089,0.946,66,25.87,1.79,211.07,30.95
MARZO,3,13,0.0537,0.0077,0.873,54,27.28,2.19,191.47,26.73
MARZO,3,14,0.0608,0.0088,0.893,52,28.56,2.45,254.75,23.21
MARZO,3,15,0.0675,0.0104,0.827,53,29.87,2.19,227.34,19.74
MARZO,3,16,0.0618,0.0067,0.786,46,30.64,2.32,207.32,16.37
MARZO,3,17,0.0613,0.0058,0.783,51,30.66,2.22,230.63,15.19
MARZO,3,18,0.0597,0.0061,0.822,49,29.46,2.68,252.73,15.89
MARZO,3,19,0.053,0.0062,0.979,57,26.93,2.51,270.87,17.9
MARZO,3,20,0.0241,0.0068,1.75,93,24.17,1.63,233.35,20.65
MARZO,3,21,0.004,0.0083,2.486,151,22.49,1.36,277.19,23.1
MARZO,3,22,0.0045,0.0094,2.074,150,21.41,1.63,271.58,26.69
MARZO,3,23,0.0196,0.0129,1.18,134,20.44,2.25,136.52,29.08
MARZO,4,0,0.017,0.0194,1.119,104,19.38,1.46,174.17,31.05
MARZO,4,1,0.0101,0.0223,1.154,89,18.53,1.1,141.71,33.84
MARZO,4,2,0.0064,0.0239,1.077,100,17.48,1.25,202.99,35.55
MARZO,4,3,0.0255,0.0105,0.861,70,17.41,1.63,216.26,40.69
MARZO,4,4,0.0281,0.0088,0.816,41,16.47,1.74,228.94,45.49
MARZO,4,5,0.025,0.0076,0.824,48,15.45,1.94,262.36,48.85
MARZO,4,6,0.0255,0.0073,0.84,43,15.06,2.01,271.69,51.73
MARZO,4,7,0.0219,0.0068,0.961,45,14.71,1.69,255.73,52.74
MARZO,4,8,0.0094,0.0069,1.191,62,15.13,1.57,247.18,53.4
MARZO,4,9,0.0123,0.007,1.186,86,19.8,1.62,229.62,45.82
MARZO,4,10,0.0257,0.0068,1.002,70,22.26,2.02,271.86,37.94
MARZO,4,11,0.0395,0.0068,0.952,59,24.56,1.92,244.39,31.02
MARZO,4,12,0.0494,0.0066,0.876,58,26.13,2.44,257.8,26.31
MARZO,4,13,0.0575,0.006,0.892,58,27.18,3.06,281.41,24.43
MARZO,4,14,0.0568,0.0057,0.851,50,28.75,2.93,269.47,20.19
MARZO,4,15,0.059,0.0053,0.799,44,30.18,2.76,239.56,15.98
MARZO,4,16,0.0626,0.0051,0.797,48,30.5,3,233.62,14.94
MARZO,4,17,0.0617,0.005,0.812,48,30.53,2.93,239.19,14.69
MARZO,4,18,0.058,0.0048,0.809,47,29.89,2.91,238.97,14.45
MARZO,4,19,0.0492,0.0052,0.989,53,27.71,2.56,254.83,15.32
MARZO,4,20,0.0286,0.006,1.423,84,24.9,1.71,243.18,18.29
MARZO,4,21,0.0274,0.0063,1.288,103,23.5,2.64,263.12,23.03
MARZO,4,22,0.0381,0.0061,1.067,80,22.23,3.37,274.5,27.18
MARZO,4,23,0.0331,0.006,1.121,81,20.65,2.11,262.71,29.2
MARZO,5,0,0.0258,0.0061,1.209,88,19.39,1.69,259.32,30.78
MARZO,5,1,0.017,0.0072,1.157,82,18.01,1.36,139.22,32.42
MARZO,5,2,0.0112,0.0085,1.151,103,16.72,1.15,220.72,34.02
MARZO,5,3,0.0352,0.0079,0.879,82,16.92,1.7,235.49,34.73
MARZO,5,4,0.0325,0.0075,0.848,53,15.92,2.17,262.2,38.09
MARZO,5,5,0.028,0.0071,0.844,51,14.82,1.99,265.93,42.09
MARZO,5,6,0.0231,0.007,0.88,52,13.96,1.64,281.98,43.82
MARZO,5,7,0.0099,0.0069,1.246,54,13.52,1.52,306.03,45.03
MARZO,5,8,0.0048,0.0075,1.719,84,14.81,1.18,167.62,45.7
MARZO,5,9,0.0086,0.0084,1.434,132,20.13,1.61,186.62,37.52
MARZO,5,10,0.0319,0.008,0.96,88,22.82,2.1,248.26,31.12
MARZO,5,11,0.0439,0.0074,0.886,52,24.94,2.25,230.02,25.52
MARZO,5,12,0.0499,0.0071,0.837,43,27.08,2.12,224.23,20.4
MARZO,5,13,0.0533,0.0083,0.844,42,29.04,2.25,210.4,16.29
MARZO,5,14,0.0516,0.0067,0.818,38,30.18,2.26,215.5,12.97
MARZO,5,15,0.0505,0.0057,0.801,34,30.85,3.56,257.34,12.45
MARZO,5,16,0.056,0.0059,0.778,41,31.3,3.17,237.34,11.97
MARZO,5,17,0.0562,0.0059,0.782,42,31.19,3.07,236.94,11.87
MARZO,5,18,0.0503,0.0059,0.794,41,30.75,2.99,250.47,11.38
MARZO,5,19,0.0412,0.0059,0.986,46,28.58,2.2,253.23,11.76
MARZO,5,20,0.0116,0.007,2.256,100,25.03,1.42,223.06,12.03
MARZO,5,21,0.0029,0.0089,2.295,165,23.07,1.27,239.91,13.87
MARZO,5,22,0.0159,0.0084,1.372,123,22.01,1.77,219.45,17.83
MARZO,5,23,0.0162,0.0078,1.367,84,20.46,1.55,212.59,19.53
MARZO,6,0,0.0117,0.0083,1.223,77,19.77,2.06,217.8,23.69
MARZO,6,1,0.0203,0.0099,0.923,91,18.38,4.06,97.87,33.16
MARZO,6,2,0.0282,0.0105,0.826,90,16.88,4.45,96.3,50.53
MARZO,6,3,0.0235,0.0547,0.828,78,15.86,5.33,74.14,58.34
MARZO,6,4,0.0233,0.0667,0.834,72,15.29,5.16,72.62,62.99
MARZO,6,5,0.0291,0.0301,0.829,60,14.88,5.68,71.92,64.76
MARZO,6,6,0.0286,0.0305,0.836,61,14.49,5.37,69.52,66.12
MARZO,6,7,0.025,0.0382,0.874,60,13.95,5.27,70.59,67.95
MARZO,6,8,0.0222,0.0458,0.91,49,14.54,4.9,75.83,66.68
MARZO,6,9,0.0193,0.0867,0.943,65,16.43,5.99,71.03,61.64
