DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
DICIEMBRE,1,0,0.0104,0.0119,0.0275,1.3715,88,14.89,1.58,182.58,53.20,11.63
DICIEMBRE,1,1,0.0118,0.0180,0.0214,1.0810,68,14.33,1.86,131.86,54.30,6.81
DICIEMBRE,1,2,0.0049,0.0171,0.0260,1.0356,52,13.07,2.00,130.30,58.71,2.84
DICIEMBRE,1,3,0.0030,0.0089,0.0274,1.0851,48,12.20,1.40,118.28,63.03,2.85
DICIEMBRE,1,4,0.0054,0.0080,0.0259,1.0417,45,12.10,1.43,78.21,63.25,2.88
DICIEMBRE,1,5,0.0064,0.0061,0.0237,0.9856,38,11.62,1.29,82.45,64.63,2.81
DICIEMBRE,1,6,0.0030,0.0054,0.0264,1.0326,36,10.93,1.87,92.92,66.63,24.48
DICIEMBRE,1,7,0.0021,0.0067,0.0262,1.3340,56,9.88,1.30,143.73,70.70,11.36
DICIEMBRE,1,8,0.0030,0.0061,0.0262,1.3597,61,11.06,2.43,94.25,70.12,50.16
DICIEMBRE,1,9,0.0075,0.0064,0.0224,1.2558,58,14.04,2.76,100.68,60.92,232.41
DICIEMBRE,1,10,0.0136,0.0114,0.0206,1.1249,66,17.03,3.22,115.21,52.74,423.22
DICIEMBRE,1,11,0.0297,0.0089,0.0136,1.0297,59,20.29,2.81,115.49,42.35,531.27
DICIEMBRE,1,12,0.0444,0.0062,0.0092,0.9699,39,23.83,2.17,135.62,34.15,720.33
DICIEMBRE,1,13,0.0483,0.0051,0.0055,0.9230,31,25.26,2.11,116.73,27.81,596.38
DICIEMBRE,1,14,0.0465,0.0046,0.0051,0.9127,21,25.64,2.36,130.83,26.00,514.48
DICIEMBRE,1,15,0.0430,0.0041,0.0066,0.9672,22,25.62,3.29,104.71,25.60,372.24
DICIEMBRE,1,16,0.0385,0.0053,0.0090,1.0159,21,25.23,3.17,95.28,25.24,253.85
DICIEMBRE,1,17,0.0363,0.0052,0.0137,1.1091,20,24.50,2.70,65.79,26.19,143.94
DICIEMBRE,1,18,0.0338,0.0092,0.0145,1.1254,39,23.61,3.46,46.69,27.50,51.86
DICIEMBRE,1,19,0.0196,0.0090,0.0219,1.3881,46,22.03,3.11,56.09,30.14,14.69
DICIEMBRE,1,20,0.0141,0.0114,0.0163,1.2725,59,20.10,2.85,63.77,36.10,3.80
DICIEMBRE,1,21,0.0076,0.0086,0.0203,1.3128,72,17.73,2.29,87.85,43.44,2.60
DICIEMBRE,1,22,0.0074,0.0063,0.0175,1.1539,73,16.23,2.18,73.31,46.68,9.98
DICIEMBRE,1,23,0.0131,0.0066,0.0140,1.1066,45,14.69,1.36,109.42,51.84,11.46
DICIEMBRE,2,0,NA,0.0066,0.0147,1.0053,34,13.59,1.75,128.58,55.24,7.69
DICIEMBRE,2,1,0.0256,0.0128,0.0132,0.9225,41,12.51,1.90,122.76,57.32,6.85
DICIEMBRE,2,2,0.0080,0.0139,0.0142,0.8998,28,11.67,1.24,116.40,60.80,2.96
DICIEMBRE,2,3,NA,0.0122,0.0137,0.9521,28,10.67,1.52,137.83,63.64,2.94
DICIEMBRE,2,4,NA,0.0091,0.0104,0.9061,23,10.03,2.60,127.15,66.66,3.05
DICIEMBRE,2,5,0.0097,0.0100,0.0114,0.8844,19,10.52,3.03,109.10,66.47,3.08
DICIEMBRE,2,6,0.0083,0.0069,0.0140,0.9481,21,10.35,3.44,100.63,64.47,6.88
DICIEMBRE,2,7,0.0071,0.0060,0.0170,1.1163,28,9.76,3.11,103.39,66.02,15.61
DICIEMBRE,2,8,0.0077,0.0071,0.0185,1.2371,70,9.99,2.84,87.42,66.38,63.44
DICIEMBRE,2,9,0.0138,0.0049,0.0147,1.0940,61,13.41,3.35,93.18,54.38,260.25
DICIEMBRE,2,10,0.0235,0.0045,0.0116,0.9981,41,17.42,3.30,85.61,40.53,450.89
DICIEMBRE,2,11,0.0323,0.0041,0.0077,0.9334,38,20.80,3.91,94.38,29.11,618.62
DICIEMBRE,2,12,0.0354,0.0037,0.0065,0.8989,34,22.65,4.77,83.89,23.39,724.70
DICIEMBRE,2,13,0.0396,0.0037,0.0070,0.9297,36,23.86,4.80,82.61,22.02,673.73
DICIEMBRE,2,14,0.0446,0.0039,0.0071,0.9448,31,25.16,3.79,96.76,21.34,704.79
DICIEMBRE,2,15,0.0485,0.0042,0.0081,0.9417,28,26.31,3.65,84.54,20.09,657.59
DICIEMBRE,2,16,0.0500,0.0039,0.0066,0.9151,30,26.62,3.23,96.65,20.18,496.81
DICIEMBRE,2,17,0.0437,0.0043,0.0091,0.9679,30,25.75,3.69,104.10,20.94,259.80
DICIEMBRE,2,18,0.0334,0.0081,0.0159,1.1151,42,24.12,3.05,106.67,22.83,78.26
DICIEMBRE,2,19,0.0166,0.0053,0.0241,1.3466,60,21.42,3.36,70.80,27.90,6.60
DICIEMBRE,2,20,0.0245,0.0498,0.0080,1.1667,58,19.82,6.08,46.80,34.51,5.16
DICIEMBRE,2,21,0.0250,0.1258,0.0086,1.6655,37,18.28,5.26,46.42,38.30,2.59
DICIEMBRE,2,22,0.0203,0.0162,0.0101,0.9561,26,16.84,4.14,78.62,41.02,2.66
DICIEMBRE,2,23,0.0078,0.0078,0.0187,0.9850,28,13.94,1.32,139.70,48.74,2.79
DICIEMBRE,3,0,0.0145,0.0111,0.0126,0.9314,30,13.34,2.74,111.49,51.75,6.31
DICIEMBRE,3,1,0.0133,0.0129,0.0129,0.9111,26,12.33,2.92,122.43,54.39,2.92
DICIEMBRE,3,2,0.0176,0.0052,0.0090,0.8834,15,12.04,3.62,102.91,54.56,2.87
DICIEMBRE,3,3,0.0219,0.0043,0.0075,0.8646,12,11.42,3.55,102.40,55.68,12.40
DICIEMBRE,3,4,0.0156,0.0044,0.0113,0.8604,12,10.32,2.88,107.58,59.35,2.96
DICIEMBRE,3,5,0.0074,0.0046,0.0158,0.8901,23,8.87,2.67,115.88,64.65,6.87
DICIEMBRE,3,6,0.0044,0.0041,0.0195,0.9269,23,8.19,2.89,111.18,68.41,3.12
DICIEMBRE,3,7,0.0007,0.0043,0.0216,1.0699,32,7.54,2.12,112.58,72.25,3.46
DICIEMBRE,3,8,0.0011,0.0042,0.0225,1.2881,48,8.57,1.61,97.09,70.42,62.55
DICIEMBRE,3,9,0.0055,0.0046,0.0222,1.3083,60,12.08,2.38,100.33,59.86,255.24
DICIEMBRE,3,10,0.0143,0.0198,0.0185,1.1208,77,15.47,2.75,116.07,49.40,449.26
DICIEMBRE,3,11,0.0282,0.0046,0.0098,1.0216,44,18.93,3.22,94.78,35.77,613.60
DICIEMBRE,3,12,0.0379,0.0039,0.0072,0.9170,30,21.31,3.07,115.43,28.51,731.63
DICIEMBRE,3,13,0.0430,0.0061,0.0064,0.9336,26,23.88,2.27,106.22,24.21,677.22
DICIEMBRE,3,14,0.0486,0.0147,0.0061,1.0077,21,25.19,1.97,180.34,21.39,687.97
DICIEMBRE,3,15,0.0533,0.0196,0.0072,1.1643,NA,26.55,2.21,235.87,18.19,643.45
DICIEMBRE,3,16,0.0476,0.0105,0.0080,1.0734,7,26.45,3.15,161.42,16.05,489.12
DICIEMBRE,3,17,0.0329,0.0123,0.0091,1.1892,20,26.10,3.40,103.85,14.13,303.13
DICIEMBRE,3,18,0.0295,0.0076,0.0140,1.1164,51,24.29,4.01,48.22,16.66,92.68
DICIEMBRE,3,19,0.0184,0.0054,0.0212,1.2658,45,21.58,3.16,50.44,20.24,3.42
DICIEMBRE,3,20,0.0198,0.0085,0.0174,1.1490,38,19.78,3.36,63.92,21.67,2.43
DICIEMBRE,3,21,0.0136,0.0108,0.0193,1.3027,37,17.72,2.70,75.55,25.29,2.60
DICIEMBRE,3,22,0.0078,0.0107,0.0203,1.0815,47,14.95,2.35,114.47,30.11,2.75
DICIEMBRE,3,23,0.0244,0.0030,0.0114,1.0144,37,14.92,3.03,79.66,27.57,2.73
DICIEMBRE,4,0,0.0215,0.0029,0.0131,0.9562,24,13.93,2.34,79.66,28.97,2.83
DICIEMBRE,4,1,0.0172,0.0030,0.0148,0.9147,19,12.37,1.66,76.11,32.16,2.94
DICIEMBRE,4,2,0.0125,0.0031,0.0172,0.9163,NA,11.38,2.23,106.43,39.59,2.98
DICIEMBRE,4,3,0.0086,0.0059,0.0199,0.9249,23,10.31,2.25,113.32,44.92,3.02
DICIEMBRE,4,4,0.0036,0.0117,0.0233,0.9344,31,9.30,2.53,118.98,49.97,3.10
DICIEMBRE,4,5,0.0022,0.0200,0.0236,0.9760,47,8.32,2.33,112.85,55.15,3.15
