DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
OCTUBRE,3,10,0.0330,0.0033,NA,0.8102,12,19.92,3.79,88.02,83.93,537.91
OCTUBRE,3,11,0.0353,0.0031,NA,0.7816,7,21.57,3.75,79.78,71.87,800.51
OCTUBRE,3,12,0.0406,0.0031,NA,0.7664,8,23.19,3.67,97.85,59.84,793.39
OCTUBRE,3,13,0.0445,0.003,NA,0.7918,9,23.39,3.6,101.36,55.48,761.44
OCTUBRE,3,14,0.0481,0.003,NA,0.7743,5,25.28,3.76,78.8,47.35,950.79
OCTUBRE,3,15,0.0467,0.003,NA,0.7977,7,24.82,3.73,73.19,48.58,628.81
OCTUBRE,3,16,0.0374,0.0031,NA,0.8418,8,23.79,3.77,72.99,51.91,195.68
OCTUBRE,3,17,0.0335,0.004,NA,0.8341,12,23.29,4.44,55.41,54.35,256.76
OCTUBRE,3,18,0.0284,0.0048,NA,0.7462,16,21.54,5.6,44.75,59.50,107.40
OCTUBRE,3,19,0.0222,0.0064,NA,0.7586,13,20,5.09,46.4,65.22,8.00
OCTUBRE,3,20,0.0168,0.0056,NA,0.8127,12,18.9,3.91,54.32,69.21,2.53
OCTUBRE,3,21,0.0158,0.0067,NA,0.7604,14,18.44,3.96,54.42,69.83,2.57
OCTUBRE,3,22,0.0150,0.0068,NA,0.7446,12,18.21,2.53,90.49,69.78,2.65
OCTUBRE,3,23,0.0130,0.0048,NA,0.7033,14,17.68,2.54,118.08,73.40,2.62
OCTUBRE,4,0,0.0150,0.0042,NA,0.6759,5,17.38,2.68,86.11,74.71,2.62
OCTUBRE,4,1,0.0127,0.0038,NA,0.6619,10,17.07,2.13,78.47,76.73,2.63
OCTUBRE,4,2,0.0136,0.0036,NA,0.6385,7,16.93,2.16,86.38,78.61,2.70
OCTUBRE,4,3,0.0114,0.0035,NA,0.6387,8,16.65,2.48,104.87,81.89,2.73
OCTUBRE,4,4,0.0119,0.0034,NA,0.6364,10,16.29,2.17,102.54,83.98,2.78
OCTUBRE,4,5,0.0065,0.0032,NA,0.6638,12,15.76,1.89,105.53,86.16,2.71
OCTUBRE,4,6,0.0061,0.0043,NA,0.8458,14,16.02,1.86,73.69,85.25,2.69
OCTUBRE,4,7,0.0043,0.0045,NA,0.8924,23,15.9,1.71,103.11,85.01,9.95
OCTUBRE,4,8,0.0063,0.0039,NA,0.9573,22,16.29,2.33,87.02,85.06,86.50
OCTUBRE,4,9,0.0166,0.0036,NA,0.7551,17,19.62,4.02,71.84,71.47,367.00
OCTUBRE,4,10,0.0186,0.0035,NA,0.7561,13,19.69,4.18,74.58,67.57,276.16
OCTUBRE,4,11,0.0215,0.0034,NA,0.7616,15,21.17,4.29,72.95,61.82,439.03
OCTUBRE,4,12,0.0250,0.0033,NA,0.7513,10,22.71,4.56,84.71,55.45,775.07
OCTUBRE,4,13,0.0281,0.0033,NA,0.7331,9,23.96,4.84,73.72,50.93,949.84
OCTUBRE,4,14,0.0281,0.0032,NA,0.7213,NA,24.6,4.53,79.33,48.27,890.71
OCTUBRE,4,15,0.0288,0.0031,NA,0.7149,5,25.29,4.49,85.33,45.65,827.72
OCTUBRE,4,16,0.0271,0.0037,NA,0.756,7,24.57,4.08,69.77,47.12,321.85
OCTUBRE,4,17,0.0253,0.0079,NA,0.8963,16,23.94,2.89,82.92,48.28,178.53
OCTUBRE,4,18,0.0234,0.0072,NA,0.9442,11,23.79,3.49,69.6,48.42,102.94
OCTUBRE,4,19,0.0204,0.019,NA,0.876,18,21.72,4.88,51.06,56.55,8.74
OCTUBRE,4,20,0.0174,0.009,NA,0.7666,15,20.04,4.35,56.63,63.56,4.25
OCTUBRE,4,21,0.0156,0.0088,NA,0.7463,8,19.18,3.77,58.68,67.12,2.55
OCTUBRE,4,22,0.0147,0.0075,NA,0.7176,12,18.32,3.34,65.31,70.44,2.63
OCTUBRE,4,23,0.0149,0.0051,NA,0.6732,9,17.23,3.48,95.56,76.26,7.86
OCTUBRE,5,0,0.0137,0.0045,NA,0.6656,8,16.47,3.24,99.65,82.01,2.72
OCTUBRE,5,1,0.0114,0.0042,NA,0.6601,3,15.72,3.18,97.51,86.17,2.72
OCTUBRE,5,2,0.0123,0.004,NA,0.6349,8,15.49,3.26,89.53,85.81,2.76
OCTUBRE,5,3,0.0146,0.0038,NA,0.6288,8,15.23,2.41,81.2,86.31,4.55
OCTUBRE,5,4,0.0114,0.005,NA,0.6492,NA,15.09,2.55,86.24,86.04,2.79
OCTUBRE,5,5,0.0122,0.0044,NA,0.6619,6,14.52,2.39,94.87,88.21,2.86
OCTUBRE,5,6,0.0071,0.004,NA,0.7597,8,14.03,2.08,104.2,90.19,2.83
OCTUBRE,5,7,0.0071,0.0049,NA,0.8582,19,14.43,1.79,92.46,89.18,10.76
OCTUBRE,5,8,0.0093,0.0044,NA,0.8433,19,16.57,1.42,100.52,85.20,103.33
OCTUBRE,5,9,0.0184,0.0043,NA,0.8151,17,18.75,3.17,79.75,73.54,373.32
OCTUBRE,5,10,0.0242,0.0041,NA,0.7042,10,20.83,4.69,77.79,60.85,612.85
OCTUBRE,5,11,0.0262,0.0037,NA,0.721,9,21.41,4.93,71.31,56.98,577.04
OCTUBRE,5,12,0.0280,0.0037,NA,0.7526,11,22.12,4.66,70.08,55.36,599.85
OCTUBRE,5,13,0.0317,0.0037,NA,0.7765,10,23.1,4.53,73.38,51.31,642.25
OCTUBRE,5,14,0.0332,0.0037,NA,0.7263,12,24.05,4.16,80.42,46.98,743.41
OCTUBRE,5,15,0.0343,0.0036,NA,0.7315,7,24.98,3.64,87.66,43.10,683.57
OCTUBRE,5,16,0.0331,0.0037,NA,0.7465,7,24.33,3.43,87.04,44.85,318.38
OCTUBRE,5,17,0.0314,0.0043,NA,0.8023,9,23.51,4.31,67.05,48.20,224.84
OCTUBRE,5,18,0.0317,0.0228,NA,0.9932,21,21.75,5.56,48.86,53.71,110.84
