DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
FEB,1,0,0.0277,0.0120,3.677,47,14.2,6.7,69.6,61
FEB,1,1,0.0271,0.0090,3.649,38,13.6,5.2,70.9,60
FEB,1,2,0.0287,0.0078,3.627,26,13.2,5.1,87.1,62
FEB,1,3,0.0279,0.0076,3.631,22,12.5,4.4,74.9,65
FEB,1,4,0.0264,0.0075,3.626,26,11.9,4.3,68.0,67
FEB,1,5,0.0270,0.0074,3.610,23,12.0,4.5,74.1,67
FEB,1,6,0.0231,0.0074,3.617,18,11.4,3.7,73.6,70
FEB,1,7,0.0215,0.0078,3.661,22,11.4,4.7,70.3,72
FEB,1,8,0.0187,0.0084,3.688,26,11.7,4.1,68.0,74
FEB,1,9,0.0200,0.0178,3.685,22,14.0,4.2,62.0,64
FEB,1,10,0.0258,0.0091,3.669,28,14.8,5.7,70.3,57
FEB,1,11,0.0279,0.0076,3.653,42,16.2,6.5,69.3,50
FEB,1,12,0.0303,0.0074,3.678,54,17.9,6.7,88.3,47
FEB,1,13,0.0339,0.0070,3.671,74,19.1,6.3,87.8,39
FEB,1,14,0.0372,0.0067,3.685,69,20.5,6.2,91.6,33
FEB,1,15,0.0395,0.0063,3.711,66,21.4,5.6,92.4,29
FEB,1,16,0.0393,0.0062,3.696,66,22.1,5.3,99.5,28
FEB,1,17,0.0379,0.0062,3.741,65,22.1,5.1,94.2,28
FEB,1,18,0.0354,0.0076,3.765,44,20.9,5.4,104.4,30
FEB,1,19,0.0283,0.0068,3.847,49,18.6,4.3,93.5,35
FEB,1,20,0.0211,0.0068,3.931,56,16.3,3.5,79.1,41
FEB,1,21,0.0209,0.0069,3.827,78,15.3,4.2,68.9,41
FEB,1,22,0.0231,0.0069,3.725,45,14.0,3.7,74.9,40
FEB,1,23,0.0209,0.0062,3.730,43,12.0,3.9,102.7,47
FEB,2,0,0.0201,0.0071,3.694,42,10.5,4.4,104.4,54
FEB,2,1,0.0230,0.0067,3.603,36,9.4,3.7,94.7,58
FEB,2,2,0.0240,0.0075,3.590,34,8.7,4.4,76.0,61
FEB,2,3,0.0266,0.0075,3.577,27,8.2,4.9,72.2,64
FEB,2,4,0.0264,0.0077,3.568,24,7.5,3.9,86.9,66
FEB,2,5,0.0229,0.0078,3.557,22,6.4,3.5,89.1,70
FEB,2,6,0.0178,0.0078,3.573,24,5.5,3.2,96.4,73
FEB,2,7,0.0136,0.0079,3.636,29,4.9,3.1,98.7,75
FEB,2,8,0.0077,0.0079,3.699,36,4.8,3.5,118.8,76
FEB,2,9,0.0121,0.0088,3.746,50,8.4,3.7,104.3,67
FEB,2,10,0.0186,0.0087,3.713,43,11.1,4.2,96.9,59
FEB,2,11,0.0239,0.0083,3.611,45,13.6,3.8,98.7,52
FEB,2,12,0.0305,0.0084,3.629,44,16.8,3.1,93.9,42
FEB,2,13,0.0355,0.0083,3.598,38,19.7,2.7,131.8,34
FEB,2,14,0.0394,0.0108,3.605,39,22.7,2.3,162.6,28
FEB,2,15,0.0429,0.0111,3.606,37,24.5,2.3,189.4,23
FEB,2,16,0.0462,0.0107,3.686,34,25.5,2.4,148.2,21
FEB,2,17,0.0470,0.0110,3.731,37,26.0,2.3,210.0,20
FEB,2,18,0.0450,0.0176,3.918,40,25.1,2.5,272.7,20
FEB,2,19,0.0361,0.0186,4.333,49,22.2,2.2,271.1,22
FEB,2,20,0.0049,0.0173,6.231,86,19.2,1.1,171.7,26
FEB,2,21,0.0017,0.0184,5.945,128,17.7,1.4,177.3,27
FEB,2,22,0.0056,0.0283,4.163,97,17.2,2.6,122.7,27
FEB,2,23,0.0084,0.0092,3.822,69,15.2,2.2,120.3,27
FEB,3,0,0.0081,0.0082,3.740,50,14.1,2.7,99.0,29
FEB,3,1,0.0054,0.0081,3.734,38,12.8,2.6,91.6,33
FEB,3,2,0.0078,0.0081,3.698,39,11.3,2.4,101.6,38
FEB,3,3,0.0037,0.0157,3.686,43,9.9,2.1,99.8,42
FEB,3,4,0.0066,0.0137,3.664,48,9.1,2.1,96.4,45
FEB,3,5,0.0041,0.0175,3.731,55,8.2,1.8,113.1,49
FEB,3,6,0.0010,0.0140,3.823,45,8.1,2.3,119.2,52
FEB,3,7,NA,0.0107,3.974,53,8.1,2.6,96.2,53
FEB,3,8,0.0006,0.0117,3.980,77,8.7,2.9,101.0,53
FEB,3,9,0.0043,0.0134,3.929,73,12.1,3.2,98.9,44
FEB,3,10,0.0090,0.0156,3.863,58,15.3,3.0,99.9,36
