DATOS HORARIOS 2013_ CRUZ ROJA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AÑO,MES,DIA,HORA,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,,,
2013,OCT,3,10,25.86,36.73,7.3,NA,45.9,3.78,77.32,21.36,57.73,622.4,,,
2013,OCT,3,11,29.54,36.04,6.2,NA,48.09,3.32,85.17,23.11,49.25,622.32,,,
2013,OCT,3,12,34.19,31.02,6.7,NA,39.68,2.54,83.97,24.94,40.13,621.83,,,
2013,OCT,3,13,34.79,23.26,8.1,NA,33.55,2.37,76.31,26.52,32.9,621.19,,,
2013,OCT,3,14,33.67,17.18,7.7,NA,23.49,2.56,56.71,27.61,26.51,620.47,,,
2013,OCT,3,15,35.34,20.43,7.8,NA,26.32,2.48,71.17,28.68,26.08,619.76,,,
2013,OCT,3,16,36.72,22.22,7.4,NA,25.8,2.36,72.49,29.38,24.51,619.09,,,
2013,OCT,3,17,33.79,28.62,7.4,NA,34.36,2.42,90.63,29.74,22.77,618.79,,,
2013,OCT,3,18,32.22,21.36,7.9,NA,38.81,2.55,86.42,29.4,24.33,618.72,,,
2013,OCT,3,19,22.2,15.42,10.4,NA,43.4,2.03,88.73,28.14,27.97,619,,,
2013,OCT,3,20,12.83,12.93,12.9,NA,80.14,1.69,302.24,26.43,34.41,619.48,,,
2013,OCT,3,21,16.14,12.29,10.3,NA,47.66,2.2,75.68,24.69,39.06,620.21,,,
2013,OCT,3,22,18.96,12.05,8.3,NA,34.66,2.64,57.82,23.31,46.52,620.82,,,
2013,OCT,3,23,15.76,21.88,8.7,NA,40.2,3.25,75.4,22.46,50.06,621.26,,,
2013,OCT,4,0,15.93,35.58,8.8,NA,45.07,3.58,82.1,21.8,50.34,621.48,,,
2013,OCT,4,1,17.72,50.11,8.4,NA,39.1,2.94,79.69,21.3,51.49,621.61,,,
2013,OCT,4,2,20.47,82.45,8.2,NA,36.11,2.95,68.99,21.54,51.05,621.36,,,
2013,OCT,4,3,12.31,30.45,7.8,NA,32.61,2.37,111.39,19.12,60.83,621.19,,,
2013,OCT,4,4,10.86,21.68,7.1,NA,32.17,2.37,102.61,17.91,66.01,621.25,,,
2013,OCT,4,5,9.53,28.76,7.6,NA,45.59,2.42,95.4,17.83,66.83,621.41,,,
2013,OCT,4,6,8.24,26.46,9.9,NA,50.97,1.66,81.94,17.75,67.53,621.66,,,
2013,OCT,4,7,5.49,18.2,9.8,NA,86.34,1.18,307.4,16.42,72.07,621.87,,,
2013,OCT,4,8,7.62,31.42,12.0,NA,84.01,2.52,85.3,17.65,70.06,622.24,,,
2013,OCT,4,9,8.48,54.1,9.0,NA,101.91,2.64,103.25,18.98,66.74,622.64,,,
2013,OCT,4,10,13.75,38.7,9.7,NA,80.26,2.37,125.94,21.16,57.76,622.86,,,
2013,OCT,4,11,25.2,19.34,10.2,NA,64.21,2.01,164.94,23.15,53.47,622.75,,,
2013,OCT,4,12,48.39,17.38,10.3,NA,59.56,2,264.69,25,46.57,622.35,,,
2013,OCT,4,13,65.04,19.06,11.6,NA,64.98,2.15,270.93,26.45,40.64,621.67,,,
2013,OCT,4,14,52.97,14.96,8.9,NA,48.97,2.14,276.2,27.7,34.38,621.15,,,
2013,OCT,4,15,50.14,12.38,8.8,NA,42.93,2.21,262.86,28.28,31.89,620.53,,,
2013,OCT,4,16,55.14,13.41,7.3,NA,41.5,2.29,281.27,29.21,27.31,620.02,,,
2013,OCT,4,17,58.41,19.83,8.9,NA,49.87,2.07,289.25,29.58,25.36,619.79,,,
2013,OCT,4,18,49.3,15.69,11.3,NA,54.13,1.97,216.75,29.45,26.67,619.83,,,
2013,OCT,4,19,34.21,13.99,16.5,NA,77.43,2.06,147.46,27.92,29.87,620.14,,,
2013,OCT,4,20,12.72,13.77,21.4,NA,126.9,1.9,228.94,26.85,34.19,620.49,,,
2013,OCT,4,21,10.28,13.06,17.5,NA,120.95,2.39,268.87,24.09,47.78,620.99,,,
2013,OCT,4,22,10.85,12.92,14.8,NA,81.78,1.98,269.49,22.44,53.55,621.52,,,
2013,OCT,4,23,9.75,12.81,14.7,NA,78.75,1.88,245.35,22.05,55.42,622.13,,,
2013,OCT,5,0,15.29,12.35,11.9,NA,59.84,1.59,207.79,21.37,62.09,622.13,,,
2013,OCT,5,1,12.59,12.46,12.4,NA,50.31,1.27,320.39,20.85,63.51,622.11,,,
2013,OCT,5,2,6.71,12.47,13.2,NA,59.02,1.19,291,19.94,65.98,622.01,,,
2013,OCT,5,3,6.88,12.28,12.0,NA,52.26,1.45,273.38,18.86,67.82,622.01,,,
2013,OCT,5,4,7.06,12.25,11.4,NA,46.89,1.31,236.03,18.65,70.01,621.87,,,
2013,OCT,5,5,5.56,12.24,9.7,NA,48.59,1.19,295.11,17.12,72.24,621.93,,,
2013,OCT,5,6,5.41,12.4,10.0,NA,57.33,1.18,277.55,17.03,73.64,622.33,,,
2013,OCT,5,7,5.28,12.39,10.1,NA,49.26,1.19,337.08,16.38,75.3,622.71,,,
2013,OCT,5,8,5.25,13.06,10.6,NA,85.63,1.16,61.29,17.49,73.04,623.07,,,
2013,OCT,5,9,9.58,12.98,12.0,NA,85.26,1.31,202.57,19.6,70.1,623.42,,,
2013,OCT,5,10,20.1,12.81,11.2,NA,68.43,1.63,290.7,21.51,65.42,623.6,,,
2013,OCT,5,11,29.75,12.01,9.9,NA,48.22,1.81,253.06,23.38,59.28,623.47,,,
2013,OCT,5,12,37.75,12.02,9.7,NA,49.68,2.02,274.1,25,52.41,622.91,,,
2013,OCT,5,13,42.23,12.24,9.9,NA,32.34,2.04,241.03,26.7,39.52,622.24,,,
2013,OCT,5,14,45.66,13.19,9.4,NA,32.07,2.26,285.8,27.94,32.48,621.47,,,
2013,OCT,5,15,51.37,13.25,9.0,NA,38.45,2.37,287.43,28.55,32.52,620.7,,,
2013,OCT,5,16,64.29,21.76,10.2,NA,51.06,2.1,277.8,29.36,30.1,620.13,,,
2013,OCT,5,17,58.57,15.03,9.4,NA,48.49,2,245.12,29.96,28.89,619.85,,,
