DATOS HORARIOS 2011_ CRUZ ROJA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AÑO,MES,DIA,HORA,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,,,
2011,DIC,3,9,15.44,21.74,35.99,2.29,115.87,2.71,98.9,12.17,52.28,628.17,,,
2011,DIC,3,10,23.89,23.73,32.76,2.18,139.13,2.69,94.87,14.58,47.81,628.45,,,
2011,DIC,3,11,37.49,15.78,34.86,2.11,145.35,1.71,104.28,17.94,42.92,628.23,,,
2011,DIC,3,12,59.37,20.67,29.48,2.02,104.15,1.06,86.72,21.09,38.82,627.66,,,
2011,DIC,3,13,69.88,10.85,29.78,2.08,86.61,1.3,281.99,22.6,34.15,626.79,,,
2011,DIC,3,14,78.85,9.52,28.82,1.99,78.4,1.6,248.98,24.41,28.37,625.93,,,
2011,DIC,3,15,82.17,9.52,27.17,1.92,66.42,2.15,275.97,25.45,21.8,625.16,,,
2011,DIC,3,16,68.42,9.15,29.86,1.9,84.25,2.62,268.15,26.41,18.97,624.68,,,
2011,DIC,3,17,57.35,8.81,29.26,1.87,66.59,2.91,266.29,26.61,16.69,624.58,,,
2011,DIC,3,18,49.13,8.85,32.47,1.88,73.58,2.21,283.09,25.75,18.71,624.84,,,
2011,DIC,3,19,27.3,10.19,48.38,2.3,123.11,1.7,300.79,23.74,22.84,625.3,,,
2011,DIC,3,20,12.96,10.53,49.29,2.64,119.77,1.72,260.25,22.26,26.39,625.82,,,
2011,DIC,3,21,9.77,11.04,42.25,2.83,124.22,1.12,296.63,20.34,31.04,626.48,,,
2011,DIC,3,22,9.99,11.97,39.39,3.17,128.34,1.28,274.66,19.61,33.21,626.9,,,
2011,DIC,3,23,9.45,13.22,40.37,3.65,151.62,1.19,245.95,18.42,37.1,627.18,,,
2011,DIC,4,0,8.7,14.05,40.04,3.22,141.47,1.35,259.39,17.36,39.53,627.19,,,
2011,DIC,4,1,8.82,11.15,38,2.6,103.48,1.17,264.91,16.16,42.58,627.02,,,
2011,DIC,4,2,9.28,10.84,35.62,2.48,100.92,0.89,301.75,14.68,46.7,626.88,,,
2011,DIC,4,3,9.33,12.82,36.95,2.03,94.51,0.82,35.7,13.47,48.98,626.73,,,
2011,DIC,4,4,9.35,12.19,35.01,2.06,81.36,0.57,36.32,13.08,50.76,626.51,,,
2011,DIC,4,5,10.85,11.77,32.23,2.11,91.45,0.63,116.21,12.28,51.61,626.54,,,
2011,DIC,4,6,8.64,12.99,32.73,1.9,88.91,0.62,89.91,11.42,51.77,626.5,,,
2011,DIC,4,7,10.38,10.16,28.87,1.88,84.06,1.03,99.19,10.45,54.32,626.72,,,
2011,DIC,4,8,12.51,13.21,31.24,2.03,82.22,1.03,86.62,10.64,54.45,627.15,,,
2011,DIC,4,9,17.15,14.04,32.05,2.06,95.05,1.6,97.59,12.64,49.37,627.42,,,
2011,DIC,4,10,17.91,43.72,48.22,2.27,153.57,1.44,116.86,15.63,44.04,627.63,,,
2011,DIC,4,11,39.04,31.16,36.66,2.01,117.96,1.53,135.76,18.58,41.27,627.16,,,
2011,DIC,4,12,59.74,8.84,25.93,1.86,81.26,1.27,129.62,21.53,33.76,626.54,,,
2011,DIC,4,13,72.76,6.43,23.44,1.88,NA,1.32,334.84,23.62,28.53,625.63,,,
2011,DIC,4,14,74.12,8.34,24.04,1.78,NA,1.51,259.78,25.41,23.34,624.51,,,
2011,DIC,4,15,59.64,7.94,NA,1.78,NA,2.22,246.05,26.9,15.26,623.54,,,
2011,DIC,4,16,61.26,7.46,NA,1.9,NA,2.69,269.37,26.86,15.84,623.1,,,
2011,DIC,4,17,48.39,6.96,NA,1.97,70.63,2.71,265.13,26.99,13.83,622.83,,,
2011,DIC,4,18,29.71,7.27,NA,2.31,102.36,2.43,260,25.52,16.51,623,,,
2011,DIC,4,19,12.95,9.48,41.75,3.12,138.65,1.69,258.13,23.48,19.44,623.47,,,
2011,DIC,4,20,12.25,8.88,33.16,3.01,143.01,1.7,239.39,21.45,20.41,624,,,
2011,DIC,4,21,11.94,8.9,31.53,3.37,173.63,1.6,234.56,19.86,23.81,624.76,,,
2011,DIC,4,22,11.58,9.7,29.64,2.73,135.8,1.64,296.66,18.24,26.69,625.26,,,
2011,DIC,4,23,12.07,10.38,29.72,2.74,137.17,1.46,301.78,17.53,28.25,625.35,,,
2011,DIC,5,0,11.3,11,30.6,2.8,131.9,1.4,309.9,16.5,29.9,625.3,,,
2011,DIC,5,1,11.3,12,30.9,2.5,100,0.5,306.3,14.6,33,625.2,,,
2011,DIC,5,2,11.6,13,31.5,2.7,95.2,0.2,199.4,14.9,34.9,625,,,
2011,DIC,5,3,11.7,14.7,29.2,2.7,103.3,0.5,222.2,14.4,39.9,624.8,,,
2011,DIC,5,4,11.1,14.6,26.9,2.6,94.9,0.5,270.8,12.3,42.9,624.7,,,
2011,DIC,5,5,11,16.5,28.8,2.4,90.3,0.5,316.2,11.1,44.3,624.7,,,
2011,DIC,5,6,11.2,16.1,29.8,2.3,90.6,0.3,41.8,10.7,45.6,624.9,,,
2011,DIC,5,7,13.4,22.6,30.7,2.6,100.6,1.5,102.6,10.2,53,625.3,,,
2011,DIC,5,8,13.2,22.9,31.2,3.8,146.2,0.8,117,10.5,52.1,625.8,,,
2011,DIC,5,9,12.9,24.4,33.7,3.4,161.4,1.8,97,12.9,46,626.2,,,
2011,DIC,5,10,26.6,17.9,26.5,2.6,110.8,1.9,95.9,15.9,43.2,626.3,,,
2011,DIC,5,11,36.3,17.2,26.3,2.5,113.8,1.2,132.8,18.9,39.8,626.1,,,
2011,DIC,5,12,45,13.2,22.7,2.5,88,0.5,222.7,21.2,34.1,625.6,,,
2011,DIC,5,13,49.1,11.5,20.2,2.3,64.3,0.4,266.3,22.8,27.3,624.9,,,
2011,DIC,5,14,47.7,10.2,20,2.4,53.4,0.7,238.2,24.5,22.1,624,,,
2011,DIC,5,15,44.7,11.1,18,2.3,48.2,1.2,271.9,25.5,16.9,623.4,,,
2011,DIC,5,16,41.3,11.7,22.8,2.5,55.9,1.8,259.9,26.2,14.9,623,,,
