DATOS MÓVILES 2018_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
SEP,4,13,14.38,20.21421053,33.1875,19.38875,10.16375,0.6525
SEP,4,14,10.05,20.09222222,33.14791667,18.99,11.61875,0.68375
SEP,4,15,10.51,19.835,32.96916667,19.05083333,13.09875,0.67125
SEP,4,16,12.29,19.835,33.35333333,18.88458333,14.49375,0.58
SEP,4,17,11.49,20.19222222,33.3275,18.02666667,16.105,0.54125
SEP,4,18,15.71,20.37722222,33.25791667,18.11583333,17.35875,0.52375
SEP,4,19,19.22,21.06388889,33.46208333,18.25375,17.79625,0.52
SEP,4,20,33.57,21.16166667,33.96208333,18.31416667,16.9175,0.60875
SEP,4,21,28.23,21.38166667,34.27875,18.37458333,16.0575,0.625
SEP,4,22,10.7,NA,34.27958333,18.37916667,15.45125,0.5825
SEP,4,23,17.53,NA,34.91375,21.0675,14.4325,0.51375
SEP,5,0,18.85,NA,35.97875,23.96625,13.2025,0.4875
SEP,5,1,13.18,NA,36.80708333,25.76166667,11.53125,0.46375
SEP,5,2,10.04,NA,36.78791667,26.57083333,9.895,0.4225
SEP,5,3,6.83,NA,36.53208333,26.46875,9.305,0.37875
SEP,5,4,8.38,NA,36.13916667,26.46,9.625,0.26875
SEP,5,5,14.65,NA,36.07666667,26.91416667,9.19875,0.22125
SEP,5,6,11.59,NA,35.81458333,26.94041667,8.5775,0.21875
SEP,5,7,17.91,NA,35.06083333,27.00666667,8.13625,0.2625
SEP,5,8,16.44,NA,33.52541667,27.85375,7.9875,0.30875
SEP,5,9,16.81,NA,32.78916667,29.31375,8.01375,0.34125
SEP,5,10,14.14,NA,33.12541667,29.83291667,8.18125,0.365
SEP,5,11,9.72,NA,32.68791667,29.87666667,8.28125,0.4025
SEP,5,12,8.6,NA,32.35125,30.18958333,8.76125,0.4775
SEP,5,13,10,NA,31.99583333,30.01791667,10.09375,0.505
SEP,5,14,10.32,NA,31.90916667,29.75291667,11.465,0.52
SEP,5,15,10.53,NA,32.16541667,29.40458333,13.17,0.4875
SEP,5,16,7.92,NA,31.83291667,28.985,15.02625,0.45625
SEP,5,17,8.31,NA,31.65458333,28.73375,16.60375,0.435
SEP,5,18,7.12,NA,31.255,28.37958333,18.01125,0.4175
SEP,5,19,7.2,NA,30.83791667,28.18333333,18.46125,0.3925
SEP,5,20,8.62,NA,29.30083333,28.08,18.2025,0.33
SEP,5,21,11.67,NA,27.5925,28.0125,17.24,0.31375
SEP,5,22,11.77,NA,27.62916667,28.42791667,15.875,0.29625
SEP,5,23,12.66,NA,26.82791667,28.25625,14.22,0.28125
SEP,6,0,14.78,NA,26.39708333,27.70708333,12.37,0.265
SEP,6,1,10.93,NA,25.91125,29.695,10.75875,0.2775
SEP,6,2,15.85,NA,26.29791667,30.49375,9.0475,0.27125
SEP,6,3,15.15,NA,26.93708333,33.22291667,7.84375,0.27
