DATOS MÓVILES 2018_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
AGO,4,16,1.91,6.540555556,32.09166667,9.562083333,NA,NA
AGO,4,17,1.7,6.837368421,32.0575,9.454166667,NA,NA
AGO,4,18,1.9,7.0495,32.0625,9.278333333,NA,NA
AGO,4,19,2.31,7.4715,32.235,9.172083333,NA,NA
AGO,4,20,2.57,7.4715,32.30541667,9.132083333,NA,NA
AGO,4,21,2.72,7.807894737,31.74125,9.109166667,NA,NA
AGO,4,22,2.83,7.386842105,31.76833333,9.088333333,NA,NA
AGO,4,23,2.52,7.128421053,31.49875,9.069166667,NA,NA
AGO,5,0,2.26,6.637894737,30.505,9.0525,NA,NA
AGO,5,1,2.28,6.614210526,30.17916667,9.048333333,NA,NA
AGO,5,2,2.05,6.386315789,30.13666667,9.059583333,NA,NA
AGO,5,3,2.27,6.621578947,29.94166667,9.070833333,NA,NA
AGO,5,4,2.25,6.5385,30.04458333,9.09375,NA,NA
AGO,5,5,3.67,6.592380952,30.24666667,9.105416667,NA,NA
AGO,5,6,6.12,6.592380952,30.1625,9.129166667,NA,NA
AGO,5,7,7.14,6.6075,29.61875,9.113333333,NA,NA
AGO,5,8,6.4,6.608,28.07958333,9.03625,NA,NA
AGO,5,9,5.27,6.9,26.30166667,8.935,NA,NA
AGO,5,10,4.59,7.224444444,24.25833333,8.884583333,NA,NA
AGO,5,11,2.13,7.515555556,23.5975,8.844166667,NA,NA
AGO,5,12,4.48,NA,23.08125,8.79375,NA,NA
AGO,5,13,4.64,NA,22.8025,8.76,NA,NA
AGO,5,14,1.82,NA,22.42125,8.709166667,NA,NA
AGO,5,15,1.99,NA,22.31708333,8.674583333,NA,NA
AGO,5,16,2.34,NA,22.2,8.664166667,NA,NA
AGO,5,17,3.08,NA,22.04541667,8.671666667,NA,NA
AGO,5,18,2.18,NA,22.22583333,8.703333333,NA,NA
AGO,5,19,2.99,NA,21.83416667,8.744166667,NA,NA
AGO,5,20,2.33,NA,21.42458333,8.762916667,NA,NA
AGO,5,21,3.21,NA,21.17958333,8.77375,NA,NA
AGO,5,22,3.56,NA,21.14166667,8.7925,NA,NA
AGO,5,23,2.43,NA,21.16916667,8.835833333,NA,NA
AGO,6,0,6.99,NA,21.34041667,11.22541667,NA,NA
AGO,6,1,6.59,NA,21.25458333,12.31708333,NA,NA
AGO,6,2,4.73,NA,20.88333333,12.83125,NA,NA
AGO,6,3,8.01,NA,20.75833333,14.54041667,NA,NA
AGO,6,4,8.39,NA,20.47291667,16.72875,NA,NA
AGO,6,5,6.05,NA,20.1675,17.76083333,NA,0.933333333
AGO,6,6,6.05,NA,19.64583333,18.1175,NA,0.841428571
AGO,6,7,8.51,NA,18.98,18.76666667,NA,0.83625
AGO,6,8,12.42,NA,17.94791667,19.99666667,NA,0.8925
AGO,6,9,9.82,NA,17.03666667,21.46166667,NA,1.025
AGO,6,10,10.09,NA,16.145,22.65291667,NA,1.08375
AGO,6,11,10.37,NA,15.63666667,24.49041667,NA,0.96875
AGO,6,12,10.26,NA,16.075,26.06708333,NA,0.79625
AGO,6,13,11.85,9.241666667,16.81666667,27.7325,NA,0.7475
AGO,6,14,10.42,10.27166667,17.50291667,29.06208333,NA,0.7725
AGO,6,15,7.44,10.96333333,18.27916667,30.23083333,NA,0.77875
AGO,6,16,7.26,11.41944444,18.63041667,31.45208333,NA,0.70375
AGO,6,17,7.88,11.71333333,19.15291667,32.95833333,NA,0.57875
AGO,6,18,10.51,12.49055556,19.69958333,33.54583333,NA,0.53375
AGO,6,19,14.55,12.51631579,21.77166667,33.75541667,NA,0.56375
AGO,6,20,11.65,12.415,21.71208333,33.91708333,NA,0.58875
AGO,6,21,9.31,12.57277778,21.42375,34.44291667,NA,0.60125
AGO,6,22,13.61,NA,20.78833333,35.8,NA,0.58875
AGO,6,23,15.15,NA,21.22416667,37.12166667,NA,0.53625
AGO,7,0,12.47,NA,20.985,35.11791667,NA,0.475
AGO,7,1,8.98,NA,20.69083333,34.25708333,NA,0.4125
AGO,7,2,NA,NA,20.55791667,33.92625,NA,0.38625
AGO,7,3,8.41,NA,20.37416667,32.38041667,NA,0.34125
AGO,7,4,11.17,NA,20.275,30.32916667,NA,0.30875
AGO,7,5,9.05,NA,20.165,29.50125,NA,0.29125
AGO,7,6,13.7,NA,20.7075,29.87291667,NA,0.29
AGO,7,7,14.51,NA,20.8225,29.72541667,NA,0.29375
AGO,7,8,14.34,NA,21.00791667,29.9625,NA,0.3325
AGO,7,9,13.83,NA,21.615,29.79458333,NA,0.39875
AGO,7,10,12.26,NA,22.29708333,29.90916667,NA,0.4375
AGO,7,11,9.46,NA,22.48833333,29.36875,NA,0.5
AGO,7,12,9.52,NA,22.20041667,28.52583333,NA,0.53375
AGO,7,13,10.33,NA,21.53541667,27.97291667,NA,0.55875
AGO,7,14,10.8,NA,20.98958333,27.8125,NA,0.57125
AGO,7,15,10.48,NA,20.41875,27.64916667,NA,0.565
AGO,7,16,8.99,NA,20.44458333,26.93208333,NA,0.52625
AGO,7,17,9.54,NA,20.14,25.61208333,NA,0.4675
AGO,7,18,11.91,NA,19.07583333,25.16583333,NA,0.45375
AGO,7,19,13.1,NA,16.94708333,25.07958333,NA,0.4125
AGO,7,20,16,NA,17.0425,25.03291667,NA,0.39875
AGO,7,21,18.64,NA,17.30041667,24.63166667,NA,0.41375
AGO,7,22,16.06,NA,18.15208333,23.40791667,NA,0.41625
AGO,7,23,14.7,NA,17.26416667,22.19875,NA,0.42
AGO,8,0,16.74,NA,17.11666667,21.96166667,NA,0.43125
AGO,8,1,17.25,NA,17.37791667,21.90708333,NA,0.42875
AGO,8,2,17.85,NA,17.98333333,21.87875,NA,0.41375
AGO,8,3,17.4,NA,18.4925,22.11166667,5.793333333,0.405
AGO,8,4,17.21,NA,19.38916667,23.97916667,5.668571429,0.39125
AGO,8,5,14.33,NA,20.53,24.58,5.71,0.355
AGO,8,6,13.25,NA,21.09291667,24.25666667,5.71,0.34375
AGO,8,7,11.91,17.155,21.91833333,23.93833333,5.38875,0.40125
AGO,8,8,12.82,17.88,22.92375,22.95666667,5.485,0.4425
AGO,8,9,13.23,18.39,23.61333333,22.93416667,5.65875,0.49
AGO,8,10,12.85,18.57333333,24.10041667,22.82958333,5.84625,0.54125
AGO,8,11,13.44,19.05105263,24.99333333,22.82625,6.3225,0.55
AGO,8,12,12.73,19.25833333,26.03583333,23.08916667,7.3275,0.605
AGO,8,13,13.53,19.77105263,26.59541667,22.8975,8.74125,0.685
AGO,8,14,15.5,20.88894737,27.30666667,22.64958333,10.23,0.72875
AGO,8,15,11.88,21.58157895,27.75958333,22.16833333,12.7675,0.69
AGO,8,16,11.1,21.785,28.13,22.00041667,15.34,0.655
AGO,8,17,7.05,22.15631579,28.17375,21.98625,17.70625,0.60625
AGO,8,18,9.46,22.0695,29.33333333,21.98916667,19.46,0.55875
AGO,8,19,15.43,22.502,29.87208333,22.0775,20.13375,0.575
AGO,8,20,17.77,23.0185,30.41333333,22.28583333,20.19125,0.54125
AGO,8,21,23.17,23.3665,31.17166667,22.47416667,19.12125,0.48875
AGO,8,22,22.39,24.149,32.22208333,22.59666667,17.8525,0.455
AGO,8,23,15.36,24.149,32.75541667,22.62416667,16.0975,0.4275
AGO,9,0,13.71,24.149,33.02625,22.63083333,14.11,0.4025
AGO,9,1,13.94,24.70578947,33.08958333,22.58541667,12.25625,0.39875
AGO,9,2,NA,24.50631579,32.85666667,22.54,11.315,0.38625
AGO,9,3,14.48,24.19421053,32.83958333,22.24416667,11.09375,0.3525
AGO,9,4,19.43,24.34842105,32.6125,20.33458333,10.3,0.33125
AGO,9,5,20.66,23.94526316,32.31833333,19.60125,9.88875,0.3075
AGO,9,6,21.76,23.87473684,32.25583333,19.25083333,9.5075,0.2975
AGO,9,7,22.73,24.18947368,32.97583333,19.07875,8.8075,0.3625
AGO,9,8,18.38,24.07,32.84083333,18.6,8.54375,0.41875
AGO,9,9,18.5,23.19789474,32.32083333,17.35791667,8.52,0.46625
AGO,9,10,18.59,22.85421053,32.57458333,16.63458333,8.05375,0.50875
AGO,9,11,15.85,23.44368421,32.44541667,16.5675,7.535,0.5275
AGO,9,12,11.39,24.16,32.50333333,16.41875,8.42125,0.54125
