DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
MARZO,1,0,0.031,0.002,0.009,0.72,25,15.2,1.91,122.77,43.1,2.74
MARZO,1,1,0.034,0.002,0.009,0.72,36,14.215,3.4029,109.58,47.056,2.8273
MARZO,1,2,0.023,0.003,0.015,0.72,37,13.249,3.1325,92.811,49.894,2.8133
MARZO,1,3,0.018,0.002,0.012,0.72,36,11.842,2.4062,71.143,54.315,2.9049
MARZO,1,4,0.020,0.002,0.009,0.68,55,11.647,3.1363,93.169,53.432,2.9146
MARZO,1,5,0.019,0.002,0.012,0.70,17,10.81,2.8107,98.95,56.75,3.0118
MARZO,1,6,0.008,0.003,0.020,0.81,22,10.092,2.7872,103.77,60.187,3.039
MARZO,1,7,0.004,0.003,0.021,0.89,37,9.0955,2.469,87.721,63.938,3.3304
MARZO,1,8,0.010,0.003,0.021,1.02,41,10.192,2.8106,84.105,61.087,75.65
MARZO,1,9,0.012,0.005,0.016,0.95,41,13.156,3.2344,83.446,52.377,300.09
MARZO,1,10,0.015,0.005,0.016,0.88,59,16.514,2.7503,100.29,42.44,528.13
MARZO,1,11,0.028,0.004,0.013,0.76,50,20.409,2.4321,118.19,29.614,718.91
MARZO,1,12,0.042,0.006,0.010,0.73,36,23.217,1.9695,155.58,27.272,859.12
MARZO,1,13,0.052,0.006,0.007,0.70,40,25.951,1.6803,223.25,22.969,944.01
MARZO,1,14,0.058,0.005,0.006,0.70,24,26.706,2.8059,224.51,16.016,825.18
MARZO,1,15,0.058,0.002,0.004,0.62,23,27.657,2.3019,172.52,14.382,852.73
MARZO,1,16,0.060,0.002,0.005,0.64,15,28.38,2.6413,140.88,13.577,711.25
MARZO,1,17,0.064,0.005,0.005,0.66,23,28.56,2.5509,218.81,13.534,505.17
MARZO,1,18,0.059,0.004,0.007,0.73,NA,27.144,3.3876,268.77,15.521,271.85
MARZO,1,19,0.050,0.004,0.014,0.93,19,24.788,2.6295,261.44,18.28,56.968
MARZO,1,20,0.023,0.004,0.037,1.63,62,22.063,1.4939,264.51,20.727,3.3958
MARZO,1,21,0.009,0.010,0.048,1.91,80,20.814,1.5847,112.6,23.399,6.874
MARZO,1,22,0.024,0.005,0.032,1.04,79,18.646,1.764,122.68,28.92,2.4659
MARZO,1,23,0.018,0.003,0.025,0.92,76,17.139,2.4645,84.154,31.348,7.1558
MARZO,2,0,0.016,0.003,0.021,0.83,63,15.209,2.7992,65.421,35.437,3.8463
MARZO,2,1,0.017,0.003,0.018,0.73,49,14.968,3.8104,63.192,32.076,2.7174
MARZO,2,2,0.027,0.004,0.020,0.71,30,14.193,2.4428,111.06,31.187,3.9402
MARZO,2,3,0.018,0.004,0.021,0.71,34,12.722,2.4245,118.33,34.86,7.4628
MARZO,2,4,0.020,0.004,0.023,0.77,41,12.528,2.4872,111.5,36.66,11.564
MARZO,2,5,0.012,0.005,0.027,0.78,53,11.339,1.9413,86.288,41.918,10.989
MARZO,2,6,0.013,0.005,0.027,0.83,44,10.245,2.2735,115.55,49.602,2.959
MARZO,2,7,0.034,0.006,0.026,1.18,87,9.6937,2.0459,105.26,54.136,9.5747
MARZO,2,8,0.019,0.005,0.027,1.12,88,10.691,2.3727,112.11,52.701,73.328
MARZO,2,9,0.010,0.005,0.022,0.98,81,14.624,3.0538,104.99,44.151,293.63
MARZO,2,10,0.015,0.005,0.020,0.93,66,17.971,2.7446,106.9,37.739,517.66
MARZO,2,11,0.029,0.004,0.014,0.81,53,22.416,1.6314,197.68,33.941,708.5
MARZO,2,12,0.044,0.004,0.008,0.74,53,24.237,2.4007,254.22,33.149,854.75
MARZO,2,13,0.055,0.003,0.006,0.75,32,25.394,2.5563,252.45,30.061,931.71
MARZO,2,14,0.059,0.003,0.007,0.79,26,26.789,2.7389,256.24,23.823,809.07
MARZO,2,15,0.063,0.003,0.006,0.70,25,27.656,2.69,227.99,21.123,853
MARZO,2,16,0.065,0.007,0.006,0.73,30,28.682,2.5421,239.45,18.191,707.97
MARZO,2,17,0.070,0.018,0.007,0.84,39,28.895,2.2991,232.26,16.181,503.78
MARZO,2,18,0.058,0.005,0.005,0.65,28,28.3,2.0273,164.92,14.36,272.19
MARZO,2,19,0.050,0.004,0.011,0.89,29,26.143,1.6452,184.03,15.435,55.103
MARZO,2,20,0.027,0.008,0.036,1.67,67,22.813,1.737,248.66,21.876,2.2112
MARZO,2,21,0.010,0.008,0.055,2.81,108,20.893,1.2216,212.69,23.118,12.575
MARZO,2,22,0.021,0.049,0.027,1.08,95,20.854,3.3024,79.329,26.811,5.2005
MARZO,2,23,0.016,0.004,0.018,0.85,68,18.124,3.0838,120.74,32.827,2.4871
MARZO,3,0,0.016,0.003,0.016,0.80,54,17.372,3.2254,110.23,34.716,6.8538
MARZO,3,1,0.015,0.003,0.016,0.76,47,16.034,2.8983,117.01,37.444,2.6596
MARZO,3,2,0.017,0.003,0.013,0.71,40,14.883,2.7659,122.99,39.252,16.74
MARZO,3,3,0.015,0.004,0.014,0.74,34,13.794,2.5501,124.55,42.342,3.5292
MARZO,3,4,0.012,0.004,0.017,0.77,45,12.988,2.5339,132.51,45.051,3.7048
MARZO,3,5,0.004,0.004,0.024,0.83,48,12.115,2.3226,119.29,50.462,2.8397
MARZO,3,6,0.001,0.003,0.026,0.78,44,11.107,2.3513,111.65,55.001,2.9499
MARZO,3,7,0.002,0.003,0.025,0.92,43,10.629,2.7207,104.04,56.651,3.3081
MARZO,3,8,0.004,0.004,0.024,1.02,61,11.623,1.8592,111.13,54.615,70.586
MARZO,3,9,0.012,0.005,0.020,1.06,65,15.496,2.8637,96.195,45.495,288.87
MARZO,3,10,0.019,0.005,0.020,0.97,88,18.389,2.6485,108.91,39.92,514.9
MARZO,3,11,0.037,0.004,0.014,0.83,66,22.818,1.505,177.02,31.686,706.42
MARZO,3,12,0.052,0.004,0.013,0.86,72,24.682,2.0142,171.88,27.278,849.36
MARZO,3,13,0.072,0.013,0.011,0.88,60,26.531,2.0808,234.92,24.385,923.82
MARZO,3,14,0.080,0.021,0.009,0.79,59,27.485,2.6121,158.16,20.982,811.25
MARZO,3,15,0.075,0.013,0.007,0.73,47,29.07,1.8717,183.22,18.048,864.89
MARZO,3,16,0.069,0.004,0.006,0.70,41,29.655,2.5331,148.3,16.468,722.54
MARZO,3,17,0.055,0.002,0.005,0.63,29,30.401,2.3048,156.56,11.903,527.75
MARZO,3,18,0.052,0.003,0.004,0.65,23,29.359,2.4036,206.17,11.128,279.55
MARZO,3,19,0.042,0.003,0.013,0.89,37,26.761,1.8513,219.98,11.574,55.658
MARZO,3,20,0.024,0.017,0.029,1.36,90,24.007,2.5222,167.58,15.263,27.805
MARZO,3,21,0.028,0.004,0.014,0.85,74,22.483,3.6772,108.25,27.945,12.809
MARZO,3,22,0.029,0.004,0.009,0.77,55,20.935,3.7017,114.99,36.826,2.3506
MARZO,3,23,0.029,0.003,0.008,0.77,40,19.545,3.2549,115.86,40.188,10.218
MARZO,4,0,0.022,0.003,0.013,0.77,38,18.299,2.9768,112.13,36.365,8.8982
MARZO,4,1,0.021,0.003,0.014,0.72,51,16.502,2.1516,92.098,39.024,2.5936
MARZO,4,2,0.021,0.003,0.015,0.72,33,15.625,2.0651,90.017,41.733,4.1566
MARZO,4,3,0.015,0.004,0.016,0.75,31,14.8,2.1838,134.56,46.434,17.57
MARZO,4,4,0.006,0.004,0.023,0.79,39,13.491,2.218,121.9,52.183,4.4393
MARZO,4,5,0.001,0.004,0.026,0.78,42,12.071,2.4227,124.5,58.697,9.1615
MARZO,4,6,0.002,0.003,0.025,0.79,40,11.334,2.3689,113.71,60.693,3.0348
MARZO,4,7,0.008,0.003,0.018,0.78,29,10.721,2.6482,123.52,60.41,9.5787
MARZO,4,8,0.004,0.003,0.023,0.96,51,11.026,2.8349,106.5,63.696,65.808
MARZO,4,9,0.011,0.004,0.020,0.98,66,14.434,3.3911,97.698,56.378,273.6
MARZO,4,10,0.020,0.003,0.015,0.87,59,17.492,3.2512,118.21,49.235,494.19
MARZO,4,11,0.034,0.003,0.012,0.82,51,21.04,2.4432,136.09,40.742,684.26
MARZO,4,12,0.047,0.004,0.011,0.84,48,24.27,1.7708,178.39,34.276,832.56
MARZO,4,13,0.060,0.003,0.008,0.85,47,25.948,2.1431,188.03,29.813,910.93
MARZO,4,14,0.065,0.003,0.007,0.82,45,26.992,2.5424,224.07,25.893,822.69
MARZO,4,15,0.067,0.003,0.006,0.75,35,27.923,2.5195,243.37,23.436,852.19
MARZO,4,16,0.066,0.003,0.005,0.75,32,28.84,2.4171,217.24,19.502,729.15
MARZO,4,17,0.068,0.005,0.005,0.72,37,29.144,2.1323,214.42,16.35,498.13
MARZO,4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARZO,4,19,0.027,0.011,NA,1.66,1,23.754,1.804,217.98,22.215,6.9769
MARZO,4,20,0.039,0.003,0.016,1.03,72,22.306,3.0558,210.04,28.741,2.2516
MARZO,4,21,0.037,0.002,0.011,0.90,76,20.219,3.0387,204.01,38.091,4.0339
MARZO,4,22,0.031,0.003,0.016,0.97,54,19.666,1.6619,171.46,37.603,2.4083
MARZO,4,23,0.026,0.003,0.023,1.05,74,18.849,1.5561,82.23,40.239,2.4601
MARZO,5,0,0.039,0.003,0.020,0.92,61,17.684,1.351,112.96,45.858,2.5168
MARZO,5,1,0.036,0.003,0.020,0.85,65,17.68,1.6456,117.32,46.62,3.0912
MARZO,5,2,0.005,0.004,0.029,0.96,58,16.041,1.19,259.76,48.053,2.6378
MARZO,5,3,0.002,0.004,0.030,1.04,56,15.362,1.0258,237.32,49.523,2.748
MARZO,5,4,0.004,0.004,0.026,0.94,59,14.713,1.8895,269.62,53.554,3.2779
MARZO,5,5,0.014,0.003,0.015,0.80,48,13.78,1.5806,250.42,56.768,2.7916
MARZO,5,6,0.019,0.003,0.012,0.77,34,13.38,1.3838,275.03,58.114,2.8409
MARZO,5,7,0.013,0.003,0.016,0.89,36,12.942,2.2003,293.21,62.421,3.2252
MARZO,5,8,0.012,0.003,0.018,0.98,42,13.925,1.716,269.07,64.066,69.691
MARZO,5,9,0.019,0.003,0.016,1.01,47,18.568,1.6534,248.54,54.494,283.05
MARZO,5,10,0.032,0.003,0.012,0.89,53,20.807,2.682,275.58,47.274,509.95
MARZO,5,11,0.044,0.003,0.007,0.82,43,22.892,2.976,272.92,40.71,714.39
MARZO,5,12,0.046,0.003,0.005,0.76,36,24.223,3.2224,264.69,34.641,861.66
MARZO,5,13,0.049,0.003,0.005,0.74,27,25.429,3.2938,252.3,28.942,941.87
MARZO,5,14,0.045,0.002,0.005,0.74,22,26.493,3.6413,272.15,22.991,892.53
MARZO,5,15,0.047,0.002,0.004,0.70,21,27.083,3.7634,257.34,20.329,864.11
MARZO,5,16,0.046,0.002,0.005,0.71,19,27.665,3.7502,265.89,18.697,715.69
MARZO,5,17,0.049,0.002,0.005,0.74,38,27.543,4.2883,276.52,19.068,509.22
MARZO,5,18,0.048,0.002,0.005,0.72,26,26.924,3.5823,262.01,18.439,270.29
MARZO,5,19,0.042,0.002,0.010,0.84,25,24.879,2.9133,265.59,22.233,54.934
MARZO,5,20,0.024,0.002,0.024,1.23,54,22.532,2.1881,251.92,27.001,2.3551
MARZO,5,21,0.026,0.002,0.019,1.10,76,22.357,2.8881,223.83,26.682,2.2894
MARZO,5,22,0.025,0.002,0.011,0.88,58,20.686,2.8344,247.23,26.254,2.9277
MARZO,5,23,0.020,0.002,0.012,0.86,45,18.52,2.5784,248.15,30.37,3.08
MARZO,6,0,0.021,0.002,0.011,0.84,36,16.987,1.7295,246.41,33.862,2.6356
MARZO,6,1,0.018,0.003,0.013,0.86,29,15.811,0.9829,157.51,37.061,2.6973
MARZO,6,2,0.022,0.003,0.018,0.95,48,15.329,1.2346,204.19,39.667,2.7465
MARZO,6,3,0.018,0.002,0.016,0.92,40,14.669,1.2522,165.26,41.676,2.7776
MARZO,6,4,0.021,0.002,0.008,0.76,45,13.9,1.2005,222.02,45.209,2.8333
MARZO,6,5,0.018,0.002,0.011,0.76,32,13.555,1.1591,285.97,47.633,2.8054
MARZO,6,6,0.016,0.002,0.012,0.82,32,13.178,1.632,250.21,49.962,2.7989
MARZO,6,7,0.015,0.002,0.013,0.84,40,12.331,1.725,271.2,53.649,3.3355
MARZO,6,8,0.015,0.002,0.014,0.91,38,13.308,1.8614,263.75,55.309,77.596
MARZO,6,9,0.022,0.002,0.013,0.90,47,17.626,2.1462,265.61,46.815,301.37
MARZO,6,10,0.037,0.003,0.011,0.93,52,20.887,2.1479,275.24,36.946,531.33
MARZO,6,11,0.045,0.003,0.006,0.79,41,23.129,2.9219,265.19,32.712,730.03
MARZO,6,12,0.047,0.003,0.005,0.76,30,24.012,3.3819,267.03,32.028,873.93
MARZO,6,13,0.044,0.003,0.004,0.72,23,25.053,3.7875,274.37,27.251,953.71
MARZO,6,14,0.040,0.002,0.003,0.67,7,26.291,3.3356,264.33,20.028,897.45
MARZO,6,15,0.043,0.002,0.003,0.70,15,27.392,3.0114,247.16,18.321,873.06
MARZO,6,16,0.043,0.002,0.004,0.69,12,27.818,3.5483,269.7,17.705,724.98
MARZO,6,17,0.045,0.002,0.004,0.73,16,27.979,2.9761,274.71,17.912,513.45
MARZO,6,18,0.045,0.002,0.005,0.75,21,27.299,3.2441,285.38,18.203,277.06
MARZO,6,19,0.039,0.002,0.010,0.81,27,25.118,2.87,304.47,19.463,60.61
MARZO,6,20,0.016,0.002,0.030,1.40,42,22.736,1.5035,309.84,22.343,3.5053
MARZO,6,21,0.004,0.002,0.041,2.61,120,21.188,1.3239,259.01,24.857,2.3481
MARZO,6,22,0.010,0.002,0.027,1.43,115,19.806,2.0467,245.52,29.338,3.0351
MARZO,6,23,0.016,0.002,0.018,1.09,68,18.482,2.2475,282.3,30.859,3.6409
MARZO,7,0,0.016,0.002,0.016,0.94,53,17.529,2.3441,273.39,32.381,2.5214
MARZO,7,1,0.020,0.002,0.008,0.78,28,16.683,2.2774,246.54,32.211,3.1547
MARZO,7,2,0.017,0.002,0.009,1.03,21,15.233,1.2516,232.33,32.792,2.7112
MARZO,7,3,0.016,0.002,0.010,0.79,26,14.551,1.3189,211.23,35.542,3.2652
MARZO,7,4,0.012,0.002,0.013,0.74,24,13.61,1.1388,257.23,37.296,2.7957
MARZO,7,5,0.012,0.002,0.013,0.69,27,13.131,1.6194,250.76,43.241,2.8588
MARZO,7,6,0.011,0.002,0.016,0.76,31,12.721,1.3464,276.39,45.662,2.8087
MARZO,7,7,0.003,0.002,0.023,0.95,35,12.117,1.4108,258.65,48.253,3.4032
MARZO,7,8,0.003,0.003,0.025,1.37,48,13.652,1.0036,261.03,49.485,79.16
MARZO,7,9,0.005,0.003,0.031,1.72,68,19.179,1.2166,267.85,41.295,296.65
