DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
ENERO,1,0,0.005,0.013,0.026,2.272,160,13.44,1.07,237.72,49.4,2.76
ENERO,1,1,0.006,0.018,0.027,2.283,258,12.66,1.5,297.39,53.74,2.84
ENERO,1,2,NA,0.019,0.031,2.544,311,12,1.52,321.89,54.18,2.86
ENERO,1,3,NA,0.019,0.028,2.851,349,10.78,1.04,260.28,55.27,3.04
ENERO,1,4,0.011,0.016,0.03,3.156,415,10.16,1.2,247.95,58.5,3.04
ENERO,1,5,0.009,0.011,0.027,2.565,306,9.48,1.33,217.72,62.74,3.01
ENERO,1,6,0.008,0.009,0.023,2.108,158,9.16,1.79,277.82,65.9,3.03
ENERO,1,7,0.007,0.008,0.022,1.948,101,8.09,1.13,235.68,66.15,3.1
ENERO,1,8,0.007,0.007,0.02,1.9,129,7.75,1.23,164.68,70.47,25.83
ENERO,1,9,0.01,0.008,0.018,1.856,131,12.47,1.23,193.96,63.49,191.18
ENERO,1,10,0.02,0.007,0.012,1.429,89,16.95,1.77,256.66,52.42,391.11
ENERO,1,11,0.032,0.007,0.007,1.2,56,19.34,2,255.82,46.23,558.18
ENERO,1,12,0.038,0.007,0.005,1.115,31,21.57,2.09,252.21,40.78,677.94
ENERO,1,13,0.037,0.006,0.005,1.079,24,23.27,2.48,250.49,32.61,739.57
ENERO,1,14,0.036,0.005,0.004,1.05,10,24.23,3.12,260.14,25.06,526.32
ENERO,1,15,0.041,0.005,0.005,1.091,14,24.88,3.1,274.66,24.95,642.18
ENERO,1,16,0.037,0.005,0.005,1.063,13,25.26,3.55,267.87,24.11,506.03
ENERO,1,17,0.036,0.005,0.006,1.129,15,25.21,3.47,275.43,23.1,327.84
ENERO,1,18,0.035,0.005,0.006,1.145,20,23.91,2.9,260.72,24.41,126.78
ENERO,1,19,0.021,0.006,0.022,1.769,40,20.83,1.82,252.74,29.36,6.64
ENERO,1,20,0.008,0.008,0.031,2.134,111,18.63,1.46,239.24,32.51,2.53
ENERO,1,21,0.012,0.008,0.022,1.639,116,17.78,2.13,247.41,35.69,2.53
ENERO,1,22,0.007,0.007,0.026,1.945,97,16.3,1.41,301.91,38.08,2.7
ENERO,1,23,0.029,0.007,0.026,2.442,113,14.54,0.97,119.5,40.79,2.74
ENERO,2,0,0.035,0.008,0.024,2.777,157,13.52,1.06,213.69,42.83,2.82
ENERO,2,1,0.011,0.007,0.022,2.055,151,12.06,1.09,107.68,51.86,2.86
ENERO,2,2,0.009,0.006,0.022,2.087,102,11.38,1.33,255.31,51.55,2.92
ENERO,2,3,0.009,0.006,0.021,1.655,73,11.12,1.21,205.45,57.09,2.92
ENERO,2,4,0.008,0.006,0.018,1.681,72,9.96,1.14,189.19,58.53,3.05
ENERO,2,5,NA,0.006,0.017,1.511,71,8.72,1.83,101.78,65.63,3.06
ENERO,2,6,0.005,0.007,0.019,1.47,70,7.74,1.24,86.2,70.42,3.08
ENERO,2,7,0.006,0.006,0.019,1.589,107,7.7,1.32,108.49,72.78,3.07
ENERO,2,8,0.006,0.006,0.017,1.549,81,7.46,1.48,115.97,73.73,28.37
ENERO,2,9,0.009,0.011,0.016,1.455,64,11.51,1.94,118.66,62.18,204.47
ENERO,2,10,0.02,0.01,0.014,1.354,53,16.2,1.97,109.54,47.39,399.98
ENERO,2,11,0.035,0.034,0.012,1.655,42,19.9,2,113.83,38.14,560.93
ENERO,2,12,0.043,0.039,0.01,1.606,40,22.6,1.58,128.95,32.78,683.36
ENERO,2,13,0.049,0.03,0.011,1.356,39,24.36,2,221.76,29.38,723.53
ENERO,2,14,0.055,0.029,0.009,1.303,39,25.65,2.02,183.15,25.33,516.45
ENERO,2,15,0.048,0.01,0.006,1.102,20,26.54,2.43,117.76,18.87,648.79
ENERO,2,16,0.046,0.015,0.007,1.242,13,27.66,2.48,189.22,14.96,515.75
ENERO,2,17,0.042,0.006,0.009,1.181,13,27.22,3.19,235.92,12.94,337.27
ENERO,2,18,0.045,0.006,0.008,1.179,36,25.86,1.79,168.97,14.24,129.02
ENERO,2,19,0.03,0.006,0.02,1.626,66,22.07,2.4,139.1,19.45,7.27
ENERO,2,20,0.028,0.02,0.011,1.302,74,19.83,4.07,55.72,32.13,2.39
ENERO,2,21,0.028,0.007,0.009,1.227,61,17.28,5.05,84.37,42.43,2.62
ENERO,2,22,0.03,0.007,0.007,1.176,112,15.28,6.84,89.78,53.32,2.66
