DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
FEBRERO,1,0,0.0249,0.0025,0.0076,1.22,54,14.24,2.56,232.59,30.31,12.50
FEBRERO,1,1,0.0225,0.0026,0.0076,1.18,28,13.12,1.90,216.48,31.83,17.65
FEBRERO,1,2,0.0221,0.0027,0.0073,1.17,26,12.26,2.01,198.13,35.37,29.36
FEBRERO,1,3,0.0190,0.0031,0.0102,1.21,26,11.66,2.17,247.98,36.72,14.85
FEBRERO,1,4,0.0157,0.0028,0.0103,1.21,28,10.75,1.24,197.58,37.65,20.72
FEBRERO,1,5,0.0057,0.0030,0.0190,1.25,40,9.59,1.27,209.24,41.75,8.16
FEBRERO,1,6,0.0042,0.0032,0.0204,1.40,44,8.83,1.16,227.26,44.77,21.45
FEBRERO,1,7,0.0047,0.0033,0.0251,1.92,50,8.97,1.75,296.54,45.82,6.99
FEBRERO,1,8,0.0052,0.0039,0.0253,1.87,44,10.67,2.76,270.14,43.36,38.32
FEBRERO,1,9,0.0093,0.0060,0.0257,1.75,67,12.88,1.73,97.46,38.06,230.80
FEBRERO,1,10,0.0176,0.0090,0.0309,1.73,100,17.29,1.38,170.06,31.27,444.69
FEBRERO,1,11,0.0352,0.0044,0.0175,1.41,56,19.50,2.51,259.16,26.15,629.06
FEBRERO,1,12,0.0441,0.0031,0.0076,1.25,36,21.38,3.74,270.82,23.79,762.90
FEBRERO,1,13,0.0465,0.0028,0.0050,1.17,21,22.71,4.38,254.33,19.09,830.07
FEBRERO,1,14,0.0460,0.0027,0.0048,1.18,19,23.76,4.51,254.29,17.92,598.85
FEBRERO,1,15,0.0464,0.0025,0.0054,1.22,20,24.81,4.13,266.57,17.15,747.48
FEBRERO,1,16,0.0438,0.0025,0.0044,1.18,18,25.22,4.14,258.90,17.58,611.96
FEBRERO,1,17,0.0434,0.0024,0.0062,1.22,18,25.22,4.35,266.61,17.16,425.17
FEBRERO,1,18,0.0441,0.0026,0.0065,1.22,24,24.21,4.13,257.63,18.70,206.56
FEBRERO,1,19,0.0400,0.0026,0.0122,1.36,40,21.62,2.88,222.49,24.83,25.82
FEBRERO,1,20,0.0278,0.0028,0.0207,1.59,48,19.22,2.52,246.16,28.68,19.10
FEBRERO,1,21,0.0225,0.0028,0.0244,1.68,61,17.32,2.77,270.67,32.60,29.52
FEBRERO,1,22,0.0226,0.0027,0.0236,1.64,69,16.14,2.05,249.13,34.27,25.62
FEBRERO,1,23,0.0233,0.0026,0.0199,1.63,63,14.76,1.40,218.58,35.88,15.91
FEBRERO,2,0,0.0205,0.0028,0.0135,1.37,46,14.28,1.67,255.14,39.61,9.59
FEBRERO,2,1,0.0187,0.0029,0.0144,1.33,37,13.30,1.82,272.20,45.82,21.87
FEBRERO,2,2,0.0179,0.0030,0.0179,1.36,39,12.40,1.30,260.99,49.36,15.09
FEBRERO,2,3,0.0090,0.0044,0.0255,1.38,43,11.61,1.48,295.99,52.28,34.61
FEBRERO,2,4,0.0057,0.0042,0.0259,1.38,47,10.56,1.02,240.14,54.43,18.48
FEBRERO,2,5,0.0059,0.0038,0.0238,1.31,40,10.50,1.29,240.87,56.07,2.94
FEBRERO,2,6,0.0042,0.0037,0.0246,1.40,45,9.85,1.01,240.61,57.55,22.49
FEBRERO,2,7,0.0033,0.0040,0.0259,1.71,52,9.49,1.02,238.76,58.88,16.83
FEBRERO,2,8,0.0049,0.0046,0.0257,2.30,89,9.05,0.99,141.35,59.59,30.03
FEBRERO,2,9,0.0080,0.0050,0.0270,2.01,96,12.97,1.14,143.50,55.98,214.63
FEBRERO,2,10,0.0175,0.0047,0.0278,1.75,93,18.25,1.21,186.87,43.15,423.15
FEBRERO,2,11,0.0323,0.0040,0.0127,1.37,68,20.68,1.72,235.80,38.97,609.20
FEBRERO,2,12,0.0401,0.0033,0.0046,1.20,30,21.89,2.84,252.24,30.07,749.43
FEBRERO,2,13,0.0441,0.0029,0.0049,1.23,19,23.19,3.22,261.18,26.53,815.62
FEBRERO,2,14,0.0445,0.0026,0.0060,1.25,17,24.03,3.88,275.32,20.67,573.63
FEBRERO,2,15,0.0445,0.0024,0.0048,1.20,15,25.16,3.32,251.83,18.18,748.79
FEBRERO,2,16,0.0403,0.0024,0.0041,1.18,20,25.49,3.85,235.69,18.80,611.41
FEBRERO,2,17,0.0377,0.0023,0.0056,1.24,26,25.40,4.22,262.45,18.84,427.41
FEBRERO,2,18,0.0317,0.0024,0.0056,1.23,27,24.23,4.57,254.40,19.98,218.27
FEBRERO,2,19,0.0216,0.0023,0.0109,1.35,26,21.67,3.50,261.67,23.62,29.73
FEBRERO,2,20,0.0096,0.0024,0.0229,1.69,42,18.94,1.89,225.60,28.36,9.91
FEBRERO,2,21,0.0123,0.0028,0.0221,1.60,60,18.16,2.21,213.96,30.47,14.90
FEBRERO,2,22,0.0212,0.0034,0.0129,1.38,60,17.62,2.82,218.43,36.32,11.05
FEBRERO,2,23,0.0236,0.0028,0.0065,1.28,45,16.92,2.80,216.75,41.62,9.51
FEBRERO,3,0,0.0102,0.0032,0.0178,1.50,40,14.93,0.98,138.09,44.32,7.87
FEBRERO,3,1,0.0109,0.0030,0.0165,1.39,51,14.24,2.17,308.68,49.36,14.88
FEBRERO,3,2,0.0085,0.0033,0.0202,1.34,36,13.68,2.34,285.83,51.74,16.70
FEBRERO,3,3,0.0095,0.0035,0.0178,1.31,30,12.68,1.68,265.02,54.78,36.87
FEBRERO,3,4,0.0087,0.0039,0.0176,1.29,37,11.96,1.75,266.79,57.20,6.93
FEBRERO,3,5,0.0189,0.0034,0.0094,1.23,34,11.51,1.75,240.58,59.24,7.53
FEBRERO,3,6,0.0066,0.0034,0.0200,1.35,29,10.39,2.08,271.58,62.36,2.97
FEBRERO,3,7,0.0038,0.0035,0.0214,1.51,33,9.38,1.40,247.28,65.32,14.49
FEBRERO,3,8,0.0074,0.0037,0.0239,2.21,66,10.15,1.05,258.55,65.27,30.95
FEBRERO,3,9,0.0118,0.0034,0.0241,1.88,61,15.87,1.20,240.59,54.75,217.44
FEBRERO,3,10,0.0202,0.0034,0.0202,1.64,64,18.36,1.94,250.33,45.78,425.25
FEBRERO,3,11,0.0380,0.0033,0.0070,1.27,40,20.64,1.98,258.63,38.45,609.56
FEBRERO,3,12,0.0428,0.0032,0.0049,1.24,21,22.16,2.08,196.88,33.90,740.28
FEBRERO,3,13,0.0409,0.0029,0.0043,1.21,19,23.24,2.81,227.43,27.18,811.78
