DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
OCTUBRE,1,0,NA,0.029,0.004,0.63,14,13.48,3.77,89.46,NA,2.80
OCTUBRE,1,1,NA,0.028,0.003,0.62,12,12.68,3.51,94.32,NA,2.77
OCTUBRE,1,2,NA,0.028,0.002,0.61,10,12.05,3.39,96.44,NA,3.01
OCTUBRE,1,3,NA,0.028,0.003,0.63,13,11.44,3.61,88.43,NA,2.96
OCTUBRE,1,4,NA,0.028,0.002,0.61,13,11.11,4.01,76.44,NA,2.90
OCTUBRE,1,5,NA,0.022,0.003,0.61,15,10.26,2.58,106.83,NA,2.95
OCTUBRE,1,6,NA,0.012,0.008,0.70,20,9.35,2.45,93.56,NA,3.03
OCTUBRE,1,7,NA,0.005,0.011,0.91,35,9.19,1.65,92.08,NA,12.14
OCTUBRE,1,8,NA,0.011,0.008,0.85,41,11.65,3.49,103.80,NA,168.77
OCTUBRE,1,9,NA,0.021,0.006,0.82,40,14.72,3.56,98.17,NA,399.75
OCTUBRE,1,10,NA,0.030,0.004,0.76,27,17.69,4.04,94.80,NA,617.97
OCTUBRE,1,11,NA,0.036,0.003,0.71,29,19.96,3.94,92.06,NA,797.02
OCTUBRE,1,12,NA,0.040,0.003,0.69,22,21.86,3.74,96.55,NA,915.75
OCTUBRE,1,13,NA,0.042,0.003,0.69,18,23.76,3.33,99.58,NA,949.94
OCTUBRE,1,14,NA,0.045,0.003,0.69,15,25.00,3.42,94.24,NA,939.12
OCTUBRE,1,15,NA,0.049,0.003,0.68,11,26.33,2.99,96.56,NA,838.12
OCTUBRE,1,16,NA,0.049,0.003,0.66,15,27.03,3.53,101.62,NA,670.78
OCTUBRE,1,17,NA,0.050,0.003,0.65,21,27.33,3.11,97.17,NA,449.61
OCTUBRE,1,18,NA,0.047,0.005,0.75,14,26.63,3.05,91.67,NA,207.92
OCTUBRE,1,19,NA,0.031,0.005,0.93,29,23.27,5.46,48.47,NA,16.50
OCTUBRE,1,20,NA,0.029,0.006,1.43,32,20.23,5.67,45.88,NA,2.52
OCTUBRE,1,21,NA,0.028,0.004,0.74,26,18.31,5.53,52.16,NA,2.55
OCTUBRE,1,22,NA,0.030,0.005,0.73,31,16.87,4.06,63.42,NA,2.62
OCTUBRE,1,23,NA,0.028,0.005,0.72,24,15.11,4.08,98.83,NA,2.71
OCTUBRE,2,0,NA,0.038,0.003,0.64,16,13.97,4.08,92.50,NA,2.74
OCTUBRE,2,1,NA,0.036,0.002,0.64,16,13.26,3.53,96.51,NA,2.88
OCTUBRE,2,2,NA,0.035,0.003,0.63,19,12.84,3.42,92.17,NA,2.86
OCTUBRE,2,3,NA,0.038,0.002,0.62,13,12.33,3.33,90.87,NA,2.89
OCTUBRE,2,4,NA,0.033,0.004,0.62,14,11.65,3.26,98.67,NA,2.99
OCTUBRE,2,5,NA,0.035,0.002,0.62,13,11.03,3.44,96.05,NA,2.88
OCTUBRE,2,6,NA,0.031,0.004,0.68,19,10.45,2.85,90.39,NA,2.88
OCTUBRE,2,7,NA,0.030,0.005,0.72,22,10.01,3.42,84.24,NA,10.24
OCTUBRE,2,8,NA,0.028,0.005,0.76,24,11.24,3.86,99.80,NA,106.10
OCTUBRE,2,9,NA,0.031,0.005,0.79,21,14.46,4.27,92.30,NA,313.69
OCTUBRE,2,10,NA,0.039,0.004,0.72,25,17.47,4.79,92.26,NA,555.32
OCTUBRE,2,11,NA,0.042,0.004,0.74,23,20.24,4.79,89.72,NA,772.21
OCTUBRE,2,12,NA,0.044,0.004,0.75,20,22.41,3.57,84.70,NA,891.37
OCTUBRE,2,13,NA,0.052,0.003,0.71,16,24.41,2.84,102.98,NA,915.93
OCTUBRE,2,14,NA,0.059,0.003,0.72,18,26.08,2.60,114.13,NA,906.94
OCTUBRE,2,15,NA,0.063,0.003,0.72,21,27.17,2.23,141.25,NA,809.73
OCTUBRE,2,16,NA,0.065,0.003,0.72,29,27.35,2.81,101.94,NA,636.95
OCTUBRE,2,17,NA,0.065,0.004,0.73,22,27.35,2.96,102.39,NA,421.76
OCTUBRE,2,18,NA,0.057,0.005,0.78,27,26.11,3.04,100.91,NA,172.35
OCTUBRE,2,19,NA,0.046,0.006,0.85,45,23.98,2.85,108.72,NA,10.77
OCTUBRE,2,20,NA,0.035,0.004,0.80,47,21.35,4.61,52.23,NA,2.29
