DATOS HORARIOS 2021_DIF,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
ENE,4,7,0.0015,0.0222,0.0207,105,37,8,1.4,98.7849,38,624.9,0.009
ENE,4,8,0.0018,0.0243,0.0218,118,37,7.5,1.7,92.113417,39,625.4,0.056
ENE,4,9,0.0041,0.0275,0.0209,134,54,9.8,2,98.798083,37,626,0.405
ENE,4,10,0.0112,0.0295,0.0175,104,54,12.7,2.5,119.201217,35,626.4,1.054
ENE,4,11,0.0214,0.0308,0.0137,61,41,16.2,2,118.874133,30,626.3,1.871
ENE,4,12,0.0331,0.0242,0.0096,43,44,19.2,1.6,150.695483,29,625.9,2.653
ENE,4,13,0.0399,0.0224,0.0085,23,25,21.3,1.5,167.1854,25,625.1,3.015
ENE,4,14,0.0439,0.0184,0.0069,32,21,22.8,1.9,210.49295,22,624.2,2.954
ENE,4,15,0.0469,0.0163,0.0052,28,24,23.8,2.2,232.494983,20,623.5,2.472
ENE,4,16,0.0473,0.0156,0.0057,26,19,24.5,2.1,210.185283,17,623.2,1.717
ENE,4,17,0.0491,0.0157,0.0055,24,15,24.8,1.9,260.17565,14,623,0.934
ENE,4,18,0.0489,0.0161,0.0068,38,17,24,2,264.864667,14,623.2,0.286
ENE,4,19,0.0199,0.0157,0.027,85,18,21.1,1.2,281.032667,16,623.4,0.023
ENE,4,20,0.006,0.0174,0.0404,186,27,18.4,0.8,178.72345,22,623.6,0.008
ENE,4,21,0.0056,0.0182,0.0391,286,57,16.3,0.9,215.109483,27,623.8,0.009
ENE,4,22,0.0057,0.018,0.0376,279,78,14.9,1.6,187.037333,27,623.9,0.009
ENE,4,23,0.0064,0.0209,0.0327,131,77,14.3,1.7,113.21425,27,624.3,0.008
ENE,5,0,0.0079,0.0227,0.0306,121,58,13.6,1.7,87.03945,29,624.7,0.009
ENE,5,1,0.0081,0.0172,0.0263,87,53,12.9,1.7,86.675067,31,624.6,0.009
ENE,5,2,0.0138,0.0159,0.0159,67,35,11.9,1.9,109.576,34,624.5,0.009
ENE,5,3,0.0153,0.0271,0.0117,44,20,11,2.1,102.30625,38,624.2,0.009
ENE,5,4,0.0162,0.0342,0.0108,57,17,10.6,2,104.012117,39,624.1,0.009
ENE,5,5,0.0126,0.0269,0.0135,52,17,10,2.2,94.642017,42,623.9,0.009
ENE,5,6,0.0036,0.02,0.0218,58,15,9.3,1.5,106.64835,46,624.2,0.008
ENE,5,7,0.0027,0.0193,0.0229,69,32,8.6,1.1,90.910867,50,624.4,0.009
ENE,5,8,0.0032,0.0199,0.0236,83,17,8.7,1.4,112.809633,49,624.8,0.055
ENE,5,9,0.0073,0.0452,0.0221,87,25,10.8,1.8,81.337117,43,625.6,0.375
ENE,5,10,0.0107,0.0332,0.0226,95,39,13.1,2.5,103.677467,38,625.8,0.993
ENE,5,11,0.02,0.0353,0.0204,94,46,16.3,2.8,104.7754,31,625.6,1.724
ENE,5,12,0.0342,0.0179,0.0123,45,37,18.9,2.7,94.711167,24,624.9,2.464
ENE,5,13,0.0431,0.0197,0.0114,45,26,21,1.7,130.647067,23,623.9,2.747
ENE,5,14,0.0477,0.0165,0.0099,52,32,23,1.6,181.816667,22,622.9,2.722
ENE,5,15,0.0566,0.0165,0.0076,28,29,24.4,1.9,253.154983,18,622.1,2.137
ENE,5,16,0.0605,0.0169,0.008,37,29,25.2,1.9,199.757633,18,621.8,1.437
ENE,5,17,0.0625,0.0161,0.0068,51,24,24.9,1.8,198.99565,18,621.7,0.781
ENE,5,18,0.0553,0.0155,0.0078,43,29,24.6,1.6,253.954417,19,621.8,0.258
ENE,5,19,0.0363,0.0167,0.0213,75,22,21.9,1.5,302.944167,21,622.2,0.022
ENE,5,20,0.0064,0.0172,0.0515,144,28,20,0.7,241.299833,25,622.7,0.009
ENE,5,21,0.0055,0.018,0.0487,215,59,18.5,1.4,182.126,27,623,0.009
ENE,5,22,0.0081,0.017,0.0402,167,71,16.9,1.5,200.8512,30,623.3,0.01
ENE,5,23,0.0075,0.015,0.0346,135,56,15.7,1.3,237.211467,32,623.6,0.008
ENE,6,0,0.0059,0.0145,0.0301,107,57,15.1,1.3,295.6175,35,623.7,0.008
ENE,6,1,0.0047,0.0161,0.0299,96,43,14.1,1.2,202.328333,38,623.7,0.01
ENE,6,2,0.0054,0.0146,0.0278,84,45,13.5,0.9,122.71001,40,623.4,0.01
ENE,6,3,0.0052,0.0144,0.0235,88,42,12.5,0.5,181.782833,44,623,0.007
ENE,6,4,0.0039,0.0227,0.0247,90,42,11.8,1.4,126.164417,45,622.9,0.009
ENE,6,5,0.0026,0.0292,0.0264,109,44,11.2,1.9,98.885033,44,622.9,0.009
ENE,6,6,0.0033,0.0173,0.025,88,41,10.7,1.9,108.680033,46,623.2,0.009
ENE,6,7,0.0033,0.0221,0.0251,94,27,10.2,1.2,104.464683,47,623.7,0.009
ENE,6,8,0.0035,0.0464,0.0247,118,40,9.8,1.4,94.41685,50,624.2,0.054
ENE,6,9,0.0058,0.0599,0.0246,148,49,11.7,1.6,106.87325,46,624.8,0.392
ENE,6,10,0.0108,0.0534,0.026,155,69,14.2,2,100.1238,40,625.2,1.021
ENE,6,11,0.0232,0.025,0.0167,108,92,18.1,1.4,117.785333,34,625.1,1.908
ENE,6,12,0.0326,0.0205,0.0102,42,50,20.2,1.7,169.041267,34,624.4,2.626
ENE,6,13,0.0367,0.0162,0.0062,37,30,21.8,3.2,266.322,30,623.5,2.849
ENE,6,14,0.0385,0.016,0.0051,26,19,23.1,4,278.341167,25,622.6,2.883
ENE,6,15,0.0383,0.0157,0.0046,37,18,24.2,4.3,288.917833,21,621.9,2.366
ENE,6,16,0.0344,0.0155,0.0046,33,12,24.8,4.3,260.247167,18,621.5,1.744
ENE,6,17,0.0298,0.0147,0.0045,64,10,24.7,4.2,250.5815,15,621.6,0.955
ENE,6,18,0.0268,0.0139,0.0066,40,6,23.7,3.8,273.701333,17,621.9,0.294
ENE,6,19,0.0164,0.0138,0.012,66,8,21.3,2.5,281.321333,19,622.4,0.024
ENE,6,20,0.0065,0.0148,0.0212,96,13,18.9,1.7,279.831,24,622.8,0.008
ENE,6,21,0.0038,0.0144,0.0231,124,30,17.4,1,276.980833,27,623.4,0.009
ENE,6,22,0.0037,0.0139,0.0231,118,35,16.7,1.3,247.95425,28,623.7,0.009
ENE,6,23,0.0035,0.0139,0.0222,101,38,15.6,1,224.961633,31,623.9,0.008
ENE,7,0,0.0035,0.0133,0.0218,112,44,15,1.3,188.948,32,623.8,0.009
ENE,7,1,0.0036,0.0134,0.0218,88,48,14.3,1.2,203.553697,34,623.8,0.01
ENE,7,2,0.0033,0.0139,0.0191,76,37,12.6,0.9,256.02,37,623.7,0.009
ENE,7,3,0.0033,0.0153,0.0185,63,29,11.8,1,276.565,39,623.7,0.009
ENE,7,4,0.0055,0.0162,0.018,65,30,11.7,1.3,77.718928,39,623.8,0.01
ENE,7,5,0.0064,0.0231,0.0192,81,34,10.8,1.5,147.146733,40,623.9,0.01
ENE,7,6,0.0036,0.0342,0.0182,106,38,10,2.1,113.518333,42,624.4,0.009
ENE,7,7,0.0029,0.0189,0.0189,89,40,10,2.1,103.830083,41,624.6,0.008
ENE,7,8,0.003,0.0446,0.0198,105,30,10.2,2.3,89.545783,46,624.9,0.037
ENE,7,9,0.0049,0.0265,0.0202,138,62,10.5,2.2,79.33935,50,625.4,0.267
ENE,7,10,0.0097,0.0296,0.0188,152,66,12.9,2.6,91.765867,53,625.9,0.753
ENE,7,11,0.0214,0.0137,0.0107,75,55,15.2,3.8,82.647267,53,625.8,1.002
ENE,7,12,0.0266,0.0138,0.0087,41,27,16.8,4.1,78.198533,48,625.2,2.027
ENE,7,13,0.0324,0.0141,0.0089,38,23,18.8,3.2,98.693583,41,624.4,2.753
ENE,7,14,0.0393,0.0204,0.0079,40,30,20.9,2,124.694778,33,623.7,2.822
ENE,7,15,0.0438,0.0242,0.0075,30,26,22.4,1.9,158.244118,29,623.2,2.299
ENE,7,16,0.0465,0.0239,0.0063,33,25,22.7,1.6,182.75765,26,622.8,1.275
ENE,7,17,0.0466,0.0193,0.0064,37,21,22.8,2,250.929217,26,623,0.724
ENE,7,18,0.0461,0.0172,0.0061,45,24,22,1.7,246.870483,27,623,0.254
ENE,7,19,0.0311,0.0152,0.0137,58,16,20.6,1.4,291.016467,29,623.5,0.024
ENE,7,20,0.0044,0.0157,0.037,129,24,18.9,0.9,193.52075,33,623.8,0.009
ENE,7,21,0.0048,0.0174,0.0383,213,52,18.2,1,167.309533,35,624.1,0.008
ENE,7,22,0.0031,0.0165,0.0361,177,69,17.3,1,177.97682,36,624.5,0.009
ENE,7,23,0.0049,0.0168,0.0319,164,56,16.1,1.2,93.063683,38,624.6,0.01
ENE,8,0,0.0038,0.0166,0.0281,144,65,15.1,2,87.899833,40,624.7,0.008
ENE,8,1,0.0052,0.0134,0.024,104,57,14.4,1.6,108.32085,40,624.7,0.009
ENE,8,2,0.0046,0.0142,0.0228,84,59,13.4,0.9,204.738867,44,624.7,0.009
ENE,8,3,0.0093,0.0275,0.0168,77,51,13.4,1.7,82.7933,46,624.6,0.01
ENE,8,4,0.0073,0.0246,0.0191,82,44,12.9,1,111.76525,48,624.6,0.01
ENE,8,5,0.0036,0.0165,0.0223,92,52,12.2,1.3,139.009067,51,624.6,0.01
ENE,8,6,0.0031,0.0155,0.0221,90,53,11.8,1.4,84.624867,53,624.8,0.009
ENE,8,7,0.0031,0.0146,0.0218,92,48,11.5,1.3,84.602483,55,625.1,0.009
ENE,8,8,0.0034,0.0149,0.0206,123,47,10.9,1.3,140.94265,56,625.5,0.036
ENE,8,9,0.0038,0.02,0.0214,135,65,11.5,1.9,102.979217,56,626.1,0.234
ENE,8,10,0.0044,0.0269,0.0241,156,73,12.9,2.4,108.9074,54,626.6,0.643
ENE,8,11,0.0105,0.0287,0.0223,120,70,15.4,2.5,103.80425,48,626.6,1.374
ENE,8,12,0.0242,0.0202,0.0184,100,63,18.4,1.8,119.83285,39,626.1,2.022
ENE,8,13,0.0343,0.0163,0.0106,70,60,21.1,1.6,214.074517,32,625.3,2.824
ENE,8,14,0.0356,0.0138,0.0051,30,35,22.6,2,227.361917,29,624.3,2.805
ENE,8,15,0.0447,0.0153,0.005,17,24,24.4,1.5,204.41795,25,623.4,2.361
ENE,8,16,0.0458,0.0143,0.0061,22,23,24.2,2.1,233.72585,25,622.9,1.513
ENE,8,17,0.0433,0.0133,0.0063,34,21,23.2,1.5,248.863667,26,622.9,0.664
ENE,8,18,0.0431,0.0134,0.0053,35,12,22.9,1.5,274.82935,27,622.8,0.25
ENE,8,19,0.0299,0.0131,0.0136,54,20,21.6,1,262.862667,29,623,0.02
ENE,8,20,0.0051,0.0132,0.0376,115,25,20.7,0.8,196.3415,31,623.3,0.009
ENE,8,21,0.0042,0.0138,0.0371,160,37,19.8,1.8,168.314,33,623.7,0.009
ENE,8,22,0.0079,0.0138,0.0275,125,42,18.6,1.6,171.081267,35,624,0.009
ENE,8,23,0.0176,0.0134,0.0155,98,41,18.1,2.2,223.851667,37,624.1,0.009
ENE,9,0,0.0151,0.0147,0.0136,59,26,17,1.7,172.654533,40,624.1,0.009
ENE,9,1,0.0102,0.0145,0.0163,81,33,16.1,2.8,89.845833,41,624.1,0.009
ENE,9,2,0.0126,0.0133,0.0143,70,34,15.5,3.1,98.352417,42,624,0.01
ENE,9,3,0.0186,0.0127,0.0083,54,NA,14.7,2.9,96.5527,44,623.8,0.009
ENE,9,4,0.0173,0.0128,0.0091,44,NA,14,2.5,90.222083,47,623.8,0.009
ENE,9,5,0.0154,0.0127,0.0104,56,NA,13.8,1.8,97.591333,48,623.8,0.009
ENE,9,6,0.011,0.0145,0.0138,66,NA,13.2,1.6,91.147317,51,623.9,0.008
ENE,9,7,0.0074,0.0143,0.0173,66,NA,12.8,2,105.129433,52,624.2,0.009
ENE,9,8,0.004,0.0316,0.021,83,NA,12.1,1.9,99.165583,55,624.6,0.047
ENE,9,9,0.0066,0.0323,0.0187,118,NA,12.9,3.1,90.567467,54,625,0.354
ENE,9,10,0.0148,0.0229,0.0155,98,NA,15.3,3.7,98.248667,48,625.2,1.036
ENE,9,11,0.024,0.0204,0.0123,67,NA,17.3,3.5,96.072617,44,625.1,1.831
ENE,9,12,0.0302,0.0178,0.0103,57,NA,19.9,1.8,117.90725,38,624.7,2.538
ENE,9,13,0.034,0.0168,0.0069,32,NA,21.8,2.4,164.1209,34,623.8,3.084
ENE,9,14,0.0327,0.0162,0.0043,22,NA,22.9,2.4,256.382617,32,622.7,2.703
ENE,9,15,0.0308,0.0155,0.0046,16,NA,22.9,3,249.255167,31,621.8,1.777
ENE,9,16,0.0275,0.016,0.0069,39,NA,21.3,4.7,195.651833,37,621.6,0.952
ENE,9,17,0.0236,0.0165,0.0087,48,NA,21,4.4,157.443167,39,621.4,0.66
ENE,9,18,0.0185,0.0159,0.0077,89,NA,16.2,4.6,192.0935,66,621.9,0.137
ENE,9,19,0.0079,0.0217,0.0175,28,NA,16.4,2,142.194683,67,622.2,0.029
ENE,9,20,0.01,0.0199,0.014,37,NA,15.9,2.2,83.227773,67,622.8,0.008
ENE,9,21,0.0046,0.0204,0.0191,27,NA,15.6,1.3,119.907333,67,623.2,0.009
ENE,9,22,0.0023,0.0188,0.0195,37,NA,14.7,1.4,262.1915,72,623.6,0.01
ENE,9,23,0.0047,0.0157,0.0159,28,NA,13.6,2,289.869333,75,623.8,0.009
ENE,10,0,0.0103,0.017,0.011,23,NA,13.1,1.7,302.863,73,623.7,0.009
ENE,10,1,0.0047,0.0158,0.0158,24,NA,12.4,0.9,246.727333,75,623.7,0.01
ENE,10,2,0.008,0.016,0.0122,20,NA,12.4,1.4,264.2985,75,623.7,0.009
ENE,10,3,0.0036,0.015,0.0152,23,NA,11.7,1.6,263.6025,78,623.5,0.009
ENE,10,4,0.0054,0.0167,0.0128,26,NA,11.7,1.3,247.2458,79,623.4,0.009
ENE,10,5,0.0042,0.0166,0.0132,22,NA,11.3,1.5,261.8275,81,623.4,0.009
ENE,10,6,0.0068,0.0155,0.01,22,NA,11.6,1.7,261.154667,80,623.4,0.009
ENE,10,7,0.0044,0.0186,0.0116,22,NA,11,1.6,133.926422,80,623.6,0.01
ENE,10,8,0.0029,0.0208,0.0128,45,NA,10.1,1.7,90.572433,82,624,0.06
ENE,10,9,0.0064,0.0257,0.0132,67,NA,12.7,1.2,148.253383,73,624.4,0.481
ENE,10,10,0.0151,0.0198,0.0096,46,NA,15.4,1.3,269.032833,65,624.8,1.297
ENE,10,11,0.0207,0.0166,0.0072,29,NA,17.4,2.3,263.786367,61,624.7,2.227
ENE,10,12,0.0251,0.0166,0.0055,9,NA,18.9,3.9,248.325333,53,624.2,3.243
ENE,10,13,0.0269,0.0151,0.0049,8,NA,19.6,4.4,255.251667,40,623.4,2.101
ENE,10,14,0.0293,0.0153,0.0046,8,NA,21.1,4.1,259.5005,31,622.5,3.388
ENE,10,15,0.0324,0.0144,0.0038,10,NA,21.9,3.7,258.6355,28,621.8,2.894
ENE,10,16,0.0333,0.0156,0.0043,12,NA,23,3.3,252.1805,24,621.5,2.18
ENE,10,17,0.0343,0.0157,0.004,27,NA,23,3.7,247.832833,22,621.5,1.191
ENE,10,18,0.0328,0.0156,0.0048,15,NA,22.4,3.1,253.084667,22,621.6,0.39
ENE,10,19,0.0245,0.0161,0.0091,42,NA,19.9,2.8,276.742167,25,621.9,0.032
ENE,10,20,0.0139,0.0149,0.0149,82,NA,17.9,1.9,250.678167,27,622.4,0.008
ENE,10,21,0.0067,0.016,0.0235,45,NA,17.4,1.7,162.558833,26,623,0.008
ENE,10,22,0.0058,0.0176,0.0252,58,NA,16.8,1.4,170.379333,30,623.4,0.009
ENE,10,23,0.0079,0.0156,0.0188,61,NA,15.4,1.1,291.061333,36,623.7,0.009
ENE,11,0,0.0039,0.017,0.0195,47,NA,14.4,1.1,197.8394,44,623.8,0.009
ENE,11,1,0.0033,0.016,0.0185,58,NA,13.2,0.8,260.792333,50,623.8,0.008
ENE,11,2,0.0021,0.0189,0.0178,62,NA,11.9,1,241.359867,54,623.9,0.009
ENE,11,3,0.0024,0.0187,0.0159,44,NA,11.4,1,217.016633,56,623.8,0.008
ENE,11,4,0.0025,0.0192,0.015,42,NA,10.9,1.8,95.210117,61,623.8,0.008
ENE,11,5,0.0026,0.0202,0.015,46,NA,10.5,1.8,108.790517,65,623.8,0.008
ENE,11,6,0.0027,0.0189,0.0165,51,NA,10.5,1.4,90.231567,68,623.9,0.009
ENE,11,7,0.0028,0.0218,0.0161,43,NA,10.1,1.4,87.542933,70,624.1,0.01
ENE,11,8,0.003,0.0277,0.0167,60,NA,9.9,1.1,192.746533,72,624.5,0.06
ENE,11,9,0.0039,0.027,0.0185,84,NA,11.6,1,231.337983,61,625.1,0.46
ENE,11,10,0.0091,0.033,0.0159,75,NA,14.2,2.5,87.767783,63,625.5,1.223
ENE,11,11,0.0171,0.023,0.0127,65,NA,16.6,3.8,100.932683,59,625.4,2.127
ENE,11,12,0.0239,0.0168,0.0084,38,NA,18.9,2.5,123.181,46,624.9,3.084
ENE,11,13,0.0291,0.0163,0.0056,3,NA,20.6,2.4,171.766717,38,624,3.439
ENE,11,14,0.0339,0.0164,0.005,3,NA,22.4,2.7,233.253,33,623.1,3.516
ENE,11,15,0.0361,0.0161,0.0054,22,NA,23.2,2.6,212.211617,30,622.3,2.749
ENE,11,16,0.0345,0.0161,0.0054,7,19,24.1,3.2,232.228333,26,621.6,2.117
ENE,11,17,0.0352,0.015,0.0044,18,7,24,3.2,240.142,23,621.6,1.091
ENE,11,18,0.0277,0.0149,0.008,36,7,23.3,2.2,207.212167,23,621.9,0.267
ENE,11,19,0.0208,0.0153,0.015,54,10,21.7,1.8,222.406667,27,622.2,0.027
ENE,11,20,0.0146,0.0174,0.0099,50,18,19.8,4,179.096667,32,622.8,0.009
ENE,11,21,0.0177,0.0162,0.0074,48,1,18.5,2.9,215.9275,32,623.6,0.009
ENE,11,22,0.0147,0.0146,0.0087,35,4,16.5,2.5,233.506,36,624.2,0.009
ENE,11,23,0.0148,0.0152,0.0084,24,9,15.1,2.2,215.792667,41,624.5,0.009
ENE,12,0,0.0147,0.0154,0.0085,20,12,14.2,1.1,207.705833,43,624.6,0.009
ENE,12,1,0.0086,0.0163,0.0137,13,14,13.1,1,137.290017,46,624.6,0.01
ENE,12,2,0.007,0.0175,0.0166,33,14,12.4,1,130.141838,49,624.4,0.009
ENE,12,3,0.0026,0.0186,0.0152,40,26,10.9,0.9,252.770733,54,624.1,0.009
ENE,12,4,0.0022,0.0162,0.0149,33,10,10.1,0.9,221.101333,56,624.1,0.01
ENE,12,5,0.0023,0.0183,0.0138,37,10,9.5,1,239.205383,58,624.2,0.009
ENE,12,6,0.0018,0.0176,0.0133,38,12,8.2,0.8,238.713667,61,624.3,0.009
ENE,12,7,0.0043,0.0176,0.0143,37,14,8.6,0.7,144.27513,59,624.5,0.009
ENE,12,8,0.0105,0.0192,0.0144,103,29,8.1,0.9,173.48014,61,624.9,0.063
ENE,12,9,0.0073,0.0328,0.0194,127,68,9.9,1.5,98.177067,54,625.5,0.449
ENE,12,10,0.0073,0.032,0.0227,117,57,13.8,1,121.87625,43,625.7,1.188
ENE,12,11,0.0182,0.0301,0.0174,66,45,16.8,1.5,261.615167,37,625.8,2.014
ENE,12,12,0.0222,0.022,0.0101,34,40,18.1,2.2,282.576,37,625.5,2.721
