DATOS HORARIOS 2021_DIF,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
ENE,1,0,0.0105,0.0162,0.0146,114,63,12.2,2,158.671333,53,621,0.009
ENE,1,1,0.0083,0.0257,0.023,231,72,11.2,1,151.0447,58,621.1,0.008
ENE,1,2,0.0093,0.0242,0.0211,516,313,9.6,0.9,226.3984,59,621.2,0.009
ENE,1,3,0.0098,0.0194,0.0215,376,345,8.5,0.9,224.639767,61,621.2,0.009
ENE,1,4,0.0084,0.0169,0.0196,305,256,7.8,0.8,219.577667,65,621.3,0.009
ENE,1,5,0.0077,0.0216,0.0199,255,193,8.3,1.2,123.350917,67,621.4,0.009
ENE,1,6,0.0037,0.0187,0.0168,185,175,7.8,1,131.593667,72,621.6,0.009
ENE,1,7,0.0029,0.0197,0.0143,170,130,6.7,1.2,120.44375,74,621.7,0.009
ENE,1,8,0.0038,0.0191,0.0123,114,93,6.1,1.6,106.839217,75,622.1,0.059
ENE,1,9,0.0077,0.0232,0.0096,92,76,8.7,2.3,101.67495,66,622.7,0.421
ENE,1,10,0.0171,0.0312,0.0072,105,70,12.5,2.7,96.021233,56,623.2,1.077
ENE,1,11,0.0247,0.0159,0.0053,141,53,15.8,3.4,125.338367,44,623.2,1.917
ENE,1,12,0.0293,0.0144,0.0035,109,24,18.7,2.2,171.908217,33,623,2.726
ENE,1,13,0.0345,0.0147,0.0032,384,11,20.3,1.9,240.47355,26,622.4,3.045
ENE,1,14,0.0373,0.0148,0.0031,450,18,22.1,2.5,254.029717,19,621.7,3.058
ENE,1,15,0.0406,0.0147,0.0036,543,28,23.2,3.3,260.599333,15,621.2,2.394
ENE,1,16,0.0403,0.0152,0.0039,627,19,24.2,3.6,259.019333,13,620.9,1.697
ENE,1,17,0.0393,0.0151,0.004,384,14,24.2,4.6,241.09,12,621,0.962
ENE,1,18,0.0403,0.0148,0.0044,32,13,22.9,4.7,260.441964,10,621.3,0.251
ENE,1,19,0.032,0.0148,0.0071,51,14,20.2,4,249.965,12,621.8,0.021
ENE,1,20,0.025,0.0166,0.0113,62,38,18,2.8,229.6385,13,622.4,0.009
ENE,1,21,0.0262,0.0147,0.0088,65,44,16.9,3.1,203.561833,16,623.1,0.009
ENE,1,22,0.0268,0.0156,0.0071,42,22,15.5,2.9,226.307333,18,623.6,0.009
ENE,1,23,0.0269,0.015,0.0065,34,27,14.5,2.7,233.721833,19,623.8,0.01
ENE,2,0,0.018,0.0151,0.0116,42,27,13.2,1.8,132.578617,23,623.9,0.008
ENE,2,1,0.0107,0.0159,0.0158,82,28,11.3,1.2,255.067223,27,623.9,0.01
ENE,2,2,0.0045,0.0138,0.0191,78,42,9.7,0.9,171.531535,30,624,0.009
ENE,2,3,0.0045,0.0133,0.0169,87,33,8.9,0.7,203.1725,33,623.9,0.008
ENE,2,4,0.0042,0.0162,0.0163,64,34,7.9,1.3,100.38803,36,623.9,0.009
ENE,2,5,0.0031,0.0168,0.016,58,18,6.7,0.7,175.570233,42,624.1,0.009
ENE,2,6,0.0035,0.0161,0.0154,50,19,6.7,1,108.1833,43,624.3,0.009
ENE,2,7,0.0048,0.0313,0.0145,62,21,5.9,1.5,109.8969,45,624.7,0.01
ENE,2,8,0.0038,0.0349,0.0156,70,30,5.9,1.5,85.808317,47,625.2,0.06
ENE,2,9,0.0065,0.1239,0.016,109,32,7.9,1.9,89.90861,43,625.8,0.432
ENE,2,10,0.0149,0.0216,0.0129,106,55,11.1,2.8,103.940483,37,626.1,1.116
ENE,2,11,0.0239,0.0182,0.0095,52,28,14.6,2.6,90.44255,30,625.9,1.949
ENE,2,12,0.0305,0.0237,0.0099,30,20,17.4,2.5,98.299167,26,625.4,2.721
ENE,2,13,0.0372,0.0173,0.008,16,32,20.3,1.9,129.45325,18,624.6,3.047
ENE,2,14,0.0426,0.0164,0.0044,38,25,23,2.1,245.506033,11,623.6,3.069
ENE,2,15,0.0446,0.0157,0.0038,65,15,24,2.4,249.493339,9,622.9,2.455
ENE,2,16,0.0439,0.0157,0.0047,43,19,24.8,2.2,252.05465,7,622.5,1.609
ENE,2,17,0.0459,0.0138,0.0041,16,17,24.9,2.3,282.824167,7,622.3,0.861
ENE,2,18,0.0464,0.0158,0.0059,33,15,23.9,2.3,295.999,8,622.5,0.277
ENE,2,19,0.026,0.0156,0.0213,63,11,20.8,1.3,319.197833,10,622.8,0.022
ENE,2,20,0.0092,0.0166,0.0336,102,21,18.3,1.3,288.623833,14,623.2,0.009
ENE,2,21,0.0109,0.0167,0.0347,149,47,16.3,1.3,236.832,17,623.5,0.009
ENE,2,22,0.0074,0.0173,0.0323,182,92,15.1,1.3,169.832,18,623.9,0.009
ENE,2,23,0.0094,0.0164,0.0314,119,56,13.8,1,122.87565,21,624.3,0.01
ENE,3,0,0.0292,0.0188,0.0284,216,67,11.9,1,222.42955,27,624.4,0.009
ENE,3,1,0.0155,0.0198,0.0255,221,107,10.9,1.2,119.559067,28,624.4,0.009
ENE,3,2,0.0062,0.0283,0.0249,218,108,10.3,1.4,98.214217,29,624.4,0.01
ENE,3,3,0.0051,0.0418,0.0197,121,80,10.2,1.8,107.1205,28,624.3,0.008
ENE,3,4,0.0079,0.0237,0.0169,103,51,9.1,2.3,103.183983,28,624.2,0.008
ENE,3,5,0.0081,0.0361,0.0171,76,52,8,2,107.771933,29,624.3,0.009
ENE,3,6,0.0086,0.0312,0.0154,82,34,7.4,1.3,88.478983,33,624.6,0.009
ENE,3,7,0.0055,0.0279,0.0174,76,34,6.8,1,159.143367,36,625.1,0.009
ENE,3,8,0.0065,0.023,0.0184,86,39,6.4,1.1,132.7435,39,625.2,0.056
ENE,3,9,0.0102,0.0268,0.0171,105,55,8.9,2,103.388483,36,625.7,0.418
ENE,3,10,0.0132,0.0269,0.0142,82,55,11.9,2,105.450633,34,626.2,1.086
ENE,3,11,0.0238,0.0399,0.0142,81,37,16.3,1.2,120.63925,27,626.2,1.902
ENE,3,12,0.0396,0.0213,0.0084,51,45,19.1,1.7,239.420433,22,625.9,2.65
ENE,3,13,0.0479,0.0253,0.0057,28,42,20.5,2.7,273.8295,19,625.2,2.981
ENE,3,14,0.055,0.0248,0.0062,30,21,22.6,2.9,269.567833,16,624.3,2.944
ENE,3,15,0.0514,0.0176,0.0047,38,25,23.6,3.5,286.948167,14,623.8,2.483
ENE,3,16,0.0476,0.0158,0.0047,29,24,24.4,3.4,275.831404,13,623.4,1.731
ENE,3,17,0.0462,0.0152,0.0047,33,24,24.3,4,268.443,13,623.3,0.939
ENE,3,18,0.0393,0.0147,0.0058,30,16,23.8,2.6,275.834167,12,623.3,0.291
ENE,3,19,0.018,0.0153,0.02,63,12,21.1,0.8,239.8524,16,623.5,0.022
ENE,3,20,0.005,0.0161,0.0299,109,25,18.8,1.4,231.578333,19,624,0.01
ENE,3,21,0.005,0.0157,0.0265,127,39,17.5,1.7,228.584167,22,624.3,0.009
ENE,3,22,0.0058,0.0177,0.0261,114,32,16.2,1.6,102.3169,24,624.5,0.009
ENE,3,23,0.0049,0.0216,0.0268,195,69,14.2,0.9,153.26436,27,624.7,0.009
ENE,4,0,0.0042,0.0173,0.0233,184,107,13.2,1.1,153.644367,30,624.6,0.009
ENE,4,1,0.0036,0.0169,0.0216,211,102,12.1,0.8,225.091658,32,624.3,0.009
ENE,4,2,0.0018,0.0194,0.0214,166,89,11.1,1.2,91.172855,33,624.2,0.009
ENE,4,3,0.0008,0.0215,0.0223,125,67,10.5,1.3,102.328117,33,624.2,0.009
ENE,4,4,0.0026,0.0186,0.0215,78,37,10.1,1.5,105.896683,33,624.1,0.009
ENE,4,5,0.0034,0.0477,0.0206,83,21,9.4,1.3,104.9015,35,624.2,0.009
ENE,4,6,0.0021,0.0335,0.0198,110,37,8.3,1.1,123.000117,38,624.5,0.01
