DATOS HORARIOS 2021_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
OCTUBRE,1,0,0.0314,0.0034,1.0375,NA,11,3,16.15,2.66,103.21,92.37,624.64,0.02
OCTUBRE,1,1,0.0386,0.0033,1.0212,NA,4,1,16.11,3.16,69.98,93.92,624.41,0.02
OCTUBRE,1,2,0.0391,0.0031,0.999,NA,5,4,15.78,1.96,106.08,94.39,624.12,0.02
OCTUBRE,1,3,0.0353,0.0032,1.0033,NA,9,8,15.73,2.16,133.94,94.06,623.78,0.02
OCTUBRE,1,4,0.0323,0.0033,1.0182,NA,6,8,15.56,2.17,99.89,93.89,623.31,0.01
OCTUBRE,1,5,0.0226,0.0035,1.074,0.0177,20,9,15.46,1.91,102.27,94.64,622.98,0.02
OCTUBRE,1,6,0.0203,0.0033,1.1897,0.0218,16,10,15.28,1.54,62.68,94.89,623.31,0.01
OCTUBRE,1,7,0.0124,0.0039,1.5221,0.042,21,12,15.25,1.61,87.28,94.38,623.84,0.04
OCTUBRE,1,8,0.0115,0.005,1.6678,0.0355,6,12,16.31,1.03,189.64,91.94,624.26,0.31
OCTUBRE,1,9,0.018,0.0049,1.6052,0.0318,12,11,17.74,1.5,134.64,84.27,624.64,1.03
OCTUBRE,1,10,0.0295,0.0049,1.3233,0.0169,13,12,19.02,1.72,130.84,75.42,624.89,1.59
OCTUBRE,1,11,0.0372,0.0048,1.2563,0.0123,22,9,21.48,1.48,136.26,65.3,624.87,3.15
OCTUBRE,1,12,0.0472,0.0077,1.2223,0.0101,18,9,23.5,1.54,171.36,55.92,624.65,4.32
OCTUBRE,1,13,0.0563,0.0076,1.1555,0.0076,20,14,24.66,1.8,238.39,53.42,623.97,4.98
OCTUBRE,1,14,0.0582,0.0084,1.1825,0.0059,19,18,25.13,1.77,227.05,51.92,623.07,3.91
OCTUBRE,1,15,0.0501,0.0068,1.2086,0.0059,21,29,25.07,2.2,223.03,54.51,622.33,3.24
OCTUBRE,1,16,0.0463,0.005,1.1007,0.0034,9,21,26.48,2.07,237.09,46.56,621.69,3.11
OCTUBRE,1,17,0.0438,0.004,1.1012,0.0054,10,14,26.87,2.22,228.2,42.62,621.65,1.72
OCTUBRE,1,18,0.0338,0.0039,1.3116,0.0139,40,14,24.37,4.17,163.25,58.95,621.85,0.54
OCTUBRE,1,19,0.0221,0.0035,1.3428,0.0184,40,12,21.58,3.55,165.3,63.79,622.29,0.07
OCTUBRE,1,20,0.0156,0.0034,1.4235,0.0204,40,5,20.02,3.43,167.97,72.43,622.8,0.02
OCTUBRE,1,21,0.0148,0.0034,1.295,0.0193,31,3,19.56,1.44,214.47,75.59,623.47,0.02
OCTUBRE,1,22,0.0109,0.0042,1.431,0.0261,32,18,19.96,1.4,105.31,74.85,624.11,0.02
OCTUBRE,1,23,0.009,0.0045,1.2436,0.0238,31,9,19.63,1.61,175.42,76.83,624.55,0.02
OCTUBRE,2,0,0.0279,0.0038,1.0638,0.0117,24,3,18.12,3.04,294.33,81.31,624.79,0.02
OCTUBRE,2,1,0.0319,0.0036,1.0364,NA,17,2,16.82,3.23,303.79,88.31,624.63,0.02
OCTUBRE,2,2,0.0295,0.0034,1.0298,NA,14,9,16.15,2.95,269.19,91.95,624.42,0.02
OCTUBRE,2,3,0.0308,0.0032,1.0306,0.0058,7,10,16.07,1.84,275.93,93,624.34,0.02
OCTUBRE,2,4,0.0291,0.0031,1.0624,0.0039,6,7,15.88,1.78,229.91,94.1,624.15,0.01
OCTUBRE,2,5,0.0273,0.0031,1.0789,0.0062,8,2,15.9,1.42,218.08,94.73,624.1,0.02
OCTUBRE,2,6,0.0238,0.0031,1.1492,0.0114,5,2,15.82,1.71,230.43,94.9,624.19,0.01
OCTUBRE,2,7,0.0189,0.0031,1.2148,0.0211,6,6,15.73,1.3,266,94.66,624.31,0.03
OCTUBRE,2,8,0.0147,0.0031,1.2765,0.0285,11,9,16.07,0.92,269.14,94.25,624.68,0.29
OCTUBRE,2,9,0.0211,0.0031,1.2361,0.0195,10,11,17.66,1.3,286.19,89.69,624.84,1.06
OCTUBRE,2,10,0.0315,0.0055,1.279,0.013,7,9,19.43,1.19,221.8,76.33,624.99,1.51
OCTUBRE,2,11,0.0362,0.0097,1.3651,0.0115,20,8,20.34,1.94,234.49,73.62,624.84,2.05
OCTUBRE,2,12,0.0411,0.0063,1.2367,0.0076,23,12,21.88,1.66,232.53,67.89,624.4,3.16
OCTUBRE,2,13,0.0502,0.0055,1.1753,0.0048,8,20,24.02,1.8,232.18,58.84,623.56,4.65
OCTUBRE,2,14,0.0558,0.0073,1.243,0.0093,16,12,24.85,1.55,189.94,54.89,622.81,3.66
OCTUBRE,2,15,0.0608,0.0096,1.2077,0.0081,14,25,26.71,1.97,231.91,47.41,621.98,4.23
OCTUBRE,2,16,0.0563,0.0078,1.1957,0.0075,15,26,27.17,2.14,228.42,42.63,621.35,3.01
OCTUBRE,2,17,0.0512,0.0051,1.1532,0.0053,22,24,26.69,1.78,240.07,45.01,621.11,1.52
OCTUBRE,2,18,0.0502,0.0046,1.1383,0.0045,24,17,26.48,2.22,245.79,44.93,621.26,0.59
OCTUBRE,2,19,0.0395,0.0125,1.3336,0.0162,39,10,23.88,2.19,226.17,55.86,621.71,0.06
OCTUBRE,2,20,0.0328,0.0088,1.3772,0.0209,52,11,22.43,2.83,174.89,63.01,622.24,0.03
OCTUBRE,2,21,0.0311,0.0039,1.0996,0.0063,32,12,20.63,2.74,260.19,72.27,623.09,0.02
OCTUBRE,2,22,0.0337,0.0041,1.1525,0.008,22,6,19.1,2.37,128.87,80.8,623.99,0.02
OCTUBRE,2,23,0.0314,0.0048,1.199,0.011,20,1,17.53,2.46,68.93,92.42,624.45,0.02
