DATOS HORARIOS 2021_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
MAYO,3,8,0.0162,NA,1.118,0.0165,71,41,17.32,1.64,264.69,32.09,621.82,0.43
MAYO,3,9,0.0327,0.0078,0.83,0.0101,81,38,19.77,2.09,290.92,25.01,622.16,1.16
MAYO,3,10,0.0488,0.0059,0.846,0.0065,61,40,21.8,2.65,263.8,24.04,622.20,2.29
MAYO,3,11,NA,0.006,0.856,0.0055,52,34,24.28,2.65,245.23,23.69,621.89,3.41
MAYO,3,12,NA,0.0058,0.902,0.0057,53,48,26.24,3.95,231.53,16.66,621.41,4.17
MAYO,3,13,NA,0.0057,0.834,0.0048,63,43,27.47,3.62,247.91,14.31,620.86,4.67
MAYO,3,14,NA,0.0057,0.832,0.0051,44,35,28.96,4.19,251.1,12.06,620.18,4.52
MAYO,3,15,NA,0.0056,0.762,0.0045,40,44,30.14,4.78,272.45,10.74,619.38,3.92
MAYO,3,16,NA,0.0056,0.707,0.0044,57,32,30.88,5.25,277.25,8.43,618.75,2.88
MAYO,3,17,NA,0.0054,0.664,0.0039,41,33,31.09,5.1,273.33,6.86,618.45,1.80
MAYO,3,18,NA,0.0053,0.661,0.0037,47,16,30.71,5.21,269.38,6.26,618.46,0.84
MAYO,3,19,NA,0.0053,0.687,0.0055,69,15,29.58,4.01,266.12,6.51,618.77,0.23
MAYO,3,20,NA,0.0055,0.762,0.0088,74,8,26.96,3.02,259.59,8.47,619.48,0.02
MAYO,3,21,NA,0.0056,0.834,0.0084,63,12,24.97,3.3,223.6,10.79,620.27,0.01
MAYO,3,22,NA,0.0056,0.748,0.0068,54,24,23.39,3.92,218.88,13.27,621.01,0.01
MAYO,3,23,NA,0.0056,0.709,0.0065,57,23,21.65,3.28,222.8,16.48,621.50,0.01
MAYO,4,0,NA,0.0057,0.709,0.0049,45,22,20.39,3.36,227.74,21.87,621.59,0.01
MAYO,4,1,NA,0.0058,0.737,0.0054,43,22,18.84,1.34,256.84,26.04,621.66,0.01
MAYO,4,2,NA,0.0063,0.77,0.0078,49,24,18.16,1.21,296.22,26.22,621.53,0.01
MAYO,4,3,NA,0.008,0.847,0.0173,68,26,17.26,1.59,276.83,27.80,621.51,0.01
MAYO,4,4,NA,0.0062,0.825,0.0078,54,46,16.57,2.18,261.66,31.01,621.64,0.01
MAYO,4,5,NA,0.0063,0.865,0.0108,57,40,15.63,1.59,267.33,32.56,621.86,0.01
MAYO,4,6,NA,0.0071,0.982,0.0153,62,45,15.04,1.55,244.34,35.29,622.28,0.01
MAYO,4,7,NA,0.007,1.111,0.0173,80,48,14.67,1.34,274.85,38.36,622.71,0.08
MAYO,4,8,NA,0.0066,1.078,0.0134,77,60,16.18,1.6,254.75,35.98,623.24,0.49
MAYO,4,9,NA,0.007,0.936,0.0083,67,44,19.24,2.44,240.73,30.88,623.35,1.36
MAYO,4,10,0.0495,0.007,0.827,0.005,43,37,21.45,2.33,257.02,28.44,623.34,2.58
MAYO,4,11,0.0571,0.007,0.761,0.0044,43,36,23.57,2.43,246.38,25.09,623.20,3.84
MAYO,4,12,0.0586,0.0068,0.766,0.0043,37,28,25.29,2.32,209.58,21.47,622.78,4.87
MAYO,4,13,0.0548,0.0062,0.73,0.0044,31,31,27.4,2.43,232.34,15.40,622.16,5.33
MAYO,4,14,0.0601,0.0063,0.758,0.0044,26,21,28.74,2.28,220.46,14.32,621.57,5.13
MAYO,4,15,0.0645,0.0064,0.731,0.0042,35,24,29.67,2.31,189.02,12.80,620.87,4.33
MAYO,4,16,0.0688,0.0062,0.709,0.0039,29,23,30.91,2.08,242.82,10.99,620.30,3.22
MAYO,4,17,0.0687,0.0061,0.725,0.0046,36,21,31.14,2.15,200.03,10.47,619.93,1.90
MAYO,4,18,0.0697,0.006,0.719,0.0044,42,22,30.97,2.52,204.53,10.13,619.81,0.88
MAYO,4,19,0.0691,0.0061,0.734,0.0055,48,20,29.76,2.82,302.04,10.01,620.03,0.24
MAYO,4,20,0.0493,0.0058,0.951,0.0139,51,25,27.85,1.94,307.55,10.05,620.42,0.02
MAYO,4,21,0.011,0.0068,1.417,0.035,77,15,25.98,1.04,271.72,11.34,620.94,0.01
MAYO,4,22,0.0152,0.0089,1.189,0.0285,101,39,24.83,2.18,201.11,11.63,621.51,0.01
MAYO,4,23,0.0421,0.0074,0.72,0.0073,84,30,24.23,3.14,184.3,10.83,622.12,0.01
MAYO,5,0,0.0244,0.01,0.786,0.0119,82,33,22.62,1.74,135.73,17.98,622.97,0.01
MAYO,5,1,0.0203,0.0066,0.697,0.0119,63,30,21.74,1.55,147.95,19.54,623.02,0.01
MAYO,5,2,0.0155,0.0229,0.691,0.0145,48,35,20.66,1.18,136.25,22.15,622.99,0.01
MAYO,5,3,0.0027,0.0104,0.767,0.0223,55,22,18.44,1.19,289.31,24.90,623.03,0.01
MAYO,5,4,0.0036,0.0124,0.834,0.0231,62,37,18.75,0.94,247.82,23.94,622.98,0.01
MAYO,5,5,0.0175,0.0109,0.849,0.0174,76,35,18.97,1.55,135.26,35.60,623.05,0.01
MAYO,5,6,0.0169,0.0085,0.944,0.0186,78,35,18.38,1.22,194.21,47.83,623.43,0.01
MAYO,5,7,0.0047,0.0081,1.151,0.0244,88,50,17.21,1.2,247.81,35.24,623.92,0.07
MAYO,5,8,0.0117,0.0089,1.168,0.0221,132,51,18.63,1.37,279.05,33.82,624.32,0.41
MAYO,5,9,0.0278,0.0085,1.039,0.016,151,69,21.5,2.91,159.15,43.43,624.58,1.12
MAYO,5,10,0.0483,0.006,1.011,0.0091,117,47,23.69,5.35,92.06,47.40,624.76,2.15
MAYO,5,11,0.0591,0.0062,0.98,0.0087,95,39,25.17,5.44,80.57,40.41,624.64,3.10
MAYO,5,12,0.0665,0.0065,0.992,0.0085,79,36,26.43,4.68,90.31,35.20,624.22,3.82
MAYO,5,13,0.0711,0.0065,0.938,0.008,60,36,28.22,4.07,82.15,29.91,623.63,4.48
MAYO,5,14,0.0766,0.007,0.929,0.0083,52,39,29.55,3.43,79.57,26.80,622.99,4.39
MAYO,5,15,0.078,0.0065,0.889,0.0084,42,33,30.97,3.09,99.27,22.23,622.16,3.85
MAYO,5,16,0.0813,0.0063,0.821,0.0065,49,50,31.81,2.37,150.58,20.07,621.24,2.86
MAYO,5,17,0.0789,0.0079,0.839,0.0061,74,37,31.83,2.65,145.16,20.87,620.75,1.44
MAYO,5,18,0.0536,0.0172,0.827,0.007,127,19,28.86,6.17,50.68,26.94,620.94,0.36
MAYO,5,19,0.0483,0.0097,0.85,0.0078,148,26,24.55,6.79,68.65,39.18,622.29,0.04
MAYO,5,20,0.045,0.0063,0.863,0.0077,140,32,21.07,4.51,111.59,50.23,624.21,0.01
