DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
OCT,1,0,9.66,4.02,0.421,1.61,19,9
OCT,1,1,7.22,3.99,0.399,2.32,19,9
OCT,1,2,5.42,3.92,0.377,0.94,19,9
OCT,1,3,4.80,3.84,0.313,3.08,18,9
OCT,1,4,4.78,3.71,0.233,3.81,18,9
OCT,1,5,5.35,3.60,0.176,3.41,18,9
OCT,1,6,5.51,3.48,0.203,3.12,18,8
OCT,1,7,4.52,3.35,0.283,4.43,17,8
OCT,1,8,4.37,3.38,0.371,6.35,17,9
OCT,1,9,4.62,3.29,0.442,6.21,17,8
OCT,1,10,5.77,3.22,0.493,5.68,17,8
OCT,1,11,8.10,3.24,0.542,5.98,17,9
OCT,1,12,11.36,3.29,0.591,6.87,18,9
OCT,1,13,15.09,3.29,0.644,6.41,19,10
OCT,1,14,20.67,3.34,0.620,5.03,19,11
OCT,1,15,26.74,3.30,0.552,3.29,20,11
OCT,1,16,32.47,3.20,0.487,4.22,20,12
OCT,1,17,37.74,3.27,0.431,3.29,20,12
OCT,1,18,40.67,3.18,0.432,5.25,20,13
OCT,1,19,41.94,3.36,0.425,5.73,22,13
OCT,1,20,41.77,3.75,0.428,6.89,22,14
OCT,1,21,38.83,3.94,0.432,10.07,23,14
OCT,1,22,35.66,4.01,0.416,4.55,23,14
OCT,1,23,32.24,4.06,0.410,2.47,23,15
OCT,2,0,29.06,4.17,0.383,2.35,23,15
OCT,2,1,26.75,4.32,0.365,0.57,23,15
OCT,2,2,25.50,4.46,0.315,0.40,23,15
OCT,2,3,24.53,4.67,0.272,0.30,23,15
OCT,2,4,22.62,4.81,0.228,0.92,23,15
OCT,2,5,22.41,4.80,0.179,1.43,24,15
OCT,2,6,19.55,4.80,0.235,4.17,24,15
OCT,2,7,16.91,4.86,0.376,5.92,24,16
OCT,2,8,14.64,4.69,0.506,6.00,24,16
OCT,2,9,11.52,4.61,0.585,7.68,25,16
OCT,2,10,10.68,4.57,0.624,6.05,25,16
OCT,2,11,11.69,4.42,0.681,5.16,25,16
OCT,2,12,15.25,4.28,0.717,4.39,25,16
OCT,2,13,20.47,4.16,0.745,4.01,25,16
OCT,2,14,28.00,3.97,0.712,2.69,24,16
OCT,2,15,35.90,3.92,0.576,1.63,24,16
OCT,2,16,43.18,3.88,0.466,1.86,25,16
OCT,2,17,49.72,3.68,0.411,1.46,27,16
OCT,2,18,50.87,3.96,0.405,2.29,27,16
OCT,2,19,49.82,3.87,0.382,2.89,26,16
OCT,2,20,47.34,3.96,0.357,2.45,25,15
OCT,2,21,45.43,3.93,0.327,1.21,25,15
OCT,2,22,42.96,3.86,0.299,0.30,24,14
OCT,2,23,39.61,3.80,0.289,0.30,24,14
OCT,3,0,34.68,3.73,0.277,1.93,24,14
OCT,3,1,29.25,3.62,0.258,2.26,24,14
OCT,3,2,27.21,3.62,0.226,1.04,25,14
OCT,3,3,25.82,3.76,0.193,1.15,25,14
OCT,3,4,24.19,4.00,0.173,1.07,25,14
OCT,3,5,19.70,4.02,0.167,2.34,25,14
OCT,3,6,14.48,4.02,0.218,3.17,26,14
OCT,3,7,9.93,3.97,0.306,4.45,27,14
OCT,3,8,7.29,4.08,0.379,4.30,29,14
OCT,3,9,6.91,4.51,0.434,5.39,29,15
OCT,3,10,8.38,4.50,0.461,3.73,30,15
OCT,3,11,10.43,4.47,0.488,1.76,30,14
OCT,3,12,13.51,4.43,0.511,1.30,29,14
OCT,3,13,17.71,4.48,0.531,1.43,29,14
OCT,3,14,22.34,4.46,0.501,1.49,29,14
OCT,3,15,26.83,4.38,0.425,1.30,29,13
OCT,3,16,31.44,4.37,0.361,1.43,28,13
OCT,3,17,34.88,4.35,0.322,1.66,26,13
OCT,3,18,35.27,3.99,0.332,2.49,26,12
OCT,3,19,33.55,3.73,0.381,5.35,27,12
OCT,3,20,30.38,3.24,0.441,8.35,28,13
OCT,3,21,27.68,3.37,0.456,6.24,29,13
OCT,3,22,24.72,3.64,0.455,3.73,30,13
OCT,3,23,22.84,3.76,0.445,1.39,31,13
OCT,4,0,20.96,3.98,0.429,0.94,31,14
OCT,4,1,18.79,4.77,0.412,0.30,31,14
OCT,4,2,17.25,6.15,0.376,0.85,32,14
OCT,4,3,18.03,6.96,0.301,0.39,32,15
OCT,4,4,19.72,7.76,0.218,0.30,33,15
OCT,4,5,20.24,8.42,0.184,1.37,33,15
OCT,4,6,19.22,8.80,0.189,3.76,33,16
OCT,4,7,16.60,9.10,0.236,5.58,33,16
OCT,4,8,14.23,9.28,0.285,4.70,33,16
OCT,4,9,13.62,9.76,0.331,5.04,33,16
OCT,4,10,15.59,10.18,0.354,4.48,33,16
OCT,4,11,17.53,10.48,0.375,3.01,33,16
OCT,4,12,19.96,10.72,0.406,2.96,33,16
OCT,4,13,23.19,10.76,0.420,2.68,33,16
OCT,4,14,28.31,10.97,0.404,2.44,33,16
OCT,4,15,33.89,11.32,0.364,1.75,33,16
OCT,4,16,38.93,11.85,0.327,3.86,34,15
OCT,4,17,42.22,12.15,0.302,5.02,34,16
OCT,4,18,43.08,12.27,0.315,5.49,34,16
OCT,4,19,42.14,12.37,0.343,7.69,34,16
OCT,4,20,39.06,12.41,0.365,9.53,33,17
OCT,4,21,36.16,12.67,0.369,8.02,33,17
OCT,4,22,32.83,13.22,0.370,6.38,32,17
